Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Seychelles, +199, None, 2009.0051890887796, 0, 0, 99_054
2, Botswana, +3134, +48, 1302.23374223085, 19.944869057779457, 20.123282393733145, 2_406_634
3, French Guiana, +400, +2, 1300.221037576388, 6.50110518788194, 11.315417256011315, 307_640
4, Mauritius, +1529, +2, 1199.948831482137, 1.5695864375175106, 0, 1_274_221
5, Israel, +11137, +54, 1194.1882907999143, 5.790263778683252, 12.768128403554027, 9_326_000 
6, Anguilla, +16, None, 1055.548225359546, 0, 0, 15_158
7, Grenada, +104, +1, 919.3045107797293, 8.839466449805089, 8.16967792615868, 113_129
8, Sint Maarten, +38, +2, 874.7496604590134, 46.03945581363229, 0, 43_441
9, Switzerland, +6201, +11, 710.462031756427, 1.2602938799098042, 7.538843095776497, 8_728_123
10, Montenegro, +423, +4, 673.397457327615, 6.367824655580284, 16.779055930186434, 628_158
11, Mongolia, +2209, +4, 661.4762689025303, 1.1977840994160802, 0, 3_339_500
12, Antigua and Barbuda, +62, +1, 627.086072620613, 10.114291493880854, 0, 98_870
13, Montserrat, +3, None, 600.4803843074459, 0, 0, 4_996
14, Malaysia, +19268, +295, 586.5965965645983, 8.981004566460271, 17.75803434006433, 32_847_105
15, Cuba, +6075, +75, 536.7282003092614, 6.626274077892116, 13.102838409110518, 11_318_578
16, Belize, +208, +3, 512.3228422094908, 7.389271762636886, 6.485812285625195, 405_994
17, Georgia, +1915, +78, 481.123986028059, 19.596694992265586, 8.944000747279436, 3_980_263
18, Palestine, +2411, +3, 460.22762847050956, 0.5726598446335665, 24.845424567188786, 5_238_712
19, Aruba, +43, +2, 400.77171856505083, 18.64054504953725, 0, 107_293
20, Iran, +33780, +669, 396.2918067619208, 7.848407895906601, 0, 85_240_218
21, UK, +26392, +48, 386.4113454775114, 0.7027790460336674, 1.0881118258361417, 68_300_272
22, USA, +119642, +569, 359.00795756762517, 1.7073897783050995, 4.479920078723057, 333_257_237
23, Bosnia and Herzegovina, +1073, +7, 329.43658668081434, 2.1491669214964584, 18.316831683168317, 3_257_076
24, Maldives, +169, None, 306.39310053500947, 0, 2.9432253570184606, 551_579
25, Bulgaria, +2090, +109, 303.444795333745, 15.82558980448718, 6.5176037671126075, 6_887_579
26, Azerbaijan, +3107, +39, 303.2617178883224, 3.806632442112833, 27.76338128853543, 10_245_276
27, Greece, +3021, +19, 291.494609906687, 1.8332994333753898, 6.090480222571671, 10_363_828
28, Costa Rica, +1454, +21, 282.43308919252496, 4.079157409245546, 0, 5_148_122
29, Isle of Man, +24, None, 280.5180232829959, 0, 0, 85_556
30, Kazakhstan, +5222, +104, 274.30334462028736, 5.462954393050534, 0, 19_037_318
31, Bahamas, +108, None, 271.6256796929624, 0, 11.700975081256772, 397_606
32, Serbia, +2335, +12, 268.5008282129401, 1.3798757766832042, 18.328100470957615, 8_696_435
33, Ireland, +1292, None, 258.30716440511276, 0, 0, 5_001_797
34, Cyprus, +311, +2, 255.42763184911536, 1.642621426682414, 0, 1_217_566
35, Jamaica, +739, +6, 248.30462374121484, 2.016005064204721, 49.0053050397878, 2_976_183
36, Norway, +1349, None, 246.5969529098532, 0, 0.8441115553803508, 5_470_465
37, Sweden, +2500, None, 245.76285182426815, 0, 0, 10_172_408
38, Luxembourg, +155, None, 243.02860681891232, 0, 1.5990921283400392, 637_785
39, Libya, +1678, +29, 240.41220233767197, 4.154918872343556, 24.336475707034083, 6_979_679
40, Saint Lucia, +44, None, 238.3506137528304, 0, 26.34730538922156, 184_602
41, Turkey, +19557, +245, 229.02519420006138, 2.8691094022096966, 6.904501323918799, 85_392_352
42, Thailand, +15972, +256, 228.15993582951808, 3.6569586509113843, 0, 70_003_526
43, Suriname, +127, +3, 214.2613718801351, 5.06129224913705, 46.01449275362319, 592_734
44, Sri Lanka, +4562, +216, 212.0128369543673, 10.038310561627211, 0, 21_517_565
45, Fiji, +184, +10, 203.54229974037295, 11.062081507628964, 23.29113924050633, 903_989
46, Philippines, +22194, +222, 199.4553433020624, 1.9950926472496102, 16.886170139919198, 111_273_028
47, Eswatini, +226, +13, 192.48671543564598, 11.072244693200876, 20.071047957371228, 1_174_107
48, Estonia, +254, +2, 191.32672276908522, 1.5065096281030332, 9.32452276064611, 1_327_572
49, Tunisia, +2165, +61, 180.98745585557117, 5.09941561533018, 17.620249043704728, 11_962_155
50, Brunei , +76, None, 171.8127602624214, 0, 4.196576477084483, 442_342
51, Albania, +486, +3, 169.09388294180212, 1.043789400875322, 10.723742277140335, 2_874_143
52, Canada, +6444, +17, 169.01695709046592, 0.44588582720948494, 2.6776698787070394, 38_126_352
53, Iraq, +6778, +65, 164.244838797374, 1.57508328737523, 17.328833665695146, 41_267_659
54, Japan, +20639, +50, 163.76758343239874, 0.39674301912010934, 29.922001855717934, 126_026_162
55, Caribbean Netherlands, +4, None, 150.90922809929828, 0, 0, 26_506
56, Gibraltar, +5, None, 148.46046497817633, 0, 1.524390243902439, 33_679
57, Mayotte, +41, None, 146.2014370531496, 0, 0, 280_435
58, Vietnam, +14224, +315, 144.6184411612389, 3.2026721713857045, 0, 98_355_368
59, North Macedonia, +294, +32, 141.12395147064117, 15.360430092042575, 11.187214611872145, 2_083_275
60, Belgium, +1643, +4, 141.05153360275924, 0.34339996007975465, 0, 11_648_225
61, Lithuania, +367, +16, 137.03965225534782, 5.974480752276744, 6.678798908098271, 2_678_057
62, Iceland, +47, None, 136.70142373078545, 0, 1.4569125852448854, 343_815
63, Cayman Islands, +9, None, 135.09862199405566, 0, 0.4744333157617291, 66_618
64, Denmark, +762, None, 131.02006687525565, 0, 0.41194087945593527, 5_815_903
65, Netherlands, +2171, +2, 126.37570373250729, 0.11642165244818728, 0, 17_178_935
66, Monaco, +5, None, 126.37432073802604, 0, 0, 39_565
67, Russia, +18325, +792, 125.5075040611352, 5.424389807171572, 4.58125, 146_007_206
68, Honduras, +1254, +2, 124.31522534365129, 0.19826989687982663, 0, 10_087_260
69, Austria, +1120, None, 123.53725547206619, 0, 0.48333362103191724, 9_066_091
70, Argentina, +5358, +224, 117.30130034336793, 4.903973735892948, 7.498740413144489, 45_677_243
71, Lebanon, +775, +4, 114.14027117666544, 0.5891110770408539, 0, 6_789_891
72, Belarus, +1058, +11, 112.00853212818646, 1.1645499559641315, 7.909688995215311, 9_445_709
73, Spain, +5163, +48, 110.37751761967665, 1.0261709947209916, 0, 46_775_830
74, Jordan, +1098, +15, 106.38802950572199, 1.4533883812257102, 3.51258837454813, 10_320_710
75, Portugal, +1072, +9, 105.48967480446032, 0.885640926529984, 1.2452663615454314, 10_162_132
76, Guyana, +80, +2, 101.14278706535468, 2.528569676633867, 17.094017094017094, 790_961
77, Cabo Verde, +56, +1, 99.46802369470421, 1.776214708834004, 0, 562_995
78, UAE, +993, +1, 99.01228021492345, 0.09971025197877488, 0.30889352039070517, 10_029_059
79, South Africa, +5644, +235, 93.7911364451318, 3.905194377144928, 17.615480649188513, 60_176_262
80, Armenia, +275, +7, 92.60256997386924, 2.357156326607581, 5.8873902804538645, 2_969_680
81, Curaçao, +15, None, 90.9791172599516, 0, 1.1971268954509178, 164_873
82, Andorra, +7, None, 90.42876151351909, 0, 0, 77_409
83, Trinidad and Tobago, +125, +7, 88.98355156845967, 4.983078887833742, 33.244680851063826, 1_404_754
84, Finland, +472, None, 85.03395232766032, 0, 11.02803738317757, 5_550_724
85, Panama, +371, +8, 84.44246577462647, 1.820861795679277, 7.37134909596662, 4_393_524
86, Timor-Leste, +113, +2, 83.85632221012614, 1.4841826939845335, 0, 1_347_543
87, Germany, +6805, +28, 80.92014324613372, 0.33295576941833127, 0, 84_095_254
88, Liechtenstein, +3, None, 78.42112142203634, 0, 0, 38_255
89, Malta, +34, None, 76.76503127046126, 0, 1.439458086367485, 442_910
90, Qatar, +205, None, 73.01076819793397, 0, 3.540587219343696, 2_807_805 
91, Morocco, +2676, +103, 71.51596392121175, 2.752669762288793, 15.27920520726276, 37_418_219
92, Namibia, +184, None, 70.92646929577725, 0, 13.680297397769516, 2_594_236
93, Italy, +4251, +59, 70.42924745893478, 0.9774936720953076, 3.871478921340947, 60_358_447
94, Slovenia, +146, +1, 70.2169511415064, 0.4809380215171671, 16.441441441441444, 2_079_270
95, Myanmar, +3583, +104, 65.3433510422994, 1.896653225899843, 8.431183377650186, 54_833_429
96, Nepal, +1902, +16, 63.94525909277546, 0.5379201606122016, 15.993945509586277, 29_744_191
97, Bahrain, +112, None, 63.28076886134166, 0, 0.7064908850059926, 1_769_890
98, France, +3795, +98, 57.99083619485129, 1.497523569722115, 0.11675884821318964, 65_441_374
99, Hungary, +521, None, 54.091519944716595, 0, 1.9394706473588208, 9_631_824
100, Moldova, +216, +3, 53.69047441499754, 0.7457010335416325, 6.593406593406594, 4_023_060
101, Australia, +1356, +3, 52.470247802353704, 0.116084619031756, 0.6346650690830119, 25_843_217
102, Mexico, +6837, +259, 52.38879455406642, 1.9845981848037446, 50.34239010382151, 130_505_007
103, Brazil, +10466, +313, 48.83485317621283, 1.460472868732526, 0, 214_314_149
104, St. Vincent Grenadines, +5, None, 44.903860833954504, 0, 0.8650519031141869, 111_349
105, Latvia, +81, None, 43.50343354877379, 0, 0.42304277432495946, 1_861_922
106, Venezuela, +1218, +12, 42.97472909514062, 0.4233963457649322, 0, 28_342_238
107, Kuwait, +184, +1, 42.35905886458845, 0.2302122764379807, 1.4083429008802142, 4_343_817
108, Guatemala, +740, +28, 40.43797385859857, 1.5300854973523783, 29.04238618524333, 18_299_631
109, Colombia, +2006, +72, 38.94211927594525, 1.397723124560348, 6.935416954778038, 51_512_348
110, Rwanda, +518, +4, 38.877727595320984, 0.30021411270518134, 5.909194615560119, 13_323_824
111, Romania, +699, +11, 36.61915222523953, 0.5762670593385334, 4.346204066405521, 19_088_372
112, Croatia, +139, +6, 34.10363382805684, 1.4720993019305109, 3.6733615221987312, 4_075_812
113, S. Korea, +1483, +5, 28.896849237986384, 0.09742700349961693, 4.393162899546761, 51_320_474
114, Gambia, +72, +5, 28.855471758909324, 2.0038522054798142, 0, 2_495_194
115, Singapore, +155, None, 26.254414764534314, 0, 0, 5_903_769
116, Chile, +501, +38, 25.94951395161892, 1.9682266071088201, 1.0250639386189258, 19_306_720
117, Mauritania, +123, +6, 25.672767392830284, 1.2523301167234284, 0, 4_791_069
118, Uruguay, +86, None, 24.657949794693895, 0, 0.8836826962597617, 3_487_719
119, Cambodia, +408, +11, 24.017863639285597, 0.6475404412552489, -0.042085154358650095, 16_987_356
120, Uzbekistan, +795, +5, 23.360520473571523, 0.1469215124123995, 0, 34_031_776
121, Kyrgyzstan, +152, +6, 22.86062867330447, 0.9023932371041238, 0, 6_648_986
122, Bangladesh, +3724, +94, 22.353755760211406, 0.5642462517346595, 12.06935666828715, 166_593_929
123, India, +30251, +205, 21.673595091913334, 0.14687405354673347, 2.011910114153004, 1_395_753_675
124, Bolivia, +254, +9, 21.42063507122994, 0.7589988804766513, 9.980353634577604, 11_857_725
125, Laos, +155, +2, 20.951591550479954, 0.27034311678038647, 7.007233273056059, 7_398_006
126, Oman, +107, +6, 20.354112091807316, 1.141352079914429, 0, 5_256_923
127, Ghana, +630, +9, 19.796224577169927, 0.28280320824528465, 0, 31_824_250
128, Indonesia, +5436, +568, 19.633011982172402, 2.0514258288951295, 4.334133292936702, 276_880_593
129, Ukraine, +749, +18, 17.246907674355818, 0.41447842208064717, 7.8883622959452335, 43_428_075
130, Pakistan, +3800, +66, 16.824429042634026, 0.29221376758259093, 6.752074486042751, 225_862_048
131, Ivory Coast, +410, +6, 15.110030133822535, 0.221122392202281, 0, 27_134_294
132, Dominican Republic, +158, None, 14.3974297489717, 0, 7.681088964511424, 10_974_181
133, Guinea, +191, +9, 14.101260933276082, 0.6644573214632709, 0, 13_544_888
134, Sao Tome and Principe, +3, None, 13.40033500837521, 0, 0, 223_875
135, New Zealand, +55, None, 10.995381939585373, 0, 0.3359804520464264, 5_002_100 
136, Peru, +364, +54, 10.864176277110037, 1.6117184586921482, 0.7090540751129811, 33_504_611
137, Congo, +55, None, 9.691129603352637, 0, 0, 5_675_293
138, Zimbabwe, +144, +15, 9.527679828671145, 0.9924666488199109, 2.5857425031423955, 15_113_858
139, Togo, +80, +5, 9.40804907991044, 0.5880030674944025, 6.541291905151267, 8_503_357
140, Algeria, +412, +31, 9.202842829628462, 0.692446911938064, 0, 44_768_775
141, Slovakia, +49, None, 8.969897025582148, 0, 3.2996632996632997, 5_462_716
142, Czechia, +81, +1, 7.5474707959469525, 0.09317865180181423, 0.19239447994109404, 10_732_072
143, Paraguay, +51, +19, 7.049852409266326, 2.6264156034521604, 2.502453385672228, 7_234_194
144, Syria, +125, +4, 6.947240322716542, 0.22231169032692935, 0, 17_992_756
145, Kenya, +346, +10, 6.274602312169191, 0.18134688763494772, 9.738249366732338, 55_142_937
