Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Denmark, +8212, +9, 1410.4939236430178, 1.5458408807583002, 1.9798208710536784, 5_822_074
2, UK, +82886, +45, 1211.6383177029222, 0.6578158470264158, 0, 68_408_203
3, Ireland, +5124, None, 1021.0187591274474, 0, 0, 5_018_517
4, Netherlands, +13259, +48, 771.3025874906924, 2.792256142963515, 0, 17_190_400
5, France, +48473, +75, 740.214728698696, 1.1452995410311348, 0, 65_485_052
6, Slovakia, +3431, +83, 627.983884370431, 15.19168242574928, 30.14143898796451, 5_463_516
7, Czechia, +5983, +70, 557.1760088559602, 6.518856864435436, 9.780778473459646, 10_738_079
8, Georgia, +2195, +47, 551.7917520330824, 11.815130909136615, 6.491586076361163, 3_977_950
9, Norway, +3022, None, 551.127568342007, 0, 0, 5_483_304
10, Namibia, +1263, +1, 484.2401493744752, 0.38340471051027336, 18.51363236587511, 2_608_210
11, Lithuania, +1282, +24, 480.75751183612243, 9.0001406271973, 14.82766597270414, 2_666_625
12, Croatia, +1936, +51, 475.88906573586434, 12.53633385977742, 10.87090796788141, 4_068_175
13, Trinidad and Tobago, +629, +20, 447.3286514356832, 14.223486532136189, 83.2010582010582, 1_406_125
14, Poland, +15976, +70, 422.8033044714149, 1.8525432719703956, 0, 37_785_892
15, Portugal, +4266, +25, 420.16500488419655, 2.4622890581586763, 1.0977332554507113, 10_153_154
16, Italy, +24259, +97, 402.09448479487304, 1.6077812368647795, 4.283771852375066, 60_331_591
17, Slovenia, +767, +13, 368.86402863962275, 6.251932688807165, 33.6846728151076, 2_079_357
18, Cyprus, +448, +1, 367.14480174590466, 0.8195196467542515, 0, 1_220_227
19, Lesotho, +795, None, 366.8476756162118, 0, 13.325511230305063, 2_167_112
20, Estonia, +427, +2, 321.5744041836303, 1.5062032982839826, 9.200603318250378, 1_327_842
21, Jordan, +3196, +39, 308.75032821628287, 3.767604130298821, 8.084180705215765, 10_351_406
22, Germany, +24190, +127, 287.3730799091635, 1.508738369097303, 0, 84_176_291
23, Greece, +2831, +92, 273.56716900208573, 8.89020824733023, 1.2658963673111665, 10_348_464
24, Eswatini, +322, +1, 273.40337101261986, 0.849078791964658, 29.406392694063925, 1_177_747
25, South Africa, +15465, +3, 256.03021941317974, 0.049666385919142526, 0, 60_403_026
26, Austria, +2242, +17, 246.87154729440013, 1.8719073612867096, 0.8529449808639017, 9_081_646
27, Canada, +8744, +5, 228.7412250573246, 0.13079896217825057, 0, 38_226_603
28, Latvia, +423, +6, 227.95369791554396, 3.2333857860360844, 7.840593141797961, 1_855_640
29, Lebanon, +1479, +12, 218.12019912501208, 1.7697379239351891, 0, 6_780_665
