Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Namibia, +1052, +96, 406.382052437964, 37.08429375859747, 31.17037037037037, 2_588_697
2, Tunisia, +7524, +140, 629.7658792612253, 11.718131724690531, 30.429507401116236, 11_947_297
3, Colombia, +19925, +498, 387.29036827611196, 9.679829530815747, 21.42035498124039, 51_447_187
4, Paraguay, +1049, +52, 145.21718413497416, 7.1985639418671665, 19.28308823529412, 7_223_663
5, Argentina, +12230, +276, 268.04049511090193, 6.048992367179798, 15.410009576130236, 45_627_434
6, Trinidad and Tobago, +235, +8, 167.35376663478635, 5.697149502460812, 28.143712574850298, 1_404_211
7, Georgia, +1808, +22, 454.1367132357743, 5.525999829196369, 5.168815575059321, 3_981_180
8, Russia, +25116, +787, 172.02774013748206, 5.390421702826819, 2.093, 145_999_709
9, Chile, +1932, +94, 100.17102179886312, 4.873745367025432, 3.2094622655614065, 19_287_015
10, South Africa, +14701, +291, 244.66445994335524, 4.8430282187277305, 29.0682959623522, 60_086_373
11, Cuba, +6062, +52, 535.540469173029, 4.593880632959008, 6.393031153107928, 11_319_406
12, Zimbabwe, +1445, +68, 95.77250867702243, 4.506941584801055, 13.67335352006056, 15_087_837
13, Jamaica, +63, +13, 21.179083268423366, 4.370287023642917, 3.3368644067796613, 2_974_633
14, Myanmar, +5497, +233, 100.3291680089214, 4.252628005471837, 39.11898662112155, 54_789_650
15, Malaysia, +12528, +138, 381.9831989592787, 4.207669337195121, 9.498680738786279, 32_797_254
16, Kuwait, +1226, +18, 282.734666890825, 4.1510799380382135, 8.99420438705891, 4_336_221
17, Indonesia, +51952, +1092, 187.86901709350943, 3.9488944923412435, 20.66573319755601, 276_533_091
18, Brazil, +34339, +823, 160.36311525621517, 3.843409646636917, 0, 214_132_782
19, Peru, +1950, +112, 58.29704466869042, 3.3483430784068346, 3.9069543787942536, 33_449_380
20, Montenegro, +32, +2, 50.94332714053513, 3.1839579462834458, 1.634320735444331, 628_149
21, Mongolia, +1295, +10, 388.5216018010601, 3.0001668092745954, 21.10495436766623, 3_333_148
22, Bolivia, +1239, +31, 104.65783097785638, 2.618557514377359, 12.307539485447503, 11_838_579
23, Guyana, +120, +2, 151.80150435290815, 2.5300250725484688, 10.008340283569641, 790_506
24, Kazakhstan, +5658, +45, 297.6277521624566, 2.3671348263185834, 0, 19_010_324
25, Uruguay, +253, +8, 72.57029350811396, 2.294712838201232, 3.311951826155256, 3_486_275
26, Mexico, +12420, +275, 95.28759276212631, 2.109829952462539, 32.36229089582574, 130_342_258
27, Iran, +15139, +175, 177.87364424512143, 2.0561389618136108, 0, 85_110_979
28, Panama, +1041, +9, 237.38111846412366, 2.052286326779167, 7.600759345794393, 4_385_353
29, Thailand, +10082, +141, 144.06452787666476, 2.014788576731773, 0, 69_982_529
30, Ecuador, +1568, +34, 87.49264710231384, 1.8971619907389479, 30.241080038572804, 17_921_506
31, Eswatini, +164, +2, 139.85262603151972, 1.7055198296526795, 30.036630036630036, 1_172_663
32, Kyrgyzstan, +1364, +11, 205.54445622189397, 1.657616582434629, 15.172413793103448, 6_636_034
33, Zambia, +1328, +30, 70.20021121382825, 1.5858481448906987, 18.026333650061083, 18_917_322
34, Guatemala, +2475, +27, 135.54415061819358, 1.4786634612893845, 27.311851688369014, 18_259_733
35, Sri Lanka, +1452, +31, 67.51354002178938, 1.4414047800795255, 0, 21_506_797
36, Cambodia, +836, +24, 49.293810153852704, 1.4151333058522308, 8.623001547189272, 16_959_533
37, Afghanistan, +388, +49, 9.73947702221414, 1.2299855002280744, 21.342134213421343, 39_837_868
38, Bangladesh, +8489, +204, 51.01659658410201, 1.2259848866953482, 29.05798589717259, 166_396_831
39, Philippines, +6025, +121, 54.23155941557443, 1.0891317326613288, 5.859469973255531, 111_097_672
40, El Salvador, None, +7, 0, 1.0735703991488732, 0, 6_520_299
41, Belarus, +1021, +10, 108.08714131425072, 1.058639973694914, 5.7472558401350975, 9_446_082
42, Iraq, +8149, +38, 197.9888280752386, 0.923251376470618, 22.75939114648792, 41_158_888
43, Rwanda, +1997, +12, 150.31867634657723, 0.903266958517239, 3.9249213836477987, 13_285_109
44, Uganda, +460, +38, 9.738317231907885, 0.8044696843749992, 8.780301584271808, 47_236_087
45, Jordan, +389, +8, 37.735691649149636, 0.7760553552524347, 2.378768421696325, 10_308_543
46, Mozambique, +2025, +24, 62.9613590748803, 0.7462087001467295, 34.49744463373084, 32_162_584
47, Nepal, +1310, +21, 44.13581716235738, 0.7075207331370267, 19.101778944298626, 29_681_109
48, Greece, +2554, +7, 246.2892911699696, 0.6750293806537929, 2.783985000926542, 10_369_919
49, Malawi, +789, +12, 40.16833842980794, 0.6109252993126683, 25.834970530451866, 19_642_336
50, UK, +54674, +41, 800.9963566049141, 0.6006666902147543, 4.154559270516717, 68_257_489
51, Bahrain, +69, +1, 39.14362818318538, 0.5672989591765996, 0.5523977263629813, 1_762_739
52, Latvia, +39, +1, 20.918123247436725, 0.5363621345496596, 0.39666395443449964, 1_864_412
53, Moldova, +61, +2, 15.158360133811046, 0.496995414223313, 1.1211174416467562, 4_024_182
54, Portugal, +3677, +5, 361.70687872638257, 0.49185052859176304, 2.4894046281126023, 10_165_690
55, Croatia, +139, +2, 34.07831638406998, 0.4903354875405752, 3.625456442357851, 4_078_840
56, Dominican Republic, +454, +5, 41.419151504048905, 0.45615805621199235, 9.871711241574255, 10_961_113
