Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Bahrain, +2957, +21, 1685.2719089622613, 11.96845116273503, 14.559330379123583, 1_754_613
2, Argentina, +39207, +558, 860.3529555922963, 12.244674400502497, 35.325758872660764, 45_570_832
3, Uruguay, +1826, +52, 524.0147102924697, 14.922653305152476, 17.132670294614375, 3_484_635
4, Colombia, +23374, +514, 454.98484227360836, 10.005228413135736, 28.80167580555727, 51_373_140
5, Trinidad and Tobago, +633, +18, 450.98543523656787, 12.824230385873967, 39.122373300370825, 1_403_593
6, Chile, +8658, +119, 449.4248343193635, 6.177125812428304, 11.929727867723045, 19_264_623
7, Costa Rica, +2180, +33, 424.43945760531255, 6.425000963750144, 0, 5_136_186
8, Paraguay, +2827, +92, 392.00210325005384, 12.757054651222125, 34.95733893903796, 7_211_696
9, Kuwait, +1384, +5, 319.80863242988937, 1.1553780073334154, 12.665873524297611, 4_327_588
10, Georgia, +1056, +28, 265.17865281710885, 7.031252158029401, 2.7131882531281315, 3_982_221
11, Bolivia, +3018, +86, 255.39859571392415, 7.277759851357678, 21.14037545530961, 11_816_823
12, Malaysia, +8290, +61, 253.2024149585023, 1.8631299532531531, 3.643891975525705, 32_740_604
13, Belgium, +2891, +13, 248.46802403032152, 1.1172896272549913, 4.515917398231747, 11_635_300
14, Brazil, +50495, +2418, 236.0388125872022, 11.302937891590354, 0, 213_926_682
15, Mongolia, +785, +4, 236.02420976989896, 1.2026711325854724, 10.696280147159014, 3_325_930
16, Nepal, +6855, +96, 231.51412874495634, 3.242210993364815, 35.494226686687725, 29_609_424
17, Netherlands, +3852, +15, 224.35490103048326, 0.8736561566607604, 0, 17_169_226
18, UAE, +2236, +4, 223.63634090539713, 0.4000650105642167, 0.9322415489551891, 9_998_375
19, Lithuania, +520, +10, 193.4712386400758, 3.7206007430783803, 2.4333177351427238, 2_687_738
20, Latvia, +354, +4, 189.58442451487275, 2.1421968871737036, 2.3806321452589105, 1_867_242
21, Greece, +1928, +40, 185.79837407148997, 3.854738051275726, 3.9355773745126457, 10_376_840
22, France, +11268, +107, 172.2820240220587, 1.6359759114625738, 2.3248952373485303, 65_404_386
23, Denmark, +997, +1, 171.5806658018221, 0.1720969566718376, 0.14653425183020838, 5_810_678
24, Peru, +5501, +162, 164.76661397689338, 4.852243494684008, 9.572616851703616, 33_386_618
25, Belarus, +1434, +10, 151.80217445499684, 1.0585925694211775, 8.174200535826255, 9_446_505
26, Palestine, +774, +6, 148.61251782054174, 1.1520350218646647, 25.825825825825827, 5_208_175
27, Tunisia, +1702, +62, 142.66059836649424, 5.196802055653727, 28.13688212927757, 11_930_414
28, Namibia, +365, +12, 141.34127839120322, 4.6468365498477775, 17.95376291195278, 2_582_402
29, Panama, +617, +4, 140.99418496106207, 0.9140627874299, 5.439957679421619, 4_376_067
30, Slovenia, +288, +4, 138.5150132479029, 1.9238196284430962, 8.03347280334728, 2_079_197
31, Sri Lanka, +2850, +38, 132.5916883155552, 1.767889177540736, 4.839449151822859, 21_494_560
32, India, +171726, +3563, 123.34228804502341, 2.559126587147074, 8.293906616154104, 1_392_271_886
33, Timor-Leste, +163, None, 121.5434678215533, 0, 0, 1_341_084
34, Iran, +10253, +184, 120.67447391555277, 2.1656201307384872, 8.522221945157884, 84_964_116
35, Spain, +5482, +17, 117.2088932087367, 0.3634715768968486, 0, 46_771_195
36, Dominican Republic, +1254, +3, 114.55964469335333, 0.2740661356300319, 27.10179381888913, 10_946_263
37, Estonia, +140, +3, 105.47378825684976, 2.2601526055039236, 3.433055419323198, 1_327_344
38, Switzerland, +912, +3, 104.68450535021616, 0.3443569254941321, 3.0739155347332234, 8_711_891
39, Cuba, +1169, +12, 103.26538576953516, 1.0600381772749545, 5.318955318955319, 11_320_347
40, Iraq, +4042, +22, 98.50059768076663, 0.5361239853975422, 9.3060735829074, 41_035_284
41, Ireland, +467, None, 93.63151327973547, 0, 0, 4_987_637
42, Kazakhstan, +1747, +24, 92.04595933254615, 1.2645123205386992, 0, 18_979_649
43, Turkey, +7773, +164, 91.27588861269703, 1.9258003000749147, 3.5305820259627003, 85_159_401
44, Guatemala, +1593, +24, 87.45829877961908, 1.3176391529886116, 22.53501202433159, 18_214_395
45, Canada, +3202, +29, 84.17133582748967, 0.7623262770134916, 3.183029146288123, 38_041_454
46, Philippines, +8733, +187, 78.74775186124411, 1.6862280542829091, 15.718991306226037, 110_898_404
47, Croatia, +321, +11, 78.6325288809195, 2.6945726407791724, 6.087616157784942, 4_082_280
48, South Africa, +4574, +123, 76.25337907580271, 2.0505390525412626, 11.491884829908045, 59_984_227
49, Ukraine, +3306, +156, 76.00838713237323, 3.5866026596038187, 12.988135460045571, 43_495_200
50, Germany, +6190, +195, 73.6671237122594, 2.3206929117755384, 0, 84_026_628
51, Qatar, +202, None, 71.94231793162274, 0, 6.1717079132294534, 2_807_805 
52, USA, +22813, +627, 68.55698732932062, 1.884242802589928, 2.297918546931408, 332_759_663
53, Honduras, +676, +19, 67.28529992372674, 1.8911548795130295, 23.57865364492501, 10_046_771
54, Russia, +9252, +404, 63.37368757233699, 2.7672902917449353, 3.084, 145_991_189
55, Norway, +339, None, 62.09255197091651, 0, 0, 5_459_592
56, Italy, +3738, +126, 61.906695414471045, 2.086742542060821, 1.4957324807631516, 60_381_191
57, UK, +4182, +10, 61.31167308135038, 0.1466084961294844, 0.3820116540044997, 68_208_871
58, Jordan, +620, +13, 60.22507080331307, 1.262783742650113, 2.8608342561830935, 10_294_716
59, Cyprus, +73, +3, 60.06687994523217, 2.4685019155574865, 0.11750503018108652, 1_215_312
60, Austria, +541, +15, 59.75973713668896, 1.6569243198712282, 0.16281057395993837, 9_052_918
61, Portugal, +598, +1, 58.801931299284725, 0.0983309887947905, 1.1305843873480423, 10_169_734
62, Thailand, +3759, +34, 53.73172551353142, 0.48600124167599584, 0, 69_958_669
63, Gabon, +113, None, 49.713837472706885, 0, 1.3516746411483254, 2_273_009
64, Libya, +343, +1, 49.312238046706305, 0.14376745786211753, 10.576626580326858, 6_955_677
65, Czechia, +506, +12, 47.170756741060046, 1.118674072910515, 0.21032067668391627, 10_726_985
66, Ecuador, +836, +51, 46.743378738897185, 2.8515697556025796, 20.49019607843137, 17_884_886
67, Venezuela, +1319, +19, 46.504509192150394, 0.6698905797201345, 0, 28_362_841
68, Hungary, +448, +28, 46.48220494149415, 2.9051378088433846, 2.8808436756478684, 9_638_097
69, Lebanon, +298, +6, 43.83833774438218, 0.8826510955244735, 0.9495284221259239, 6_797_703
70, Kyrgyzstan, +283, +7, 42.74074821379919, 1.0571916519314286, 5.628480509148767, 6_621_316
71, Bulgaria, +287, +15, 41.58856131979778, 2.173618187445877, 2.125611020589542, 6_900_936
72, Serbia, +330, +11, 37.907370697671375, 1.2635790232557123, 3.2387869270782215, 8_705_431
73, Jamaica, +108, +1, 36.32850657545969, 0.336375060883886, 6.4593301435406705, 2_972_872
