Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Slovenia, +3763, +5, 1809.7166829138796, 2.40461956273436, 49.183113318520455, 2_079_331
2, Georgia, +5204, +83, 1307.98529547046, 20.861410362038466, 9.849717984631107, 3_978_638
3, Slovakia, +6421, +46, 1175.3017144651983, 8.419853428655836, 26.433658556667076, 5_463_278
4, Netherlands, +20168, +35, 1173.44559187553, 2.036423825646745, 0, 17_186_992
5, Austria, +10363, +61, 1141.6741241427117, 6.720266483904797, 2.2308089723167006, 9_077_021
6, Croatia, +4443, +50, 1091.5265796426238, 12.283666212498582, 34.41251645883355, 4_070_446
7, Czechia, +11553, +84, 1076.06973840971, 7.823929544396748, 10.923066741043993, 10_736_293
8, Ireland, +4395, None, 876.6250474215256, 0, 0, 5_013_546
9, Belgium, +9229, +27, 791.5807848546211, 2.3158176607514105, 4.175300174630606, 11_658_949
10, Greece, +8129, +85, 785.1806118246326, 8.210155247274422, 1.226596733501527, 10_353_032
11, Lithuania, +1948, +34, 729.5814569457053, 12.733967934370629, 8.225309293586117, 2_670_024
12, Denmark, +3899, +9, 669.9037616840133, 1.546328252155968, 1.3307939368495785, 5_820_239
13, Estonia, +868, +10, 653.7316175639911, 7.531470248433077, 13.125661575684259, 1_327_762
14, Latvia, +1077, +31, 579.8090775382932, 16.689026372968517, 7.4744951072246515, 1_857_508
15, Bulgaria, +3869, +121, 562.6412874582181, 17.5961736320611, 9.383033419023135, 6_876_495
16, Hungary, +5325, +165, 553.1537084826978, 17.13997406566106, 24.777813968638036, 9_626_619
17, UK, +37243, +214, 544.6785035973454, 3.129747865903174, 3.7316588312151566, 68_376_115
18, Switzerland, +4297, +3, 491.55811567939975, 0.34318695532655324, 3.3498865700498155, 8_741_591
19, Germany, +39985, +299, 475.150982091389, 3.553085998382526, 0, 84_152_199
20, Norway, +2552, +1, 465.7370297620927, 0.18249883611367268, 0, 5_479_487
21, Poland, +16590, +282, 439.0095003614088, 7.462367637246371, 0, 37_789_615
22, Serbia, +3773, +55, 434.22873300618295, 6.329864912626573, 20.66717791411043, 8_688_969
23, Ukraine, +16308, +838, 375.99969160093974, 19.32105356644515, 35.70521522091343, 43_372_376
24, Singapore, +2069, +18, 349.8737309256249, 3.0438507282074663, 0, 5_913_562
25, France, +19778, +47, 302.08302420022875, 0.7178633905051447, 0, 65_472_067
26, Jordan, +3118, +24, 301.4809113657724, 2.3205714794029944, 7.717057717057717, 10_342_280
27, Trinidad and Tobago, +414, +15, 294.5116264511278, 10.670711103301732, 44.27807486631016, 1_405_717
28, Turkey, +25101, +227, 293.28514083178334, 2.6523137312782286, 7.040677224456823, 85_585_652
29, USA, +87133, +1282, 261.1351618281118, 3.842118112123298, 6.402206050916102, 333_670_117
30, Russia, +36818, +1240, 252.1426855035474, 8.491958553544428, 9.2045, 146_020_496
31, North Macedonia, +522, +17, 250.569301132458, 8.160302910444035, 16.698656429942417, 2_083_256
32, Bosnia and Herzegovina, +793, +38, 243.79371301206672, 11.682422565521481, 21.70818505338078, 3_252_750
33, Moldova, +977, +53, 242.97015471006472, 13.180571340464105, 0, 4_021_070
34, Mongolia, +753, +11, 224.72513698384844, 3.282837326457281, 0, 3_350_760
35, Romania, +4128, +343, 216.5659068602917, 17.994696233788773, 7.419122933141625, 19_061_172
36, Albania, +587, +7, 204.28220037334572, 2.436073939716218, 16.029492080830146, 2_873_476
37, Azerbaijan, +2015, +31, 196.3032063279191, 3.020049328121832, 15.458381281166092, 10_264_733
38, Armenia, +572, +52, 192.5370356095901, 17.5033668735991, 7.429536303416027, 2_970_857
39, Belarus, +1754, +14, 185.70575970542873, 1.4822580592223502, 21.503003555228638, 9_445_049
40, Laos, +1306, +6, 175.99856613725595, 0.8085692165570719, 19.024034959941734, 7_420_515
41, Finland, +937, +3, 168.75120327532218, 0.5402920062176805, 3.956424439471351, 5_552_553
42, Portugal, +1693, +9, 166.70239329692924, 0.8861911043546151, 0, 10_155_823
43, Malaysia, +5413, +40, 164.35164036934154, 1.214495772173224, 5.390467844410365, 32_935_479
44, Lebanon, +1102, +8, 162.45521425218712, 1.179348197838019, 7.201202378618572, 6_783_408
45, Italy, +7698, +58, 127.57796189316879, 0.9612265250459587, 1.1242715894320223, 60_339_575
46, Vietnam, +10259, +87, 104.10807796587895, 0.8828738456995291, 4.299718772658499, 98_541_825
47, Dominican Republic, +1002, +4, 91.11288386189868, 0.36372408727304867, 10.351239669421487, 10_997_347
48, Spain, +4091, +29, 87.45250635227772, 0.6199273244233816, 0, 46_779_677
49, Chile, +1689, +4, 87.32450437268795, 0.20680758880447117, 3.3032152076977233, 19_341_650
50, Thailand, +5947, +62, 84.90771807445172, 0.8851990113697674, 0, 70_040_747
51, Libya, +593, +12, 84.71918732440949, 1.7143849036979997, 14.327132157525973, 6_999_595
52, Iran, +6430, +134, 75.23166937377825, 1.5678139496246168, 5.934964602505054, 85_469_325
53, Bolivia, +776, +5, 65.25578501784359, 0.4204625323314664, 0, 11_891_666
54, Uruguay, +211, +2, 60.45363721743655, 0.5730202579851806, 2.267354395013969, 3_490_278
55, Israel, +547, +5, 58.65322753592108, 0.5361355350632641, 0.7583950309181156, 9_326_000 
56, Qatar, +146, None, 51.9979129604798, 0, 2.8087726048480186, 2_807_805 
57, Kazakhstan, +931, +16, 48.78133126401284, 0.8383472612504892, 0, 19_085_170
58, Canada, +1858, +19, 48.64282079351259, 0.4974238940133149, 2.7270192124227615, 38_196_798
59, Costa Rica, +239, +8, 46.33556448446837, 1.5509812379738368, 0, 5_158_025
60, New Zealand, +222, +1, 44.38135982887187, 0.1999160352651886, 1.0242687090523208, 5_002_100 
61, Panama, +193, +2, 43.78392970977834, 0.4537194788578066, 2.609518658734451, 4_408_010
62, Peru, +1459, +23, 43.41936130327841, 0.6844724537185767, 3.461447212336892, 33_602_521
63, S. Korea, +2125, +22, 41.398915527646125, 0.4286005372273952, 0, 51_329_847
64, Colombia, +2021, +32, 39.14552959795236, 0.6198203597894486, 5.569948186528497, 51_627_862
65, Australia, +1010, +10, 38.986732506122365, 0.386007252535865, 0.698058567804986, 25_906_249
66, Argentina, +1622, +44, 35.44151264375964, 0.9614220445902737, 3.73724107739453, 45_765_541
67, Sri Lanka, +720, +18, 33.43137548519025, 0.8357843871297562, 0, 21_536_655
68, Guatemala, +557, +19, 30.32058328310296, 1.0342748337144636, 5.698209718670077, 18_370_359
69, Venezuela, +811, +6, 28.631807035601092, 0.2118259460093792, 0, 28_325_142
70, Congo, +149, +12, 26.12053135121158, 2.1036669544599933, 0, 5_704_325
71, Equatorial Guinea, +34, +1, 23.190493534626818, 0.6820733392537299, 0, 1_466_118
72, Brazil, +4918, +140, 22.91324696666791, 0.6522681121052273, 0, 214_635_665
73, Nicaragua, +146, +1, 21.6848794899954, 0.14852657184928356, 0, 6_732_802
74, Cuba, +243, +1, 21.471912882352473, 0.08836178140885792, 1.5948021264028351, 11_317_110
75, Iraq, +807, +26, 19.464318792257107, 0.627103207681146, 4.197659297789337, 41_460_480
76, Mauritania, +90, +1, 18.683036881975518, 0.2075892986886169, 30.716723549488055, 4_817_204
77, Palestine, +87, +3, 16.527192360561788, 0.5699031848469582, 0, 5_264_052
78, Kyrgyzstan, +103, +3, 15.437772512281647, 0.4496438595810189, 2.5407005426739024, 6_671_947
79, Guinea-Bissau, +29, +2, 14.273142670396716, 0.9843546669239113, 12.083333333333334, 2_031_788
80, Myanmar, +754, +17, 13.73130191408703, 0.3095916877181426, 2.8700848844733735, 54_911_035
81, Nepal, +339, +4, 11.35449438185312, 0.13397633488912236, 5.211375864719447, 29_856_019
82, Burkina Faso, +233, +31, 10.74280899188789, 1.4293007671610496, 0, 21_688_927
83, Jamaica, +30, +2, 10.070723333060306, 0.6713815555373536, 4.651162790697675, 2_978_932
84, Bahrain, +16, None, 8.97581970270963, 0, 0.11160714285714285, 1_782_567
85, Egypt, +941, +69, 8.963356484194001, 0.6572493064924402, 0, 104_982_994
86, Tunisia, +102, +5, 8.508158615098662, 0.4170665987793462, 2.0966084275436794, 11_988_493
87, Syria, +143, +5, 7.90770830687062, 0.2764932974430287, 0, 18_083_621
88, Paraguay, +56, +2, 7.721088899652456, 0.27575317498758767, 3.056768558951965, 7_252_863
89, Eswatini, +9, None, 7.648736046368337, 0, 0, 1_176_665
90, Papua New Guinea, +69, None, 7.516675581371281, 0, 0, 9_179_590
91, India, +10197, +301, 7.29063908345852, 0.21520862647063002, 0.9206250897196413, 1_398_642_819
92, Philippines, +812, +99, 7.277036334107988, 0.8872248732471563, 2.1706586826347305, 111_583_887
93, UAE, +68, None, 6.763127429255698, 0, 0, 10_054_520
94, Haiti, +75, +3, 6.469180135787228, 0.2587672054314891, 0, 11_593_432
95, Mexico, +775, +57, 5.925370184252865, 0.4358014200031139, 20.688734650293647, 130_793_516
96, Uzbekistan, +189, +2, 5.536808040710832, 0.0585905612773633, 0, 34_135_191
97, Honduras, +48, +8, 4.74268137569773, 0.7904468959496216, 1.9131127939418093, 10_120_857
98, South Africa, +273, +15, 4.5246912150998595, 0.2486094074230692, 0.9207419898819562, 60_335_609
99, Zimbabwe, +67, +1, 4.419528564270632, 0.06596311289956165, 1.119278316070832, 15_159_988
100, Kuwait, +16, None, 3.6720130411543157, 0, 0.10001250156269534, 4_357_283
101, Eritrea, +13, +1, 3.5973034613253905, 0.2767156508711839, 0, 3_613_818
102, Burundi, +42, None, 3.393652270389729, 0, 0, 12_376_047
103, Morocco, +120, +1, 3.1990249371991415, 0.02665854114332618, 1.0582010582010581, 37_511_430
104, Algeria, +141, +6, 3.1376739915332204, 0.133518042192903, 0, 44_937_747
105, Cambodia, +48, +4, 2.8174506790584406, 0.2347875565882034, 0, 17_036_678
106, Lesotho, +6, None, 2.7706165037313277, 0, 0.6571741511500547, 2_165_583
107, Namibia, +7, +1, 2.6881142341024926, 0.3840163191574989, 0.4596191726854892, 2_604_056
108, Gambia, +6, None, 2.3907049391964046, 0, 0.47656870532168394, 2_509_720
109, Ethiopia, +265, +8, 2.229359969176617, 0.06730143303174692, 4.018804974218987, 118_868_197
110, Mali, +37, +1, 1.7577045177091581, 0.04750552750565292, 3.83419689119171, 21_050_182
111, Timor-Leste, +2, None, 1.4783025834076795, 0, 0, 1_352_903
112, Kenya, +75, +3, 1.3538898093634695, 0.05415559237453878, 1.9460300985988583, 55_395_941
113, Bangladesh, +213, +2, 1.2758820612958899, 0.0119801132516046, 1.025813908688114, 166_943_330
114, Indonesia, +347, +15, 1.2504656903602336, 0.05405471283977954, 0.12436607350859272, 277_496_618
115, Rwanda, +16, None, 1.1947025396015891, 0, 0.1979707993071022, 13_392_455
116, Saudi Arabia, +37, +2, 1.0405481945363908, 0.056245848353318424, 0, 35_558_180
117, Djibouti, +1, None, 0.9923322487141855, 0, 0.26246719160104987, 1_007_727
118, Afghanistan, +39, +1, 0.9718217299189299, 0.024918505895357178, 6.655290102389079, 40_130_817
119, Pakistan, +216, +6, 0.9524748769868775, 0.026457635471857706, 0.6460296096904442, 226_777_635
120, Niger, +23, +3, 0.9052869505759377, 0.11808090659686143, 5.528846153846153, 25_406_309
121, Angola, +27, +2, 0.7879319180130575, 0.05836532726022648, 0, 34_266_920
122, Uganda, +37, +2, 0.7753574308694982, 0.04191121247943233, 0.6817763036668509, 47_719_927
123, Mozambique, +25, None, 0.7702830232425507, 0, 1.4688601645123385, 32_455_603
124, Oman, +4, None, 0.7569034323678399, 0, 0, 5_284_690
125, Zambia, +12, None, 0.6286143689196293, 0, 0.2660164043449346, 19_089_605
126, Ghana, +17, None, 0.5318689957856578, 0, 0, 31_962_758
127, Japan, +60, None, 0.47640216511444783, 0, 0.1135116727836846, 125_944_012
128, Ivory Coast, +12, None, 0.4399807420429208, 0, 0, 27_273_921
129, Hong Kong, +1, None, 0.13191653218875515, 0, 0, 7_580_551
130, Taiwan, +2, None, 0.0837659951691313, 0, 0.006664223118189997, 23_876_037
131, Senegal, +1, +2, 0.05764083774963022, 0.11528167549926044, 0.12285012285012285, 17_348_811
132, Malawi, +1, None, 0.05048553453124737, 0, 0.17513134851138354, 19_807_654
