Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Cayman Islands, +126, None, 1887.3859704309532, 0, 0, 66_759
2, Slovenia, +3773, +13, 1814.5337759134948, 6.252037923900194, 37.82835371967114, 2_079_322
3, Croatia, +6932, +36, 1702.691244502238, 8.842597345943531, 45.97121825054712, 4_071_202
4, Georgia, +5340, +62, 1342.090600163313, 15.582325320248202, 9.65624491419685, 3_978_867
5, Lithuania, +3428, +32, 1283.3390175118873, 11.979827468022284, 15.394287767199568, 2_671_157
6, Slovakia, +6805, +20, 1245.6071982733927, 3.660858775234071, 33.164384229250935, 5_463_199
7, Montenegro, +738, +15, 1174.8355946530653, 23.878772249046044, 23.54818123803446, 628_173
8, Barbados, +328, +3, 1139.4902865401184, 10.422167254940106, 17.33615221987315, 287_848
9, Faeroe Islands, +54, None, 1099.5052226498076, 0, 1.7999999999999998, 49_113
10, Estonia, +1430, +7, 1077.0221467386189, 5.272136382636595, 18.300486306629125, 1_327_735
11, Austria, +9388, +32, 1034.4356441752943, 3.525984300554902, 1.983511584569683, 9_075_480
12, Latvia, +1821, +43, 980.0175445205664, 23.141545532336274, 7.054311613852948, 1_858_130
13, Belgium, +10190, +22, 874.1201003273703, 1.8872072823554613, 12.506596953741548, 11_657_437
14, Czechia, +8437, +43, 785.8827623504312, 4.005328763905244, 9.85423625873064, 10_735_698
15, Ireland, +3903, None, 778.7482923105439, 0, 14.392123603377705, 5_011_889
16, Hungary, +6804, +83, 706.7363168256113, 8.621269003016716, 20.816888480954564, 9_627_353
17, Bulgaria, +4734, +185, 688.2756731623955, 26.89712706697152, 11.810493226554899, 6_878_058
18, Greece, +6889, +49, 665.3110635850599, 4.732216884260115, 2.6178985369561087, 10_354_555
19, Serbia, +5725, +68, 658.8015542423253, 7.825066495804038, 27.063439538621537, 8_690_022
20, Gibraltar, +22, None, 653.2648395047065, 0, 2.3965141612200433, 33_677
21, Channel Islands, +113, None, 641.987092082538, 0, 0, 176_016
22, Caribbean Netherlands, +17, None, 640.2772023652593, 0, 0, 26_551
23, Netherlands, +10911, +20, 634.8825822165961, 1.163747744875073, 0, 17_185_855
24, Armenia, +1835, +50, 617.7014034781806, 16.831100912212005, 15.910864475851902, 2_970_691
25, Ukraine, +26488, +696, 610.6007134908987, 16.044174591878036, 36.85543342145541, 43_380_231
26, Belize, +221, +4, 542.5749477679547, 9.82036104557384, 12.291434927697441, 407_317
27, UK, +34029, +193, 497.75164110744873, 2.8230646429145025, 1.63353496698031, 68_365_420
28, Iceland, +168, None, 488.0599616524316, 0, 5.052631578947368, 344_220
29, Romania, +8268, +463, 433.6740902495294, 24.28532943705033, 14.304250791508796, 19_065_008
30, Germany, +35806, +178, 425.5315710056103, 2.115416959140888, 0, 84_144_168
31, Poland, +15909, +152, 420.97485169428285, 4.022136995256207, 10.104801829268292, 37_790_856
32, Denmark, +2251, +3, 386.79448239646933, 0.5154968668100435, 1.24493949516625, 5_819_628
33, Mongolia, +1182, +11, 352.92305083166826, 3.2843938740679786, 0, 3_349_172
34, Luxembourg, +219, None, 342.37420093144544, 0, 6.990105330354293, 639_651
35, Liechtenstein, +13, None, 339.6472893533638, 0, 0, 38_275
36, Turkey, +28193, +198, 329.5176468487159, 2.3142089907440053, 7.800576611274355, 85_558_392
37, Switzerland, +2848, +7, 325.8696073042391, 0.8009435572786776, 7.872405119274677, 8_739_692
38, Moldova, +1302, +49, 323.77178714317654, 12.184959731194814, 0, 4_021_351
39, Singapore, +1767, +9, 298.87447627195445, 1.5222808638639445, 0, 5_912_181
40, North Macedonia, +606, +10, 290.8903789687216, 4.800171270110917, 18.606079214000616, 2_083_259
41, Brunei , +128, +2, 288.8686279642886, 4.513572311942009, 3.1052886948083454, 443_108
42, Russia, +40735, +1192, 278.9712671031781, 8.163342344101835, 6.789166666666667, 146_018_622
43, Norway, +1506, +2, 274.9070637059699, 0.3650824219202788, 9.248909906036971, 5_478_215
44, USA, +84846, +1345, 254.32546783629326, 4.0316308870166475, 4.802515878482979, 333_611_890
45, Maldives, +130, +1, 234.94372194229783, 1.807259399556137, 4.641199571581578, 553_324
46, Azerbaijan, +2400, +26, 233.87279015793138, 2.53362189337759, 17.398869073510223, 10_261_989
47, Greenland, +13, None, 228.4629714245545, 0, 2.2608695652173916, 56_902
48, Albania, +631, +4, 219.58748177354303, 1.391996714887753, 17.054054054054056, 2_873_570
49, Belarus, +1991, +16, 210.79619554687477, 1.6939925307634338, 5.7073240647842916, 9_445_142
50, French Guiana, +64, +2, 207.0781914308456, 6.471193482213925, 5.245901639344262, 309_062
51, Jordan, +2080, +14, 201.17536708217762, 1.3540649707454264, 6.024445345536697, 10_339_238
52, Bermuda, +12, None, 193.64833462432225, 0, 0.3382187147688839, 61_968
53, Cyprus, +227, None, 186.1919401036113, 0, 0.40369909301084833, 1_219_172
54, New Caledonia, +53, None, 183.27304917942087, 0, 0, 289_186
55, St. Vincent Grenadines, +19, None, 170.53512125944675, 0, 0, 111_414
56, Saint Lucia, +28, None, 151.5520554247517, 0, 6.181015452538632, 184_755
57, Monaco, +6, None, 151.453957996769, 0, 0, 39_616
58, Malaysia, +4922, +47, 149.50027664537174, 1.427572735134594, 4.002244249111651, 32_923_016
59, Aruba, +16, +1, 149.0104772991851, 9.31315483119907, 0, 107_375
60, Finland, +788, +8, 141.9232947817074, 1.440845632301598, 7.894209577239031, 5_552_295
61, Mayotte, +39, None, 138.47317348558283, 0, 0, 281_643
62, France, +8998, +26, 137.44174058004356, 0.39714217104702515, 0, 65_467_739
63, Saint Kitts and Nevis, +7, None, 130.34168140769017, 0, 0, 53_705
64, Chile, +2510, +20, 129.80482112688787, 1.0343013635608596, 3.1364414510102843, 19_336_724
65, Laos, +959, +1, 129.2916328495121, 0.13481922090668624, 11.424827257564928, 7_417_340
66, Portugal, +1289, +9, 126.91113749103671, 0.8861134502865249, 3.324221167732618, 10_156_713
67, Thailand, +8148, +80, 116.3410018159648, 1.142277877427244, 0, 70_035_498
68, Italy, +6764, +51, 112.09395501860497, 0.8451791404418766, 1.2447231760683384, 60_342_237
69, Lebanon, +713, +6, 105.09524754279057, 0.884391984932319, 0, 6_784_322
70, Iran, +8633, +132, 101.04519686227334, 1.5449977975002989, 0, 85_437_015
71, Dominican Republic, +1104, +2, 100.41767933287733, 0.1819160857479662, 12.774820643369592, 10_994_080
72, Trinidad and Tobago, +140, +14, 99.60286913179024, 9.960286913179024, 38.67403314917127, 1_405_582
73, Costa Rica, +487, +10, 94.44154310887986, 1.9392513985396271, 0, 5_156_629
74, Sint Maarten, +4, None, 91.89065012634966, 0, 0, 43_530
75, Malta, +40, None, 90.26818678293209, 0, 0, 443_124
76, Libya, +599, +15, 85.61072389369578, 2.143841165952315, 13.595097594189742, 6_996_787
77, Guyana, +64, +3, 80.84329663805572, 3.789529529908862, 5.474764756201882, 791_655
78, Vietnam, +7504, +70, 76.17073166027733, 0.7105478699652735, 0, 98_515_530
79, Kazakhstan, +1421, +23, 74.4820509788493, 1.2055504380813047, 0, 19_078_422
80, Bolivia, +880, +9, 74.03120701405305, 0.7571373444619063, 0, 11_886_879
81, Uruguay, +235, +2, 67.33684497367703, 0.5730795316908682, 2.2969406705111917, 3_489_917
82, Curaçao, +11, None, 66.66868692990697, 0, 1.2761020881670533, 164_995
83, Canada, +2535, +17, 66.38408432805585, 0.4451792637384416, 2.5590292849860186, 38_186_864
84, Spain, +3093, +27, 66.11922315620465, 0.5771804155245799, 0, 46_779_134
85, Suriname, +38, +6, 64.00582116099821, 10.106182288578665, 24.203821656050955, 593_696
86, Brazil, +13321, +397, 62.07642457390775, 1.8500368257519235, 0, 214_590_323
87, Australia, +1580, +14, 61.01007979191701, 0.5405956437258469, 0.9762849269022109, 25_897_360
88, Antigua and Barbuda, +6, None, 60.59443137175693, 0, 0, 99_019
89, Cuba, +606, +5, 53.546260125080885, 0.44180082611452876, 2.651266570416065, 11_317_317
90, Palestine, +277, +7, 52.656811795429995, 1.330677554397148, 3.6119441908984222, 5_260_478
91, Guatemala, +945, +57, 51.46950894548235, 3.1045100633783003, 10.285154549412278, 18_360_385
92, S. Korea, +2344, +20, 45.66661520080696, 0.38964688737889897, 0, 51_328_525
93, Qatar, +119, None, 42.38186056367875, 0, 2.2486772486772484, 2_807_805 
94, Jamaica, +117, +15, 39.28093726330717, 5.036017597859894, 8.256880733944955, 2_978_544
95, Colombia, +1975, +39, 38.26661273302454, 0.7556445046014972, 4.379254528925253, 51_611_571
96, Israel, +344, None, 36.88612481235256, 0, 0.40445844894887834, 9_326_000 
97, New Zealand, +166, +1, 33.18606185402131, 0.1999160352651886, 0.5745932848736587, 5_002_100 
98, Venezuela, +926, +10, 32.689021886217986, 0.35301319531552905, 0, 28_327_553
99, Peru, +1062, +23, 31.617763979227192, 0.684753833825071, 2.240317272803983, 33_588_713
100, Papua New Guinea, +277, +14, 30.19242054706486, 1.525970713570065, 0, 9_174_488
101, Sri Lanka, +628, +15, 29.163235265298603, 0.6965740907316545, 0, 21_533_962
102, Mexico, +3763, +244, 28.779492029193495, 1.8661164111409014, 16.328921674983725, 130_752_829
103, Iraq, +1156, +26, 27.900272551390866, 0.6275147805676147, 5.667777995685428, 41_433_287
104, Argentina, +1271, +28, 27.77954511442932, 0.611980537532668, 3.0444572195075215, 45_753_089
105, Fiji, +21, None, 23.199908084173686, 0, 1.3879709187045606, 905_176
106, Panama, +94, +1, 21.334703596282043, 0.22696493187534086, 3.1074380165289255, 4_405_967
107, Philippines, +2355, +260, 21.113492796775557, 2.3310013278818023, 0, 111_540_048
108, Myanmar, +1057, +17, 19.25315570059802, 0.30965340294244686, 4.653312788906009, 54_900_091
109, Cabo Verde, +9, None, 15.954617975536253, 0, 0, 564_100
110, Honduras, +161, +12, 15.915194354672973, 1.1862256661868054, 8.554729011689693, 10_116_119
111, Bahrain, +28, None, 15.72345585836311, 0, 0.17468338636221847, 1_780_779
112, Mauritania, +73, None, 15.165623147145185, 0, 16.00877192982456, 4_813_518
113, Kyrgyzstan, +78, +2, 11.69641680271249, 0.2999081231464741, 2.6952315134761573, 6_668_709
114, Comoros, +9, None, 10.062004306537842, 0, 0, 894_454
