Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Trinidad and Tobago, +624, +31, 443.86621701501394, 22.051046037604856, 58.2089552238806, 1_405_829
2, Hungary, +12165, +185, 1263.7624405023969, 19.21874652634142, 23.039772727272727, 9_626_018
3, Bulgaria, +2370, +113, 344.7164423634108, 16.43584725192634, 7.711329472245722, 6_875_216
4, Croatia, +6246, +64, 1534.7093462963771, 15.725488018406685, 40.229292799175575, 4_069_826
5, Ukraine, +16943, +628, 390.6982411476802, 14.481407982101349, 32.385885771083416, 43_365_949
6, Georgia, +4331, +57, 1088.6149128429413, 14.327187723862309, 8.173702983750731, 3_978_450
7, Armenia, +592, +40, 199.25997806120714, 13.463512031162645, 7.722410644403861, 2_970_993
8, Poland, +28187, +497, 745.912808252034, 13.152115006962815, 0, 37_788_599
9, Montenegro, +310, +7, 493.4914840880834, 11.143356092311562, 13.876454789615039, 628_177
10, Latvia, +1095, +20, 589.6613782028845, 10.770070834755881, 8.7390263367917, 1_856_998
11, Barbados, None, +3, 0, 10.421479363733946, 0, 287_867
12, Slovakia, +10165, +51, 1860.5824309401771, 9.334943824687558, 33.197256694970605, 5_463_343
13, Aruba, +17, +1, 158.28677839851025, 9.31098696461825, 0, 107_400
14, Romania, +2104, +177, 110.39964092831616, 9.287422264406825, 4.873303377032473, 19_058_033
15, Moldova, +855, +35, 212.6420815943729, 8.70464661497433, 0, 4_020_841
16, North Macedonia, +473, +18, 227.04864601244014, 8.640329023729223, 17.466765140324963, 2_083_254
17, Russia, +33796, +1238, 231.44452929465507, 8.478172779819593, 6.7592, 146_022_030
18, Czechia, +18016, +91, 1677.970490221463, 8.47553922125628, 17.622145057954715, 10_736_780
19, Lithuania, +1982, +22, 742.5732373158413, 8.242488002496724, 9.225040726087968, 2_669_097
20, Bosnia and Herzegovina, +740, +26, 227.53471364910027, 7.994462911995415, 20.075963103635377, 3_252_251
21, Greece, +6561, +81, 633.8036740713148, 7.824736716929813, 1.914463375419819, 10_351_786
22, Estonia, +619, +10, 466.1906350661215, 7.531351131924418, 11.0024884464984, 1_327_783
23, Austria, +13592, +53, 1497.199415352, 5.83810837357681, 2.193482169081455, 9_078_283
24, Serbia, +2677, +48, 308.1223207630476, 5.524793200084529, 16.76477955911824, 8_688_108
25, Slovenia, +2667, +11, 1282.6197568649254, 5.290145228914202, 36.89306958085489, 2_079_338
26, Malta, +83, +2, 187.27943897397944, 4.512757565638059, 0, 443_188
27, Guyana, +89, +3, 112.39332105846725, 3.788538912083166, 4.5385007649158595, 791_862
28, Germany, +76132, +315, 904.6234979981706, 3.7429254698342844, 0, 84_158_769
29, Netherlands, +22184, +60, 1290.6738400764118, 3.49082358477212, 0, 17_187_921
30, Belgium, +23350, +38, 2002.540782579216, 3.2589528795721714, 16.221698866912597, 11_660_187
31, Luxembourg, +421, +2, 657.5987803963711, 3.1239847049708844, 7.754650948609321, 640_208
32, Jordan, +4283, +30, 414.025678098757, 2.9000164237596797, 8.47196123034319, 10_344_769
33, Azerbaijan, +1880, +27, 183.11133032524273, 2.6297903823306137, 15.220207253886011, 10_266_978
34, Turkey, +24467, +222, 285.8028756112341, 2.593216920165691, 6.739422051933241, 85_607_956
35, Mexico, +4287, +336, 32.76851406712868, 2.568281018557321, 16.32956233573306, 130_826_805
36, Belize, +93, +1, 228.10218978102188, 2.4527117180755043, 6.950672645739911, 407_712
37, Chile, +2670, +43, 138.0153017099786, 2.2227183421457224, 3.2689741298039836, 19_345_681
38, UK, +47240, +147, 690.796108443115, 2.149598389947881, 4.175092269185627, 68_384_867
39, Mongolia, +711, +7, 212.1084384254573, 2.088268732740086, 0, 3_352_059
40, Denmark, +4390, +12, 754.1996378467343, 2.061593543089023, 1.2767529177730406, 5_820_740
41, South Africa, +2465, +114, 40.84236609619021, 1.8888558762538274, 6.474064346684176, 60_353_996
42, Albania, +516, +5, 179.57826253854756, 1.7400994432029802, 18.688880840275264, 2_873_399
43, Philippines, +881, +193, 7.892867997310441, 1.7290845896491656, 1.0286648374102398, 111_619_756
44, Suriname, +48, +1, 80.81052961200844, 1.6835527002501758, 12.0, 593_982
45, Vietnam, +12450, +164, 126.31471295514133, 1.6639046525817813, 3.924968474148802, 98_563_340
46, Belarus, +1674, +15, 177.23713979912912, 1.5881464139706911, 6.517676374396511, 9_444_973
47, Libya, +732, +11, 104.54315711479738, 1.5710037271349333, 13.684800897363994, 7_001_893
48, Portugal, +3150, +15, 310.18912181520705, 1.4770910562628907, 0, 10_155_095
49, Malaysia, +6144, +48, 186.48881267453731, 1.4569438490198228, 4.346841747792619, 32_945_676
50, Lebanon, +1510, +9, 222.6265211583656, 1.3269130400167486, 0, 6_782_660
51, Brazil, +12191, +281, 56.788759922934425, 1.3089690376789906, 0, 214_672_763
52, Switzerland, +4121, +11, 471.34069033511395, 1.2581285109648759, 7.3426698025800015, 8_743_145
53, Sri Lanka, +740, +27, 34.356512047041306, 1.253548412527183, 0, 21_538_857
54, Italy, +13764, +71, 228.1172321702907, 1.1767163240402962, 2.117544977061468, 60_337_397
55, Uruguay, +240, +4, 68.75661961517493, 1.1459436602529154, 2.2342208154905974, 3_490_573
56, Iran, +4850, +96, 56.72795937482748, 1.122862701027513, 4.357748706152961, 85_495_760
57, Colombia, +2644, +54, 51.199439827006316, 1.0456769102338657, 5.177714677371977, 51_641_190
58, Kazakhstan, +946, +19, 49.552944440149155, 0.9952494126457018, 0, 19_090_692
59, USA, +27187, +306, 81.46704641791057, 0.9169425167867229, 3.1336591438253536, 333_717_757
60, Guatemala, +829, +15, 45.107005351899936, 0.8161701812768384, 10.215650030807147, 18_378_520
61, Costa Rica, +133, +4, 25.779350468912817, 0.7753188110951222, 0, 5_159_168
62, Peru, +1529, +26, 45.48724575113723, 0.7734914254608031, 3.073861123396727, 33_613_818
63, S. Korea, +3937, +38, 76.69839906264698, 0.7402944283415254, 0, 51_330_928
64, Bolivia, +1203, +8, 101.12998254309878, 0.6725185871527766, 0, 11_895_582
65, Jamaica, +56, +2, 18.796683325227264, 0.6713101187581165, 6.939281288723668, 2_979_249
66, France, +33464, +43, 511.09109212090095, 0.6567331150250639, 0, 65_475_608
