Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Latvia, +3206, +33, 1724.9171437179873, 17.75491757414023, 11.835062202369965, 1_858_640
2, Slovenia, +3181, +9, 1529.8307375265413, 4.32834851862272, 38.25616355983163, 2_079_315
3, Estonia, +2022, +6, 1522.9194863648997, 4.519048920964093, 19.923145137451968, 1_327_713
4, Lithuania, +3634, +34, 1359.9871860315768, 12.7241508874721, 14.595549843360914, 2_672_084
5, Croatia, +4571, +26, 1122.5932764251484, 6.3853478860323465, 34.93846976993044, 4_071_822
6, Georgia, +4337, +42, 1089.9575627774843, 10.555272685417188, 8.116555002432909, 3_979_054
7, Singapore, +5324, +10, 900.6858509594994, 1.6917465269712613, 3.3767156303117947, 5_911_051
8, Slovakia, +4746, +22, 868.7321233563007, 4.026992565073455, 24.142842608607182, 5_463_134
9, Bulgaria, +5643, +154, 820.2825359478682, 22.385878174015897, 13.563273644994592, 6_879_337
10, Serbia, +6948, +64, 799.4583750053504, 7.364037996595052, 28.37076357697019, 8_690_884
11, Romania, +14950, +508, 784.0300782257488, 26.641289614627453, 19.8951346747578, 19_068_146
12, Armenia, +2074, +39, 698.1860292100297, 13.128859758529972, 15.143107476635514, 2_970_555
13, UK, +43941, +207, 642.8195125016919, 3.028234202404365, 0, 68_356_668
14, Czechia, +6288, +15, 585.7360418905599, 1.3972710922961833, 5.379186449377647, 10_735_211
15, Ukraine, +22574, +692, 520.2981985844589, 15.949603677702024, 31.25250931040689, 43_386_658
16, Mongolia, +1669, +12, 498.5254817013668, 3.58436535675039, 0, 3_347_873
17, Belgium, +5745, +25, 492.8707468986462, 2.144781318096807, 8.634163936397247, 11_656_200
18, Austria, +4261, +10, 469.5720920996066, 1.102023215441461, 1.58637969612694, 9_074_219
19, Moldova, +1826, +43, 454.05028519878124, 10.692312302052352, 18.598492564677123, 4_021_581
20, Netherlands, +7260, +17, 422.46326809903053, 0.9892390575321651, 0, 17_184_926
21, Greece, +3639, +63, 351.39728461345334, 6.083547384074625, 1.8689812793713567, 10_355_800
22, Bosnia and Herzegovina, +1099, +27, 337.7528036709642, 8.297839580633333, 28.20118039517578, 3_253_859
23, Hungary, +3125, +36, 324.5757094394095, 3.739112172741997, 16.515167529859422, 9_627_954
24, Ireland, +1624, +67, 324.11721467556447, 13.371830901023904, 1.3273504483077099, 5_010_533
25, Denmark, +1871, +5, 321.5258368607805, 0.8592352668647261, 1.5504711078700288, 5_819_128
26, Turkey, +26896, +210, 314.440379831259, 2.4551040959460293, 7.556181116851667, 85_536_088
27, Germany, +26099, +146, 310.1942605967905, 1.7352527701111695, 0, 84_137_598
28, Russia, +36582, +1123, 250.53232125818042, 7.6908806728155, 7.316400000000001, 146_017_088
29, USA, +78932, +1594, 236.63207313133827, 4.778689562805366, 5.258834291287932, 333_564_250
30, Albania, +672, +5, 233.8491818932527, 1.7399492700390828, 16.59259259259259, 2_873_647
31, Azerbaijan, +2300, +27, 224.17713346453868, 2.631644610235889, 17.4573055028463, 10_259_744
32, Poland, +8365, +133, 221.34389694545686, 3.519275348923582, 14.21120587136013, 37_791_871
33, Norway, +1180, +5, 215.43956792316624, 0.912879525098162, 9.161490683229815, 5_477_174
34, North Macedonia, +444, +15, 213.12739978332047, 7.200249992679746, 13.831775700934578, 2_083_261
