Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Mongolia, +3416, +14, 1021.8916962325222, 4.188080722264435, 0, 3_342_820
2, Serbia, +7201, +39, 828.2501745697406, 4.485732093906385, 30.762987012987015, 8_694_233
3, Lithuania, +1878, +11, 701.8755549974436, 4.111092175171395, 7.463339029527481, 2_675_688
4, Israel, +5954, +15, 638.4301951533347, 1.608406605189792, 5.79769416530342, 9_326_000 
5, Cuba, +7151, +59, 631.817316353519, 5.2128683631460815, 13.42936017577795, 11_318_145
6, Slovenia, +1186, +10, 570.3875557402341, 4.809338581283593, 19.983150800336986, 2_079_288
7, Estonia, +687, +2, 517.4642294377642, 1.5064460827882509, 9.225191352222371, 1_327_628
8, Georgia, +2016, +43, 506.5601550234887, 10.80460648115576, 6.765554735217129, 3_979_784
9, UK, +34144, +166, 499.7465261732583, 2.4296486452893884, 3.3751170130847075, 68_322_636
10, Costa Rica, +2547, +30, 494.4630620367685, 5.82406433494427, 0, 5_151_042
11, Malaysia, +14990, +487, 455.99504811888505, 14.814515572641561, 2.066067291219007, 32_873_164
12, Croatia, +1812, +13, 444.74661469774657, 3.1907869707895724, 16.505738750227728, 4_074_230
13, USA, +133620, +2228, 400.80511014097135, 6.683084758225446, 6.546502114066503, 333_378_983
14, Bosnia and Herzegovina, +1255, +36, 385.46593771116164, 11.05719024510105, 29.01734104046243, 3_255_800
15, Romania, +7045, +130, 369.22800843653243, 6.813291851916142, 13.058145354117626, 19_080_351
16, Latvia, +674, +7, 362.24484311681056, 3.7621867979490706, 2.4764844209288652, 1_860_620
17, Palestine, +1899, +16, 361.9773915668989, 3.0498358425857726, 19.615742175395106, 5_246_184
18, Moldova, +1371, +15, 340.83510318155027, 3.729049268944751, 14.868235549289665, 4_022_473
19, Turkey, +28168, +242, 329.6455698066098, 2.8320870453422167, 8.010123558601471, 85_449_351
20, Ireland, +1429, +30, 285.49959732369604, 5.993693435766886, 1.091547950960547, 5_005_261
21, Albania, +820, +7, 285.3218935491852, 2.4356747010296296, 14.79076479076479, 2_873_947
22, Gabon, +606, +2, 264.6469648792515, 0.8734223263341636, 5.24629902172972, 2_289_843
23, Singapore, +1457, +3, 246.6708325877057, 0.5079015084166898, 0, 5_906_657
24, North Macedonia, +491, +22, 235.68727802314535, 10.560326102870057, 13.103816386442487, 2_083_269
25, Guatemala, +4243, +70, 231.5986469136983, 3.8208591289085274, 13.748744369916723, 18_320_487
26, Greece, +2325, +27, 224.4068781432044, 2.6060153590823734, 1.1644038002133488, 10_360_645
27, Austria, +2022, +15, 222.94960787552398, 1.6539288418065579, 0.45135439802671967, 9_069_314
28, Switzerland, +1891, +5, 216.55744887766897, 0.5726003407659148, 4.844494543218732, 8_732_094
29, Slovakia, +1180, +9, 216.00320124066383, 1.6474820433609951, 10.827674802716095, 5_462_882
30, Belarus, +1989, +13, 210.5761305762576, 1.3763145789297884, 6.428779210704935, 9_445_515
31, Iran, +17433, +286, 204.35417522025395, 3.3525666329944723, 0, 85_307_775
32, Trinidad and Tobago, +285, +6, 202.84148898463957, 4.270347136518727, 39.25619834710744, 1_405_038
33, Brazil, +36473, +839, 170.1094993910119, 3.9130828280936307, 0, 214_408_955
34, Thailand, +11252, +141, 160.70956500854015, 2.0138685270355636, 0, 70_014_501
35, Ukraine, +6754, +105, 155.5803533019281, 2.418705522165006, 18.43239997816713, 43_411_651
36, Belgium, +1797, +7, 154.23056499625324, 0.6007868419442252, 3.779895248311983, 11_651_387
37, Norway, +799, +9, 145.98606828822656, 1.644398766700925, 0, 5_473_125
38, Tunisia, +1696, +101, 141.68848733421046, 8.437816757520789, 10.8239198417257, 11_969_921
39, Libya, +985, +27, 141.0053206962027, 3.865120465784236, 18.44569288389513, 6_985_552
40, Philippines, +15515, +154, 139.3170467350639, 1.3828440346245467, 16.204670788770052, 111_364_692
41, Russia, +19706, +817, 134.96231879591366, 5.595464044263751, 2.815142857142857, 146_011_125
42, Germany, +11165, +51, 132.73960941028128, 0.6063340868718624, 0, 84_112_045
43, Azerbaijan, +1356, +17, 132.27960982977976, 1.6583726896063833, 10.01033515428909, 10_251_013
44, Kazakhstan, +2411, +50, 126.55219335789423, 2.6244751836975158, 0, 19_051_428
45, Bulgaria, +850, +27, 123.46914600458928, 3.9219611083810717, 9.356081452944414, 6_884_311
46, Vietnam, +11527, +236, 117.13198984793763, 2.398121766644685, 0, 98_410_349
47, Netherlands, +1900, +4, 110.58527489549546, 0.23281110504314834, 0, 17_181_311
48, Lebanon, +718, +7, 105.77522411309758, 1.0312347754758817, 0, 6_787_979
49, France, +6794, +58, 103.80375681288548, 0.8861668965480363, 0.4959703323015827, 65_450_425
50, Canada, +3870, +49, 101.44932551140684, 1.2845005038911976, 4.270816090051316, 38_147_124
51, Jordan, +1028, +4, 99.54420760196261, 0.38733154708934864, 3.8368230507968497, 10_327_070
52, Cyprus, +117, None, 96.04988683353076, 0, 0.2169277834430333, 1_218_117
53, Mexico, +12521, +815, 95.8801771160566, 6.240902831210457, 31.110393321241336, 130_590_080
54, Armenia, +273, +20, 91.91835629777103, 6.733945516320222, 6.597390043499275, 2_970_027
55, Portugal, +891, +8, 87.6945112979762, 0.7873805728213351, 1.7308364738334823, 10_160_271
56, Finland, +477, +11, 85.92637640724708, 1.981530692829597, 2.360684945065822, 5_551_264
57, Panama, +366, +5, 83.22350559234671, 1.1369331365074686, 3.4807417974322394, 4_397_796
58, Honduras, +830, +24, 82.2012748724469, 2.3769043336611153, 29.276895943562607, 10_097_167
59, Sweden, +739, None, 72.61929340346582, 0, 0, 10_176_359
60, Iraq, +2906, +38, 70.32145276668213, 0.9195509997019686, 11.062469070006472, 41_324_516
61, Italy, +3962, +49, 65.64723676912004, 0.8118916208195058, 1.3528094184490154, 60_352_883
62, Eswatini, +76, +2, 64.68850357616773, 1.7023290414780983, 6.138933764135703, 1_174_861
63, Australia, +1662, +8, 64.26466089777267, 0.30933651455004896, 0.757054683763409, 25_861_803
64, Djibouti, +64, None, 63.6456844745303, 0, 10.884353741496598, 1_005_567
65, Sri Lanka, +1342, +92, 62.35134060493067, 4.2744585213514315, 0, 21_523_194
66, Spain, +2840, +102, 60.71364399122517, 2.1805604532059744, 0, 46_776_965
67, Jamaica, +179, +3, 60.12776646509869, 1.0077279295826596, 23.677248677248677, 2_976_994
68, Timor-Leste, +81, +1, 60.03895861314453, 0.7412217112733893, 0, 1_349_124
69, Denmark, +346, +1, 59.478971089438154, 0.1719045407209195, 0.439158744462919, 5_817_182
70, Czechia, +600, +2, 55.90070618430445, 0.18633568728101482, 0.895589223076349, 10_733_317
71, Hungary, +501, +2, 52.023360877331925, 0.2076780873346584, 3.548661283467913, 9_630_289
