Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, New Zealand, +8325, +13, 1664.3009935826954, 2.598908458447452, 10.157269921060017, 5_002_100 
2, Australia, +41696, +26, 1601.3040243286378, 0.9985107596063073, 45.43730793540091, 26_038_778
3, Portugal, +12588, +11, 1241.1069040860398, 1.0845389215877372, 23.945671403298523, 10_142_559
4, Germany, +96523, +186, 1145.3754666040693, 2.207140648222257, 0, 84_271_929
5, S. Korea, +50551, +136, 984.4486864374456, 2.648513804978984, 0, 51_349_553
6, Italy, +58861, +133, 976.1376864752417, 2.205642314965888, 15.43939628422066, 60_299_895
7, France, +52919, +158, 807.4724657672202, 2.410866599732058, 0, 65_536_600
8, Greece, +7463, +41, 722.4357089816386, 3.9688950915512775, 4.156826486052936, 10_330_331
9, Austria, +6186, +21, 679.7799209758589, 2.307691293322508, 2.5131732366957418, 9_100_004
10, Slovenia, +1249, +4, 600.6372814454535, 1.9235781631559763, 135.17316017316017, 2_079_458
11, Taiwan, +12313, +2, 515.2897470104364, 0.08369848891585095, 15.692946904233896, 23_895_294
12, Spain, +20899, +77, 446.6766139967706, 1.6457294261807425, 0, 46_787_764
13, Singapore, +2517, None, 424.1550307701978, 0, 0, 5_934_151
14, Trinidad and Tobago, +508, +3, 360.8613219884595, 2.131070799144446, 52.75181723779855, 1_407_743
15, Japan, +42313, +39, 336.42814147578963, 0.3100866759047053, 30.09117027934232, 125_771_286
16, Israel, +2628, None, 281.7928372292515, 0, 0, 9_326_000 
17, Latvia, +411, +1, 222.37528182414823, 0.5410590798641076, 9.846669861044562, 1_848_227
18, Croatia, +896, +5, 220.7352157908455, 1.2317813381185576, 25.776754890678944, 4_059_162
19, Estonia, +292, +1, 219.85302975545113, 0.7529213347789423, 12.258606213266162, 1_328_160
20, Panama, +939, None, 211.5595317031759, 0, 12.292184840947767, 4_438_467
21, Bahrain, +379, None, 209.48242365084198, 0, 13.247116392869627, 1_809_221
22, Lithuania, +543, +5, 204.66369382914465, 1.8845643999000428, 11.730395333765392, 2_653_133
23, Thailand, +14053, +129, 200.41641205192178, 1.839729392634876, 0, 70_119_008
24, Ireland, +959, +11, 190.34386939909692, 2.1832977720438644, 12.521216869042956, 5_038_250
25, USA, +62993, +263, 188.29836374183168, 0.7861582979712306, 4.572284233157244, 334_538_223
26, Slovakia, +926, +12, 169.4586783430894, 2.196008790623189, 20.468611847922194, 5_464_459
27, Denmark, +867, +14, 148.7299797782122, 2.4016375050691705, 8.390593244943386, 5_829_356
28, Czechia, +1556, +10, 144.8092626556176, 0.9306507882751774, 10.70445789763346, 10_745_169
29, Hungary, +1384, +12, 143.93166823251286, 1.247962441322366, 17.310819262038773, 9_615_674
30, Canada, +5165, +53, 134.6984269127509, 1.3821910215635622, 9.98279827596204, 38_344_917
31, Chile, +2377, +14, 122.43051720480983, 0.7210884479879417, 5.069203045360517, 19_415_094
32, UK, +7332, +216, 106.98092717708194, 3.151647609144803, 2.037702498770208, 68_535_581
33, Netherlands, +1679, +4, 97.59397430738359, 0.2325050013278942, 0, 17_203_931
