Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Réunion, +12504, +11, 13791.36914412775, 12.132522439651732, 0, 906_654
2, Caribbean Netherlands, +341, +1, 12792.617046818727, 37.51500600240096, 0, 26_656
3, Channel Islands, +1570, +7, 8884.713765081377, 39.61337347488512, 105.08701472556893, 176_708
4, Cook Islands, +135, None, 7673.506508270335, 0, 0, 17_593
5, S. Korea, +210676, +171, 4102.94481660357, 3.3302491201618154, 0, 51_347_510
6, France, +190762, +159, 2911.0676330854108, 2.4263729341303844, 0, 65_529_910
7, Bhutan, +2200, None, 2796.53077645677, 0, 22.8714003534671, 786_689
8, New Zealand, +11130, +14, 2225.0654725015493, 2.7988244937126407, 590.7643312101911, 5_002_100 
9, Samoa, +427, +2, 2126.9812805722427, 9.96244159518615, 1.3076899519186598, 200_754
10, Germany, +164628, +288, 1953.8208134539766, 3.4180114820974885, 0, 84_259_518
11, Barbados, +543, None, 1885.4166666666667, 0, 32.59303721488595, 288_000
12, Iceland, +611, +8, 1770.1217357043115, 23.176716670432885, 0, 345_174
13, Australia, +46008, +40, 1767.8358995797894, 1.5369813072333414, 81.62801838085268, 26_025_040
14, Monaco, +67, None, 1686.1284477551842, 0, 0, 39_736
15, Greece, +15331, +69, 1483.7382539001237, 6.677838335340717, 4.580519868538991, 10_332_685
16, Italy, +83643, +169, 1387.022235735973, 2.802467126231477, 14.856185770259566, 60_304_008
17, Cyprus, +1692, +2, 1383.527356963959, 1.6353751264349394, 0, 1_222_961
18, Palau, +24, None, 1315.284704334959, 0, 23.52941176470588, 18_247
19, Liechtenstein, +50, None, 1304.7335734043108, 0, 0, 38_322
20, Slovenia, +2653, +3, 1275.8211926740069, 1.4426926415461818, 176.16201859229747, 2_079_445
21, Luxembourg, +777, +1, 1206.4261991674573, 1.5526720710005886, 32.95165394402035, 644_051
22, Portugal, +11162, +23, 1100.3620488855704, 2.2673649099057624, 22.034467102276093, 10_143_934
23, Tonga, +115, +2, 1066.5825766780126, 18.54926220309587, 0.7927754032814008, 107_821
24, Malta, +438, +3, 987.3092441899781, 6.762392083493001, 13.931297709923665, 443_630
25, Austria, +8651, +44, 950.9079351623903, 4.836429215945575, 4.292703743400421, 9_097_621
26, Singapore, +4552, +4, 767.361253347723, 0.674306901008544, 0, 5_932_017
27, Estonia, +905, +3, 681.414843097644, 2.2588337340253393, 21.542489883361103, 1_328_119
28, Israel, +5489, +10, 588.5695903924512, 1.0722710701265281, 0, 9_326_000 
