Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, San Marino, +502, +1, 14739.99471474293, 29.362539272396276, 14.79516651930445, 34_057
2, Luxembourg, +1896, +5, 2943.9896649814295, 7.763685825372967, 37.5, 644_024
3, Hong Kong, +1407, +57, 185.01514112894478, 7.49528290287836, 0, 7_604_783
4, Greece, +6926, +75, 670.2911682509224, 7.258422988567596, 9.036466827581707, 10_332_823
5, Hungary, +4657, +60, 484.25289043968127, 6.239032301133965, 15.983114253354842, 9_616_876
6, S. Korea, +90928, +258, 1770.8397642022312, 5.024598134393978, 0, 51_347_390
7, Malta, +433, +2, 976.0451911177634, 4.508291875832625, 15.003465003465003, 443_627
8, Bulgaria, +871, +30, 127.04665821342059, 4.37588949070335, 8.664942300039794, 6_855_749
9, Ireland, +1715, +21, 340.579298577431, 4.170358758090992, 7.38174148840012, 5_035_538
10, Slovakia, +1024, +22, 187.39720833061114, 4.026111897727974, 34.66486120514556, 5_464_329
11, Lithuania, +637, +10, 239.9258452112948, 3.766496785106669, 18.801652892561986, 2_654_987
12, France, +25492, +178, 389.01553325961487, 2.716333160215419, 0, 65_529_517
13, Latvia, +180, +5, 97.33702132491909, 2.703806147914419, 8.780487804878048, 1_849_245
14, Bosnia and Herzegovina, +117, +8, 36.059325912508974, 2.4655949341886485, 5.374368396876435, 3_244_653
15, Cyprus, +2254, +3, 1843.1039374881946, 2.4531108307296288, 0, 1_222_937
16, New Zealand, +7633, +12, 1525.9590971791847, 2.3989924231822632, 271.5403770900036, 5_002_100 
17, Denmark, +1698, +13, 291.3342973558925, 2.2304745969532407, 14.24496644295302, 5_828_356
18, Croatia, +82, +9, 20.195054674416312, 2.2165303910944734, 7.606679035250464, 4_060_400
19, Trinidad and Tobago, +125, +3, 88.80862168308678, 2.131406920394083, 44.48398576512456, 1_407_521
20, Chile, +2271, +40, 117.01943310963607, 2.0611084651631186, 5.177956633758179, 19_407_033
21, Moldova, +43, +8, 10.703583908381304, 1.9913644480709403, 4.550264550264551, 4_017_346
