Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, S. Korea, +128671, +58, 2505.1706343404107, 1.1292357780054854, 0, 51_362_170
2, Japan, +224929, +214, 1789.9709438986965, 1.7029986439913085, 114.70351256527415, 125_660_699
3, Singapore, +5481, +6, 921.5895595555185, 1.0088555660158933, 0, 5_947_333
4, Taiwan, +21989, +31, 919.7484450985175, 1.296657501389515, 44.72763516537162, 23_907_624
5, Australia, +22952, +86, 878.5915616853998, 3.292038789863384, 35.03747691086449, 26_123_629
6, New Zealand, +4271, +12, 853.8413866176205, 2.3989924231822632, 119.20178621267095, 5_002_100 
7, Latvia, +1539, +1, 835.3760875087663, 0.5428044753143381, 34.43723428059969, 1_842_284
8, Serbia, +6222, +15, 718.2083713869109, 1.7314570187726879, 38.624371469364945, 8_663_224
9, Slovenia, +1386, +2, 666.4935514584956, 0.9617511565057656, 245.30973451327435, 2_079_540
10, Chile, +12908, +34, 663.2372007628975, 1.7469836400634113, 14.223691460055097, 19_462_117
11, Austria, +5728, +15, 628.4341435467339, 1.6456899708800645, 8.630275270826115, 9_114_718
12, Hong Kong, +4439, +4, 582.1488176438172, 0.5245765421435613, 0, 7_625_198
13, Germany, +45859, +137, 543.6842770547452, 1.6242121711441613, 0, 84_348_586
14, Italy, +26689, +152, 442.7909791155592, 2.521796576326014, 15.009082269048864, 60_274_489
15, Bahrain, +700, None, 383.291554553887, 0, 16.003657978966622, 1_826_286
16, Lithuania, +954, None, 361.04648984471595, 0, 38.31325301204819, 2_642_319
17, France, +22638, +74, 345.20767105182676, 1.1284286446609764, 0, 65_577_917
18, Peru, +10882, +72, 320.6229029466341, 2.1213792512550684, 17.111408129569934, 33_940_183
19, Romania, +5710, +20, 301.0433656922439, 1.0544426118817651, 26.209492334526765, 18_967_367
20, North Macedonia, +619, +4, 297.13987271468716, 1.9201284181886085, 49.40143655227454, 2_083_194
21, Portugal, +2954, +1, 291.49205348652225, 0.09867706617688633, 0, 10_134_067
22, Trinidad and Tobago, +393, +1, 278.9133026741611, 0.7097030602395957, 45.06880733944954, 1_409_040
23, Croatia, +1094, +11, 269.9942595370413, 2.714750324412664, 33.5171568627451, 4_051_938
24, Bolivia, +3222, +7, 268.30512104707947, 0.582909946408925, 0, 12_008_716
25, USA, +85116, +335, 253.96623296403467, 0.9995616340400351, 3.7947290377288336, 335_146_917
26, Lebanon, +1654, +5, 244.63648556467245, 0.7395298838109808, 0, 6_761_052
27, Albania, +695, +1, 242.06109273691337, 0.3482893420675013, 0, 2_871_176
28, Qatar, +649, None, 231.14140761199585, 0, 17.86894273127753, 2_807_805 
29, Denmark, +1323, +12, 226.72771920311803, 2.0564872490078736, 16.827779191045536, 5_835_193
30, Israel, +1796, None, 192.57988419472443, 0, 0, 9_326_000 
31, Russia, +27810, +57, 190.39295106007043, 0.3902336645244162, 0, 146_066_332
32, Czechia, +1929, +3, 179.42763978147966, 0.2790476512931254, 24.676986056031723, 10_750_852
33, Palestine, +867, +3, 162.0124676722527, 0.5605967739524315, 0, 5_351_440
34, Bulgaria, +1024, +10, 149.74545466244317, 1.4623579556879216, 20.365950676213206, 6_838_271
35, Guatemala, +2720, +32, 146.1243811807054, 1.7191103668318284, 8.660489699748464, 18_614_279
36, Mauritius, +180, +4, 141.0419552802974, 3.1342656728954976, 0, 1_276_216
37, Malaysia, +3943, +4, 118.62123913437121, 0.12033602752662563, 7.960188961117616, 33_240_253
38, Bosnia and Herzegovina, +366, +3, 113.03863604987413, 0.9265461971301158, 45.073891625615765, 3_237_831
39, Poland, +4226, +14, 111.9195484361375, 0.370769919097474, 35.02113201292782, 37_759_266
40, Slovakia, +611, +9, 111.79798050030969, 1.6467787635070166, 41.06182795698925, 5_465_215
41, Netherlands, +1882, +4, 109.324687117625, 0.23235852734883103, 0, 17_214_776
42, Brazil, +23552, +292, 109.16617506274773, 1.3534529177276808, 0, 215_744_483
43, Mexico, +13313, +71, 101.01791732938887, 0.5387419913157523, 57.532411408815896, 131_788_502
44, Spain, +4528, +110, 96.76673240094055, 2.3507819267012944, 0, 46_792_941
45, Canada, +3603, +37, 93.73110110578506, 0.962545306942561, 1.962215239163703, 38_439_749
46, Kazakhstan, +1643, +1, 85.34975816616148, 0.05194750953509525, 0, 19_250_201
47, UAE, +823, None, 81.14507032852119, 0, 0.35028729516918494, 10_142_329
48, Iran, +6404, +68, 74.24114283689829, 0.7883194429901754, 0, 86_259_448
49, Equatorial Guinea, +97, None, 64.65929550697888, 0, 7.54863813229572, 1_500_171
50, Jamaica, +158, +3, 52.87094236431493, 1.0038786524869923, 22.097902097902097, 2_988_409
51, Azerbaijan, +520, None, 50.32988822022191, 0, 17.603249830737983, 10_331_833
52, Honduras, +503, +2, 49.1368088915156, 0.1953749856521495, 12.310327949094468, 10_236_725
53, Philippines, +4661, +28, 41.373757153993964, 0.24854434677361745, 16.013880299594586, 112_655_952
54, Paraguay, +289, +8, 39.49573377743484, 1.093307509409961, 0, 7_317_246
55, Norway, +196, None, 35.567808302578975, 0, 0, 5_510_601
56, Thailand, +2455, +33, 34.98690271353715, 0.47029237863410417, 0, 70_169_115
57, Cameroon, +752, +2, 26.915744199925566, 0.07158442606363183, 0, 27_939_038
58, Vietnam, +2192, +1, 22.100146025303356, 0.010082183405704086, 0, 99_184_865
