Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Barbados, +118, +2, 409.5430471390989, 6.9414075786287945, 30.179028132992325, 288_126
2, Israel, +1761, +56, 188.8269354492816, 6.0047179927085566, 0, 9_326_000 
3, Saint Lucia, +79, +1, 426.06205405055573, 5.393190557601971, 0, 185_419
4, Bosnia and Herzegovina, +569, +16, 175.76500250055832, 4.942425377871588, 38.18791946308725, 3_237_277
5, North Macedonia, +607, +10, 291.37990707525137, 4.800327958406118, 0, 2_083_191
6, Trinidad and Tobago, +105, +5, 74.51231688598125, 3.5482055659991074, 26.923076923076923, 1_409_163
7, Denmark, +2079, +19, 356.2524707625362, 3.2557945860934048, 11.11467522052927, 5_835_749
8, Bulgaria, +1750, +16, 255.9658322180536, 2.3402590374222045, 20.700260231842915, 6_836_850
9, Fiji, +19, +2, 20.871895992046706, 2.197041683373338, 0.3118332512719514, 910_315
10, Latvia, +2070, +4, 1123.9505722374436, 2.171885163743852, 28.071602929210744, 1_841_718
11, Croatia, +46, +8, 11.354520209811787, 1.974699166923789, 9.82905982905983, 4_051_250
12, Japan, +217875, +228, 1733.9809822934815, 1.814561854104022, 183.08823529411765, 125_650_167
13, New Zealand, +2844, +9, 568.5612042941965, 1.7992443173866977, 0, 5_002_100 
14, Chile, +6943, +34, 356.6622719587067, 1.746581772518512, 13.437717736316483, 19_466_595
15, Germany, +60460, +146, 716.7253272640631, 1.7307624508857626, 0, 84_355_886
16, Armenia, +1913, +5, 643.0109449672713, 1.6806349842322825, 0, 2_975_066
17, Montenegro, +256, +1, 407.4901788499863, 1.591758511132759, 32.241813602015114, 628_236
18, Lithuania, +87, +4, 32.93846300045168, 1.5144120919747897, 3.0982905982905984, 2_641_289
19, S. Korea, +59046, +65, 1149.5740807198968, 1.2654932636722773, 0, 51_363_371
20, Italy, +10417, +75, 172.8329556293653, 1.2443574610926753, 16.48572513768437, 60_272_070
21, Gambia, +73, +3, 28.49696839100651, 1.1711082900413634, 0, 2_561_676
