Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Barbados, +474, +9, 1645.176405254846, 31.237526682054042, 36.71572424477149, 288_115
2, Micronesia, +34, +2, 289.2189387366236, 17.012878749213154, 0, 117_558
3, Hungary, +18078, +80, 1881.400187182563, 8.325700573880134, 0, 9_608_801
4, Australia, +27329, +131, 1046.2057422603687, 5.014927448355531, 32.092864859786744, 26_122_013
5, Croatia, +1872, +12, 461.9855259342436, 2.961445679065664, 38.25091949325705, 4_052_075
6, Slovenia, +1713, +6, 823.740261663763, 2.885254856965895, 268.07511737089203, 2_079_539
7, Denmark, +1525, +16, 261.35022609793657, 2.7420351590603183, 17.47250229147571, 5_835_082
8, New Zealand, +5383, +13, 1076.1480178325103, 2.598908458447452, 136.7979669631512, 5_002_100 
9, Italy, +31699, +145, 525.9064985396177, 2.40564189054054, 15.730811030772818, 60_274_973
10, Malta, +43, +1, 96.84357510444467, 2.2521761652196433, 2.4049217002237135, 444_015
11, UK, +7353, +148, 107.13078565067558, 2.1563112030871734, 0, 68_635_733
12, Japan, +196732, +250, 1565.554727466455, 1.9894510393154834, 60.770207363520946, 125_662_806
13, Germany, +59888, +153, 710.0182727034264, 1.8139326029191867, 0, 84_347_125
14, Austria, +6992, +16, 767.1345177837624, 1.755456562434239, 7.7372521246458925, 9_114_438
15, Latvia, +1881, +3, 1020.9520418498067, 1.6283126664271237, 33.613295210864905, 1_842_398
16, Serbia, +7061, +14, 815.0365646803252, 1.615990922748131, 37.70290474156344, 8_663_415
17, Peru, +11878, +49, 349.99454293741775, 1.4438232534040638, 10.545942058580675, 33_937_672
18, France, +27081, +88, 412.96409281711476, 1.3419312495072597, 0, 65_577_130
19, Romania, +7313, +25, 385.54277336896376, 1.3180048317002726, 28.251883330113962, 18_968_064
20, Bulgaria, +1429, +9, 208.96224290625096, 1.316067310116346, 21.853494418106745, 6_838_556
21, USA, +95530, +429, 285.0482546592044, 1.280076428857937, 12.816178463239181, 335_136_239
22, Brazil, +30935, +254, 143.39269166549252, 1.177363623178765, 0, 215_736_239
23, Taiwan, +23773, +25, 994.3787671669206, 1.0457018121050359, 41.95654859603607, 23_907_389
24, Iran, +5635, +90, 65.33062618367559, 1.0434350233417573, 0, 86_253_574
25, S. Korea, +151734, +50, 2954.2114168996377, 0.9734836677671576, 0, 51_361_930
26, North Macedonia, +693, +2, 332.6622484511764, 0.9600642090943042, 0, 2_083_194
27, Bosnia and Herzegovina, +421, +3, 130.02085892829456, 0.9265144341683699, 43.53671147880041, 3_237_942
28, Slovakia, +926, +5, 169.4356712589345, 0.9148794344434907, 43.99049881235154, 5_465_201
29, Poland, +4482, +31, 118.69863079725755, 0.8209856213107952, 36.67457654856395, 37_759_492
30, Mexico, +15738, +95, 119.425315184601, 0.7208924223241261, 55.25207133829518, 131_781_105
31, Guatemala, +3194, +13, 171.60541757336185, 0.6984566150449919, 21.13831899404368, 18_612_466
32, Portugal, +3205, +7, 316.2549415451338, 0.6907284214714311, 0, 10_134_229
33, Honduras, +433, +7, 42.30224239009037, 0.6838699693548097, 8.31253599539259, 10_235_864
34, Azerbaijan, +1097, +7, 106.18183479500324, 0.6775504499225367, 12.775125189239548, 10_331_334
35, Bolivia, +3183, +8, 265.0766840280929, 0.666231062590243, 0, 12_007_846
36, Lebanon, +1706, +4, 252.32140126231695, 0.5916093816232519, 0, 6_761_218
37, Hong Kong, +4593, +4, 602.371241671657, 0.5245993831235854, 0, 7_624_866
38, Thailand, +2335, +32, 33.277201511340756, 0.45604730122608317, 0, 70_168_160
39, Sri Lanka, +227, +9, 10.50828675623955, 0.4166281092782201, 0, 21_601_999
40, Russia, +23771, +56, 162.74151044509736, 0.3833883549251379, 0, 146_065_991
41, Lithuania, +1151, +1, 435.56825384811873, 0.3784259373137435, 38.96411645226811, 2_642_525
42, Malaysia, +4896, +12, 147.30133927785698, 0.361032694308473, 8.46502299526263, 33_237_987
43, Albania, +806, +1, 280.7195475887549, 0.3482872798867927, 0, 2_871_193
44, Israel, +2102, +3, 225.39137894059618, 0.3216813210379584, 0, 9_326_000 
45, Czechia, +2417, +3, 224.8216704650088, 0.2790504805109749, 26.409527972027973, 10_750_743
46, Chile, +11243, +5, 577.7129811125417, 0.2569211870108253, 16.105373232677735, 19_461_221
47, Netherlands, +2119, +4, 123.09340285583664, 0.23236130789209372, 0, 17_214_570
48, Philippines, +3181, +25, 28.23841112607247, 0.22193029806721523, 10.82156829392754, 112_647_981
49, Ireland, +537, +1, 106.25741402696802, 0.1978722793798287, 11.651117379041006, 5_053_765
50, Singapore, +2298, +1, 386.4079896661926, 0.16814969089042323, 0, 5_947_082
51, Kazakhstan, +1650, +3, 85.718854417903, 0.15585246257800545, 0, 19_248_974
52, Nepal, +496, +3, 16.402760253849912, 0.0992102434708664, 13.724405091311567, 30_238_813
53, UAE, +889, +1, 87.65809517085737, 0.0986030316882535, 0.39176802397320637, 10_141_676
54, Ivory Coast, +85, +2, 3.062856113325676, 0.0720672026664865, 6.146059291395517, 27_751_875
55, Venezuela, +328, +2, 11.603792331598461, 0.07075483129023451, 0, 28_266_621
56, Indonesia, +5926, +18, 21.194160473034493, 0.06437645773112063, 4.8610028791967785, 279_605_319
57, Syria, +30, +1, 1.6309084551513222, 0.05436361517171074, 0, 18_394_656
58, Morocco, +148, +2, 3.912187463141511, 0.05286739815056096, 2.0630052969054917, 37_830_498
59, Malawi, +33, +1, 1.6361372544635189, 0.04957991680192481, 6.547619047619048, 20_169_457
60, India, +16299, +53, 11.571617321056216, 0.0376278126275219, 5.013827323036413, 1_408_532_580
61, Saudi Arabia, +150, +1, 4.172001033543723, 0.02781334022362482, 1.7740981667652276, 35_953_970
62, Kenya, +10, +1, 0.1777398820550136, 0.017773988205501356, 2.3419203747072603, 56_261_993
63, Vietnam, +2010, +1, 20.266165533798098, 0.010082669419800048, 0, 99_180_084
64, Bangladesh, +198, +1, 1.1775945998318849, 0.005947447473898407, 5.092592592592593, 168_139_358
65, China, +444, None, 0.3084781946935614, 0, 0, 1_439_323_776 
66, Turkey, None, None, 0, 0, 0, 86_247_332
67, Spain, None, None, 0, 0, 0, 46_792_843
68, Argentina, None, None, 0, 0, 0, 46_067_793
69, Colombia, None, None, 0, 0, 0, 52_023_273
70, Ukraine, None, None, 0, 0, 0, 43_181_713
71, DPRK, None, None, 0, 0, 0, 26_016_323
72, Greece, None, None, 0, 0, 0, 10_316_074
73, Belgium, None, None, 0, 0, 0, 11_695_661
74, Canada, None, None, 0, 0, 0, 38_437_943
75, South Africa, +164, None, 2.6937766155190213, 0, 0.6411258795934324, 60_881_069
76, Switzerland, None, None, 0, 0, 0, 8_787_695
77, Sweden, None, None, 0, 0, 0, 10_231_664
78, Iraq, None, None, 0, 0, 0, 42_120_521
79, Jordan, None, None, 0, 0, 0, 10_416_115
80, Georgia, None, None, 0, 0, 0, 3_973_074
81, Pakistan, +352, None, 1.5310221625896823, 0, 2.641651031894934, 229_911_760
82, Norway, +202, None, 36.658155441467635, 0, 0, 5_510_370
83, Finland, None, None, 0, 0, 0, 5_558_813
84, Tunisia, None, None, 0, 0, 0, 12_078_651
85, Cuba, +95, None, 8.398098140174865, 0, 0, 11_312_085
86, Costa Rica, None, None, 0, 0, 0, 5_191_926
87, Belarus, None, None, 0, 0, 0, 9_442_790
88, Ecuador, None, None, 0, 0, 0, 18_206_415
89, Uruguay, None, None, 0, 0, 0, 3_499_038
90, Mongolia, +2155, None, 635.8237561458046, 0, 0, 3_389_304
91, Panama, None, None, 0, 0, 0, 4_457_596
92, Paraguay, None, None, 0, 0, 0, 7_316_767
93, Bahrain, +625, None, 342.28551431273723, 0, 12.580515297906603, 1_825_961
94, Kuwait, None, None, 0, 0, 0, 4_403_379
95, Dominican Republic, +408, None, 36.83425470128774, 0, 8.514190317195327, 11_076_646
96, Palestine, None, None, 0, 0, 0, 5_350_791
97, Myanmar, +36, None, 0.6524494310912815, 0, 0.6, 55_176_690
98, Estonia, +274, None, 206.26162103567424, 0, 0, 1_328_410
99, Cyprus, None, None, 0, 0, 0, 1_225_838
100, Moldova, None, None, 0, 0, 0, 4_014_260
101, Egypt, None, None, 0, 0, 0, 106_393_160
102, Libya, +54, None, 7.640316535484318, 0, 0, 7_067_770
103, Ethiopia, +41, None, 0.3389778323544949, 0, 1.6844700082169268, 120_951_862
104, Réunion, None, None, 0, 0, 0, 908_746
105, Armenia, None, None, 0, 0, 0, 2_974_885
106, Qatar, +760, None, 270.6740674655113, 0, 20.590625846654024, 2_807_805 
107, Oman, +509, None, 94.61429062424428, 0, 0, 5_379_737
108, Zambia, None, None, 0, 0, 0, 19_466_650
109, Botswana, None, None, 0, 0, 0, 2_451_474
110, Luxembourg, None, None, 0, 0, 0, 647_393
111, Algeria, +106, None, 2.3288435646132046, 0, 0, 45_516_153
112, Montenegro, +789, None, 1255.903462568824, 0, 24.3368291178285, 628_233
113, Nigeria, None, None, 0, 0, 0, 216_883_577
114, Zimbabwe, None, None, 0, 0, 0, 15_317_892
115, Uzbekistan, +35, None, 1.0148107570752098, 0, 0, 34_489_189
116, Mozambique, None, None, 0, 0, 0, 33_096_885
117, Martinique, None, None, 0, 0, 0, 374_653
118, Brunei , None, None, 0, 0, 0, 446_287
119, Laos, +85, None, 11.337015595998913, 0, 0, 7_497_564
120, Kyrgyzstan, None, None, 0, 0, 0, 6_750_542
121, Iceland, None, None, 0, 0, 0, 345_899
122, El Salvador, None, None, 0, 0, 0, 6_555_010
123, Afghanistan, +138, None, 3.3846804067031977, 0, 10.542398777692895, 40_771_944
124, Guadeloupe, None, None, 0, 0, 0, 400_268
125, Maldives, None, None, 0, 0, 0, 560_564
126, Trinidad and Tobago, +308, None, 218.59242094654775, 0, 13.479212253829322, 1_409_015
127, Uganda, None, None, 0, 0, 0, 48_778_822
128, Namibia, None, None, 0, 0, 0, 2_637_669
129, Ghana, None, None, 0, 0, 0, 32_436_883
130, Jamaica, None, None, 0, 0, 0, 2_988_339
131, Cambodia, +36, None, 2.0923526081436807, 0, 3.7267080745341614, 17_205_513
132, Rwanda, +2, None, 0.14676328974610392, 0, 0.06809669731018045, 13_627_386
133, Cameroon, None, None, 0, 0, 0, 27_935_416
134, Angola, None, None, 0, 0, 0, 35_016_246
135, French Guiana, None, None, 0, 0, 0, 314_962
136, DRC, None, None, 0, 0, 0, 95_287_361
137, Channel Islands, None, None, 0, 0, 0, 177_233
138, Senegal, +36, None, 2.0371435783886906, 0, 2.013422818791946, 17_671_803
139, Suriname, None, None, 0, 0, 0, 597_684
140, French Polynesia, +71, None, 249.71687030901586, 0, 0, 284_322
141, Eswatini, +5, None, 4.217907209415719, 0, 3.4246575342465753, 1_185_422
142, New Caledonia, None, None, 0, 0, 0, 291_269
143, Guyana, +62, None, 78.03345621505014, 0, 11.923076923076923, 794_531
144, Fiji, None, None, 0, 0, 0, 910_103
145, Belize, None, None, 0, 0, 0, 412_807
146, Madagascar, None, None, 0, 0, 0, 29_188_011
147, Sudan, None, None, 0, 0, 0, 46_002_193
148, Mauritania, +8, None, 1.6304350041351907, 0, 0.5835156819839533, 4_906_666
149, Cabo Verde, +14, None, 24.618198123741614, 0, 0, 568_685
150, Bhutan, None, None, 0, 0, 0, 789_473
151, Gabon, None, None, 0, 0, 0, 2_336_173
152, Burundi, None, None, 0, 0, 0, 12_635_517
153, Andorra, +106, None, 1367.3008706868752, 0, 0, 77_525
154, Seychelles, None, None, 0, 0, 0, 99_627
155, Curaçao, None, None, 0, 0, 0, 165_504
156, Papua New Guinea, +11, None, 1.1823612765073306, 0, 0, 9_303_417
157, Aruba, None, None, 0, 0, 0, 107_719
158, Mauritius, None, None, 0, 0, 0, 1_276_204
159, Mayotte, None, None, 0, 0, 0, 286_657
160, Togo, +10, None, 1.1511794466579706, 0, 2.092050209205021, 8_686_743
161, Tanzania, +340, None, 5.370214873985223, 0, 0, 63_312_178
162, Isle of Man, None, None, 0, 0, 0, 85_979
163, Guinea, None, None, 0, 0, 0, 13_881_891
164, Bahamas, None, None, 0, 0, 0, 401_145
165, Faeroe Islands, None, None, 0, 0, 0, 49_253
166, Lesotho, None, None, 0, 0, 0, 2_177_955
167, Haiti, None, None, 0, 0, 0, 11_694_816
168, Mali, +1, None, 0.04656050994560429, 0, 0.13440860215053765, 21_477_428
169, Cayman Islands, +234, None, 3474.645482218428, 0, 0, 67_345
170, Saint Lucia, None, None, 0, 0, 0, 185_391
171, Benin, None, None, 0, 0, 0, 12_790_948
172, Somalia, None, None, 0, 0, 0, 16_825_664
173, Congo, None, None, 0, 0, 0, 5_803_703
174, Timor-Leste, None, None, 0, 0, 0, 1_371_251
175, Solomon Islands, None, None, 0, 0, 0, 722_305
176, Burkina Faso, None, None, 0, 0, 0, 22_108_623
177, San Marino, +20, None, 586.8372406912943, 0, 0, 34_081
178, Gibraltar, None, None, 0, 0, 0, 33_670
179, Liechtenstein, +19, None, 495.333437614057, 0, 0, 38_358
