Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Hong Kong, +9508, +20, 1250.3453638527365, 2.630091215508491, 0, 7_604_299
2, Denmark, +1458, +14, 249.87360645763889, 2.399335041431375, 8.69876499015572, 5_834_950
3, Germany, +46787, +188, 557.7610192104783, 2.2412010090745276, 0, 83_883_596
4, France, +10591, +104, 161.4862824790448, 1.5857400979908094, 0, 65_584_518
5, Panama, +7091, +7, 1594.57103767874, 1.5741076383798025, 19.782396429069603, 4_446_964
6, Thailand, +4284, +105, 61.131704533005795, 1.49832609149524, 0, 70_078_203
7, Slovenia, +434, +3, 208.8512507495065, 1.4436722402039621, 108.5, 2_078_034
8, New Zealand, +4928, +6, 1006.083251347484, 1.2249390235561899, 0, 4_898_203
9, Uruguay, +1527, +4, 436.7828980187734, 1.144159523297376, 0, 3_496_016
10, Canada, +2111, +38, 54.99054285095721, 0.9898818703630384, 0, 38_388_419
11, Japan, +47705, +117, 379.86273470369093, 0.9316411269328547, 4.3409420767911335, 125_584_838
12, Serbia, +731, +8, 84.47921510835066, 0.9245331338807187, 7.561026065370294, 8_653_016
13, Taiwan, +10220, +22, 427.8192166596654, 0.9209415622810802, 68.21063872388707, 23_888_595
14, Chile, +2257, +16, 117.24556556440078, 0.8311604116218044, 14.125672800100137, 19_250_195
15, S. Korea, +23160, +40, 451.1990175550511, 0.7792729146028516, 0, 51_329_899
16, Romania, +1904, +13, 100.04553017431515, 0.683083977030513, 3.6403265587060014, 19_031_335
17, Peru, +4169, +23, 123.76719678253976, 0.6828125512109413, 32.560137457044675, 33_684_208
18, Armenia, +91, +2, 30.619461999228797, 0.6729552087742592, 3.8139145012573343, 2_971_966
19, Bosnia and Herzegovina, +29, +2, 8.924952536179143, 0.6155139680123547, 11.885245901639344, 3_249_317
20, Belgium, +1266, +6, 108.49930041090896, 0.5142146938905638, 3.853763964567289, 11_668_278
21, Bulgaria, +295, +3, 43.09968870336705, 0.43830191901729204, 5.678537054860443, 6_844_597
22, Israel, +2292, +4, 245.7645292730002, 0.4289084280506112, 0, 9_326_000
23, Czechia, +129, +4, 12.014770903466065, 0.3725510357663896, 14.301552106430155, 10_736_784
24, Russia, +5667, +52, 38.86672743190646, 0.356638402410294, 0, 145_805_947
25, Brazil, +27179, +67, 126.20639210788556, 0.311116239421183, 0, 215_353_593
26, Philippines, +1141, +25, 10.141411450181485, 0.22220445771650932, 5.609636184857424, 112_508_994
27, USA, +18528, +68, 55.339630870624084, 0.2031031357514269, 11.903553462554047, 334_805_269
28, Slovakia, +14, +1, 2.5640119314463794, 0.18314370938902708, 8.383233532934131, 5_460_193
29, Indonesia, +2234, +48, 8.003310088804678, 0.17196010933868602, 1.6269873060032483, 279_134_505
30, Singapore, +776, +1, 130.56178920799132, 0.16824972836081356, 0, 5_943_546
31, Lebanon, +86, +1, 12.86491287985712, 0.14959201023089674, 0, 6_684_849
32, Malaysia, +1576, +3, 47.49695850694637, 0.0904129920817507, 8.4309634622586, 33_181_072
33, Bolivia, +192, +1, 16.00979799637378, 0.08338436456444678, 0, 11_992_656
34, Iran, +69, +5, 0.802112583196948, 0.0581241002316629, 0, 86_022_837
35, Saudi Arabia, +86, +2, 2.399224949908507, 0.0557959290676397, 1.4257294429708223, 35_844_909
36, Guatemala, +361, +1, 19.42527133095233, 0.053809615875214205, 2.9933665008291874, 18_584_039
37, Iraq, +651, +2, 15.439358244457217, 0.04743274422260282, 0, 42_164_965
38, Angola, +74, +1, 2.1126352632570504, 0.02854912517914933, 0, 35_027_343
39, Afghanistan, +37, +1, 0.907877698960907, 0.02453723510705154, 3.192407247627265, 40_754_388
40, Sudan, +18, +1, 0.3913722424020515, 0.02174290235566953, 0, 45_992_020
41, DRC, +248, +1, 2.6039262672238173, 0.010499702690418618, 0, 95_240_792
42, Bangladesh, +26, +1, 0.15486727996214136, 0.0059564338446977455, 0.9608277900960829, 167_885_689
43, India, +207, +3, 0.14716004823141435, 0.00213275432219441, 0, 1_406_631_776
44, China, +4318, None, 2.9810737029395264, 0, 0, 1_448_471_400                                
45, Italy, None, None, 0, 0, 0, 60_262_770
46, UK, None, None, 0, 0, 0, 68_497_907
47, Turkey, None, None, 0, 0, 0, 85_561_976
48, Spain, None, None, 0, 0, 0, 46_719_142
49, Vietnam, +427, None, 4.315156341903925, 0, 0, 98_953_541
50, Australia, +3111, None, 119.33809591177068, 0, 0, 26_068_792
51, Argentina, None, None, 0, 0, 0, 46_010_234
52, Netherlands, None, None, 0, 0, 0, 17_211_447
53, Mexico, None, None, 0, 0, 0, 131_562_772
54, Poland, +109, None, 2.8881987536494975, 0, 5.502271580010095, 37_739_785
55, Colombia, None, None, 0, 0, 0, 51_512_762
56, Austria, +2617, None, 288.6383263609402, 0, 0, 9_066_710
57, Portugal, None, None, 0, 0, 0, 10_140_570
58, Greece, None, None, 0, 0, 0, 10_316_637
59, Ukraine, None, None, 0, 0, 0, 43_192_122
60, Switzerland, None, None, 0, 0, 0, 8_773_637
61, South Africa, +105, None, 1.7282205327906393, 0, 0, 60_756_135
62, Sweden, None, None, 0, 0, 0, 10_218_971
63, Hungary, None, None, 0, 0, 0, 9_606_259
64, Georgia, None, None, 0, 0, 0, 3_968_738
65, Jordan, None, None, 0, 0, 0, 10_300_869
66, Ireland, None, None, 0, 0, 0, 5_020_199
67, Pakistan, +39, None, 0.16994279037189905, 0, 0, 229_488_994
68, Norway, +218, None, 39.55459350397451, 0, 0, 5_511_370
69, Finland, None, None, 0, 0, 0, 5_554_960
70, Kazakhstan, +114, None, 5.9359408880261295, 0, 0, 19_205_043
71, Lithuania, +49, None, 18.409231966842345, 0, 2.1378708551483423, 2_661_708
72, Morocco, +46, None, 1.2178089414497582, 0, 2.450719232818327, 37_772_756
73, Croatia, +43, None, 10.592995911103579, 0, 3.697334479793637, 4_059_286
74, Costa Rica, None, None, 0, 0, 0, 5_182_354
75, Tunisia, None, None, 0, 0, 0, 12_046_656
