Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Hong Kong, +15774, +24, 2074.3529416715464, 3.1561094586101888, 0, 7_604_299
2, Japan, +158383, +264, 1261.163389803473, 2.102164594104903, 0, 125_584_838
3, Taiwan, +15624, +40, 654.0359531399816, 1.6744392041474183, 72.63598326359832, 23_888_595
4, Chile, +3771, +28, 195.894119514114, 1.4545307203381577, 16.90500739678128, 19_250_195
5, Austria, +4642, +10, 511.98284714080415, 1.1029359050857477, 0, 9_066_710
6, S. Korea, +66752, +55, 1300.4506398892388, 1.071500257578921, 0, 51_329_899
7, Peru, +6298, +34, 186.97188902289167, 1.0093750757031306, 20.208567303064335, 33_684_208
8, Lithuania, +395, +2, 148.40095156944338, 0.7513972231364222, 0, 2_661_708
9, Australia, +3371, +19, 129.31170727051716, 0.7288408300622445, 0, 26_068_792
10, Serbia, +629, +6, 72.6914176513715, 0.693399850410539, 11.023484051875219, 8_653_016
11, Slovakia, +136, +3, 24.907544476907685, 0.5494311281670813, 16.852540272614622, 5_460_193
12, Croatia, +373, +2, 91.88808081027057, 0.49269748423737575, 18.115590092277806, 4_059_286
13, Russia, +7531, +58, 51.650842472152384, 0.3977889873037895, 0, 145_805_947
14, Azerbaijan, +106, +4, 10.29105731390783, 0.38834178543048414, 4.853479853479854, 10_300_205
15, Philippines, +1196, +39, 10.630261257157805, 0.3466389540377545, 10.717806255040774, 112_508_994
16, Bolivia, +2581, +4, 215.21504494083712, 0.33353745825778713, 0, 11_992_656
17, Poland, +621, +10, 16.45478372492053, 0.26497236272013736, 8.973988439306359, 37_739_785
18, Brazil, +27897, +54, 129.54044374824988, 0.25075040192155046, 0, 215_353_593
19, Czechia, +795, +2, 74.04451835856995, 0.1862755178831948, 12.769033087054288, 10_736_784
20, Malaysia, +993, +5, 29.926700379059483, 0.1506883201362512, 3.66285503504242, 33_181_072
21, Indonesia, +1233, +22, 4.417225308637497, 0.07881505011356442, 1.4511345447697956, 279_134_505
22, USA, +8629, +21, 25.773190564692097, 0.06272302721735243, 10.485830943469596, 334_805_269
23, Saudi Arabia, +28, +2, 0.7811430069469558, 0.0557959290676397, 0.8965738072366315, 35_844_909
24, Sri Lanka, +11, +1, 0.5098294657515567, 0.046348133250141525, 0, 21_575_842
25, Afghanistan, +27, +1, 0.6625053478903915, 0.02453723510705154, 5.133079847908745, 40_754_388
26, Iran, +17, +2, 0.19762194078765385, 0.02324964009266516, 0, 86_022_837
27, Bangladesh, +14, +1, 0.08339007382576843, 0.0059564338446977455, 0.8259587020648967, 167_885_689
