Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Denmark, +45202, +24, 7759.898754969034, 4.120117917774807, 16.833630019141822, 5_825_076
2, Latvia, +11797, +20, 6367.862401920776, 10.79573179947576, 42.05854041142287, 1_852_584
3, Georgia, +19968, +55, 5021.090945666455, 13.830128305872147, 31.109103089410628, 3_976_825
4, Netherlands, +80610, +19, 4687.7240712915545, 1.104909531752134, 0, 17_195_978
5, Norway, +23071, None, 4202.712426337313, 0, 0, 5_489_550
6, Lithuania, +10338, +21, 3884.9136604432138, 7.891583175595618, 44.21917105094316, 2_661_063
7, Estonia, +5112, +5, 3849.4758553072993, 3.765136791184761, 55.02691065662002, 1_327_973
8, Slovakia, +20051, +24, 3669.7204050437194, 4.3924637036082625, 57.79885272837335, 5_463_904
9, Slovenia, +7500, +10, 3606.811391176008, 4.809081854901343, 251.84687709872398, 2_079_399
10, Austria, +32712, +22, 3598.9914638374084, 2.420451583651962, 7.618479797474015, 9_089_213
11, Bahrain, +5750, +2, 3200.2992140621704, 1.1131475527172767, 20.975449604202385, 1_796_707
12, Israel, +27047, +35, 2900.17156337122, 3.7529487454428483, 0, 9_326_000 
13, Germany, +229989, +215, 2730.951138168822, 2.55296772761435, 0, 84_215_714
14, Portugal, +24271, +41, 2391.5173310859714, 4.039891663900327, 0, 10_148_787
15, Uruguay, +7594, +19, 2173.9802561139973, 5.439244780901494, 38.088073026381785, 3_493_132
16, Czechia, +22665, +44, 2110.138327876673, 4.096452081472473, 20.10734563520227, 10_741_002
17, Cyprus, +2485, +4, 2034.3473142522198, 3.2746033227399916, 0, 1_221_522
18, France, +131376, +329, 2005.5475274050352, 5.022417614452081, 0, 65_506_301
19, Chile, +38446, +97, 1983.735187708994, 5.005002164276451, 28.465023988627614, 19_380_611
20, Finland, +10386, +29, 1869.8039622344968, 5.220904573926479, 46.36814143488549, 5_554_593
21, Jordan, +18872, +25, 1820.5078784812922, 2.4116520221509274, 29.24621869575998, 10_366_338
22, Greece, +17645, +102, 1706.3163198107725, 9.863659088733284, 4.477471808040925, 10_340_990
23, Belgium, +19616, +66, 1680.7598240822995, 5.65508505247919, 27.998458486176332, 11_670_912
24, Singapore, +9930, +3, 1676.0953358976074, 0.506373213262117, 0, 5_924_484
25, Switzerland, +14173, +6, 1618.547991266944, 0.685196355577624, 18.312789105098588, 8_756_614
26, Russia, +203949, +722, 1396.573103000014, 4.944009435525597, 0, 146_035_320
27, Ireland, +6618, None, 1316.5823527434072, 0, 0, 5_026_651
28, Croatia, +5169, +44, 1271.7556575781284, 10.825546321036498, 43.16132264529058, 4_064_460
29, Hungary, +11559, +91, 1201.457714644282, 9.458660094526316, 30.6312274750901, 9_620_813
30, Romania, +22737, +127, 1194.7453902832315, 6.673381033820222, 27.610200364298727, 19_030_833
31, Australia, +29851, +48, 1149.1516542186466, 1.847820153512279, 19.729545739948843, 25_976_554
32, Italy, +67152, +334, 1113.2898226539858, 5.537270680939231, 10.116513454637488, 60_318_525
33, Turkey, +95065, +253, 1107.967463786311, 2.9486747839681975, 20.750116776021407, 85_801_256
34, Serbia, +9580, +65, 1103.6048827258533, 7.487924569643055, 36.848988383721824, 8_680_643
35, Costa Rica, +5488, +20, 1061.6992760015723, 3.8691664577316778, 0, 5_169_072
36, S. Korea, +53926, +49, 1050.3639236552197, 0.9544159080796976, 0, 51_340_301
37, Spain, +49004, +389, 1047.4528592241868, 8.314814346547399, 0, 46_783_967
38, Lebanon, +6954, +18, 1026.242226812814, 2.6563646940797603, 0, 6_776_178
39, Ukraine, +41229, +236, 951.9455556132787, 5.449056516644443, 52.702961817228896, 43_310_250
40, Bulgaria, +6531, +86, 951.4675779155211, 12.528894763548433, 19.355125507512668, 6_864_133
41, Poland, +35777, +290, 946.987568673936, 7.676059896454188, 27.035788773690417, 37_779_799
42, Belarus, +8611, +17, 911.7656308087205, 1.8000250521133723, 26.189172749391727, 9_444_313
43, Armenia, +2676, +22, 900.3522678716224, 7.401999212696447, 39.68559988135845, 2_972_170
44, UK, +58899, +193, 860.3328829046617, 2.819135238299457, 1.318756460952839, 68_460_710
45, Japan, +100097, +175, 795.352440803604, 1.3905179689763998, 47.004930734914296, 125_852_383
46, Brazil, +166003, +1121, 772.1275225188666, 5.214092231728641, 0, 214_994_279
47, Moldova, +2870, +27, 714.1344628103903, 6.718338151874753, 23.90471430951191, 4_018_851
48, Trinidad and Tobago, +963, +6, 684.5361645502676, 4.265022832088894, 0, 1_406_792
49, Kuwait, +2896, +1, 662.3511682516056, 0.22871241997638317, 10.229962202833022, 4_372_303
50, Azerbaijan, +6603, +26, 641.9134172250558, 2.5276009159247996, 37.9460950520085, 10_286_434
51, North Macedonia, +1328, +19, 637.4697825882425, 9.120426106307686, 33.233233233233236, 2_083_236
52, Malaysia, +20939, +24, 633.8611412727516, 0.7265231095346502, 8.181118452155363, 33_034_049
53, Palestine, +2860, +17, 540.4062305437224, 3.21220486686828, 0, 5_292_315
54, Panama, +2111, +17, 477.15197007707894, 3.8425312606870397, 17.509953550099535, 4_424_167
55, Libya, +3345, +6, 476.37290100415703, 0.8544805399177705, 32.91027154663519, 7_021_810
56, USA, +149318, +1917, 446.88509063597184, 5.7372769441672, 8.72347635071976, 334_130_637
57, Bosnia and Herzegovina, +1338, +46, 411.9553253230909, 14.162888613499387, 40.42296072507553, 3_247_925
58, Peru, +13693, +228, 406.1791316713024, 6.763225153075071, 7.141441535412538, 33_711_727
59, Mongolia, +1297, +2, 385.6308647407918, 0.5946505238871116, 0, 3_363_320
60, Iran, +31247, +143, 364.5033360040092, 1.6681274057853015, 0, 85_724_867
61, Argentina, +16503, +152, 359.82447943734905, 3.3141441480020024, 29.287121333120375, 45_864_028
62, Tunisia, +3328, +63, 276.9209518824883, 5.242193500179316, 29.440905874026896, 12_017_870
63, Vietnam, +26487, +96, 268.22333619582025, 0.972153897187252, 21.01659141943521, 98_749_797
64, Canada, +10189, +140, 266.2024935406248, 3.657704298330305, 13.688820818722878, 38_275_374
65, Mexico, +34261, +927, 261.3043355103432, 7.070112344008878, 62.49840383808534, 131_115_314
66, Paraguay, +1893, +43, 260.2531921229484, 5.911720687420381, 23.65954255718035, 7_273_686
67, Qatar, +657, +1, 233.99060832215912, 0.35615008877040966, 22.860125260960334, 2_807_805 
68, Guatemala, +4276, +34, 231.77096432331552, 1.8428935423275787, 23.330423395896986, 18_449_248
69, Thailand, +15242, +23, 217.48726610772735, 0.32818574468427564, 0, 70_082_264
70, Albania, +531, +5, 184.84146798239448, 1.740503464994298, 0, 2_872_732
71, Timor-Leste, +243, +1, 178.82347400289356, 0.7358990699707554, 20.575783234546993, 1_358_882
72, Hong Kong, +1325, None, 174.45710922595026, 0, 0, 7_594_990
73, Mauritius, +215, None, 168.60510253934967, 0, 0, 1_275_169
74, Bolivia, +1969, +21, 165.05271543989775, 1.7603387629445673, 0, 11_929_522
75, UAE, +1474, +5, 146.18782517245253, 0.4958881450897305, 0.29740046970711903, 10_082_919
76, Indonesia, +40489, +100, 145.54769618925548, 0.35947466272136996, 11.136660569636792, 278_183_723
77, Kazakhstan, +2498, +16, 130.5219388412233, 0.8360092159565944, 0, 19_138_545
78, Colombia, +5421, +181, 104.74005454443159, 3.497131502036915, 13.980657640232108, 51_756_704
79, Cuba, +1149, +6, 101.54237476418352, 0.5302473878025249, 0, 11_315_473
80, New Zealand, +476, None, 95.16003278622979, 0, 2.0565108442063424, 5_002_100 
81, Iraq, +3776, +29, 90.60468525561595, 0.6958516611262877, 17.29175253010945, 41_675_549
82, Dominican Republic, +810, +2, 73.48147804092211, 0.1814357482491904, 11.54997861115072, 11_023_186
83, Saudi Arabia, +2523, +4, 70.69772602991917, 0.11208517801017706, 2.1712564543889847, 35_687_145
84, Sri Lanka, +1259, +31, 58.400737324384366, 1.4379847951198692, 0, 21_557_947
85, Laos, +424, +4, 56.94622382740137, 0.5372285266735978, 14.086378737541526, 7_445_621
86, Venezuela, +1576, +8, 55.67709798529807, 0.28262486286953337, 0, 28_306_073
87, Jamaica, +143, +12, 47.95444126872025, 4.024148917654847, 9.143222506393862, 2_981_997
88, South Africa, +2862, +146, 47.29535434854426, 2.412691032455437, 8.714981729598051, 60_513_343
89, Cameroon, +999, +8, 36.183267270800464, 0.2897558940604642, 0, 27_609_447
90, India, +50407, +804, 35.9570916699862, 0.5735215684859029, 3.011214019794788, 1_401_865_325
91, Philippines, +3727, +72, 33.297413759408, 0.6432556454728673, 0, 111_930_615
92, Bangladesh, +5268, +27, 31.482125583955927, 0.1613548577765395, 15.463645169812429, 167_333_047
93, Morocco, +1148, +20, 30.51941816590207, 0.5316971805906284, 0, 37_615_396
94, Eswatini, +35, +1, 29.67313767148954, 0.8478039334711297, 3.8002171552660156, 1_179_518
95, Myanmar, +1607, None, 29.21945844288433, 0, 6.504229570567046, 54_997_597
96, Zambia, +457, +1, 23.78664431450795, 0.05204954992233687, 11.969617600838136, 19_212_462
97, Nepal, +666, +14, 22.214254887361218, 0.4669663189535392, 3.8172751762480654, 29_980_749
98, Egypt, +2179, +61, 20.665294253399907, 0.5785144329772346, 0, 105_442_486
99, Uzbekistan, +625, +2, 18.247888011339032, 0.05839324163628491, 0, 34_250_539
100, Cambodia, +274, None, 16.03118052911321, 0, 0, 17_091_692
101, Namibia, +41, +3, 15.678728325114111, 1.1472240237888374, 3.8068709377901575, 2_615_008
102, Pakistan, +3498, +39, 15.355651439653561, 0.17120366099099166, 6.023038380081616, 227_798_867
103, Algeria, +532, +13, 11.789155736232, 0.28808087325378945, 0, 45_126_217
104, Zimbabwe, +174, +1, 11.438759249617393, 0.06573999568745628, 5.594855305466238, 15_211_440
105, Kyrgyzstan, +69, +3, 10.302265483110556, 0.4479245862221981, 0, 6_697_556
106, Afghanistan, +374, +1, 9.271258276333272, 0.024789460631907147, 29.12772585669782, 40_339_724
107, CAR, +44, +1, 8.862027100078873, 0.20140970681997436, 0, 4_965_004
108, Syria, +126, +3, 6.928799273729859, 0.16497141127928236, 0, 18_184_969
109, Burundi, +60, None, 4.815180144315764, 0, 0, 12_460_593
110, Benin, +54, None, 4.274095530150895, 0, 0, 12_634_252
111, Taiwan, +79, None, 3.307341674728138, 0, 0.16757880446311144, 23_886_253
112, Rwanda, +44, None, 3.266759254543357, 0, 0.3970402454430608, 13_469_006
113, Mauritania, +15, None, 3.09511026227139, 0, 0.6717420510523959, 4_846_354
114, Haiti, +32, None, 2.752340844385487, 0, 0, 11_626_467
115, Ivory Coast, +69, None, 2.515525256803229, 0, 2.19117180057161, 27_429_659
116, Senegal, +38, None, 2.1771445088261725, 0, 2.423469387755102, 17_454_055
117, Malawi, +38, +5, 1.9070996552415505, 0.2509341651633619, 4.871794871794872, 19_925_545
118, Uganda, +80, +3, 1.6644141595041377, 0.06241553098140516, 2.067717756526234, 48_064_960
119, Sudan, +70, None, 1.5385513154668695, 0, 0, 45_497_345
120, Mozambique, +44, None, 1.3470256449191418, 0, 2.2323693556570268, 32_664_560
121, Togo, +10, None, 1.164000310555283, 0, 1.122334455667789, 8_591_063
122, Ethiopia, +135, +10, 1.1292616074542108, 0.08364900795957116, 2.363031682128479, 119_547_144
123, Guinea, +15, +2, 1.094406176303144, 0.14592082350708588, 1.6059957173447537, 13_706_063
124, Djibouti, +1, None, 0.9889797981096641, 0, 0.2617801047120419, 1_011_143
125, Kenya, +54, None, 0.9698600193849874, 0, 0.968088920760129, 55_678_138
