Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Réunion, +45474, +31, 50223.42876454827, 34.23772467126262, 0, 905_434
2, Martinique, +9983, +15, 26635.254693119605, 40.02091759959872, 0, 374_804
3, Faeroe Islands, +1124, +1, 22865.51254144883, 20.342982688121733, 28.1, 49_157
4, Palau, +177, None, 9708.73786407767, 0, 26.536731634182907, 18_231
5, Saint Pierre Miquelon, +43, None, 7479.561662897895, 0, 0, 5_749
6, Denmark, +42851, +15, 7357.001091935473, 2.5753195113073697, 12.963780918727915, 5_824_520
7, Israel, +65875, +121, 7063.585674458503, 12.97447994853099, 0, 9_326_000 
8, France, +416896, +381, 6364.594524722969, 5.81658378569104, 0, 65_502_366
9, Netherlands, +105840, +16, 6155.297385365292, 0.9305060295336798, 0, 17_194_945
10, Georgia, +24201, +36, 6085.189637601699, 9.051974172706135, 28.4079304151847, 3_977_033
11, Slovenia, +11810, +11, 5679.54752136563, 5.290010392465871, 75.77799165864614, 2_079_391
12, New Caledonia, +1515, +1, 5226.931635874347, 3.4501198916662354, 0, 289_845
13, Portugal, +50888, +63, 5013.795622998196, 6.2071436143862275, 0, 10_149_596
14, Dominica, +355, None, 4912.203019275208, 0, 12.655971479500892, 72_269
15, Estonia, +6514, +4, 4905.308863518102, 3.0121638707510603, 48.95167956714511, 1_327_949
16, Latvia, +9028, +15, 4871.704934840676, 8.09432587755983, 39.34797768479777, 1_853_150
17, Lithuania, +12916, +19, 4851.821480316427, 7.137241260917632, 46.24252622534102, 2_662_093
18, Bahrain, +8173, None, 4552.997887003427, 0, 28.630981573600504, 1_795_081
19, Norway, +23237, None, 4233.8440414161305, 0, 0, 5_488_393
20, Iceland, +1421, None, 4121.8154552126025, 0, -0.4371729278895408, 344_751
21, Gibraltar, +135, None, 4008.9086859688196, 0, 10.40863531225906, 33_675
22, Maldives, +2180, +1, 3923.573115245061, 1.799804181305074, 34.04654068405435, 555_616
23, Monaco, +143, +1, 3603.5581987248947, 25.199707683390873, 0, 39_683
24, Uruguay, +11453, +34, 3279.02739460903, 9.734299433921858, 45.73151253793324, 3_492_804
25, Caribbean Netherlands, +76, None, 2856.17648164155, 0, 0, 26_609
26, Austria, +25894, +24, 2849.310703170356, 2.640899701710379, 3.653154856294758, 9_087_812
27, Czechia, +29535, +31, 2749.881965029248, 2.886282069270583, 21.232620666848785, 10_740_461
28, Barbados, +786, +1, 2729.801724706789, 3.47303018410533, 26.607989167230873, 287_933
29, Slovakia, +14643, +20, 2679.9872324039247, 3.660434654652632, 46.345940813419844, 5_463_832
30, Liechtenstein, +102, None, 2663.115845539281, 0, 0, 38_301
31, Switzerland, +22347, +6, 2552.5172397998967, 0.6853315182708811, 25.290569368839193, 8_754_887
32, Cyprus, +3038, +1, 2487.549967984462, 0.8188117076973214, 0, 1_221_282
33, Channel Islands, +415, +2, 2352.594373047772, 11.337804207459142, 0, 176_401
34, Greece, +24308, +108, 2350.3307847888696, 10.442476746634767, 4.895811933793349, 10_342_374
35, Belgium, +26972, +28, 2311.3170642502787, 2.399409676664978, 10.543680515378481, 11_669_537
36, Luxembourg, +1453, +1, 2262.8803523427746, 1.557384963759652, 33.54108956602032, 642_102
37, Serbia, +19214, +58, 2213.186509399189, 6.6807961666052345, 48.676310389380085, 8_681_600
38, Italy, +133142, +339, 2207.226693812572, 5.619938480738324, 10.677096072372848, 60_320_945
39, Germany, +183434, +182, 2178.333390770191, 2.1613042136145686, 0, 84_208_414
40, Romania, +40018, +95, 2102.4127942362643, 4.990984443311636, 32.63046314416177, 19_034_321
41, Greenland, +114, +1, 2002.5998664933422, 17.566665495555633, 52.054794520547944, 56_926
42, Croatia, +7385, +66, 1816.662025589228, 16.235571251034404, 44.51745132316595, 4_065_148
43, Belize, +719, None, 1757.709843419589, 0, 10.423311104668018, 409_055
44, Jordan, +17781, +18, 1715.7210162942838, 1.7368527244416572, 28.71144840949459, 10_363_573
45, Spain, +77873, +408, 1664.5407735218637, 8.721028284474984, 0, 46_783_474
46, UK, +112452, +219, 1642.8105213853312, 3.199369545969725, 8.28293928997064, 68_450_986
47, Palestine, +8616, +12, 1629.0210785798474, 2.2688315857658043, 0, 5_289_066
48, Bulgaria, +11143, +87, 1623.02998417899, 12.671956261650552, 27.272504772627148, 6_865_554
49, Kuwait, +6436, +2, 1472.5744449760296, 0.45760548321194205, 17.730027548209367, 4_370_577
50, Grenada, +162, None, 1429.2141968610222, 0, 18.43003412969283, 113_349
51, Kiribati, +169, None, 1381.2719144101804, 0, 0, 122_351
52, Australia, +35350, +77, 1361.2660243827197, 2.9651339144970135, 18.648153911892088, 25_968_473
53, Montenegro, +822, +4, 1308.5171412561765, 6.367480006112781, 28.433068142511242, 628_192
54, Costa Rica, +6606, +18, 1278.2997491002945, 3.483105583379549, 0, 5_167_802
55, Panama, +5606, +20, 1267.6632800504713, 4.522523296648132, 21.690010059583688, 4_422_310
56, Turkey, +102601, +198, 1196.1438284348224, 2.3083252407880512, 22.690651586892628, 85_776_474
57, Chile, +22192, +12, 1145.3265726448099, 0.619318622554872, 23.855183385647333, 19_376_133
58, Isle of Man, +98, None, 1142.9104564644415, 0, 0, 85_746
59, French Guiana, +341, +3, 1096.7098703888335, 9.648473933039591, 19.07158836689038, 310_930
60, Moldova, +4348, +24, 1081.8326264597151, 5.971477238968069, 31.083786102373463, 4_019_106
61, Lebanon, +7314, +15, 1079.2371679010607, 2.2133658078364657, 0, 6_777_009
62, Argentina, +49122, +240, 1071.2998907567226, 5.234151170180639, 52.12602268747945, 45_852_707
63, Singapore, +6264, +3, 1057.5312890992395, 0.5064805024421646, 0, 5_923_229
64, Armenia, +3127, +3, 1052.1467056569961, 1.0094148119510675, 39.632446134347276, 2_972_019
65, Poland, +39114, +239, 1035.284285110315, 6.325943246442842, 27.102648318297096, 37_780_927
66, British Virgin Islands, +30, None, 981.9967266775776, 0, 27.27272727272727, 30_550
67, Hungary, +9422, +66, 979.2672229220452, 6.859651529702291, 51.79484360397999, 9_621_480
68, North Macedonia, +1996, +35, 958.1238437470898, 16.800768803180436, 34.5388475514795, 2_083_238
69, Curaçao, +153, +2, 926.3968611494587, 12.109762890842598, 7.162921348314606, 165_156
70, Russia, +125836, +663, 861.6920093247571, 4.540050559317794, 0, 146_033_616
71, Ireland, +4208, None, 837.3887718662844, 0, 3.16426664661428, 5_025_145
72, Brazil, +171028, +767, 795.6527848249882, 3.5682209109664265, 0, 214_953_059
73, USA, +264693, +2780, 792.3096861091625, 8.321417367982802, 6.618539501998617, 334_077_703
74, Aruba, +84, None, 781.511666852741, 0, 0, 107_484
75, Paraguay, +5656, +65, 777.8535093900781, 8.939264163782722, 46.666666666666664, 7_271_292
76, Ukraine, +30768, +192, 710.2920856890943, 4.432399910696376, 45.32304156969037, 43_317_391
77, Suriname, +418, +2, 702.5706016222994, 3.3615818259440164, 40.34749034749035, 594_958
78, Sint Maarten, +30, None, 687.3324627122139, 0, 0, 43_647
79, Peru, +22627, +151, 671.440769692433, 4.480821859882327, 23.13906756521828, 33_699_175
80, Tunisia, +8001, +74, 665.9456486473754, 6.159227346569902, 36.0145840835434, 12_014_494
81, Libya, +4266, +11, 607.7567195155725, 1.5671176546346222, 36.3002042205582, 7_019_256
82, Finland, +3244, None, 584.045896933543, 0, 7.400816736248945, 5_554_358
83, Malta, +249, +1, 561.5620898228711, 2.255269437039643, 0, 443_406
84, Albania, +1533, +7, 533.6223874954835, 2.436631906372071, 0, 2_872_818
85, Oman, +2828, +2, 532.3694960561737, 0.3764989363905047, 0, 5_312_100
86, Solomon Islands, +366, None, 512.9390989930416, 0, 0, 713_535
87, Azerbaijan, +5223, +21, 507.87927584174935, 2.042018914929492, 32.75634995296331, 10_283_940
88, Bosnia and Herzegovina, +1628, +51, 501.15746441412597, 15.699650297985517, 40.36697247706422, 3_248_480
89, Japan, +61190, +28, 486.16385533419435, 0.22246425803819975, 24.169530355097365, 125_862_915
90, Turks and Caicos, +18, None, 455.1661356395084, 0, 0, 39_546
91, Saint Kitts and Nevis, +24, +4, 446.1381169253648, 74.35635282089414, 0, 53_795
92, Qatar, +1236, +2, 440.2015097202263, 0.7123001775408193, 48.0, 2_807_805 
93, Iran, +35070, +50, 409.2397203521576, 0.5834612494327881, 0, 85_695_494
94, Bhutan, +312, None, 397.41932196697087, 0, 2.3219468631390936, 785_065
95, S. Korea, +18333, +17, 357.09625523424165, 0.33113163906518894, 0, 51_339_099
96, Mongolia, +1196, +4, 355.753751774307, 1.1898118788438359, 0, 3_361_876
97, Trinidad and Tobago, +470, +8, 334.1229060446388, 5.68719840075981, 0, 1_406_668
98, Bolivia, +3425, +32, 287.20762159301535, 2.6833996761975154, 0, 11_925_171
99, Kazakhstan, +5466, +18, 285.69322944678686, 0.9408119520750392, 0, 19_132_410
100, Colombia, +14454, +251, 279.34810426537535, 4.851001395503612, 24.633581021201174, 51_741_894
101, Guyana, +220, +3, 277.5797568653675, 3.785178502709557, 15.23545706371191, 792_565
102, Guatemala, +4223, +16, 229.01077972123915, 0.8676704891167005, 28.875213675213672, 18_440_180
103, UAE, +2084, +5, 206.7531081172917, 0.4960487238898554, 0.4169367552557239, 10_079_655
104, Canada, +7904, +144, 206.55227510379748, 3.7630981294214116, 0, 38_266_342
105, Belarus, +1918, +15, 203.08335163342332, 1.5882431045366787, 17.453817453817454, 9_444_398
106, Iraq, +7901, +16, 189.69610424800908, 0.3841460154370517, 25.817730287880273, 41_650_829
107, Malaysia, +5566, +7, 168.55062722121698, 0.21197527677839004, 0, 33_022_719
108, El Salvador, +954, +9, 145.91493251204946, 1.3765559670948062, 20.31083670427933, 6_538_056
109, Cuba, +1610, +8, 142.2806851495463, 0.7069847709294226, 11.197663096397275, 11_315_661
110, Nepal, +3657, +9, 122.03663221342615, 0.3003362564727469, 33.93652561247216, 29_966_412
111, Timor-Leste, +159, None, 117.06722309184107, 0, 0, 1_358_194
112, Dominican Republic, +1275, +3, 115.69646184793474, 0.2722269690539641, 18.780380026513477, 11_020_216
113, India, +161386, +1728, 115.15275401047796, 1.2329691480680227, 9.49675764102202, 1_401_494_922
114, Vietnam, +11023, None, 111.65257438241225, 0, 52.37823711095272, 98_725_892
115, Bahamas, +44, None, 110.2215453060652, 0, 13.580246913580247, 399_196
116, Saudi Arabia, +3861, +1, 108.23517459839032, 0.028032938253921346, 2.652970075926753, 35_672_322
117, Thailand, +7422, +12, 105.91132456623876, 0.17123900495754044, 0, 70_077_492
118, Jamaica, +294, +5, 98.60328778241542, 1.6769266629662485, 13.96011396011396, 2_981_645
