Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Belize, +104, +8, 254.035872796422, 19.541220984340153, 7.267645003494059, 409_391
2, Saint Lucia, +42, +3, 227.03193582563947, 16.216566844688533, 0, 184_996
3, Bulgaria, +4616, +89, 672.5786367693612, 12.967829001835604, 15.988362024176508, 6_863_138
4, Croatia, +3599, +50, 885.5855026774259, 12.303216208355458, 39.759169244365886, 4_063_978
5, Latvia, +10285, +20, 5552.892039037074, 10.79803993979013, 43.492050067659, 1_852_188
6, Slovenia, +3771, +22, 1813.5004068473465, 10.579954640849012, 157.45302713987473, 2_079_404
7, Georgia, +14405, +42, 3622.36931872047, 10.561576632159648, 29.642967383475664, 3_976_679
8, Hungary, +7480, +100, 777.5188127329308, 10.394636533862712, 27.68012433852644, 9_620_346
9, Bosnia and Herzegovina, +616, +31, 189.6822114728793, 9.545695707239055, 27.610936799641415, 3_247_537
10, North Macedonia, +905, +18, 434.42050464781937, 8.640407827249446, 32.229344729344724, 2_083_235
11, Greece, +18604, +88, 1799.2226514820425, 8.510621013245524, 4.865177266201349, 10_340_021
12, Armenia, +1417, +25, 476.7391980890059, 8.411065597900599, 25.039759674854217, 2_972_275
13, Poland, +23990, +304, 635.0087160835797, 8.04679656896241, 22.41930359045287, 37_779_009
14, Denmark, +33699, +43, 5784.774262655427, 7.381385005317172, 19.547097140934692, 5_825_465
15, Serbia, +6298, +62, 725.5782938495315, 7.142879361491101, 32.07210877425269, 8_679_973
16, Chile, +34117, +131, 1760.082906575437, 6.758239609619317, 29.97583798269121, 19_383_746
17, Moldova, +1853, +27, 461.097481681142, 6.71863572875922, 18.067472698907956, 4_018_673
18, Romania, +14524, +125, 763.2804705726054, 6.569131012226362, 21.24043931616432, 19_028_392
19, Ukraine, +34938, +282, 806.7843781808353, 6.511912377554399, 66.0054409430968, 43_305_251
20, Israel, +15242, +60, 1634.3555650868539, 6.433626420759168, 0, 9_326_000 
21, Montenegro, +323, +4, 514.1707365217225, 6.367439461569319, 15.002322340919646, 628_196
22, Guyana, +48, +5, 60.549410210901165, 6.3072302303022045, 4.415823367065317, 792_741
23, USA, +108480, +2070, 324.6274348067583, 6.19449474603604, 5.524901271929243, 334_167_690
24, Spain, +30615, +288, 654.3860258113874, 6.155909698960626, 0, 46_784_312
25, South Africa, +2800, +343, 46.25985442288155, 5.66683216680299, 8.353471165607566, 60_527_644
26, Russia, +180071, +784, 1233.054640246032, 5.368520405578296, 12.862214285714286, 146_036_513
27, Italy, +53662, +314, 889.668755972939, 5.2058437884443896, 10.51612536572843, 60_316_831
28, Brazil, +122748, +1114, 570.8595084046143, 5.1808379147745, 0, 215_023_133
29, Suriname, +99, +3, 166.33008625643058, 5.040305644134261, 24.264705882352942, 595_202
30, Portugal, +15482, +51, 1525.58758820881, 5.0255113679530625, 0, 10_148_221
31, France, +82553, +304, 1260.1769327919628, 4.640579840451064, 3.07834064265064, 65_509_055
32, Belgium, +11503, +54, 985.5315436064509, 4.626506420477123, 22.713002270707868, 11_671_874
33, Uruguay, +7179, +16, 2055.04038802735, 4.580115086841844, 35.14982373678026, 3_493_362
34, Czechia, +15523, +49, 1445.1586811788914, 4.561797035222939, 17.959783413550536, 10_741_381
35, Peru, +6787, +146, 201.2721395646579, 4.329708615948144, 10.263118100710722, 33_720_514
36, Paraguay, +1289, +31, 177.17333888998772, 4.260956947703351, 32.21694576355911, 7_275_361
37, Cyprus, +2304, +5, 1885.9121381037744, 4.0926912719265935, 0, 1_221_690
