Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Antigua and Barbuda, +121, +4, 1219.450743260267, 40.31242126480222, 0, 99_225
2, Saint Kitts and Nevis, +1, +1, 18.58736059479554, 18.58736059479554, 0, 53_800
3, Croatia, +4780, +59, 1175.94845901549, 14.5148449962163, 44.312598498192266, 4_064_804
4, North Macedonia, +1045, +29, 501.6231950565394, 13.920643690564251, 22.257720979765708, 2_083_237
5, Solomon Islands, +392, +8, 549.1995976272336, 11.208155053617013, 0, 713_766
6, Bahamas, +58, +4, 145.27347732105687, 10.018860504900475, 5.753968253968254, 399_247
7, Georgia, +19098, +38, 4802.197876803936, 9.555111494321372, 36.473014781711925, 3_976_929
8, Greece, +10980, +95, 1061.7228416035225, 9.186126589465815, 5.557411400285463, 10_341_682
9, Malta, +158, +4, 356.3197135009088, 9.020752240529337, 0, 443_422
10, Suriname, +150, +5, 252.08813001025158, 8.402937667008386, 44.776119402985074, 595_030
11, Slovenia, +7458, +16, 3586.6201467253695, 7.6945457693223265, 396.91325172964343, 2_079_395
12, Serbia, +10602, +63, 1221.2708473940174, 7.257127276534908, 48.16244946168173, 8_681_121
13, Paraguay, +2942, +47, 404.53825368453636, 6.462711734593205, 25.113102859581733, 7_272_489
14, Bulgaria, +2181, +42, 317.70573631472706, 6.11812972270451, 16.989950923112875, 6_864_843
15, Lithuania, +9052, +16, 3400.9899390511946, 6.011471390280503, 46.03804292543994, 2_661_578
16, Tunisia, +3952, +67, 328.88982540377634, 5.57581434768548, 33.288409703504044, 12_016_182
17, Portugal, +31431, +51, 3096.897082732998, 5.025031059125797, 0, 10_149_191
18, Colombia, +10356, +239, 200.11865281498788, 4.618420048549837, 24.371072882592426, 51_749_299
19, Russia, +180071, +661, 1233.0719073801126, 4.526328674679734, 0, 146_034_468
20, Panama, +2345, +20, 530.1544863390832, 4.521573444256573, 21.158531083641613, 4_423_239
21, Israel, +53730, +42, 5761.312459789835, 4.503538494531417, 0, 9_326_000 
22, Mexico, +35243, +588, 268.8318450439911, 4.485234653289073, 62.341682586853466, 131_096_820
23, Trinidad and Tobago, +505, +6, 358.98857634371916, 4.265210808044188, 29.073114565342546, 1_406_730
