Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Denmark, +50392, +26, 8652.031309529717, 4.464058065720206, 11.593162629120943, 5_824_297
2, Slovenia, +16571, +8, 7969.171698595934, 3.84728583602483, 74.40951953300404, 2_079_388
3, Portugal, +63833, +44, 6289.015705445531, 4.3350099641189255, 5.724409067511313, 10_149_919
4, Belgium, +68285, +36, 5851.83615338675, 3.085100703257275, 41.910636469649546, 11_668_987
5, France, +353503, +263, 5396.927108911905, 4.015218625142731, 0, 65_500_792
6, Israel, +45376, +43, 4865.537207806133, 4.61076560154407, 0, 9_326_000 
7, Latvia, +8682, +9, 4684.4245312338135, 4.856003315031596, 34.028376577565254, 1_853_376
8, Lithuania, +12216, +16, 4588.1603978208495, 6.009378386143876, 36.10035757557847, 2_662_505
9, Estonia, +5823, +2, 4384.99057562132, 1.5060932768749167, 46.72229800208618, 1_327_939
10, Netherlands, +74019, +9, 4304.7987581168245, 0.5234222135269515, 0, 17_194_532
11, Georgia, +17066, +30, 4291.049091854499, 7.5431543862437005, 26.495063031733217, 3_977_116
12, Austria, +38631, +19, 4251.120608421623, 2.0908413336442453, 6.014629042604206, 9_087_251
13, Norway, +21519, None, 3921.149883262016, 0, 0, 5_487_931
14, Uruguay, +13612, +22, 3897.3015796211093, 6.298900584165766, 40.61343835779926, 3_492_673
15, Bahrain, +6659, +1, 3710.9256360372733, 0.5572797170802333, 24.394622119646847, 1_794_431
16, Czechia, +34797, +25, 3239.8705280811123, 2.327693858724252, 22.185738695774145, 10_740_244
17, Slovakia, +14312, +24, 2619.4204623738333, 4.39254409565204, 45.20245088749921, 5_463_804
18, Spain, +118922, +199, 2541.976752547214, 4.253656798211395, 0, 46_783_276
19, Croatia, +9924, +65, 2441.074397424327, 15.988496154028743, 51.79270392985752, 4_065_423
20, Italy, +143898, +378, 2385.5013083802783, 6.266379620062441, 13.68778108377533, 60_321_912
21, Germany, +189464, +179, 2250.019485070885, 2.1257520575290734, 0, 84_205_493
22, Greece, +22361, +112, 2161.9605359295297, 10.828656143468866, 6.17731072472416, 10_342_927
23, Switzerland, +18701, +7, 2136.232727711374, 0.7996165495951884, 16.408704044924104, 8_754_196
24, Australia, +55288, +134, 2129.308259811964, 5.16074567383163, 48.44597495684481, 25_965_240
25, Cyprus, +2587, +2, 2118.432409149794, 1.637752152415766, 0, 1_221_186
26, Serbia, +17284, +42, 1990.789431400637, 4.837604496576415, 49.698084996262004, 8_681_983
27, Hungary, +17869, +78, 1857.1471480179223, 8.106635936280595, 36.64984822380835, 9_621_747
28, Panama, +7502, +24, 1696.6835513292006, 5.427939913609813, 30.38354056133814, 4_421_567
29, Romania, +31724, +59, 1666.55153221195, 3.099437031916059, 31.41301118922666, 19_035_715
30, Kuwait, +6913, +2, 1581.9634654084798, 0.4576778433121596, 19.31275317781813, 4_369_886
31, USA, +522300, +2732, 1563.5078290491733, 8.17825653640119, 19.694555283140815, 334_056_530
32, Poland, +57262, +271, 1515.6143453630953, 7.172845649704845, 32.11409471251991, 37_781_379
33, Bulgaria, +9871, +71, 1437.6383058733882, 10.3406260477166, 23.521422103607684, 6_866_122
34, Costa Rica, +7302, +12, 1413.1187426146064, 2.322298673154653, 0, 5_167_294
35, Moldova, +5615, +21, 1397.0414071628043, 5.224909982265163, 0, 4_019_208
36, Argentina, +63884, +305, 1393.3814034358923, 6.6523907089090715, 57.353192024203906, 45_848_179
37, Chile, +26727, +26, 1379.5049142830244, 1.3419810592793293, 20.961202130079133, 19_374_342
38, UK, +89176, +277, 1302.8456122836005, 4.046921084176879, 6.377449220554644, 68_447_097
39, Lebanon, +8116, +17, 1197.5197942673976, 2.5083583665039133, 0, 6_777_341
40, Peru, +40331, +172, 1196.9732197460723, 5.104743095790445, 27.36252925811595, 33_694_154
41, Brazil, +257239, +779, 1196.8135473790546, 3.6243250572746875, 0, 214_936_571
42, Armenia, +3536, None, 1189.7880118090497, 0, 40.61100264155277, 2_971_958
43, Turkey, +93586, +210, 1091.1711850029758, 2.448506708809276, 21.354380584686435, 85_766_561
44, Ireland, +5109, None, 1016.8090942418233, 0, 0, 5_024_542
