Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Martinique, +7395, +7, 19729.470145669922, 18.67563096953204, 0, 374_820
2, Faeroe Islands, +649, None, 13205.282112845138, 0, 9.27142857142857, 49_147
3, Sint Maarten, +491, None, 11256.304447501145, 0, 0, 43_620
4, Turks and Caicos, +388, None, 9818.310643251176, 0, 0, 39_518
5, Saint Pierre Miquelon, +48, None, 8346.374543557642, 0, 26.373626373626376, 5_751
6, Greenland, +457, None, 8028.6713163858685, 0, 31.43053645116919, 56_921
7, French Guiana, +2429, None, 7822.740374551135, 0, 100.0, 310_505
8, Curaçao, +1106, +2, 6698.158914728681, 12.112403100775193, 30.954380072767982, 165_120
9, Cayman Islands, +440, +2, 6576.783952647155, 29.894472512032525, 0, 66_902
10, British Virgin Islands, +183, None, 5992.3376665902615, 0, 55.96330275229357, 30_539
11, Caribbean Netherlands, +153, +1, 5752.744773650174, 37.59963904346518, 0, 26_596
12, France, +361719, +246, 5522.891572446027, 3.756040812956252, 0, 65_494_496
13, Aruba, +575, None, 5350.828215149823, 0, 0, 107_460
14, Israel, +47073, +16, 5047.501608406605, 1.7156337122024448, 0, 9_326_000 
15, Andorra, +357, None, 4609.187388643582, 0, 0, 77_454
16, Ireland, +20909, +83, 4163.37125348358, 16.526845570765563, 0, 5_022_132
17, Australia, +105158, +49, 4051.9705547609997, 1.8880784836464082, 35.98688623328268, 25_952_311
18, Portugal, +40945, +20, 4033.5081137594098, 1.9702078953520135, 0, 10_151_213
19, Denmark, +22729, +25, 3903.0409684500896, 4.293018795866613, 5.147839873166865, 5_823_408
20, Spain, +179125, +125, 3828.890071620177, 2.671940036022454, 0, 46_782_487
21, Mayotte, +1042, None, 3683.6839667832105, 0, 0, 282_869
22, Slovenia, +7420, +12, 3568.379921851518, 5.770964833183048, 50.087754826515464, 2_079_375
23, Iceland, +1207, None, 3502.2966593254814, 0, 16.43294758339006, 344_631
24, Italy, +196224, +313, 3252.738497356288, 5.1884945249944865, 16.481558786695754, 60_325_784
25, Gibraltar, +106, None, 3147.6422377954627, 0, 6.432038834951456, 33_676
26, Montenegro, +1945, +4, 3096.2068680076663, 6.3675205511725785, 37.12540561175797, 628_188
27, Saint Lucia, +565, None, 3055.5240088474998, 0, 40.647482014388494, 184_911
28, Luxembourg, +1924, None, 2999.0102019343926, 0, 29.08980949501058, 641_545
29, Grenada, +329, None, 2903.2571191570846, 0, 26.747967479674795, 113_321
30, Argentina, +131082, +75, 2860.174740743888, 1.6364802608732822, 66.14957610012111, 45_830_067
31, Uruguay, +9823, +3, 2812.8819282573363, 0.8590701195940149, 29.56597640260053, 3_492_148
32, Saint Kitts and Nevis, +145, None, 2696.420269642027, 0, 0, 53_775
33, Cyprus, +3197, +4, 2618.7681386759373, 3.276531922021817, 0, 1_220_803
34, Monaco, +101, None, 2546.132903095694, 0, 0, 39_668
35, USA, +829209, +2283, 2482.8710332242777, 6.835905747345996, 18.929694025773962, 333_971_837
36, Channel Islands, +436, +2, 2472.8609185884275, 11.343398709121226, 0, 176_314
37, Croatia, +9894, +27, 2433.036175367464, 6.639577191724431, 46.44852354349561, 4_066_524
38, Greece, +24245, +78, 2343.612103149478, 7.539770841231566, 6.923582157747445, 10_345_142
39, Norway, +11825, None, 2155.455261315912, 0, 0, 5_486_080
40, Belize, +878, None, 2148.4852933979346, 0, 23.956343792633014, 408_660
41, Liechtenstein, +76, None, 1984.5932889411151, 0, 0, 38_295
42, UK, +129587, +398, 1893.6736173652328, 5.816031698483355, 8.418359060843038, 68_431_539
43, Austria, +17006, +10, 1871.8748655064624, 1.1007143746362826, 1.1568801922192562, 9_085_009
44, Netherlands, +32043, +8, 1863.7367249545582, 0.46530892237419924, 0, 17_192_879
45, Belgium, +21311, +21, 1826.6383023877954, 1.7999814344772043, 29.348335031812045, 11_666_787
