Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Trinidad and Tobago, +810, +24, 575.9148157996897, 17.064142690361177, 5.918889294848374, 1_406_458
2, Slovakia, +2049, +64, 375.01990405786546, 11.71365244495041, 22.73382891379119, 5_463_710
3, Poland, +16896, +429, 447.1870765687444, 11.354359366003274, 16.292681986056333, 37_782_845
4, Fiji, +193, +9, 212.92228667503645, 9.9290185496131, 8.29750644883921, 906_434
5, Grenada, +276, +1, 2435.47319655857, 8.824178248400617, 24.231782265144865, 113_325
6, Croatia, +8958, +35, 2202.976305093774, 8.607297463527805, 48.73510690386812, 4_066_317
7, Suriname, +1026, +5, 1725.1990032183537, 8.407402549797045, 45.90604026845638, 594_714
8, Greece, +17447, +79, 1686.5597323157972, 7.6367409212442245, 4.8521575651051805, 10_344_727
9, Latvia, +3065, +14, 1653.0824459363835, 7.550784418632747, 14.410644600122243, 1_854_112
10, Georgia, +5381, +30, 1352.898272157072, 7.54264043202233, 8.471881100824989, 3_977_387
11, Lithuania, +4467, +20, 1676.8999986485696, 7.507947162071052, 18.88236040072706, 2_663_844
12, Malta, +503, +3, 1134.538696115051, 6.766632382395929, 0, 443_352
13, Guyana, +1065, +5, 1344.0368303951723, 6.310032067582967, 32.47941445562672, 792_389
14, Bulgaria, +4389, +40, 639.0535542603643, 5.824138111281515, 16.153846153846153, 6_867_969
15, Cabo Verde, +203, +3, 359.1197850234666, 5.3071889412334965, 14.225648213034336, 565_271
16, Russia, +27179, +723, 186.1183729012635, 4.951013047117757, 5.4357999999999995, 146_030_720
17, Estonia, +2219, +6, 1671.050758825731, 4.518388712462545, 23.299034019319613, 1_327_907
18, North Macedonia, +1633, +9, 783.8743650521639, 4.320189397103169, 21.589106292966683, 2_083_242
19, UK, +81713, +287, 1194.0330175197125, 4.193793839758148, 0, 68_434_456
20, Italy, +180426, +239, 2990.896419859223, 3.961869377730229, 14.81536831905931, 60_325_058
21, Namibia, +309, +10, 118.31786458080057, 3.8290571061747753, 15.33498759305211, 2_611_609
22, Canada, +22095, +146, 577.632138547637, 3.816894873408237, 0, 38_250_988
23, Bolivia, +14461, +39, 1213.397736859249, 3.2724231890955475, 0, 11_917_774
24, Portugal, +38136, +33, 3756.881977103471, 3.2509205277012416, 0, 10_150_971
25, Uruguay, +9641, +11, 2760.6875346123957, 3.149835378149191, 26.423109600679695, 3_492_246
26, Ukraine, +10569, +127, 243.92140879441806, 2.931026484709158, 26.956920957992196, 43_329_530
27, Denmark, +23390, +16, 4016.4332046895593, 2.74745323963373, 4.868616055817361, 5_823_575
