Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Monaco, +45, +1, 1134.0440009072354, 25.20097779793856, 0, 39_681
2, Croatia, +6220, +46, 1530.0280300151157, 11.315319836124651, 47.61904761904761, 4_065_285
3, North Macedonia, +1254, +21, 601.9472561717595, 10.08045644306774, 24.675324675324674, 2_083_239
4, Trinidad and Tobago, +449, +14, 319.1994562945564, 9.95276701141156, 0, 1_406_644
5, Greece, +11112, +97, 1074.386054407134, 9.378639963777179, 6.244099797707349, 10_342_651
6, Georgia, +17265, +34, 4341.130101896494, 8.54899643582281, 24.953027894204364, 3_977_075
7, Israel, +71130, +67, 7627.064121809994, 7.184216169847737, 0, 9_326_000 
8, Uruguay, +7588, +23, 2172.5070209941255, 6.585089810604227, 39.436619718309856, 3_492_739
9, Serbia, +13153, +57, 1515.0099789317665, 6.56546558192889, 51.720341315717036, 8_681_791
10, Curaçao, +118, +1, 714.4889889980806, 6.054991432187124, 6.9781194559432285, 165_153
11, Estonia, +5951, +8, 4481.363671962071, 6.024350424415488, 52.95426232425699, 1_327_944
12, Bulgaria, +2602, +39, 378.9777737255088, 5.680297146539141, 17.277556440903055, 6_865_838
13, Slovenia, +13851, +11, 6661.091310957208, 5.290015480508938, 77.15145101097309, 2_079_389
14, Lithuania, +9534, +14, 3581.1154194175783, 5.258612950686605, 42.20264707184277, 2_662_299
15, Suriname, +219, +3, 368.1111527594049, 5.042618530950752, 36.01973684210527, 594_929
16, Montenegro, +666, +3, 1060.185421017778, 4.7756100045845855, 30.762124711316396, 628_192
17, Colombia, +16119, +247, 311.5448923452846, 4.773967889402897, 27.15602203615412, 51_738_932
18, Peru, +27918, +158, 828.5093147499705, 4.688891458216754, 11.275262112082196, 33_696_664
19, Malta, +191, +2, 430.7622913847542, 4.510599909788001, 0, 443_400
20, Russia, +121228, +617, 830.139563533451, 4.225064429835841, 0, 146_033_276
21, Panama, +4490, +18, 1015.391664154571, 4.070612462089595, 27.18905171369747, 4_421_939
22, Paraguay, +6340, +29, 871.9793959795974, 3.988549287603836, 57.516102694366324, 7_270_814
23, Mexico, +42582, +522, 324.87753500913647, 3.9825765176546244, 63.01442841287458, 131_070_928
24, Italy, +104065, +235, 1725.1746473048574, 3.8957963015100323, 12.71925482388113, 60_321_429
25, Slovakia, +13282, +21, 2430.9008828624965, 3.8434662355151654, 49.85174342228728, 5_463_818
26, Jamaica, +460, +11, 154.2809267856508, 3.6893265100916497, 0, 2_981_574
27, Denmark, +34141, +21, 5861.710604457894, 3.605516027463044, 12.788663597577193, 5_824_409
28, Barbados, +512, +1, 1778.203805772911, 3.4730543081502168, 23.561895996318455, 287_931
29, Argentina, +21570, +152, 470.4425647534093, 3.3151260937653317, 46.82310547680552, 45_850_443
30, Latvia, +6860, +6, 3701.57932252465, 3.2375329351527546, 39.12175648702595, 1_853_263
31, Australia, None, +84, 0, 3.234892848218019, 0, 25_966_857
32, Portugal, +45335, +29, 4466.609397643707, 2.857211261313941, 0, 10_149_757
33, Romania, +19668, +51, 1033.2535540549527, 2.6792724861095483, 33.20390316372354, 19_035_018
34, Bahamas, +26, +1, 65.13433957537421, 2.5051669067451616, 7.90273556231003, 399_175
35, Turkey, +88145, +189, 1027.6721583459926, 2.2035287075545136, 20.584334001223688, 85_771_517
36, Bolivia, +3017, +26, 253.01273424748334, 2.1804213093916363, 0, 11_924_301
37, Ukraine, +24508, +94, 565.7587294796749, 2.169957588178939, 36.62940156632988, 43_318_819
38, Palestine, +5797, +11, 1096.1692317379661, 2.0800175175293476, 0, 5_288_417
39, Lebanon, +7105, +14, 1048.3719248802045, 2.065757487448679, 0, 6_777_175
40, Libya, +5694, +14, 811.2560277861601, 1.9946583050590518, 34.838472834067545, 7_018_746
41, Canada, +8844, +75, 231.12785164832525, 1.9600394474925817, 0, 38_264_536
42, Czechia, +18277, +21, 1701.7133144239592, 1.955243180111788, 21.811563935795693, 10_740_352
43, Azerbaijan, +4943, +20, 480.6756804458741, 1.9448742886743844, 34.80005632216277, 10_283_441
44, France, +249448, +127, 3808.274606632002, 1.9388845572715125, 0, 65_501_579
45, South Africa, +2226, +117, 36.80018399430718, 1.9342414767897305, 9.534415556602562, 60_488_828
46, Jordan, +11833, +19, 1141.8486116981344, 1.8334423749061568, 24.836285786248006, 10_363_020
47, Maldives, +2838, +1, 5108.331548357251, 1.7999758803232038, 38.38247227481742, 555_563
48, Albania, +939, +5, 326.8548315514118, 1.7404410625740776, 0, 2_872_835
49, Oman, +1757, +9, 330.79865376056125, 1.6944723300199496, 0, 5_311_388
50, Armenia, +2085, +5, 701.5503758593992, 1.6823750020609094, 35.33898305084745, 2_971_989
51, Bahrain, +6745, +3, 3758.1710271479797, 1.6715364094060698, 21.732826395154014, 1_794_756
52, Chile, +28480, +31, 1469.9174275949538, 1.5999803460478783, 21.745603921538684, 19_375_238
53, Belarus, +2387, +15, 252.74196443083028, 1.5882402456901779, 5.527510188958874, 9_444_415
54, Austria, +27127, +14, 2985.078897108698, 1.540572291794956, 6.371040851507565, 9_087_532
55, Namibia, +59, +4, 22.57511678796647, 1.5305163924045062, 7.752956636005257, 2_613_497
56, Brazil, +104012, +280, 483.90094918083975, 1.3026599408783135, 0, 214_944_815
57, Guyana, +353, +1, 445.4005766234094, 1.2617580074317547, 14.538714991762768, 792_545
58, UK, +62399, +85, 911.6124663950739, 1.2417997026167291, 0, 68_449_042
59, Vietnam, +13694, +121, 138.71399806268388, 1.225675023045476, 57.304264133573255, 98_721_111
60, El Salvador, +893, +7, 136.5886607244736, 1.0706837906733653, 18.91949152542373, 6_537_878
61, Nepal, +3049, +32, 101.75698502964185, 1.0679644214327777, 30.76690211907164, 29_963_545
62, USA, +96954, +329, 290.22311705105653, 0.984832039006102, 15.674298444436541, 334_067_117
63, Guinea-Bissau, +10, +2, 4.8987285839833135, 0.9797457167966626, 3.3557046979865772, 2_041_346
64, Sri Lanka, +1056, +20, 48.990930646749874, 0.9278585349763234, 0, 21_555_010
65, Morocco, +2255, +34, 59.971719943184574, 0.9042299237553328, 0, 37_601_056
66, Mongolia, +1834, +3, 545.5756462646958, 0.8924356263871795, 0, 3_361_587
67, Eswatini, +13, +1, 11.025124562705395, 0.848086504823492, 2.3465703971119134, 1_179_125
68, Kazakhstan, +9475, +16, 495.2647204305139, 0.8363309263206568, 0, 19_131_183
69, Mauritania, +69, +4, 14.249326874189183, 0.8260479347356048, 2.76, 4_842_334
70, Cyprus, +2225, +1, 1821.9276567799457, 0.818843890687616, 0, 1_221_234
71, Laos, +306, +6, 41.11710608670227, 0.8062177664059269, 0, 7_442_158
72, India, +209918, +940, 149.78940922586906, 0.6707478380716133, -12.990031516225628, 1_401_420_842
73, Cuba, +2829, +7, 250.0066500531695, 0.618609597162314, 10.879095523765574, 11_315_699
74, Poland, +48251, +23, 1277.1182499380047, 0.608769139470148, 33.56544604596806, 37_781_153
75, Kyrgyzstan, +276, +4, 41.23080526750427, 0.5975479024275981, 0, 6_694_024
76, Germany, +109029, +45, 1294.774300944314, 0.5343976698171508, 0, 84_206_954
77, Iran, +21996, +44, 256.6938709343544, 0.5134811020690849, 25.209448385728855, 85_689_619
78, Kuwait, +5592, +2, 1279.566228878977, 0.45764171276072135, 18.40381767319401, 4_370_231
79, S. Korea, +17515, +20, 341.16457477171434, 0.38956845534880313, 0, 51_338_859
80, Dominican Republic, +1221, +4, 110.80234875570142, 0.3629888575125354, 26.061899679829242, 11_019_622
81, Egypt, +2210, +38, 20.971898908083375, 0.36060278665482726, 0, 105_379_108
82, Iraq, +5582, +15, 134.03485444083742, 0.3601796518474671, 26.66602971384895, 41_645_884
83, Japan, +82159, +43, 652.7548269348002, 0.34163582271201465, 46.37245162892557, 125_865_021
84, Guatemala, +1283, +6, 69.58317239174013, 0.325408444544381, 22.9188996070025, 18_438_366
85, Eritrea, +17, +1, 4.691107150958173, 0.2759474794681278, 0, 3_623_878
86, Zimbabwe, +45, +4, 2.9596806649258043, 0.26308272577118264, 4.587155963302752, 15_204_343
87, Algeria, +1464, +11, 32.46103827296101, 0.24390124385421527, 0, 45_100_221
88, Malaysia, +4915, +8, 148.8471402860524, 0.2422740838837069, 4.600939846104881, 33_020_453
89, Bangladesh, +12183, +34, 72.83029346614946, 0.20325289155783316, 28.32860531088685, 167_279_293
90, Philippines, +16929, +20, 151.31013447197734, 0.1787585025364491, 29.793562239312934, 111_882_790
91, Senegal, +80, +3, 4.587277221032047, 0.17202289578870175, 4.324324324324325, 17_439_539
92, Thailand, +8444, +12, 120.49682192486196, 0.17124133859525623, 0, 70_076_537
93, Venezuela, +2646, +4, 93.4694855688201, 0.14129929791204854, 0, 28_308_704
94, Yemen, +21, +4, 0.6804501235891839, 0.12960954735032074, 0, 30_861_924
95, Pakistan, +7958, +29, 34.955941457591955, 0.12738405406762585, 12.431267183204199, 227_658_008
96, Netherlands, +75164, +2, 4371.337324244196, 0.11631465393657059, 0, 17_194_738
97, Syria, +57, +2, 3.1368681618337804, 0.11006554953802737, 0, 18_170_990
98, UAE, +2291, +1, 227.3042509565927, 0.09921617239484623, 0.4988633493306391, 10_079_002
99, Mozambique, +73, +3, 2.2368116131827134, 0.091923764925317, 6.207482993197279, 32_635_739
100, Uzbekistan, +1104, +3, 32.24804919019277, 0.0876305684516108, 0, 34_234_629
101, Saudi Arabia, +3669, +3, 102.86140005271191, 0.08410580543966632, 2.828443238409473, 35_669_357
102, Uganda, +190, +4, 3.956901512034114, 0.08330318972703399, 3.3515611218909864, 48_017_369
103, Afghanistan, +368, +3, 9.129042463418525, 0.07442154182134668, 17.148182665424045, 40_310_909
104, Indonesia, +12422, +18, 44.66916071278632, 0.06472749097006551, 3.9510555126162146, 278_088_950
105, Ghana, +115, +2, 3.5830078066885656, 0.06231317924675766, 0, 32_095_939
106, Zambia, +266, +1, 13.857402225738436, 0.05209549708924224, 9.462824617573817, 19_195_517
107, Malawi, +31, +1, 1.557062524197254, 0.05022782336120174, 8.707865168539326, 19_909_284
108, Ivory Coast, +72, +1, 2.6269531670437924, 0.03648546065338601, 2.5797205302758868, 27_408_178
109, Kenya, +101, +2, 1.815266477344558, 0.035945870838506096, 2.574560285495794, 55_639_214
110, Ethiopia, +176, +4, 1.473376718919972, 0.033485834520908454, 5.012816861293079, 119_453_496
111, Angola, +19, +1, 0.5510855587884297, 0.029004503094127877, 0.2796996908582364, 34_477_405
112, China, +81, None, 0.05627642741031188, 0, 0, 1_439_323_776  
113, Spain, None, None, 0, 0, 0, 46_783_375
114, Belgium, None, None, 0, 0, 0, 11_669_262
115, Switzerland, None, None, 0, 0, 0, 8_754_542
116, Sweden, None, None, 0, 0, 0, 10_198_687
117, Hungary, None, None, 0, 0, 0, 9_621_614
118, Ireland, None, None, 0, 0, 0, 5_024_843
119, Tunisia, None, None, 0, 0, 0, 12_013_818
120, Norway, +14040, None, 2558.2335215323455, 0, 0, 5_488_162
121, Ecuador, None, None, 0, 0, 0, 18_065_791
122, Costa Rica, None, None, 0, 0, 0, 5_167_548
123, Myanmar, +174, None, 3.1644615976853743, 0, 1.8739903069466883, 54_985_657
124, Finland, None, None, 0, 0, 0, 5_554_311
125, Moldova, None, None, 0, 0, 0, 4_019_157
126, Honduras, None, None, 0, 0, 0, 10_153_162
127, Singapore, +4498, None, 759.4152806240375, 0, 0, 5_922_978
128, Bosnia and Herzegovina, None, None, 0, 0, 0, 3_248_591
129, Qatar, +1557, None, 554.5256882155278, 0, 58.336455601348824, 2_807_805 
130, Nigeria, +22, None, 0.10271003077318576, 0, 0, 214_195_243
131, Botswana, None, None, 0, 0, 0, 2_426_520
132, Réunion, None, None, 0, 0, 0, 905_399
133, Luxembourg, None, None, 0, 0, 0, 642_046
134, Rwanda, +39, None, 2.8978083429685464, 0, 0.31436401741093023, 13_458_447
135, Cambodia, +57, None, 3.3364348519536056, 0, 0, 17_084_104
136, Cameroon, None, None, 0, 0, 0, 27_587_716
137, Guadeloupe, None, None, 0, 0, 0, 400_232
138, DRC, None, None, 0, 0, 0, 93_852_546
139, Martinique, None, None, 0, 0, 0, 374_805
140, French Guiana, None, None, 0, 0, 0, 310_887
