Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, New Zealand, +17580, +12, 3514.523899962016, 2.3989924231822632, 0, 5_002_100 
2, France, +154615, +53, 2358.2532541767196, 0.8083783751341469, 0, 65_563_357
3, Greece, +19303, +22, 1870.2791873475608, 2.1315931265423167, 11.978281104560969, 10_320_919
4, Italy, +107786, +72, 1787.9868239773039, 1.194357813875326, 28.362124541160682, 60_283_442
5, Singapore, +9989, +2, 1680.8891868460871, 0.3365480402134522, 0, 5_942_688
6, Australia, +43457, +45, 1665.4193043853563, 1.72455228610675, 27.62594958837926, 26_093_729
7, Germany, +135402, +108, 1605.781239398843, 1.2808110209234356, 0, 84_321_573
8, Taiwan, +34548, +95, 1445.3247188387836, 3.974350129954974, 49.45106851981736, 23_903_279
9, Austria, +12529, +11, 1375.3723708998036, 1.2075262255485544, 11.184110689578219, 9_109_533
10, Israel, +10849, +58, 1163.3068839802702, 6.219172206733862, 0, 9_326_000 
11, Portugal, +10504, +17, 1036.1979741856096, 1.6770150001099926, 0, 10_137_059
12, Bahrain, +1579, None, 867.4527762883788, 0, 25.779591836734696, 1_820_272
13, Slovenia, +1470, +2, 706.8969579867575, 0.961764568689466, 236.7149758454106, 2_079_511
14, Hungary, +4663, +14, 485.1663736732057, 1.4566436267263307, 0, 9_611_136
15, Chile, +9232, +18, 474.761651086493, 0.9256617980455886, 16.514319446183567, 19_445_547
16, Croatia, +1794, +4, 442.47318338737637, 0.9865622818001702, 38.35792174470814, 4_054_483
17, UK, +28496, +61, 415.3832922507751, 0.8891907926479956, 0, 68_601_700
18, S. Korea, +19362, +7, 377.0026880474687, 0.1362988749267783, 0, 51_357_724
19, Netherlands, +6433, +4, 373.7735645697755, 0.23241011320987126, 0, 17_210_955
20, Latvia, +685, +4, 371.39892147921955, 2.1687528261560267, 23.934311670160728, 1_844_378
21, Hong Kong, +2815, +1, 369.46829509216167, 0.13124983839863646, 0, 7_619_057
22, Denmark, +2116, +5, 362.7551286306371, 0.8571718540421481, 18.099392695235654, 5_833_136
23, Brazil, +76850, +335, 356.46040228891826, 1.55386122012736, 0, 215_591_969
24, Albania, +974, +2, 339.19648740097483, 0.6965020275174021, 0, 2_871_492
25, Lebanon, +1921, +1, 283.9982158821087, 0.14783873809584, 0, 6_764_127
26, Guatemala, +5133, +20, 276.25396183325205, 1.0763840320796885, 36.09450812179172, 18_580_729
27, USA, +91132, +316, 272.11853680777057, 0.9435703993246664, 10.52580515502497, 334_898_170
28, Japan, +32906, +16, 261.7827121070837, 0.12728752791932593, 46.2487702037948, 125_699_668
29, Qatar, +698, None, 248.59276196174594, 0, 20.69988137603796, 2_807_805 
30, Mexico, +27973, +75, 212.47740419439953, 0.5696852434340244, 61.79420341079791, 131_651_646
31, Bolivia, +2280, +1, 190.1169853182992, 0.08338464268346456, 0, 11_992_616
32, Lithuania, +480, +1, 181.39705207115753, 0.37791052514824486, 0, 2_646_129
33, Peru, +6004, +19, 177.14186092009498, 0.560575509240807, 11.790813220478782, 33_893_739
34, UAE, +1690, +3, 166.82706084972622, 0.29614271156756133, 0.6398243322543397, 10_130_251
35, Serbia, +1334, +3, 153.92133050798077, 0.3461499186836149, 15.683047260757114, 8_666_765
36, Canada, +5833, +38, 151.87599794742178, 0.9894201820678945, 0, 38_406_332
37, Trinidad and Tobago, +195, +4, 138.43699661290813, 2.839733263854526, 11.782477341389729, 1_408_583
38, North Macedonia, +266, None, 127.6880494546376, 0, 27.911857292759706, 2_083_202
39, Iraq, +4819, +2, 114.64528987594066, 0.04758053117905817, 34.487941029127605, 42_033_999
40, Malaysia, +3561, +5, 107.2644252126884, 0.15060997642893625, 6.097707152519735, 33_198_332
41, Dominican Republic, +1080, None, 97.59402710095769, 0, 21.56549520766773, 11_066_251
42, Mongolia, +330, None, 97.51046907854379, 0, 0, 3_384_252
43, Bulgaria, +643, +2, 93.95737199330931, 0.2922468802280227, 16.08706529897423, 6_843_529
44, DPRK, +2150, +1, 82.67467890692846, 0.03845333902647836, 0, 26_005_544
45, Morocco, +3043, +2, 80.526775841004, 0.052925912481764044, 21.93943763518385, 37_788_673
46, Norway, +432, None, 78.45527377439969, 0, 0, 5_506_322
47, Czechia, +538, +1, 50.05187067005965, 0.09303321685884694, 22.013093289689035, 10_748_849
48, Slovakia, +250, None, 45.74608107047294, 0, 40.45307443365696, 5_464_949
49, Mauritania, +196, None, 40.041357001588786, 0, 8.986703347088492, 4_894_939
50, Thailand, +2428, +22, 34.61082733305415, 0.3136071669387114, 0, 70_151_458
