Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Nauru, +729, None, 66508.53024359091, 0, 97.72117962466488, 10_961
2, Aruba, +448, +2, 4160.552759152288, 18.57389624621557, 0, 107_678
3, Brunei , +1179, None, 2644.0313067659395, 0, 0, 445_910
4, France, +140997, +74, 2150.519954931464, 1.1286656926383423, 0, 65_564_144
5, New Zealand, +9569, +20, 1912.99654145259, 3.998320705303773, 273.0099857346647, 5_002_100 
6, Greece, +18948, +22, 1835.9322995604343, 2.131650337256151, 13.31440778008882, 10_320_642
7, Italy, +100690, +105, 1670.2896364176422, 1.7417857962444379, 27.076375331429464, 60_282_958
8, Liechtenstein, +64, None, 1668.9266715343695, 0, 0, 38_348
9, Australia, +41687, +35, 1597.487981093946, 1.3412353812528635, 49.195166277230996, 26_095_345
10, Singapore, +9284, +1, 1562.1900207961078, 0.16826691305429856, 0, 5_942_939
11, Seychelles, +153, None, 1536.57654762383, 0, 0, 99_572
12, Monaco, +56, None, 1406.9644741470277, 0, 0, 39_802
13, Taiwan, +30464, +131, 1274.456968962806, 5.4803657738355955, 49.571230982019365, 23_903_514
14, Austria, +11095, +10, 1217.9174259669217, 1.0977173735618941, 10.635646430659804, 9_109_813
15, Israel, +10668, None, 1143.8987776109802, 0, 0, 9_326_000 
16, Malta, +506, +1, 1139.8732623127714, 2.252713957139864, 23.285780027611597, 443_909
17, Germany, +95919, +104, 1137.5183812470314, 1.2333522206204324, 0, 84_323_033
18, Iceland, +322, None, 931.4434480763668, 0, 15.745721271393641, 345_700
19, British Virgin Islands, +24, None, 783.3920877399138, 0, 10.0, 30_636
20, Tonga, +81, None, 749.2646106599078, 0, 0, 108_106
21, Portugal, +7521, +18, 741.9429494111513, 1.7756911433852842, 0, 10_136_898
22, Bahrain, +1248, None, 685.4894301155061, 0, 25.79045257284563, 1_820_597
23, Barbados, +191, None, 663.0033705564022, 0, 28.005865102639294, 288_083
24, Slovenia, +1323, +2, 636.2066503070671, 0.9617636436992699, 221.9798657718121, 2_079_513
25, Spain, +27871, +157, 595.6459989337742, 3.3553306961573877, 0, 46_791_215
26, Montenegro, +372, None, 592.1435916374044, 0, 29.68874700718276, 628_226
27, Chile, +10185, +40, 523.7461678724484, 2.056931439852522, 16.07278121449312, 19_446_443
28, Grenada, +56, +1, 493.0792801042511, 8.804987144718767, 16.56804733727811, 113_572
29, French Polynesia, +123, None, 432.83035865097685, 0, 0, 284_176
30, Netherlands, +6702, +4, 389.398483925634, 0.23240733149843873, 0, 17_211_161
31, Hong Kong, +2945, +3, 386.5139824878324, 0.39373241000458303, 0, 7_619_388
32, Japan, +47786, +14, 380.1664854897224, 0.11137845387469372, 41.94293037013631, 125_697_561
33, S. Korea, +19310, +12, 375.98842508632157, 0.23365412227011179, 0, 51_357_964
34, Panama, +1578, None, 354.489879403801, 0, 3.873343151693667, 4_451_467
35, Albania, +973, +2, 338.85024247120384, 0.6965061510199463, 0, 2_871_475
36, Brazil, +72551, +274, 336.5070887012528, 1.2708707296128692, 0, 215_600_213
37, Croatia, +1349, +5, 332.72937238213024, 1.2332445232843965, 34.22120750887874, 4_054_346
38, Guatemala, +6041, +12, 325.0900764814631, 0.6457674090014165, 31.019255455712454, 18_582_542
39, Latvia, +595, None, 322.62174904365696, 0, 24.137931034482758, 1_844_265
40, USA, +107977, +303, 322.35878079411236, 0.9045881121036522, 7.302493115257887, 334_959_078
41, Denmark, +1825, +5, 312.86177321138643, 0.8571555430448943, 15.17923979040173, 5_833_247
42, Caribbean Netherlands, +8, None, 299.4684435127648, 0, 0, 26_714
43, Saint Lucia, +48, None, 259.0170303697468, 0, 0, 185_316
44, Mexico, +32295, +48, 245.2926837695456, 0.36457807155715083, 65.62423799073397, 131_659_043
45, Bolivia, +2910, None, 242.63168834885136, 0, 0, 11_993_487
