Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Aruba, +923, +3, 8573.92338275183, 27.867573291717758, 0, 107_652
2, Cayman Islands, +472, None, 7020.5708676057175, 0, 0, 67_231
3, Channel Islands, +660, +2, 3728.8978281995073, 11.299690388483356, 0, 176_996
4, Taiwan, +55220, +154, 2310.3589432563795, 6.443232112667194, 62.170682278766044, 23_901_048
5, Seychelles, +158, None, 1587.3494278509497, 0, 0, 99_537
6, Tonga, +170, None, 1573.5349926414099, 0, 0, 108_037
7, Israel, +10960, None, 1175.2090928586747, 0, 0, 9_326_000 
8, Brunei , +519, None, 1164.5413973150476, 0, 0, 445_669
9, Australia, +30125, +51, 1155.1716700139484, 1.9556433251688419, 36.55414260059215, 26_078_375
10, San Marino, +37, None, 1085.9994129732904, 0, 0, 34_070
11, New Zealand, +5014, +7, 1002.3790008196559, 1.3994122468563204, 0, 5_002_100 
12, DPRK, +23160, None, 890.7797488224187, 0, 0, 25_999_693
13, Dominica, +64, None, 884.7722402709614, 0, 12.052730696798493, 72_335
14, Palau, +16, None, 876.0882658927887, 0, 3.2520325203252036, 18_263
15, Singapore, +4979, +1, 838.1727329397171, 0.16834158122910567, 0, 5_940_303
16, France, +50605, +43, 771.9368457575911, 0.6559289470917186, 0, 65_555_881
17, Greece, +7204, +13, 697.8220377507774, 1.2592568699000701, 7.163739782422784, 10_323_549
18, Chile, +13104, +23, 674.1767958677655, 1.1833078682050218, 14.98165022236958, 19_437_038
19, Bahrain, +1143, None, 628.9951925616779, 0, 25.865580448065174, 1_817_184
20, Caribbean Netherlands, +16, None, 599.2509363295881, 0, 0, 26_700
21, Italy, +35427, +41, 587.6289988466866, 0.6800685621902547, 19.06532701176952, 60_288_039
22, Malta, +260, None, 585.7940438264068, 0, 21.27659574468085, 443_842
23, Austria, +4941, +1, 542.5574319167837, 0.10980721147880666, 8.08555204634342, 9_106_870
24, Saint Pierre Miquelon, +2, None, 348.4927687750479, 0, 4.166666666666666, 5_739
25, Spain, +16090, +81, 343.8755738917867, 1.7311324726684103, 0, 46_790_180
26, Germany, +28471, None, 337.70342832971534, 0, 0, 84_307_702
27, Panama, +1451, +2, 326.24578786559033, 0.4496840632192837, 14.862234968759601, 4_447_567
28, Belize, +134, None, 325.44730789501165, 0, 0, 411_741
29, Barbados, +87, None, 302.0172670561648, 0, 19.954128440366972, 288_063
30, Cabo Verde, +165, None, 290.5983508103291, 0, 0, 567_794
31, USA, +81733, +200, 244.1266028561131, 0.5973758527305081, 19.843163913133203, 334_797_597
32, Netherlands, +3855, +1, 224.01079621630365, 0.058109155957536615, 0, 17_208_992
33, Slovenia, +463, +1, 222.64999660975707, 0.48088552183532846, 81.65784832451499, 2_079_497
34, Paraguay, +1384, +15, 189.48928666730652, 2.053713367058958, 0, 7_303_843
35, Antigua and Barbuda, +18, None, 180.8790722913359, 0, 0, 99_514
36, UK, +12054, +65, 175.75726169544723, 0.9477536096071072, 0, 68_583_226
37, Denmark, +995, None, 170.6080849371065, 0, 14.10347271438696, 5_832_080
38, Saint Kitts and Nevis, +9, None, 166.86752572541022, 0, 0, 53_935
39, Qatar, +442, None, 157.41833923652106, 0, 12.24376731301939, 2_807_805 
40, Montenegro, +98, None, 155.99605871182274, 0, 13.498622589531681, 628_221
41, Hong Kong, +1145, +1, 150.34330137870717, 0.13130419334384905, 0, 7_615_903
42, UAE, +1433, None, 141.54415886371154, 0, 0.37482867217008276, 10_124_049
43, S. Korea, +7186, +9, 139.92675089675504, 0.17524920095613628, 0, 51_355_441
44, Brazil, +28672, +76, 133.04029636619165, 0.3526458748545817, 0, 215_513_651
45, Japan, +15802, +17, 125.69233492872662, 0.13522147157248152, 16.964764992592272, 125_719_679
46, Bahamas, +48, None, 119.82296157427402, 0, 0, 400_591
47, Latvia, +206, +2, 111.62564875634939, 1.0837441626830038, 10.662525879917183, 1_845_454
48, Norway, +595, None, 108.10076226480363, 0, 0, 5_504_124
49, Guyana, +85, +1, 107.05653718703282, 1.2594886727886212, 7.548845470692718, 793_973
50, Guatemala, +1902, +20, 102.45912678104884, 1.0773830366040886, 17.85580172737514, 18_563_500
51, Jamaica, +280, None, 93.75724107263642, 0, 18.064516129032256, 2_986_436
52, Trinidad and Tobago, +132, +5, 93.72683456077617, 3.5502588848778855, 8.588158750813273, 1_408_348
53, Kuwait, +390, None, 88.75626528200823, 0, 5.804435183807114, 4_394_056
54, Vanuatu, +28, None, 87.17961491518669, 0, 0, 321_176
55, Dominican Republic, +963, None, 87.06573815833633, 0, 16.333107191316145, 11_060_608
56, Ecuador, +1425, +9, 78.43951493224147, 0.4954074627299461, 0, 18_166_864
57, Mexico, +9406, +69, 71.48428491790723, 0.5243903528955558, 44.98756456858619, 131_581_368
58, Lebanon, +442, +1, 65.3294718984242, 0.14780423506430815, 0, 6_765_706
59, Malaysia, +2130, +1, 64.20147858717925, 0.030141539242807158, 5.137357999083476, 33_176_806
60, French Polynesia, +18, None, 63.36176399150952, 0, 0, 284_083
61, Lithuania, +166, None, 62.68678585212112, 0, 17.2020725388601, 2_648_086
62, Morocco, +1734, None, 45.914353367031396, 0, 19.467834287638937, 37_765_968
63, Peru, +1400, +13, 41.33464978287942, 0.3838217479838803, 4.388164493480441, 33_869_889
64, Albania, +115, None, 40.046593340773875, 0, 7.511430437622469, 2_871_655
65, Serbia, +325, +1, 37.49170568111239, 0.11535909440342275, 5.6286802909594735, 8_668_584
66, North Macedonia, +72, +2, 34.562095845492074, 0.9600582179303353, 9.32642487046632, 2_083_207
67, Czechia, +370, +2, 34.42558263670376, 0.18608423046866895, 7.509640755023341, 10_747_821
68, Bolivia, +378, None, 31.541137528621704, 0, 0, 11_984_349
69, Slovakia, +171, +4, 31.291103884269027, 0.7319556464156498, 21.951219512195124, 5_464_812
70, Bulgaria, +208, +4, 30.38168895606618, 0.5842632491551187, 6.617881005408845, 6_846_229
71, Thailand, +1967, +19, 28.04295622029765, 0.27087756389713036, 0, 70_142_391
72, Saudi Arabia, +945, +3, 26.342254232970284, 0.08362620391419137, 3.3024637427922414, 35_873_923
73, Namibia, +66, None, 25.086758372705606, 0, 7.737397420867527, 2_630_870
74, Russia, +3373, +63, 23.093756887303904, 0.4313390702342561, 0, 146_056_790
75, Canada, +782, +6, 20.37032734126175, 0.15629407167208503, 0, 38_389_172
76, St. Vincent Grenadines, +2, +1, 17.916491234356666, 8.958245617178333, 66.66666666666666, 111_629
77, Croatia, +68, +2, 16.766149932282016, 0.4931220568318239, 10.089020771513352, 4_055_791
78, Eswatini, +19, +1, 16.052028849720063, 0.844843623669477, 5.919003115264798, 1_183_651
79, South Africa, +971, +5, 15.978081297695333, 0.0822764227481737, 7.232235960077461, 60_770_751
80, Gabon, +31, None, 13.31384644324887, 0, 3.199174406604747, 2_328_403
81, India, +13216, +23, 9.396157502248345, 0.01635227168218159, 2.542012644666409, 1_406_532_404
82, Zambia, +173, +1, 8.921943514917746, 0.051571927831894494, 2.884294764921641, 19_390_394
83, Iraq, +339, +1, 8.073922067693811, 0.023816879255733957, 6.275453535727508, 41_987_029
84, Vietnam, +723, None, 7.29927022037678, 0, 454.7169811320755, 99_050_998
85, Zimbabwe, +109, +4, 7.130728362687947, 0.2616781050527687, 0, 15_285_956
86, Ethiopia, +856, +4, 7.1019400359640255, 0.03318663568207489, 15.051872692104801, 120_530_446
87, Kenya, +390, None, 6.953503190062224, 0, 11.631374888159856, 56_086_837
88, Bosnia and Herzegovina, +16, None, 4.936843881877371, 0, 4.804804804804805, 3_240_937
89, Philippines, +539, +6, 4.79397594852483, 0.05336522391678846, 2.863974495217853, 112_432_771
90, Venezuela, +130, None, 4.597139087185697, 0, 0, 28_278_457
91, Indonesia, +1220, +6, 4.369958697442829, 0.021491600151358176, 1.6136498908802328, 279_178_840
92, Equatorial Guinea, +6, None, 4.0185334763931255, 0, 0.47206923682140045, 1_493_082
93, Mozambique, +98, None, 2.9726527774420064, 0, 11.212814645308924, 32_967_187
94, Uganda, +132, None, 2.7180255998476586, 0, 6.0606060606060606, 48_564_664
95, Bangladesh, +433, None, 2.5789549592067993, 0, 6.270818247646632, 167_897_465
96, Cuba, +26, None, 2.2982202405670877, 0, 0, 11_313_102
97, Laos, +17, None, 2.2721255239755354, 0, 0, 7_481_981
98, Rwanda, +25, None, 1.8409599147915385, 0, 0.5714285714285714, 13_579_872
99, Iran, +156, +1, 1.8119527133306592, 0.011615081495709355, 0, 86_094_962
100, Uzbekistan, +59, None, 1.7142395252846554, 0, 0, 34_417_594
101, Ivory Coast, +45, +1, 1.627179833384017, 0.03615955185297815, 4.446640316205533, 27_655_210
102, South Sudan, +18, None, 1.5720079187278895, 0, 2.3047375160051216, 11_450_324
103, Azerbaijan, +16, None, 1.5507085575076391, 0, 0, 10_317_864
104, Malawi, +27, None, 1.3435320352524893, 0, 6.8181818181818175, 20_096_283
105, Poland, +48, None, 1.270998483698809, 0, 2.757036186099943, 37_765_584
106, Togo, +11, None, 1.2704955475483537, 0, 2.2821576763485476, 8_658_039
107, Mauritania, +6, None, 1.2273520309505452, 0, 0.8595988538681949, 4_888_573
