Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Hong Kong, +25150, +280, 3309.657330055347, 36.84707961890645, 0, 7_598_974
2, Finland, +22369, +184, 4026.710325814491, 33.12238812418375, 94.53154714110636, 5_555_155
3, Hungary, +5852, +150, 608.3659044385241, 15.59379454302437, 13.944289560845426, 9_619_211
4, Bulgaria, +2462, +91, 358.8543073375795, 13.263908191600216, 11.26412590931967, 6_860_723
5, Barbados, +96, +3, 333.37384751619123, 10.417932734880976, 13.872832369942195, 287_965
6, Georgia, +910, +32, 228.85453276580762, 8.047631921434993, 13.612565445026178, 3_976_325
7, Ireland, +2383, +39, 473.7324030180512, 7.753069121990765, 8.762317987939403, 5_030_266
8, Chile, +14114, +149, 727.8499665753184, 7.683834846232283, 20.787981441932395, 19_391_359
9, Estonia, +1394, +9, 1049.674292241672, 6.776950236854411, 42.65605875152999, 1_328_031
10, Denmark, +11641, +37, 1997.9713065163626, 6.350394153518204, 18.83931316858442, 5_826_410
11, Lithuania, +2239, +16, 842.1751062216391, 6.018223179788399, 42.55036107943748, 2_658_592
12, Greece, +8639, +52, 835.681703068816, 5.030147998562152, 9.671208033405353, 10_337_668
13, Croatia, +157, +20, 38.6432145838015, 4.922702494751784, 11.56963890935888, 4_062_809
14, Latvia, +2594, +9, 1401.2335608942399, 4.861643040882097, 44.17574931880109, 1_851_226
15, Luxembourg, +1611, +3, 2505.252321362758, 4.665274341457649, 31.336315891849836, 643_049
16, Russia, +73162, +668, 500.97436027713337, 4.574107769950591, 0, 146_039_410
17, Bosnia and Herzegovina, +96, +14, 29.569450322399415, 4.312211505349914, 3.038936372269706, 3_246_594
18, Trinidad and Tobago, +132, +6, 93.81076379018228, 4.264125626826467, 31.27962085308057, 1_407_088
19, Armenia, +60, +12, 20.184812139953415, 4.036962427990683, 2.3094688221709005, 2_972_532
20, Israel, +7529, +35, 807.3128886982629, 3.7529487454428483, 0, 9_326_000 
21, French Polynesia, +550, +1, 1939.1392337226891, 3.5257076976776163, 0, 283_631
22, North Macedonia, +124, +7, 59.52292376601539, 3.36016505130732, 0, 2_083_231
23, French Guiana, +84, +1, 269.53226525825363, 3.2087174435506385, 3.5443037974683547, 311_651
24, Slovakia, +3419, +17, 625.7232465794315, 3.111229947894219, 52.087141986593544, 5_464_077
25, Serbia, +2231, +26, 257.07663649271416, 2.995962594715629, 16.365903755868544, 8_678_346
26, Czechia, +2572, +31, 239.42728843662078, 2.885787691110126, 17.817803948735712, 10_742_301
27, S. Korea, +210713, +139, 4104.011077614293, 2.7072726399813334, 0, 51_343_185
28, France, +14496, +176, 221.25979029926316, 2.6863771449137914, 0, 65_515_745
29, Malaysia, +26856, +77, 812.3107054571848, 2.329011182611082, 18.03578144307742, 33_061_241
30, Malta, +72, +1, 162.33949246361453, 2.2547151731057573, 0, 443_515
31, Italy, +22083, +130, 366.1416817593928, 2.1554326236798014, 11.729181936964212, 60_312_718
32, Austria, +26153, +18, 2876.3022848198043, 1.9796367960370311, 14.437525531891401, 9_092_577
33, Iran, +6426, +168, 74.8991545125616, 1.958147830393767, 7.882148026396487, 85_795_361
34, Slovenia, +744, +4, 357.79259282770124, 1.923616090471512, 123.17880794701988, 2_079_417
35, Portugal, +5606, +17, 552.4869501320903, 1.675397458481187, 0, 10_146_846
36, Romania, +3188, +31, 167.59132781116054, 1.629652183860093, 12.718930779972073, 19_022_464
37, Argentina, +6286, +74, 136.97616422984487, 1.612509728445517, 14.951714951714951, 45_891_196
38, Montenegro, +53, +1, 84.36816995888246, 1.5918522633751406, 6.148491879350348, 628_199
39, Costa Rica, +820, +8, 158.54236919142812, 1.5467548213797866, 0.9248607069545013, 5_172_119
40, Turkey, +34343, +132, 399.9849384001881, 1.5373733182548068, 9.239838142077678, 85_860_733
41, USA, +25751, +508, 77.03936744585226, 1.5197855874526407, 1.4394517439049273, 334_257_677
42, Paraguay, +320, +11, 43.959485838863756, 1.5111073257109418, 16.16978271854472, 7_279_430
43, Uruguay, +1508, +5, 431.6069057104914, 1.4310573796766954, 20.822977078155205, 3_493_920
44, Peru, +489, +47, 14.49238724381853, 1.3929288352954416, 2.6995693938390195, 33_741_853
