Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Montserrat, +41, None, 8203.28131252501, 0, 7.06896551724138, 4_998
2, Cyprus, +3444, +12, 2814.7373238745954, 9.80744712151427, 0, 1_223_560
3, Taiwan, +44463, +11, 1860.6697607664873, 0.46032358069476553, 34.0417875709156, 23_896_234
4, Australia, +44953, +41, 1725.9581720930767, 1.574183815447604, 51.551014323230234, 26_045_243
5, Grenada, +180, None, 1586.126678650735, 0, 28.48101265822785, 113_484
6, Barbados, +455, +2, 1579.729466988862, 6.9438657889620305, 30.598520511096165, 288_024
7, New Zealand, +6838, +11, 1367.02584914336, 2.1990763879170747, 0, 5_002_100 
8, S. Korea, +39552, +83, 770.2357176015803, 1.6163421460591416, 0, 51_350_514
9, Italy, +40522, +113, 672.029379966244, 1.8740269467495576, 13.261422358073457, 60_297_959
10, Panama, +2672, +1, 601.8081722937158, 0.22522760939136066, 21.61637407976701, 4_439_953
11, France, +37958, +62, 579.1599931083042, 0.9459908207153924, 0, 65_539_748
12, Germany, +48406, +102, 574.3626106860683, 1.210283565879828, 0, 84_277_770
13, Austria, +5168, +14, 567.841887678721, 1.538271367550715, 5.162940318487882, 9_101_125
14, Trinidad and Tobago, +754, +2, 535.5714632749982, 1.4206139609416397, 0, 1_407_842
15, Singapore, +3162, +4, 532.7577797041527, 0.6739503854574986, 0, 5_935_155
16, Greece, +4698, +20, 454.8260353343097, 1.9362538754121317, 5.074859031693564, 10_329_224
17, Brunei , +162, None, 363.88058427541716, 0, 0, 445_201
18, Slovenia, +747, +3, 359.22701271721337, 1.4426787659325837, 82.26872246696036, 2_079_465
19, Bahrain, +641, None, 354.0417371574259, 0, 15.933383047477006, 1_810_521
20, Malta, +132, None, 297.4909344145176, 0, 10.288386593920498, 443_711
21, Israel, +2495, None, 267.53163199656876, 0, 0, 9_326_000 
22, Croatia, +835, +7, 205.7353597732427, 1.724727566961316, 25.57427258805513, 4_058_612
23, Monaco, +8, None, 201.23254936485975, 0, 0, 39_755
24, Japan, +23615, +35, 187.77403758152445, 0.27830155898172165, 10.491545453737682, 125_762_860
25, Chile, +3322, +15, 171.0724165194158, 0.7724522118576873, 6.661586588593887, 19_418_677
26, Denmark, +846, +8, 145.1164456556922, 1.3722595333871601, 8.175492848859683, 5_829_801
27, South Africa, +8524, +11, 140.4584362988365, 0.1812579539285783, 31.082263710618435, 60_686_992
28, Montenegro, +82, None, 130.528976636905, 0, 8.532778355879293, 628_213
29, Liechtenstein, +5, None, 130.44612575006522, 0, 0, 38_330
30, Thailand, +8450, +58, 120.5028445373836, 0.827120116351272, 0, 70_122_826
31, USA, +31143, +87, 93.08071894312332, 0.2600270541711373, 14.016193129396514, 334_580_570
32, Slovakia, +489, +7, 89.4864247812615, 1.2809917657849295, 17.991169977924944, 5_464_516
33, Saint Kitts and Nevis, +4, None, 74.22114189226802, 0, 0, 53_893
34, Czechia, +792, +5, 73.7045723450394, 0.4653066435924204, 8.421052631578947, 10_745_602
35, Lithuania, +195, +3, 73.52084542185695, 1.1310899295670303, 0, 2_652_309
36, Brazil, +14622, +36, 67.90045663033865, 0.16717387762906522, 0, 215_344_649
37, Bahamas, +23, None, 57.47557288152535, 0, 0, 400_170
38, Canada, +2164, +24, 56.424488624390264, 0.6257799108065464, 0, 38_352_142
39, Belarus, +493, +3, 52.20470087977099, 0.3176756645827849, 4.443442992338891, 9_443_594
40, Serbia, +428, +5, 49.3513525729812, 0.576534492675014, 6.469165659008465, 8_672_508
41, Guyana, +37, None, 46.62603900457187, 0, 2.857142857142857, 793_548
42, Bhutan, +33, None, 41.9170575749839, 0, 10.96345514950166, 787_269
43, Malaysia, +1372, +3, 41.412175716932445, 0.09055140462886102, 6.233813439956382, 33_130_353
44, Russia, +5500, +132, 37.65838672402463, 0.9038012813765912, 0, 146_049_804
45, Hong Kong, +278, None, 36.53521087519177, 0, 0, 7_609_098
46, Vietnam, +3345, None, 33.803931216306474, 0, 369.205298013245, 98_952_988
47, Guatemala, +610, +15, 32.92612354863942, 0.8096587757862151, 0, 18_526_323
48, Namibia, +84, None, 31.991359286196605, 0, 4.938271604938271, 2_625_709
49, Romania, +590, +6, 31.050683557115786, 0.3157696632927029, 3.5403540354035403, 19_001_192
50, Norway, +166, None, 30.185209901767145, 0, 0, 5_499_382
51, Bulgaria, +201, +1, 29.334265413806513, 0.14594161897416175, 3.3958438925494168, 6_852_055
52, Qatar, +77, None, 27.42355683532154, 0, 2.6208304969366916, 2_807_805 
53, Laos, +167, +1, 22.355645114976955, 0.13386613841303568, 0, 7_470_149
54, Turkey, +1661, +11, 19.311280672397167, 0.12788927597614017, 1.6245769840183093, 86_011_903
55, UAE, +191, None, 18.890943375139024, 0, 0.11220839036770278, 10_110_665
56, Poland, +704, +14, 18.639027953511512, 0.37066248771187665, 6.440398865611563, 37_770_210
57, Albania, +44, None, 15.320307589993751, 0, 4.531410916580844, 2_872_005
58, Lebanon, +102, +2, 15.068443974860518, 0.2954596857815788, 0, 6_769_113
59, Bosnia and Herzegovina, +47, None, 14.491810739418435, 0, 5.516431924882629, 3_243_211
60, Eswatini, +17, +1, 14.378680307805254, 0.8458047239885444, 5.944055944055944, 1_182_306
61, Cuba, +123, None, 10.871608687847212, 0, 0, 11_313_873
62, Cabo Verde, +6, None, 10.57980878758918, 0, 0, 567_118
63, St. Vincent Grenadines, +1, None, 8.961456774413248, 0, 0, 111_589
64, Peru, +300, +20, 8.870904214814978, 0.5913936143209985, 1.0996261271167804, 33_818_424
65, Bolivia, +83, +1, 6.9360251127563695, 0.08356656762357072, 0, 11_966_508
66, Saudi Arabia, +234, None, 6.533913552302833, 0, 1.9214977828871735, 35_813_146
67, Zimbabwe, +55, +3, 3.6037903749835616, 0.19657038409001246, 4.6179680940386225, 15_261_709
68, Mauritania, +17, None, 3.4872975187878152, 0, 1.814300960512273, 4_874_835
69, Zambia, +63, +2, 3.2587618277536436, 0.1034527564366236, 0.6977516890021044, 19_332_496
70, Iran, +270, +8, 3.140464826479897, 0.09305080967347842, 0, 85_974_534
71, India, +3765, +40, 2.679689075868696, 0.028469472253585083, 0.44390366406219606, 1_405_013_751
72, Venezuela, +47, None, 1.6615146162203491, 0, 0, 28_287_443
