Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Finland, +29754, +211, 5354.772098243168, 37.97327797033369, 55.78386891147025, 5_556_539
2, Malta, +167, +5, 376.37704415556317, 11.26877377711267, 9.800469483568076, 443_704
3, Barbados, +1155, +3, 4010.110338793564, 10.415871009853415, 34.31372549019608, 288_022
4, UK, +7406, +438, 108.05146056584913, 6.3902970196924, 2.4377077778874954, 68_541_415
5, Channel Islands, +223, +1, 1261.2551468259355, 5.655852676349487, 0, 176_808
6, Canada, +11631, +188, 303.28287084629454, 4.902173477697823, 50.894849691506586, 38_350_336
7, New Zealand, +8697, +21, 1738.6697587013455, 4.198236740568961, 201.73973556019487, 5_002_100 
8, Greece, +5191, +31, 502.5412166570292, 3.001113025692141, 4.252164581951032, 10_329_501
9, Austria, +5755, +22, 632.3588633802685, 2.417357948630045, 3.592182711333321, 9_100_845
10, Italy, +48255, +138, 800.2694198919862, 2.288616308052929, 14.748852306695436, 60_298_443
11, Croatia, +961, +9, 236.7724636334989, 2.217432021541613, 21.737163537661164, 4_058_749
12, Australia, +54868, +57, 2106.772689793656, 2.188635330579544, 53.2647315794583, 26_043_626
13, Denmark, +808, +11, 138.6008518463246, 1.8868927850365973, 9.160997732426305, 5_829_690
14, Germany, +87201, +159, 1034.7035962384161, 1.886651205856678, 0, 84_276_309
15, France, +44225, +122, 674.7894584413689, 1.8614881612175695, 0, 65_538_961
16, Bulgaria, +439, +12, 64.06571537105796, 1.7512268438557987, 6.888435587635336, 6_852_339
17, Slovakia, +553, +9, 101.19860876617851, 1.646993632722616, 18.125204850868567, 5_464_502
18, Latvia, +622, +3, 336.6006687638367, 1.6234758943593413, 10.087577035355173, 1_847_887
19, Montenegro, +65, +1, 103.46825593907789, 1.5918193221396597, 6.4484126984126995, 628_212
20, S. Korea, +42277, +79, 823.3062203329237, 1.5384533293824294, 0, 51_350_274
21, Slovenia, +990, +3, 476.08445064903776, 1.4426801534819327, 102.9106029106029, 2_079_463
22, Trinidad and Tobago, +418, +2, 296.91359033169795, 1.4206391881899423, 42.91581108829568, 1_407_817
23, South Africa, +9757, +64, 160.78663075232424, 1.0546627414316645, 25.937051411558297, 60_682_906
24, Ireland, +1147, +5, 227.6175723147179, 0.9922300449638968, 0, 5_039_154
25, Russia, +5011, +139, 34.310293903648244, 0.9517323593308933, 0, 146_049_463
26, Bosnia and Herzegovina, +142, +3, 43.7822701538731, 0.9249775384621077, 4.741235392320534, 3_243_322
27, Guatemala, +607, +17, 32.76740020477736, 0.9177031358833857, 7.140336431008117, 18_524_509
28, Romania, +685, +17, 36.04904564756453, 0.8946478481877329, 3.3954595023297314, 19_001_890
29, Chile, +3309, +17, 170.41082088627942, 0.8754862360431401, 5.824371182651858, 19_417_781
30, Eswatini, +131, +1, 110.80651068606147, 0.8458512266111563, 17.7027027027027, 1_182_241
31, Thailand, +9790, +54, 139.61407077095717, 0.7700878265200907, 0, 70_121_872
32, Poland, +912, +29, 24.145869646457605, 0.7677962935825335, 7.341221927070755, 37_770_435
33, Brazil, +21682, +151, 100.68896617829206, 0.7012283872761784, 0, 215_336_405
34, Singapore, +4733, +4, 797.4855195635852, 0.6739788882853034, 0, 5_934_904
35, USA, +66611, +225, 199.0943700409609, 0.6725050405971417, 12.538895215864917, 334_569_983
36, Jamaica, +123, +2, 41.20712072446809, 0.6700344833246843, 4.983792544570503, 2_984_921
37, Hong Kong, +321, +5, 42.18818136870026, 0.6571367814439293, 0, 7_608_766
38, Bahrain, +658, +1, 363.49654954491115, 0.5524263670895306, 15.074455899198167, 1_810_196
39, Belarus, +189, +5, 20.013530841115752, 0.5294584878602052, 6.733167082294264, 9_443_611
40, North Macedonia, +138, +1, 66.24369904815485, 0.4800268046967743, 9.691011235955056, 2_083_217
41, Serbia, +597, +4, 68.83670239218495, 0.46121743646355073, 6.502559634026794, 8_672_699
42, Peru, +829, +15, 24.515085545671944, 0.4435781461822426, 2.4019934517428214, 33_815_913
43, Namibia, +49, +1, 18.663417454561245, 0.38088607050124984, 8.419243986254296, 2_625_457
44, Lithuania, +186, +1, 70.1221293753287, 0.37700069556628335, 8.11872544740288, 2_652_515
45, Czechia, +1211, +4, 112.69840176728961, 0.37224905620904913, 10.487572529661383, 10_745_494
46, Lebanon, +64, +2, 9.454476694714948, 0.29545239670984214, 0, 6_769_280
47, Laos, +230, +2, 30.791590200884336, 0.26775295826855944, 0, 7_469_572
48, Colombia, +978, +12, 18.85133241718685, 0.23130469223542147, 1.0267716535433071, 51_879_622
49, Taiwan, +30106, +5, 1259.8761826195255, 0.20924004893036696, 48.31338062072729, 23_895_999
50, Japan, +26720, +25, 212.4598021005325, 0.1987834974743006, 26.97110094984304, 125_764_967
51, Turkey, +1253, +11, 14.568590604663598, 0.1278966453721465, 1.2373719917442698, 86_006_947
52, Bolivia, +62, +1, 5.181503903093174, 0.083572643598277, 1.3644366197183098, 11_965_638
53, Iran, +228, +7, 2.652129306797725, 0.08142502257712314, 0, 85_968_659
54, Indonesia, +250, +19, 0.8965739638715193, 0.06813962125423546, 0.1576570895240017, 278_839_237
55, Zimbabwe, +100, +1, 6.552854075934211, 0.0655285407593421, 0, 15_260_526
56, Malaysia, +1278, +2, 38.577536940180096, 0.06037173230075132, 7.807440894373512, 33_128_087
57, Saudi Arabia, +159, +2, 4.440078088407316, 0.05585003884789077, 1.529140219272937, 35_810_181
58, Vietnam, +4305, +2, 43.507609996409535, 0.0202125946557071, 456.0381355932203, 98_948_207
59, China, +373, +13, 0.2591494743709424, 0.009032019214000672, 0, 1_439_323_776 
60, India, +3155, None, 2.2456480284310003, 0, 0, 1_404_939_670
61, Spain, None, None, 0, 0, 0, 46_788_060
62, Argentina, None, None, 0, 0, 0, 45_957_986
63, Netherlands, None, None, 0, 0, 0, 17_204_551
64, Mexico, None, None, 0, 0, 0, 131_422_318
65, Ukraine, None, None, 0, 0, 0, 43_250_980
66, Israel, None, None, 0, 0, 0, 9_326_000 
67, Belgium, None, None, 0, 0, 0, 11_682_324
68, Portugal, None, None, 0, 0, 0, 10_142_074
69, Philippines, +168, None, 1.496507258950984, 0, 0.8230855911028367, 112_261_400
70, Switzerland, None, None, 0, 0, 0, 8_770_946
71, Sweden, None, None, 0, 0, 0, 10_215_004
72, Iraq, +45, None, 1.074479812685218, 0, 2.2004889975550124, 41_880_731
73, Bangladesh, +4, None, 0.023851427644493946, 0, 0.18083182640144665, 167_704_846
74, Hungary, None, None, 0, 0, 0, 9_615_274
75, Jordan, None, None, 0, 0, 0, 10_389_291
76, Georgia, None, None, 0, 0, 0, 3_975_095
77, Pakistan, +21, None, 0.09179399054118004, 0, 0.6782945736434108, 228_773_146
78, Norway, +337, None, 61.28219815789713, 0, 0, 5_499_150
79, Kazakhstan, +9, None, 0.46900734335219874, 0, 0, 19_189_465
80, Morocco, +58, None, 1.537866706304739, 0, 0, 37_714_582
81, Cuba, +118, None, 10.429638345219438, 0, 0, 11_313_911
82, Tunisia, None, None, 0, 0, 0, 12_045_897
83, Nepal, +15, None, 0.4983430922753665, 0, 0.6313131313131313, 30_099_745
84, Uruguay, None, None, 0, 0, 0, 3_495_855
85, UAE, +196, None, 19.38672278529442, 0, 0.09621095724993742, 10_110_012
86, Ecuador, +288, None, 15.88056842068464, 0, 0, 18_135_371
87, Costa Rica, None, None, 0, 0, 0, 5_179_610
88, Azerbaijan, +11, None, 1.0672215701390628, 0, 0.17588743204349216, 10_307_138
89, Panama, +2117, None, 476.84680153374836, 0, 18.403894636181867, 4_439_581
90, Sri Lanka, +34, None, 1.5756599466314707, 0, 0, 21_578_260
91, Paraguay, None, None, 0, 0, 0, 7_293_551
92, Kuwait, None, None, 0, 0, 0, 4_386_633
93, Myanmar, +14, None, 0.2541749183494847, 0, 0.1597991096906746, 55_080_179
94, Palestine, None, None, 0, 0, 0, 5_319_279
95, Dominican Republic, None, None, 0, 0, 0, 11_047_837
96, Estonia, None, None, 0, 0, 0, 1_328_174
97, Venezuela, +23, None, 0.8130690312222396, 0, 0, 28_287_881
98, Moldova, None, None, 0, 0, 0, 4_016_734
99, Egypt, None, None, 0, 0, 0, 105_880_852
100, Libya, None, None, 0, 0, 0, 7_043_003
101, Cyprus, None, None, 0, 0, 0, 1_223_512
102, Ethiopia, +39, None, 0.32447306925524066, 0, 1.0896898575020955, 120_194_875
103, Mongolia, None, None, 0, 0, 0, 3_375_301
104, Honduras, None, None, 0, 0, 0, 10_194_082
105, Armenia, None, None, 0, 0, 0, 2_973_422
106, Oman, None, None, 0, 0, 0, 5_345_206
107, Réunion, None, None, 0, 0, 0, 907_055
108, Qatar, +69, None, 24.574356125158264, 0, 2.2315653298835705, 2_807_805 
109, Kenya, +12, None, 0.21448733237814976, 0, 0.48543689320388345, 55_947_360
110, Zambia, None, None, 0, 0, 0, 19_329_671
111, Botswana, None, None, 0, 0, 0, 2_438_867
112, Albania, +55, None, 19.150271133020567, 0, 4.296875, 2_872_022
113, Algeria, +4, None, 0.08828848598291163, 0, 0, 45_306_021
114, Nigeria, None, None, 0, 0, 0, 215_525_408
115, Luxembourg, +543, None, 842.2626618602371, 0, 28.474042999475618, 644_692
116, Uzbekistan, +15, None, 0.43654672564781566, 0, 0, 34_360_583
117, Mozambique, +7, None, 0.21299960960214412, 0, 1.3282732447817838, 32_863_910
118, Kyrgyzstan, None, None, 0, 0, 0, 6_721_988
119, Maldives, None, None, 0, 0, 0, 558_038
120, Afghanistan, +4, None, 0.09867035529344871, 0, 2.2988505747126435, 40_539_025
121, Uganda, None, None, 0, 0, 0, 48_394_130
122, El Salvador, None, None, 0, 0, 0, 6_546_355
123, Ghana, +6, None, 0.18596211654146663, 0, 2.42914979757085, 32_264_636
124, Martinique, None, None, 0, 0, 0, 374_730
125, Brunei , +146, None, 327.9587041587859, 0, 0, 445_178
126, Guadeloupe, None, None, 0, 0, 0, 400_250
127, Cambodia, +1, None, 0.058328845900788705, 0, 0, 17_144_176
128, Rwanda, +6, None, 0.4430648062769286, 0, 0.12634238787113075, 13_542_037
129, Cameroon, None, None, 0, 0, 0, 27_759_755
130, Angola, None, None, 0, 0, 0, 34_744_019
131, DRC, None, None, 0, 0, 0, 94_562_480
132, Senegal, +2, None, 0.11393115402403982, 0, 0.2457002457002457, 17_554_461
133, Malawi, +2, None, 0.09981028061860017, 0, 0.7434944237918215, 20_038_016
134, Ivory Coast, +1, None, 0.03626047728360871, 0, 0.10121457489878542, 27_578_236
135, French Guiana, None, None, 0, 0, 0, 312_903
136, Suriname, None, None, 0, 0, 0, 596_292
137, French Polynesia, None, None, 0, 0, 0, 283_892
138, Fiji, +9, None, 9.907704230809877, 0, 2.857142857142857, 908_384
139, Madagascar, None, None, 0, 0, 0, 28_998_729
140, Guyana, +15, None, 18.902924660503473, 0, 1.557632398753894, 793_528
141, Sudan, None, None, 0, 0, 0, 45_730_136
142, New Caledonia, None, None, 0, 0, 0, 290_542
143, Mauritania, +8, None, 1.641306767415547, 0, 1.098901098901099, 4_874_165
144, Belize, +17, None, 41.373502948470524, 0, 2.0987654320987654, 410_891
145, Cabo Verde, +10, None, 17.634040752268177, 0, 0, 567_085
146, Syria, +4, None, 0.21879853566892019, 0, 0, 18_281_658
147, Gabon, None, None, 0, 0, 0, 2_322_216
148, Papua New Guinea, None, None, 0, 0, 0, 9_258_431
149, Seychelles, +367, None, 3689.703014095269, 0, 0, 99_466
150, Curaçao, None, None, 0, 0, 0, 165_326
151, Andorra, None, None, 0, 0, 0, 77_492
152, Mauritius, +19, None, 14.894402605109407, 0, 0, 1_275_647
153, Mayotte, None, None, 0, 0, 0, 284_907
154, Togo, +1, None, 0.11580531828975926, 0, 0.3225806451612903, 8_635_182
155, Guinea, None, None, 0, 0, 0, 13_787_140
156, Aruba, None, None, 0, 0, 0, 107_599
157, Tanzania, None, None, 0, 0, 0, 62_859_450
158, Bahamas, +29, None, 72.47282269149069, 0, 0, 400_150
159, Lesotho, None, None, 0, 0, 0, 2_173_460
160, Mali, +14, None, 0.6565923205618779, 0, 2.3972602739726026, 21_322_211
161, Haiti, None, None, 0, 0, 0, 11_657_984
162, Benin, None, None, 0, 0, 0, 12_706_506
163, Somalia, None, None, 0, 0, 0, 16_707_698
164, Congo, None, None, 0, 0, 0, 5_767_599
165, Saint Lucia, +74, None, 399.6349280927153, 0, 0, 185_169
166, Burkina Faso, None, None, 0, 0, 0, 21_956_149
167, Nicaragua, None, None, 0, 0, 0, 6_769_400
168, Equatorial Guinea, +2, None, 1.3444121860209364, 0, 0.26702269692923897, 1_487_639
169, Djibouti, None, None, 0, 0, 0, 1_014_403
170, Grenada, +154, None, 1357.0553660965272, 0, 21.300138312586444, 113_481
171, Gambia, None, None, 0, 0, 0, 2_541_378
172, Yemen, None, None, 0, 0, 0, 31_032_824
173, Niger, None, None, 0, 0, 0, 25_815_793
174, Guinea-Bissau, +3, None, 1.4609545292512316, 0, 1.1904761904761905, 2_053_452
175, Comoros, None, None, 0, 0, 0, 903_635
176, Liberia, None, None, 0, 0, 0, 5_276_068
177, Chad, None, None, 0, 0, 0, 17_291_623
