Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Bermuda, +307, +2, 4963.862434717933, 32.337866024221064, 3.343134052052706, 61_847
2, Iceland, +152, +8, 440.0796775837309, 23.162088293880576, -0.04488820769064937, 345_392
3, Hungary, +4749, +103, 493.94627187576646, 10.713090335481985, 0, 9_614_406
4, Antigua and Barbuda, +60, +1, 603.330383718124, 10.055506395302068, 0, 99_448
5, Grenada, +134, +1, 1180.6167400881059, 8.810572687224669, 17.245817245817246, 113_500
6, Ireland, +792, +33, 157.10819358903353, 6.5461747328763975, 13.936301249340138, 5_041_112
7, New Zealand, +9663, +30, 1931.7886487675175, 5.997481057955659, 226.93752935650542, 5_002_100 
8, Malta, +76, +2, 171.2691494683896, 4.507082880747094, 5.0, 443_746
9, Latvia, +164, +7, 88.78537813097034, 3.789619798273124, 5.01682471703885, 1_847_151
10, Barbados, +403, +1, 1399.1403792607816, 3.4718123554858105, 25.767263427109977, 288_034
11, Belize, +80, +1, 194.57713524083783, 2.4322141905104733, 8.040201005025125, 411_148
12, Canada, +5530, +91, 144.1527787976652, 2.3721343346451236, 7.864161890811872, 38_362_077
13, Italy, +30408, +136, 504.3179404191342, 2.2555656372336967, 11.506283275249459, 60_295_297
14, Australia, +56259, +53, 2159.312004713878, 2.034226279347936, 52.23919402014949, 26_054_132
15, Germany, +64582, +166, 766.2263394308412, 1.969489522553028, 0, 84_285_800
16, Greece, +4626, +20, 447.9215221353211, 1.9365392223749291, 3.9473684210526314, 10_327_702
17, Taiwan, +84398, +41, 3531.6627977165003, 1.7156588391475687, 55.86940547983291, 23_897_525
18, Trinidad and Tobago, +434, +2, 308.2436715940672, 1.4204777492814158, 11.975717439293598, 1_407_977
19, Denmark, +686, +8, 117.65892358893333, 1.3721157269846453, 8.428553876397592, 5_830_412
20, Slovakia, +253, +7, 46.298024593217875, 1.2809730124605736, 13.088463528194517, 5_464_596
21, France, +29995, +80, 457.6309840724583, 1.2205527163126078, 0, 65_544_076
22, Guatemala, +794, +22, 42.83487689045984, 1.1868605687532954, 7.849728126544736, 18_536_297
23, Chile, +5137, +21, 264.47204465618455, 1.0811588354642545, 6.408832886282827, 19_423_603
24, South Africa, +8179, +55, 134.72364045250012, 0.9059543006342471, 22.623921221509182, 60_709_464
25, Austria, +4322, +8, 474.8059524539294, 0.8788634011178703, 1.9180246387616715, 9_102_666
26, Bulgaria, +275, +6, 40.143102130474716, 0.8758495010285392, 4.4978737324174025, 6_850_492
27, USA, +103958, +273, 310.657344372416, 0.8158049886845606, 9.590486821591004, 334_638_797
28, Russia, +4732, +106, 32.399490815846704, 0.725770504327927, 0, 146_051_678
29, Jamaica, +147, +2, 49.23997924551623, 0.6699316904151869, 6.693989071038252, 2_985_379
30, Thailand, +5633, +45, 80.32446349054926, 0.6416830919713681, 0, 70_128_075
31, S. Korea, +31315, +31, 609.8126657048834, 0.6036785130720546, 0, 51_351_836
32, Romania, +513, +11, 27.003757786083494, 0.5790279447308352, 1.2337365623722374, 18_997_356
33, Bahrain, +562, +1, 310.1016438146034, 0.5517822843676217, 10.717009916094584, 1_812_309
34, Slovenia, +541, +1, 260.1620699090587, 0.4808910719206261, 81.10944527736132, 2_079_473
35, Brazil, +13525, +99, 62.79307565410502, 0.45963138556424377, 0, 215_389_991
36, Hong Kong, +329, +3, 43.22734007066685, 0.39417027420060957, 0, 7_610_924
37, Namibia, +202, +1, 76.89104386824377, 0.38064873202100874, 14.438884917798427, 2_627_094
38, Poland, +388, +13, 10.272983623143114, 0.344197904899125, 3.9733742959549416, 37_768_969
39, Singapore, +6442, +2, 1085.1446028458345, 0.33689680311885584, 0, 5_936_536
40, Peru, +518, +11, 15.310843674483069, 0.3251337459832312, 1.4168102623013594, 33_832_231
41, Japan, +33734, +33, 268.25970551789635, 0.262422786568168, 22.03166226912929, 125_751_275
42, Croatia, +773, +1, 190.49473182260084, 0.24643561684683163, 18.639980708946226, 4_057_855
43, DPRK, +232890, +6, 8960.597610184108, 0.2308539896994489, 0, 25_990_454
44, Serbia, +361, +2, 41.630845111921815, 0.2306418011740821, 4.247058823529412, 8_671_455
45, Panama, +3506, +1, 789.2848170056885, 0.22512402082307142, 20.66729544918651, 4_441_996
46, Malaysia, +2017, +7, 60.85783416834587, 0.21120715873992119, 4.753263892161946, 33_142_816
47, Czechia, +487, +2, 45.318357740882654, 0.1861123521186146, 6.831252630102398, 10_746_197
48, Zimbabwe, +259, +2, 16.963346204081237, 0.1309910903790057, 7.322589765337857, 15_268_214
49, Iran, +288, +8, 3.3485707253715766, 0.09301585348254379, 0.2712809547582491, 86_006_844
50, Indonesia, +327, +17, 1.172287098573944, 0.06094458922249861, 0.2148884157400836, 278_941_908
51, Saudi Arabia, +602, +2, 16.801819910614316, 0.0558199997030376, 0, 35_829_452
52, Venezuela, +30, +1, 1.060631644326936, 0.03535438814423119, 0, 28_285_032
53, Turkey, +1443, +3, 16.771432330182012, 0.03486784268229109, 1.0644497392356322, 86_039_163
54, Morocco, +116, +1, 3.0744670100015856, 0.02650402594828953, 0, 37_730_117
55, Sudan, +16, +1, 0.3495999495002873, 0.021849996843767955, 0, 45_766_597
56, Vietnam, +1831, +1, 18.498820606732423, 0.010103124307336113, 339.7031539888683, 98_979_283
57, India, +2364, +10, 1.6820580265135805, 0.007115304680683505, 0.5434957536520432, 1_405_421_194
58, China, +240, +3, 0.1667449701046278, 0.0020843121263078475, 0, 1_439_323_776 
59, UK, None, None, 0, 0, 0, 68_554_055
60, Spain, None, None, 0, 0, 0, 46_788_701
61, Argentina, None, None, 0, 0, 0, 45_972_702
62, Netherlands, +1195, None, 69.4529484752695, 0, 0, 17_205_893
63, Colombia, None, None, 0, 0, 0, 51_898_874
64, Mexico, None, None, 0, 0, 0, 131_470_403
65, Ukraine, None, None, 0, 0, 0, 43_241_697
66, Belgium, None, None, 0, 0, 0, 11_684_111
67, Israel, +2128, None, 228.17928372292516, 0, 0, 9_326_000 
68, Portugal, None, None, 0, 0, 0, 10_141_023
69, Philippines, +103, None, 0.9170782314920924, 0, 0.16442117361598876, 112_313_210
70, Switzerland, None, None, 0, 0, 0, 8_773_190
71, Sweden, None, None, 0, 0, 0, 10_217_236
72, Iraq, +126, None, 3.0062366526671473, 0, 3.146067415730337, 41_912_868
73, Bangladesh, +22, None, 0.13113731579081642, 0, 0.43991201759648074, 167_763_080
74, Jordan, None, None, 0, 0, 0, 10_392_886
