Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Taiwan, +35328, +65, 1478.864705103, 2.720963706739555, 88.636876834684, 23_888_595
2, Singapore, +4454, +2, 749.3842901190636, 0.3364994567216271, 0, 5_943_546
3, Hong Kong, +5535, +4, 727.8777438919748, 0.5260182431016981, 0, 7_604_299
4, Austria, +5407, +1, 596.3574438798638, 0.11029359050857478, 0, 9_066_710
5, S. Korea, +26256, +16, 511.5147411453118, 0.3117091658411406, 0, 51_329_899
6, France, +31470, None, 479.838854651642, 0, 0, 65_584_518
7, Italy, +25553, +52, 424.02631010821443, 0.8628876502026044, 15.794223268865853, 60_262_770
8, Chile, +6228, +14, 323.52919022378734, 0.7272653601690788, 16.510696959253465, 19_250_195
9, Japan, +30873, +44, 245.83381634015404, 0.35036076568415053, 53.16880790824234, 125_584_838
10, Slovenia, +409, None, 196.82064874780684, 0, 135.43046357615893, 2_078_034
11, Qatar, +486, None, 163.09190027232322, 0, 16.787564766839377, 2_979_915
12, Bahrain, +238, None, 133.4093430262508, 0, 5.379746835443038, 1_783_983
13, Kuwait, +454, +1, 103.64525380074451, 0.22829351057432712, 5.58288243974422, 4_380_326
14, Israel, +868, +7, 93.07312888698263, 0.7505897490885696, 0, 9_326_000
15, Eswatini, +90, None, 75.96109778978526, 0, 0, 1_184_817
16, Serbia, +625, +10, 72.22915108443114, 1.1556664173508984, 11.770244821092279, 8_653_016
17, Croatia, +277, +6, 68.23860156687654, 1.4780924527121273, 0, 4_059_286
18, Malaysia, +2054, None, 61.90276191197198, 0, 0, 33_181_072
19, Russia, +8672, +88, 59.47631203273211, 0.6035419117712668, 0, 145_805_947
20, Argentina, +2082, +9, 45.250802245430876, 0.1956086552396147, 0, 46_010_234
21, Australia, +949, None, 36.40368145942474, 0, 0, 26_068_792
22, UAE, +312, None, 30.946900772035903, 0, 0.19184652278177458, 10_081_785
23, Czechia, +266, +3, 24.77464387846491, 0.2794132768247922, 13.613101330603888, 10_736_784
24, Bulgaria, +167, None, 24.398806825295924, 0, 13.11861743912019, 6_844_597
25, Slovakia, +123, +6, 22.526676254850333, 1.0988622563341626, 22.65193370165746, 5_460_193
26, USA, +6014, +2, 17.962680270721783, 0.00597362163974785, 0.5865514500421821, 334_805_269
27, Lithuania, +38, +2, 14.276547239592022, 0.7513972231364222, 0, 2_661_708
28, Philippines, +1585, +37, 14.087762619226691, 0.3288625974204338, 12.05506540918771, 112_508_994
29, Romania, +206, +2, 10.82425378986813, 0.10508984262007894, 3.8148148148148144, 19_031_335
30, Brazil, +1836, +15, 8.525513665332717, 0.06965288942265291, 0, 215_353_593
31, Guatemala, +149, +3, 8.017632765406917, 0.16142884762564264, 0, 18_584_039
32, Norway, +40, None, 7.2577235787109196, 0, 0, 5_511_370
33, Mexico, +847, +11, 6.437991440314134, 0.08361027844563809, 0, 131_562_772
34, Peru, +215, None, 6.382812978710974, 0, 0.343703040572945, 33_684_208
35, Albania, +18, None, 6.2797108821109875, 0, 0, 2_866_374
36, Mauritania, +30, None, 6.119974761224085, 0, 3.9318479685452163, 4_901_981
37, Indonesia, +1685, +13, 6.036516338243457, 0.046572529612560795, 0, 279_134_505
38, Saudi Arabia, +178, +1, 4.965837687019933, 0.02789796453381985, 2.1057612681888087, 35_844_909
39, Poland, +181, None, 4.795999765234487, 0, 7.0127857419604815, 37_739_785
40, Ghana, +152, None, 4.69201693447691, 0, 0, 32_395_450
41, Azerbaijan, +46, None, 4.465930532450567, 0, 2.4390243902439024, 10_300_205
42, Honduras, +41, None, 4.011252247401907, 0, 1.3061484549219495, 10_221_247
43, Iran, +194, +1, 2.2552150889885207, 0.01162482004633258, 0, 86_022_837
44, Bolivia, +26, None, 2.167993478675616, 0, 0, 11_992_656
45, Afghanistan, +79, None, 1.9384415734570715, 0, 14.363636363636365, 40_754_388
46, Vietnam, +158, None, 1.5967089040300235, 0, 0, 98_953_541
47, Nepal, +39, None, 1.2902977352098628, 0, 8.764044943820224, 30_225_582
48, India, +1334, +16, 0.9483647552691146, 0.01137468971837019, 0, 1_406_631_776
