Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Denmark, +1805, +39, 309.3428392702594, 6.683861901130258, 10.853225903433348, 5_834_950
2, Germany, +115535, +273, 1377.3253116139656, 3.25450997594333, 0, 83_883_596
3, Bulgaria, +1145, +19, 167.28523242493313, 2.775912153776183, 13.673274420826367, 6_844_597
4, Taiwan, +26306, +62, 1101.1949426075498, 2.595380766428499, 83.72640758776537, 23_888_595
5, Croatia, +50, +9, 12.317437105934394, 2.217138679068191, 0, 4_059_286
6, France, +6907, +122, 105.31448900790885, 1.860195114950757, 0, 65_584_518
7, Slovenia, +421, +3, 202.59533770862268, 1.4436722402039621, 93.34811529933481, 2_078_034
8, Uruguay, +1102, +5, 315.2159486684272, 1.4301994041217203, 0, 3_496_016
9, Slovakia, +29, +7, 5.311167572281786, 1.2820059657231897, 13.24200913242009, 5_460_193
10, Czechia, +152, +11, 14.156939359122806, 1.0245153483575715, 12.248186946011282, 10_736_784
11, New Zealand, +2339, +5, 477.522062682988, 1.0207825196301583, 0, 4_898_203
12, Hong Kong, +5406, +7, 710.9136555519451, 0.9205319254279718, 0, 7_604_299
13, Serbia, +1173, +7, 135.55967075526036, 0.8089664921456288, 10.194681035981228, 8_653_016
14, Belgium, +1216, +9, 104.21417796182092, 0.7713220408358457, 4.178837760747792, 11_668_278
15, Lithuania, +44, +2, 16.53073890900129, 0.7513972231364222, 2.527283170591614, 2_661_708
16, Italy, +11605, +39, 192.57329193463892, 0.6471657376519533, 14.448636063696012, 60_262_770
17, Russia, +7329, +89, 50.26543944740471, 0.6104003425868494, 0, 145_805_947
18, Philippines, +1334, +35, 11.856829863752937, 0.31108624080311303, 11.961979913916785, 112_508_994
19, Bosnia and Herzegovina, +56, +1, 17.234391104345928, 0.30775698400617735, 6.939281288723668, 3_249_317
20, Lebanon, +125, +2, 18.699001278862095, 0.2991840204617935, 0, 6_684_849
21, Japan, +16852, +35, 134.18817325702963, 0.2786960636123924, 69.59897575682484, 125_584_838
22, USA, +14042, +84, 41.940797532669656, 0.2508921088694097, 5.232737964367297, 334_805_269
23, S. Korea, +14302, +10, 278.6290306162496, 0.1948182286507129, 0, 51_329_899
24, Singapore, +3627, +1, 610.2417647646708, 0.16824972836081356, 0, 5_943_546
