Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Taiwan, +48613, +38, 2032.8988121720345, 1.5890842956109952, 71.36062710097912, 23_913_143
2, Austria, +14389, +11, 1577.5154980564732, 1.2059677864077565, 13.684781161432674, 9_121_305
3, Slovenia, +2729, +1, 1312.286104337565, 0.48086702247620544, 317.3255813953488, 2_079_577
4, Hungary, +11392, +46, 1185.9834907600102, 4.788908056088524, 0, 9_605_530
5, Latvia, +1793, None, 974.655160698512, 0, 24.187238634830702, 1_839_625
6, Germany, +78863, +94, 934.5851098880249, 1.113969799899501, 0, 84_382_898
7, France, +53410, +45, 814.2213756176386, 0.6860131417860651, 0, 65_596_411
8, S. Korea, +36126, +46, 703.2808110183074, 0.8955023336888153, 0, 51_367_817
9, Italy, +36795, +48, 610.5724566060455, 0.7965070775129823, 18.497571863783065, 60_263_118
10, Singapore, +3454, None, 580.1888519752457, 0, 0, 5_953_234
11, Hong Kong, +3911, +14, 512.3805875489552, 1.834141709456756, 0, 7_632_998
12, Lithuania, +1319, +1, 500.09895817140466, 0.37915008201016276, 0, 2_637_478
13, Japan, +49979, +96, 397.886500533177, 0.7642630715137355, 0, 125_611_198
14, Czechia, +4212, +3, 391.6902522412689, 0.27898166114050493, 27.174193548387098, 10_753_395
15, Portugal, +3277, +5, 323.48607627874725, 0.49357045510947095, 8.865382534357753, 10_130_266
16, Serbia, +2709, +9, 312.863578313946, 1.039413881441681, 18.45367847411444, 8_658_726
17, Qatar, +852, None, 303.439875632389, 0, 31.083546151039766, 2_807_805 
18, Russia, +40017, +111, 273.9495519883917, 0.7598870547695098, 0, 146_074_340
19, Croatia, +1096, +5, 270.70390920156177, 1.2349630894231833, 24.39893143365984, 4_048_704
20, Chile, +4016, +5, 206.12667397725164, 0.2566318152107217, 9.432765707574868, 19_483_165
21, Denmark, +1199, +14, 205.3853793702634, 2.398161227008914, 11.201420029895367, 5_837_806
22, Bahrain, +352, None, 191.93816101430593, 0, 7.024545998802633, 1_833_924
23, Poland, +4879, +28, 129.23146637612587, 0.7416439964196606, 27.80690755727801, 37_753_963
24, Bulgaria, +769, +3, 112.56525381415432, 0.4391362307444252, 13.625088589652728, 6_831_593
25, USA, +36714, +370, 109.57444873321369, 1.1042802754069037, 6.203082787180228, 335_059_865
26, Slovakia, +597, +1, 109.22956926773924, 0.18296410262602886, 37.05772811918063, 5_465_553
27, Romania, +1425, +11, 75.19401242479478, 0.5804450081913983, 7.815070746956236, 18_950_977
28, Malaysia, +2445, +2, 73.43774929788104, 0.06007177856677387, 6.774354427573978, 33_293_504
29, Australia, +1630, +13, 62.30503397917789, 0.4969113139443635, 0, 26_161_610
30, Ireland, +290, None, 57.29927569763844, 0, 0, 5_061_146
31, Israel, +519, +6, 55.6508685395668, 0.6433626420759168, 0, 9_326_000 
32, North Macedonia, +96, +3, 46.0833253727589, 1.4401039178987156, 13.168724279835391, 2_083_183
33, Brazil, +8800, +48, 40.75239724703294, 0.22228580316563418, 0, 215_938_217
34, Mongolia, +138, None, 40.631519813165674, 0, 0, 3_396_378
35, UAE, +322, None, 31.700180090495152, 0, 0.13835537566492218, 10_157_671
36, Peru, +981, +13, 28.853637058305527, 0.3823621628521629, 2.8548147717021215, 33_999_180
37, Albania, +63, None, 21.945301162682956, 0, 0, 2_870_774
38, Bosnia and Herzegovina, +68, +4, 21.018630852568215, 1.2363900501510714, 11.525423728813559, 3_235_225
39, Lebanon, +117, +1, 17.31500251733498, 0.1479914745071366, 0, 6_757_146
40, Vietnam, +1587, None, 15.9823210352411, 0, 0, 99_297_217
41, Azerbaijan, +164, +3, 15.855282264629302, 0.29003565118224334, 5.370006548788474, 10_343_556
42, Norway, +74, None, 13.415426072119155, 0, 0, 5_516_038
43, Philippines, +1500, +33, 13.292773948828705, 0.2924410268742315, 7.86740795132697, 112_843_264
44, Jamaica, +39, +2, 13.04319471315841, 0.6688817801619696, 8.369098712446352, 2_990_065
45, Thailand, +811, +9, 11.55409847593748, 0.12822057494875133, 0, 70_191_543
46, Bolivia, +92, None, 7.648076741467073, 0, 0, 12_029_168
