Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Taiwan, +34333, +35, 1435.9068728676837, 1.4638027713968758, 72.20703289307647, 23_910_325
2, S. Korea, +72144, +79, 1404.5379674779686, 1.5380142413888822, 0, 51_364_934
3, Hong Kong, +10683, +8, 1400.3118358005588, 1.0486281649728044, 0, 7_629_015
4, Japan, +117130, +284, 932.2929507533541, 2.2604900368304666, 96.9868095289354, 125_636_475
5, Austria, +3328, +2, 364.99468465523086, 0.2193477672206916, 6.592057046647519, 9_117_941
6, Russia, +48042, +87, 328.89653896740407, 0.5956038235328288, 0, 146_070_251
7, Chile, +5029, +39, 258.2627518710184, 2.002833033002529, 10.558471551543146, 19_472_417
8, Montenegro, +158, None, 251.4970441138549, 0, 21.643835616438356, 628_238
9, Slovenia, +486, None, 233.7035081493279, 0, 182.70676691729324, 2_079_558
10, Australia, +5819, +14, 222.59016690054764, 0.535532279877585, 0, 26_142_215
11, Singapore, +1309, None, 219.99182887492748, 0, 0, 5_950_221
12, New Zealand, +1099, +10, 219.70772275644228, 1.9991603526518864, 0, 5_002_100 
13, Italy, +13196, +30, 218.95197598019172, 0.497768966308408, 11.787826273381809, 60_268_924
14, Serbia, +1836, +19, 211.98419632415246, 2.193736236469987, 29.57950700821653, 8_661_023
15, Qatar, +574, None, 204.43015095421512, 0, 16.046966731898237, 2_807_805 
16, France, +12894, None, 196.59393610928828, 0, 0, 65_586_967
17, Barbados, +54, None, 187.4095488635693, 0, 13.30049261083744, 288_139
18, Trinidad and Tobago, +203, +4, 144.0406890111855, 2.838240177560306, 30.851063829787233, 1_409_324
19, Bahrain, +202, None, 110.38106604066394, 0, 5.664610207515423, 1_830_024
20, Croatia, +430, +4, 106.16353381370274, 0.9875677564065373, 18.9010989010989, 4_050_355
21, Azerbaijan, +621, +9, 60.072144614256544, 0.8706107915109644, 15.428571428571427, 10_337_570
22, Malaysia, +1904, +2, 57.23507913952108, 0.06012088144907677, 7.700396343929467, 33_266_312
23, Romania, +981, +6, 51.74229111067439, 0.3164666122977027, 13.442038914771171, 18_959_346
24, Israel, +469, None, 50.289513188934166, 0, 0, 9_326_000 
25, Malta, +21, +1, 47.287179544917194, 2.2517704545198662, 3.1866464339908953, 444_095
26, Peru, +1550, +18, 45.62976643388421, 0.5298940618128488, 6.016146561092998, 33_969_054
27, Albania, +131, None, 45.62903455580832, 0, 0, 2_870_979
28, Lebanon, +281, +2, 41.573336252836896, 0.2958956316927893, 0, 6_759_140
29, UAE, +400, None, 39.409503759469615, 0, 0.20536200186879422, 10_149_836
30, Czechia, +378, +1, 35.15593610771332, 0.09300512197807757, 21.21212121212121, 10_752_096
31, Slovakia, +161, +1, 29.45814756555856, 0.18296986065564322, 27.195945945945947, 5_465_381
