Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Uruguay, +3670, +44, 1053.6911634071148, 12.632809588532165, 20.154868471634906, 3_482_994
2, Croatia, +3217, +36, 787.3765211517186, 8.811176487865053, 28.682239657631953, 4_085_720
3, Sweden, +7760, +1, 764.7071112637021, 0.0985447308329513, 0, 10_147_676
4, Poland, +27899, +954, 737.7826288063246, 25.22831025775955, 25.014569940196, 37_814_661
5, Slovenia, +1531, +5, 736.3557747896024, 2.404819643336389, 28.563432835820894, 2_079_158
6, Turkey, +55941, +258, 657.8547303266586, 3.034027286324483, 18.371911248899806, 85_035_491
7, Czechia, +7048, +113, 657.2003581779251, 10.536838886791363, 2.686323685233605, 10_724_279
8, Bahrain, +1143, +1, 654.4566320848652, 0.5725779808266538, 5.89874593590339, 1_746_487
9, Estonia, +757, +14, 570.3642646068254, 10.548348354683693, 15.800459194322688, 1_327_222
10, North Macedonia, +1163, +35, 558.2467882809455, 16.80020429048417, 29.61548255665903, 2_083_308
11, Palestine, +2884, +28, 555.4772289005326, 5.39298280485954, 0, 5_191_932
12, Argentina, +23683, +290, 520.3427473046837, 6.371633522710733, 24.931835647587665, 45_514_231
13, Lebanon, +3510, +37, 516.0354714844091, 5.4396901552487575, 16.78702950882395, 6_801_858
14, Cyprus, +622, +2, 512.3081624198077, 1.6472931267517934, 1.3081792752434434, 1_214_113
15, Hungary, +4814, +272, 499.3033194024872, 28.21157101734037, 16.034373646870733, 9_641_434
16, Bosnia and Herzegovina, +1583, +84, 484.8299971026584, 25.72692340911137, 28.002830355563418, 3_265_062
17, Jordan, +4775, +96, 464.4539980929665, 9.337713888361211, 12.017113376116773, 10_280_889
18, Netherlands, +7783, +18, 453.44746793896854, 1.0487028681615616, 0, 17_164_061
19, Ukraine, +19419, +464, 446.0968592313898, 10.659093809329258, 33.483343678874405, 43_530_905
20, Chile, +8248, +183, 428.64050282732273, 9.510331233923383, 11.748618312346874, 19_242_232
21, Bulgaria, +2957, +136, 428.0518890956206, 19.687202203924382, 18.393879074396615, 6_908_041
22, Brazil, +89293, +4190, 417.80253059576637, 19.60503738474753, 0, 213_720_582
23, Serbia, +3625, +41, 416.1779684912521, 4.707116333280369, 22.578635938959827, 8_710_216
24, Armenia, +1231, +28, 414.82617738519997, 9.435526374318114, 24.903904511430305, 2_967_508
25, Lithuania, +1094, +9, 406.25529171655114, 3.3421367691489583, 6.669918302646019, 2_692_888
26, Latvia, +740, +17, 395.7069009679312, 9.090563941155175, 3.0635479196853654, 1_870_071
27, Moldova, +1428, +39, 354.6299195899008, 9.685270913169559, 21.380446174577035, 4_026_733
28, Paraguay, +2479, +60, 344.31851532189614, 8.333647002546902, 42.660471519531924, 7_199_729
29, Qatar, +949, +2, 337.98643424311877, 0.7123001775408193, 16.82922503990069, 2_807_805 
30, Austria, +2906, +40, 321.25012063461605, 4.421887414103455, 0.8243948244118455, 9_045_911
31, Kuwait, +1379, +4, 319.2901247431092, 0.9261497454477425, 14.24586776859504, 4_318_956
32, Greece, +3215, +73, 309.6180661323002, 7.030208033486133, 5.499863144929519, 10_383_761
33, Belgium, +3539, +54, 304.3404416333252, 4.643793119016548, 7.249523731486981, 11_628_425
34, Peru, +9966, +253, 299.0650391438806, 7.592158830363413, 12.1981371097049, 33_323_855
35, Germany, +24257, +299, 288.80776162673885, 3.559942314647109, 2.0909404361692956, 83_990_125
36, Slovakia, +1576, +79, 288.5559550460582, 14.464416528323982, 13.264876693880986, 5_461_679
37, Italy, +17207, +487, 284.91576274310876, 8.063809871325272, 4.751188694562102, 60_393_289
38, Switzerland, +2449, +13, 281.38887759043797, 1.4936935110966492, 6.11348261314561, 8_703_258
39, Iran, +22586, +185, 266.290164647164, 2.18116003098049, 27.850255246738513, 84_817_252
40, Azerbaijan, +2717, +31, 266.1284153350696, 3.036430208092439, 18.633838557026266, 10_209_357
41, Romania, +4989, +172, 260.6775515872723, 8.987079349170344, 12.320952286871481, 19_138_587
42, Oman, +1320, +12, 253.57005506696362, 2.3051823187905787, 0, 5_205_662
43, Colombia, +12464, +247, 242.96725869987606, 4.814899943747544, 18.537412436604843, 51_299_093
44, France, +15869, +345, 242.70199802519582, 5.276462872184294, 7.333755424409497, 65_384_711
45, USA, +80161, +1009, 241.08934186459354, 3.034632127111374, 4.747527212360947, 332_494_997
46, Spain, +9901, +142, 211.70127989363834, 3.036216720017841, 0, 46_768_730
47, UAE, +2112, +3, 211.57972212730186, 0.3005393780217356, 0.8481450842121327, 9_982_053
48, Canada, +7982, +38, 210.07310817875512, 1.000097483186256, 6.456152838216024, 37_996_296
49, Iraq, +7817, +34, 191.07012493571213, 0.8310584940276592, 15.827731432736696, 40_911_681
50, Georgia, +761, +9, 191.04939844544535, 2.2594541209053984, 2.225081137978422, 3_983_263
51, Mongolia, +554, +1, 166.93223154042892, 0.30132171758200166, 3.139877578780322, 3_318_712
52, Cameroon, +4394, +68, 162.44072475476497, 2.513875576541652, 0, 27_049_867
53, Tunisia, +1833, +49, 153.8586800050027, 4.112970714809129, 24.89136338946225, 11_913_530
54, Norway, +827, +1, 151.6371402078804, 0.18335808973141524, 2.798741074148025, 5_453_809
55, Kazakhstan, +2586, +15, 136.47176886727482, 0.7915995873971857, 5.529776542285898, 18_948_974
56, Belarus, +1272, +10, 134.6469455467428, 1.0585451693926322, 6.9656645309676355, 9_446_928
57, Libya, +869, +27, 125.16365616146544, 3.888859282347027, 15.28315160042209, 6_942_910
58, Denmark, +717, +1, 123.45258129533266, 0.1721793323505337, 0.1682920818223427, 5_807_898
59, Ecuador, +2015, +58, 112.89612743871743, 3.2496155788811967, 26.148455748767198, 17_848_265
60, Albania, +317, +6, 110.24648958831456, 2.0866843455201494, 10.482804232804233, 2_875_375
61, Dominican Republic, +1094, +9, 100.07855343129017, 0.8233153390142701, 9.841669665347247, 10_931_413
62, Panama, +427, +4, 97.78367685861122, 0.9160063405958896, 4.622713002056945, 4_366_782
63, India, +131893, +802, 94.85839691369024, 0.576804184640425, 10.65560062725151, 1_390_419_871
64, Bolivia, +1076, +19, 91.22458492389954, 1.610843042336516, 11.085926231197197, 11_795_066
65, Guatemala, +1590, +27, 87.5114212036431, 1.4860430015712978, 16.31438538887749, 18_169_057
66, Philippines, +9179, +60, 82.9184437620041, 0.5420096552696639, 16.03542853149785, 110_699_135
67, Cuba, +914, +1, 80.73286361057153, 0.08832917244045023, 4.502019505467442, 11_321_288
68, Ireland, +398, +5, 79.91799369692005, 1.0039948956899503, 2.0679621739582252, 4_980_105
69, Finland, +426, +4, 76.79345157361679, 0.721065272991707, 5.214836577304443, 5_547_348
70, Jamaica, +204, +15, 68.66120742752709, 5.048618193200521, 9.34493815849748, 2_971_110
71, Honduras, +616, +17, 61.44494981364026, 1.6957210175842279, 26.958424507658645, 10_025_234
72, Russia, +8672, +365, 59.40431189129718, 2.5002967989302896, 2.8906666666666667, 145_982_669
73, Portugal, +602, +9, 59.17172558709262, 0.8846271267173316, 0.832307926281298, 10_173_778
74, UK, +3023, +53, 44.35136054510595, 0.7775792619552152, 0.27696288165998156, 68_160_254
75, Mexico, +5499, +596, 42.30899098603831, 4.585589857733922, 23.47592213114754, 129_972_374
76, Timor-Leste, +56, None, 41.86452639259357, 0, 0, 1_337_648
77, Venezuela, +1184, +15, 41.72863698200453, 0.5286567185220168, 0, 28_373_800
78, Bangladesh, +6854, +74, 41.30187561374322, 0.4459204545399764, 20.64893200373573, 165_948_880
79, Malaysia, +1285, +4, 39.315927341106665, 0.12238420962212192, 2.215058953320003, 32_683_955
80, Kyrgyzstan, +222, +4, 33.602771047973555, 0.6054553341977218, 5.657492354740061, 6_606_598
81, Kenya, +1698, +16, 31.055756917043432, 0.29263375186848933, 14.957716701902749, 54_675_853
82, Israel, +270, +13, 29.355515955810162, 1.4134137312056745, 0.5022788577806716, 9_197_590 
83, Trinidad and Tobago, +41, None, 29.223593276007573, 0, 14.43661971830986, 1_402_976
84, Japan, +3299, +22, 26.145640506097497, 0.17435710552717334, 5.513219024700024, 126_177_823
85, Saudi Arabia, +902, +9, 25.603836101840365, 0.2554706484662564, 1.2537180663275234, 35_229_096
86, Pakistan, +5329, +98, 23.771953336454093, 0.4371648389890226, 10.697366308013489, 224_171_734
87, South Africa, +1366, +62, 22.811498484830548, 1.0353681596335973, 3.8077716452026538, 59_882_081
88, Papua New Guinea, +205, None, 22.58546754066183, 0, 0, 9_076_633
89, Indonesia, +5504, +163, 19.960592698321626, 0.5911294712620685, 7.497003378010243, 275_743_315
90, Mali, +413, +2, 19.956566200738024, 0.0966419670737919, 35.48109965635739, 20_694_943
91, Ethiopia, +2121, +20, 18.10720185738742, 0.17074212029596816, 27.343044991620474, 117_135_713
92, Somalia, +293, +29, 18.0519116296699, 1.7867079769980447, 13.749413420929141, 16_230_968
93, Togo, +148, +2, 17.562986149093376, 0.237337650663424, 9.296482412060302, 8_426_813
94, Morocco, +635, +6, 17.048747901023937, 0.16109053134825765, 4.412173429683158, 37_246_137
95, Benin, +202, None, 16.336093944509198, 0, 0, 12_365_257
96, Sri Lanka, +343, +5, 15.96661590089675, 0.23274950292852406, 0, 21_482_323
97, S. Korea, +700, +2, 13.644380773266432, 0.038983945066475525, 1.5133826263674492, 51_303_171
98, Madagascar, +348, +6, 12.325655288327715, 0.21251129807461575, 25.47584187408492, 28_233_793
99, Nepal, +332, None, 11.239857890278675, 0, 8.287568647029456, 29_537_740
100, Zambia, +206, +1, 10.971390395250731, 0.053259176675974414, 3.424202127659574, 18_776_107
101, Rwanda, +111, None, 8.410926020222593, 0, 1.834104428288169, 13_197_120
102, Egypt, +789, +33, 7.600387463707066, 0.31788692813983926, 0, 103_810_497
103, CAR, +37, +1, 7.560234636990225, 0.2043306658646007, 0, 4_894_028
104, Guinea, +93, None, 6.938110413835159, 0, 0, 13_404_226
105, Syria, +122, +10, 6.844317087785716, 0.5610095973594849, 0, 17_825_007
106, Cambodia, +113, +2, 6.687855133245452, 0.11836911740257437, 0, 16_896_299
107, Namibia, +15, +9, 5.822737245488155, 3.493642347292893, 1.5641293013555788, 2_576_108
108, Thailand, +405, None, 5.791107544170171, 0, 0, 69_934_809
109, Uzbekistan, +195, +1, 5.762265588080869, 0.02955007993887625, 0, 33_840_856
110, Eritrea, +19, None, 5.301281598777246, 0, 0, 3_584_039
111, New Zealand, +24, None, 4.7979848463645265, 0, 0.3610651421693997, 5_002_100 
112, Zimbabwe, +68, +1, 4.524677022898259, 0.06653936798379793, 0, 15_028_697
113, Mauritania, +21, None, 4.427746452057311, 0, 0, 4_742_819
114, Senegal, +73, +3, 4.273940875004501, 0.17564140582210278, 5.1372273047149895, 17_080_255
115, Singapore, +21, None, 3.5679752810672527, 0, 0, 5_885_691
116, Ivory Coast, +95, +1, 3.5346836742746577, 0.03720719657131219, 2.7704870224555265, 26_876_521
117, Ghana, +100, None, 3.1677104378149616, 0, 2.459419576979833, 31_568_542
118, Mauritius, +4, None, 3.1412140635294836, 0, 0, 1_273_393
119, Angola, +98, +2, 2.9128622604928727, 0.0594461685814872, 4.688995215311005, 33_643_884
120, Yemen, +86, +18, 2.835697260696662, 0.5935180313086037, 0, 30_327_638
121, Algeria, +112, +3, 2.5192981613217285, 0.06748120074968915, 0, 44_456_826
122, South Sudan, +27, +1, 2.3905665058258103, 0.08853950021577076, 4.545454545454546, 11_294_394
123, Afghanistan, +76, +5, 1.9193011642632387, 0.12626981343837096, 2.941176470588235, 39_597_746
124, Eswatini, +2, None, 1.710302176188489, 0, 0, 1_169_384
125, Burkina Faso, +31, +2, 1.452673354774792, 0.09372086159837367, 6.609808102345416, 21_339_966
126, Hong Kong, +10, None, 1.3256085703245288, 0, 0, 7_543_705
127, Haiti, +13, None, 1.1295376350644628, 0, 0, 11_509_134
128, Mozambique, +35, +3, 1.0964086882807664, 0.09397788756692282, 4.294478527607362, 31_922_403
129, Malawi, +20, None, 1.0252819140782996, 0, 3.824091778202677, 19_506_830
130, Burundi, +10, None, 0.8223476594793208, 0, 0, 12_160_307
131, DRC, +64, None, 0.6984378248520263, 0, 31.527093596059114, 91_633_067
132, Chad, +10, +1, 0.5957786579811671, 0.059577865798116705, 2.3419203747072603, 16_784_757
133, Guinea-Bissau, +1, None, 0.4991270268300742, 0, 0.45454545454545453, 2_003_498
134, Nigeria, +83, None, 0.3951689858277452, 0, 0, 210_036_726
135, Uganda, +16, None, 0.34159205424430583, 0, 0.6923409779316313, 46_839_497
136, Niger, +6, None, 0.24123928480432538, 0, 1.466992665036675, 24_871_571
137, Australia, +5, None, 0.19434948312754963, 0, 0.01397897562066652, 25_726_850
138, Myanmar, +8, None, 0.1462786153427178, 0, 0.49597024178549287, 54_690_154
139, Vietnam, +9, None, 0.0918262983539687, 0, 0, 98_011_138
140, China, +24, None, 0.01667449701046278, 0, 0, 1_439_323_776 
141, Costa Rica, None, None, 0, 0, 0, 5_129_838
142, El Salvador, None, +3, 0, 0.46073210946503473, 0, 6_511_376
143, Botswana, None, None, 0, 0, 0, 2_387_918
144, Sudan, None, None, 0, 0, 0, 44_630_690
145, Gabon, None, None, 0, 0, 0, 2_265_814
146, Tajikistan, None, None, 0, 0, 0, 9_701_216
147, Lesotho, None, None, 0, 0, 0, 2_155_296
148, Congo, None, None, 0, 0, 0, 5_621_696
149, Equatorial Guinea, None, None, 0, 0, 0, 1_438_016
150, Nicaragua, None, None, 0, 0, 0, 6_685_008
151, Gambia, None, None, 0, 0, 0, 2_468_378
152, Sierra Leone, None, None, 0, 0, 0, 8_100_962
153, Liberia, None, None, 0, 0, 0, 5_148_406
154, Taiwan, None, None, 0, 0, 0, 23_849_968
155, Tanzania, None, None, 0, 0, 0, 61_029_871
156, Laos, None, None, 0, 0, 0, 7_356_451
