Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Guadeloupe, +952, +9, 2378.9354263966875, 22.489935753750196, 12.636049907087868, 400_179
2, Uruguay, +3274, +61, 939.8806518075191, 17.511521001911625, 18.553779893460273, 3_483_421
3, French Guiana, +284, None, 931.5751492488355, 0, 16.063348416289593, 304_860
4, Croatia, +3117, +49, 763.0681852955757, 11.995617927328588, 29.620830561626914, 4_084_825
5, Sweden, +7713, +1, 759.9082908033954, 0.09852305079779533, 0, 10_149_909
6, Turkey, +61967, +362, 728.4432772069044, 4.25543380103764, 19.435200838040515, 85_067_708
7, Cabo Verde, +398, +4, 709.6561377232164, 7.132222489680565, 0, 560_835
8, Cyprus, +843, None, 694.155670378986, 0, 1.5898461074230537, 1_214_425
9, Bahrain, +1008, +2, 576.4611689351481, 1.1437721605856113, 6.606803434489087, 1_748_600
10, Argentina, +25932, +291, 569.5717056667268, 6.3915381131041755, 25.595925498208523, 45_528_947
11, Andorra, +43, None, 555.8068894202805, 0, 0, 77_365
12, France, +34968, +313, 534.7620815696607, 4.786677291560964, 55.290620454114226, 65_389_827
13, Slovenia, +1033, +4, 496.83334872410506, 1.9238464616615878, 21.44933554817276, 2_079_168
14, Netherlands, +8471, +17, 493.4926087379009, 0.990364106781291, 0, 17_165_404
15, Maldives, +253, None, 461.53818088283316, 0, 7.699330493000608, 548_167
16, Luxembourg, +285, +2, 449.4296973682343, 3.153892613110416, 2.8377974708752367, 634_137
17, Lithuania, +1186, +16, 440.6384576316463, 5.944532312062682, 6.1203426566209105, 2_691_549
18, Latvia, +759, +8, 406.026524926498, 4.279594465628437, 3.9634464751958225, 1_869_336
19, Bosnia and Herzegovina, +1239, +57, 379.55593487322557, 17.461411047436528, 14.95293265749457, 3_264_341
20, Paraguay, +2660, +91, 369.298725322411, 12.633903761029849, 41.42011834319527, 7_202_841
21, Poland, +13927, +741, 368.3105955027232, 19.596334549258124, 17.343927072566284, 37_813_194
22, Czechia, +3812, +59, 355.4318319601842, 5.501174733906313, 1.5235689562833232, 10_724_982
23, Aruba, +38, None, 354.70592078856725, 0, 6.495726495726497, 107_131
24, Mongolia, +1169, +5, 352.0459773853374, 1.505756960587414, 7.7907364211929355, 3_320_589
25, Estonia, +465, +5, 350.3474090113874, 3.7671764409826607, 10.928319623971799, 1_327_254
26, Armenia, +1033, +25, 348.0805363338123, 8.424020724438826, 22.258134022839904, 2_967_704
27, Liechtenstein, +13, None, 340.1716558509525, 0, 0, 38_216
28, Palestine, +1748, +18, 336.4025899920229, 3.464099896943028, 25.373784293801716, 5_196_155
29, Brazil, +71910, +3157, 336.38301892490585, 14.767920883686939, 0, 213_774_168
30, Colombia, +17212, +419, 335.3966305811304, 8.164721601992426, 23.223995790212243, 51_318_345
31, Kuwait, +1439, +14, 333.0092721907636, 3.239840035212433, 15.047579211544496, 4_321_201
32, Germany, +27862, +296, 331.6919924967276, 3.523825632726702, 0, 83_999_616
33, Georgia, +1310, +12, 328.89847632131824, 3.0128104701189455, 4.331867332429483, 3_982_992
34, Serbia, +2864, +37, 328.8562645510859, 4.248492244549643, 19.0336944241377, 8_708_972
35, Jordan, +3209, +57, 312.0234325805748, 5.542329590867174, 13.029884684099398, 10_284_484
36, Switzerland, +2686, +14, 308.54050691160603, 1.608178368117083, 8.995612713084832, 8_705_502
37, Lebanon, +2082, +32, 306.1414444053313, 4.7053440062298755, 11.541659737235989, 6_800_778
38, North Macedonia, +623, +47, 299.0440669993112, 22.560306820172755, 21.745200698080282, 2_083_305
39, Costa Rica, +1531, +11, 298.3540056997113, 2.14362773526899, 0, 5_131_488
40, Curaçao, +49, +1, 297.63170202814746, 6.074116367921377, 0, 164_633
41, Belgium, +3430, +52, 294.9215117556316, 4.471113297753016, 7.324521130068974, 11_630_213
42, Iran, +24886, +388, 293.2752558919707, 4.572482491605105, 19.640278117576493, 84_855_437
43, Qatar, +819, +9, 291.6869227029655, 3.205350798933687, 16.386554621848738, 2_807_805 
44, Greece, +3010, +86, 289.92595907459105, 8.2835988307026, 4.908435660355821, 10_381_961
45, Bulgaria, +2002, +100, 289.8847454740984, 14.479757516188732, 14.119472459270751, 6_906_193
46, Ukraine, +12162, +429, 279.44730552551556, 9.857169385828495, 32.3827781771707, 43_521_622
47, Austria, +2523, +38, 278.8543826392755, 4.19994710277149, 0, 9_047_733
48, Hungary, +2527, +207, 262.1215121475739, 21.47176613159786, 11.26365054602184, 9_640_567
49, Chile, +4968, +36, 258.1040140473421, 1.8703189423720443, 13.7511071744907, 19_248_054
50, Montenegro, +154, +3, 245.17217773390857, 4.77608138442679, 13.31028522039758, 628_130
51, Peru, +7718, +307, 231.49250005391394, 9.208110587788491, 13.297038402563615, 33_340_173
52, British Virgin Islands, +7, None, 230.31619122824333, 0, 0.5120702267739575, 30_393
53, Monaco, +9, None, 228.0443926417676, 0, 0, 39_466
54, India, +315802, +2102, 227.04844580301827, 1.5112501918225483, 19.26377232048907, 1_390_901_395
55, Italy, +13658, +364, 226.16273652473384, 6.027473721994665, 3.901906671923299, 60_390_143
56, Canada, +8421, +50, 221.55840355554275, 1.315511243056304, 7.959056368379268, 38_008_037
57, Spain, +10232, +148, 218.7756598223226, 3.164464196022649, 0, 46_769_371
58, Tunisia, +2603, +75, 218.41059513740652, 6.293044423859197, 30.598330786411193, 11_917_920
59, Iraq, +8696, +38, 212.38859551397968, 0.928101038354557, 18.298508090819183, 40_943_818
60, Oman, +1077, +17, 206.70634456047551, 3.262774240973151, 0, 5_210_290
61, Azerbaijan, +2075, +32, 203.1804049096611, 3.1333845576429664, 16.365643978231724, 10_212_599
62, Guyana, +160, +1, 202.63270542523742, 1.2664544089077336, 5.329780146568954, 789_606
63, USA, +65057, +876, 195.62260848527083, 2.6340809602824793, 4.3431471444126295, 332_563_810
64, UAE, +1931, +2, 193.36496801567188, 0.20027443605973266, 1.006326673128837, 9_986_297
65, Bermuda, +12, None, 193.2616118018424, 0, 2.0761245674740483, 62_092
66, Caribbean Netherlands, +5, None, 189.25773117831864, 0, 0, 26_419
67, Suriname, +104, +1, 176.01611224412082, 1.6924626177319309, 22.22222222222222, 590_855
68, Moldova, +700, +27, 173.85248666178884, 6.705738771240428, 11.051468266498263, 4_026_402
69, Bahamas, +68, None, 171.60363597821643, 0, 11.826086956521738, 396_262
