Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Hong Kong, +3709, +111, 487.8045572703462, 14.598626545432307, 0, 7_603_455
2, S. Korea, +234301, +306, 4563.141090103852, 5.959518625920412, 0, 51_346_429
3, Greece, +10357, +61, 1002.232451739077, 5.902884962448943, 5.793218404949155, 10_333_930
4, Slovakia, +3258, +25, 596.2367905550822, 4.575174881484671, 40.60319042871386, 5_464_272
5, Malta, +607, +2, 1368.3436954747724, 4.508545948846038, 19.39297124600639, 443_602
6, New Zealand, +8845, +20, 1768.2573319205933, 3.998320705303773, 412.93183940242767, 5_002_100 
7, Chile, +4478, +61, 230.78368894275562, 3.143770662239413, 6.870416398171162, 19_403_451
8, Austria, +13907, +28, 1528.8532995615828, 3.0781543386585404, 6.509853484997426, 9_096_360
9, Lithuania, +1492, +8, 561.7869645091462, 3.012262544284966, 26.65237584851733, 2_655_811
10, Denmark, +1955, +17, 335.4546766414244, 2.916997188186299, 14.67387225099452, 5_827_911
11, Croatia, +809, +9, 199.21442046456607, 2.2162296467009823, 20.92061029221619, 4_060_951
12, Latvia, +533, +4, 288.15514748894145, 2.1625151781534067, 19.276672694394215, 1_849_698
13, Russia, +16828, +304, 115.22554057506365, 2.0815643174958014, 0, 146_044_010
14, Italy, +53588, +118, 888.598739913659, 1.9566815576213286, 14.714620711622212, 60_306_185
15, Cyprus, +2853, +2, 2333.274722039346, 1.6356640182540103, 0, 1_222_745
16, Israel, +8670, +15, 929.6590177996998, 1.608406605189792, 0, 9_326_000 
17, Estonia, +453, +2, 341.08954391132573, 1.505914101153756, 21.91582002902758, 1_328_097
18, Slovenia, +922, +3, 443.3890310747423, 1.4426974980739988, 136.1890694239291, 2_079_438
19, Trinidad and Tobago, +266, +2, 188.99804038873913, 1.4210378976596927, 14.712389380530974, 1_407_422
20, Thailand, +26840, +97, 382.8455468836665, 1.3836072297956652, 0, 70_106_601
21, Georgia, +217, +5, 54.58073194522207, 1.2576205517332275, 1.6614348059107265, 3_975_762
22, Uruguay, +381, +4, 109.01892694472883, 1.14455566346172, 9.267818049136462, 3_494_806
23, Czechia, +2590, +11, 241.070120503414, 1.0238499326399821, 20.46621888581588, 10_743_762
24, North Macedonia, +196, +2, 94.08493757752407, 0.9600503834441231, 0, 2_083_224
25, Malaysia, +12380, +30, 374.1104564446736, 0.9065681497043787, 6.1561718357624855, 33_091_831
26, Peru, +471, +29, 13.944918165387618, 0.8586043031767323, 1.0861043213577457, 33_775_745
27, Belarus, +645, +8, 68.29818500485288, 0.8471092713780202, 5.8376323649199025, 9_443_882
28, Serbia, +993, +7, 114.4568050621951, 0.8068455543155748, 12.852705151436709, 8_675_762
29, Laos, +1593, +6, 213.5291993472682, 0.8042531048861326, 0, 7_460_338
30, Singapore, +3743, +4, 631.1029024832204, 0.6744353753494208, 0, 5_930_887
31, Australia, +47538, +17, 1827.1360489929825, 0.6533996557045038, 52.27172765657987, 26_017_767
32, Mexico, +3303, +85, 25.155373271125, 0.6473529300773918, 26.141669964384644, 131_303_955
33, Romania, +1429, +11, 75.1589079689428, 0.5785500263529537, 9.010656409609686, 19_013_049
34, France, +102266, +31, 1560.6846764239294, 0.4730919853044199, 0, 65_526_369
35, Lebanon, +188, +3, 27.76162041625006, 0.4430045811103732, 0, 6_771_939
