Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Dominica, +299, +3, 4141.675785741, 41.55527544221739, 4.653696498054475, 72_193
2, Saint Lucia, +337, +2, 1825.598465847224, 10.834412260220914, 30.748175182481752, 184_597
3, Israel, +12073, +3, 1294.5528629637574, 0.3216813210379584, 0, 9_326_000 
4, Georgia, +4247, +74, 1067.0039273382133, 18.5915447664299, 9.416851441241684, 3_980_304
5, Montenegro, +637, +4, 1014.0760764011602, 6.367824655580284, 13.01859799713877, 628_158
6, Sint Maarten, +36, +1, 828.7674386481882, 23.021317740227452, 0.9814612868047983, 43_438
7, Mongolia, +2422, +1, 725.3210414076858, 0.29947194112621217, 0, 3_339_211
8, Malaysia, +22597, +252, 687.9924118367576, 7.672438278659244, 14.76368435495041, 32_844_839
9, Cuba, +6850, +83, 605.1976672766352, 7.33305202685558, 12.761993479273404, 11_318_616
10, Saint Kitts and Nevis, +29, None, 540.7017936383637, 0, 0, 53_634
11, Aruba, +55, +4, 512.629322397241, 37.28213253798117, 0, 107_290
12, UK, +32406, +133, 474.4772082853917, 1.9473390329555358, 0, 68_298_328
13, North Macedonia, +978, +24, 469.4531446880512, 11.520322569031933, 13.123993558776167, 2_083_275
14, Azerbaijan, +4241, +43, 413.9670390092434, 4.197260711482544, 22.473636797202058, 10_244_777
15, Antigua and Barbuda, +40, None, 404.5880282402444, 0, 0, 98_866
16, Ireland, +1997, None, 399.28061509608625, 0, 0, 5_001_495
17, Isle of Man, +33, None, 385.72580739424683, 0, 0, 85_553
18, Suriname, +222, +5, 374.55331985841207, 8.435885582396669, 47.13375796178344, 592_706
19, Turks and Caicos, +13, None, 330.6037332790804, 0, 0, 39_322
20, Kazakhstan, +6233, +104, 327.4306684077104, 5.463306516027896, 0, 19_036_091
21, Barbados, +92, None, 319.68642931107576, 0, 5.414949970570924, 287_782
22, Albania, +905, +3, 314.87460684165114, 1.043783227099396, 22.27418163918287, 2_874_160
23, Iran, +26034, +614, 305.4402577439911, 7.20366898113277, 0, 85_234_344
24, Greece, +3062, +35, 295.44278063566514, 3.377040275064755, 3.1979112271540466, 10_364_105
25, Tunisia, +3524, +152, 294.6123970121086, 12.70745866794566, 15.594300380564652, 11_961_479
26, Fiji, +258, None, 285.4130690423064, 0, 15.034965034965033, 903_953
27, Jamaica, +835, +18, 280.56730372805066, 6.048157445634625, 46.46633277685031, 2_976_113
28, Curaçao, +46, +1, 279.0093953381169, 6.065421637785151, 2.6635784597568035, 164_869
29, France, +17590, +74, 268.79343243054956, 1.1307967026640515, 0, 65_440_587
30, Serbia, +2314, +9, 266.08020167821405, 1.0348841033292682, 18.503118503118504, 8_696_626
31, Iceland, +91, None, 264.6864628871767, 0, 2.3125794155019057, 343_803
