Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, French Polynesia, +1622, +11, 5736.698957703339, 38.904863461613274, 0, 282_741
2, Tunisia, +2626, +156, 219.60004860302675, 13.045547441763965, 10.770240341235338, 11_958_103
3, Georgia, +5914, +49, 1485.7381448069634, 12.30997110171478, 10.397693308484827, 3_980_513
4, Fiji, +653, +8, 722.5241652798924, 8.851750876323337, 36.23751387347392, 903_776
5, Eswatini, +769, +10, 655.1857225744283, 8.519970384582942, 28.220183486238533, 1_173_713
6, Montenegro, +535, +5, 851.6992594196346, 7.959806162800323, 12.872954764196344, 628_156
7, Sri Lanka, +3676, +170, 170.86049547312646, 7.901600715568961, 0, 21_514_628
8, Cuba, +8666, +84, 765.6285946819116, 7.4212787852850886, 18.864145932649816, 11_318_804
9, North Macedonia, +1077, +15, 516.9739789763914, 7.200194693264506, 15.835906484340539, 2_083_277
10, Malaysia, +22242, +225, 677.4176748084502, 6.852755005480681, 13.33661122237279, 32_833_510
11, Iran, +39174, +583, 459.7619075534924, 6.842323788831523, 0, 85_204_971
12, Mexico, +14814, +877, 113.5515060901021, 6.722335010194379, 0, 130_460_621
13, French Guiana, +218, +2, 709.206014587522, 6.50647719805066, 0, 307_386
14, Jamaica, +289, +19, 97.118014517967, 6.384921369693332, 25.620567375886527, 2_975_761
15, South Africa, +14727, +384, 244.8307943574773, 6.3838544872188, 22.097681746567634, 60_151_747
16, Guyana, +120, +5, 151.7379687596812, 6.322415364986717, 6.622516556291391, 790_837
17, Kazakhstan, +7034, +116, 369.6277595176783, 6.0956525595750195, 0, 19_029_956
18, Honduras, +1844, +56, 182.89856737059804, 5.5544033474802, 46.146146146146144, 10_082_091
19, Russia, +20914, +799, 143.24151185313238, 5.472409293805717, 5.2284999999999995, 146_005_161
20, Argentina, +9764, +247, 213.82430172755102, 5.409115375533092, 9.421436566444093, 45_663_659
21, Suriname, +114, +3, 192.3849318721079, 5.062761365055471, 32.20338983050847, 592_562
22, Namibia, +186, +12, 71.73919331976974, 4.628335052888371, 17.799043062200955, 2_592_725
23, Brazil, +41017, +985, 191.43145311137016, 4.597117812485058, 0, 214_264_685
24, Thailand, +20515, +312, 293.08064386424496, 4.457283006855687, 0, 69_997_799
25, Indonesia, +15768, +1128, 56.96823630632523, 4.07535328218765, 11.49421935822484, 276_785_820
26, Peru, +1468, +120, 43.83457190882361, 3.583207512982857, 1.6308755401997488, 33_489_548
27, USA, +158127, +1055, 474.57977726512775, 3.166326212567808, 6.850781574934146, 333_193_717
28, Spain, +11956, +144, 255.60532143940515, 3.078551880835927, 0, 46_775_239
29, Vietnam, +8800, +298, 89.4975791006555, 3.03071347409038, 0, 98_326_682
30, Ireland, +1704, +15, 340.80074976164946, 3.0000066000145202, 0, 4_999_989
31, Myanmar, +2878, +163, 52.49766200257713, 2.973286624885362, 24.09376308078694, 54_821_489
32, Guatemala, +4650, +54, 254.25466475292185, 2.9526348164855443, 36.9869551384028, 18_288_750
33, Costa Rica, +2195, +15, 426.4953275931013, 2.914546657811626, 3.197564315473589, 5_146_598
34, Trinidad and Tobago, +194, +4, 138.11702356390333, 2.8477736817299655, 29.61832061068702, 1_404_606
35, Morocco, +9703, +103, 259.41159739074124, 2.7537250882455266, 17.29620848856486, 37_403_879
36, Paraguay, +199, +19, 27.519172842807997, 2.627458713634934, 5.71674806090204, 7_231_322
37, Panama, +838, +11, 190.83204593814673, 2.5049552569446467, 7.295838411979802, 4_391_296
38, Cyprus, +433, +3, 355.71167802260453, 2.4645150902258974, 0, 1_217_278
39, Greece, +3437, +25, 331.58107639687813, 2.4118495519121192, 3.7399754077846334, 10_365_489
40, Finland, +673, +13, 121.25158298175478, 2.342155391920969, 2.4188620925133884, 5_550_443
41, Bulgaria, +1387, +16, 201.3271625904811, 2.322447441562868, 6.9108121574489285, 6_889_284
42, Lithuania, +627, +6, 234.0169589514846, 2.239396736377843, 4.298347843970659, 2_679_293
43, Israel, +7943, +19, 851.7049110015012, 2.0373150332404033, 5.548104996996494, 9_326_000 
44, Bolivia, +706, +24, 59.56547240988065, 2.024888580505858, 8.691370183429767, 11_852_504
45, Moldova, +485, +8, 120.54583152514586, 1.988384849899313, 7.595927956147221, 4_023_366
46, Turkey, +19944, +168, 233.63858093661472, 1.9680746889967544, 6.755960244710474, 85_362_614
47, Azerbaijan, +4129, +20, 403.1327781120674, 1.952689649368212, 23.275084554678692, 10_242_283
48, Colombia, +3154, +93, 61.24916804346213, 1.806015417895364, 6.232832045530897, 51_494_577
49, Iraq, +7992, +71, 193.8018614581495, 1.7217132336747516, 19.457090687766282, 41_237_994
50, Libya, +2325, +12, 333.2561707934292, 1.7200318492564088, 27.96824251172862, 6_976_615
51, France, +28405, +112, 434.0839376366025, 1.71157898311211, 0, 65_436_653
52, Portugal, +2983, +17, 293.51274837151095, 1.6727176407360667, 2.489900170278121, 10_163_102
53, Zimbabwe, +452, +25, 29.920376054114044, 1.6548880560903785, 8.505833646970268, 15_106_762
54, UK, +33904, +111, 496.4810819679371, 1.6254542265939425, 4.22036940680308, 68_288_604
55, Luxembourg, +76, +1, 119.2248502237819, 1.5687480292602882, 1.7765310892940627, 637_451
56, Estonia, +287, +2, 216.18885414634403, 1.5065425376051849, 6.759302873292511, 1_327_543
57, Mongolia, +1582, +5, 473.9694310689059, 1.4980070514187924, 0, 3_337_768
