Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Marshall Islands, +1138, +3, 18954.977763712377, 49.969185668837554, 0, 60_037
2, Micronesia, +60, +2, 510.286525884284, 17.00955086280947, 0, 117_581
3, Hungary, +16249, +117, 1691.136225191196, 12.17693017092559, 0, 9_608_333
4, New Zealand, +4661, +16, 931.8086403710441, 3.198656564243018, 124.92629321897614, 5_002_100 
5, Trinidad and Tobago, +362, +4, 256.90138606104176, 2.8386893487407927, 16.767021769337656, 1_409_101
6, Latvia, +1736, +5, 942.4533428592059, 2.714439351553012, 35.882596114096735, 1_842_001
7, Australia, +20704, +62, 792.4166522470872, 2.3729633133365247, 29.55223454516907, 26_127_669
8, Japan, +178286, +284, 1418.8483199130753, 2.260148990135588, 59.399956687601, 125_655_433
9, Malta, +42, +1, 94.58671236856388, 2.2520645802039017, 0, 444_037
10, Germany, +58685, +184, 695.71362637026, 2.1813292536785864, 0, 84_352_236
11, Italy, +36261, +128, 601.6098675897513, 2.123660766429171, 15.854783631458591, 60_273_280
12, Romania, +7500, +40, 395.4523402684953, 2.1090791480986413, 26.16705045007327, 18_965_623
13, Peru, +8693, +71, 256.07972837461483, 2.0915288984927707, 14.106059130886313, 33_946_459
14, Israel, +1626, +19, 174.35127600257343, 2.0373150332404033, 0, 9_326_000 
15, Croatia, +771, +8, 190.2954738307935, 1.9745315053778836, 23.563569682151588, 4_051_594
16, UK, +5645, +133, 82.23763401292601, 1.937574016602154, 0, 68_642_539
17, Austria, +5930, +17, 650.5460692481607, 1.8649718679964136, 5.921295695327868, 9_115_419
18, Bosnia and Herzegovina, +331, +6, 102.23767696229932, 1.8532509419147913, 37.82857142857143, 3_237_554
19, Montenegro, +548, +1, 872.2850525679085, 1.59176104483195, 33.091787439613526, 628_235
20, North Macedonia, +521, +3, 250.0968465235818, 1.4400970049342523, 42.323314378554024, 2_083_193
21, France, +35745, +93, 545.060433470727, 1.4181177874605573, 0, 65_579_884
22, Taiwan, +24848, +33, 1039.3082108903925, 1.3802789342958366, 44.370636238638596, 23_908_211
23, USA, +87108, +461, 259.8888671668402, 1.3754048739945053, 11.813256484149855, 335_174_034
24, Jamaica, +96, +4, 32.12222506637757, 1.3384260444323988, 15.09433962264151, 2_988_585
25, Guyana, +142, +1, 178.70536770517137, 1.2584885049659957, 16.530849825378347, 794_604
26, Denmark, +1175, +7, 201.35478352989844, 1.199560412518544, 12.661637931034484, 5_835_471
27, Serbia, +6091, +10, 703.1257755912502, 1.1543683723382863, 35.6908472987226, 8_662_746
28, Brazil, +21927, +246, 101.62440872676285, 1.1401288159248262, 0, 215_765_093
