Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Cyprus, +5048, +2, 4135.959000913548, 1.6386525360196311, 0, 1_220_515
2, Ireland, +20110, None, 4005.717559265099, 0, 0, 5_020_324
3, Greece, +40560, +82, 3920.051440043848, 7.925153305808567, 7.449500978940833, 10_346_803
4, France, +232200, +189, 3545.5917132955747, 2.8859467433801194, 0, 65_489_774
5, Portugal, +30829, +18, 3036.6864903157784, 1.7730175103209318, 7.65451042318426, 10_152_184
6, Denmark, +17605, +11, 3023.4901397812478, 1.8891446485426708, 3.271897365941416, 5_822_741
7, UK, +189846, +203, 2774.72022711063, 2.966974316569524, 0, 68_419_871
8, Italy, +144243, +155, 2390.952085531051, 2.5692586347851396, 11.784318130757134, 60_328_687
9, Finland, +11334, +10, 2040.8354352701883, 1.8006312292837376, 24.541497953792522, 5_553_608
10, Croatia, +5567, +45, 1368.7044390081994, 11.06371470367684, 40.10229073620516, 4_067_350
11, USA, +443677, +716, 1328.7389903498572, 2.1443011855257263, 31.21939995412192, 333_908_317
12, Australia, +32827, +13, 1265.3698376489676, 0.5011060373910677, 10.6827774505433, 25_942_613
13, Belgium, +13876, +41, 1189.5273926058476, 3.514746547768792, 17.831579217908683, 11_665_137
14, Canada, +41217, +39, 1077.9225524009307, 1.0199427310002256, 0, 38_237_441
15, Argentina, +47663, +23, 1040.3024832853819, 0.5020027508877701, 30.100729419937476, 45_816_482
16, Netherlands, +16706, +32, 971.7513861388442, 1.8613698285911058, 0, 17_191_640
17, Slovenia, +1892, +6, 909.892726917724, 2.885494905658744, 36.60990712074303, 2_079_366
18, Estonia, +1072, +4, 807.3073363301104, 3.0123408072019044, 14.013071895424837, 1_327_871
19, Lithuania, +1981, +13, 743.2311006010755, 4.877336854020182, 13.218122372723027, 2_665_389
20, Bolivia, +7980, +30, 669.9550433300561, 2.51862798244382, 0, 11_911_247
21, Lebanon, +4290, +17, 632.7743482424213, 2.5074974172776603, 0, 6_779_668
22, Latvia, +1157, +9, 623.7327900694409, 4.851854028197897, 14.831431867709268, 1_854_961
23, Norway, +3045, None, 555.1815854016961, 0, 16.381536475145257, 5_484_692
24, Slovakia, +2995, +37, 548.1731648828007, 6.772089182191529, 25.50021285653469, 5_463_602
25, Czechia, +5750, +55, 535.4451164565191, 5.121648940018879, 10.072875061313152, 10_738_729
26, Georgia, +2100, +42, 527.9432838072253, 10.558865676144505, 5.412092160197928, 3_977_700
27, Panama, +2213, +1, 501.0906022982238, 0.2264304574325458, 10.398458791466968, 4_416_367
28, Uruguay, +1725, +1, 494.0210564661772, 0.2863890182412621, 8.090614886731391, 3_491_754
29, Turkey, +40786, +163, 475.9316967417746, 1.9020464514517055, 10.94879146130636, 85_697_171
30, Israel, +3886, None, 416.6845378511688, 0, 0, 9_326_000 
31, Trinidad and Tobago, +579, +19, 411.7265993160645, 13.510890132996936, 7.369224894998092, 1_406_273
32, Bulgaria, +2810, +65, 409.0187320390195, 9.461287395920381, 9.078573274747997, 6_870_101
33, Austria, +3624, +32, 398.9727552470587, 3.5229382361771187, 1.0284906672418344, 9_083_327
34, Germany, +33466, +244, 397.529005505633, 2.8983767807139915, 0, 84_185_052
35, Bahrain, +656, None, 366.5048123310991, 0, 2.9604224017329304, 1_789_881
36, Poland, +13614, +638, 360.3061125161832, 16.8852137347822, 14.650839942748298, 37_784_538
37, Hungary, +3360, +82, 349.14111286235857, 8.520705730569466, 0, 9_623_616
38, Gabon, +725, None, 314.63859309244606, 0, 17.8923988153998, 2_304_231
39, Zambia, +5081, +4, 265.28270647045457, 0.20884291003381583, 32.20102668103175, 19_153_152
40, Qatar, +741, +1, 263.90721577887354, 0.35615008877040966, 11.89215214251324, 2_807_805 
41, North Macedonia, +542, +7, 260.1709063643948, 3.3601408571047298, 9.048414023372287, 2_083_246
42, Bosnia and Herzegovina, +842, +14, 259.0566768012592, 4.307355671279844, 20.105062082139447, 3_250_254
43, Serbia, +2192, +26, 252.39897046091485, 2.9937834087517268, 11.999124151521787, 8_684_663
44, Albania, +708, +2, 246.42449543018301, 0.6961143938705736, 7.103441356476373, 2_873_091
45, UAE, +2426, +2, 240.93253005275787, 0.1986253339264286, 0.5569419159628368, 10_069_209
46, Eswatini, +277, +4, 235.1161703055916, 3.3951793545933806, 23.025768911055692, 1_178_141
47, Colombia, +10401, +41, 201.20127276973196, 0.793121063701472, 18.32904521904628, 51_694_504
48, South Africa, +11754, +84, 194.51395515167496, 1.3900946258925215, 27.233549582947177, 60_427_541
49, Namibia, +505, +10, 193.50727529877713, 3.8318272336391512, 21.870939800779556, 2_609_721
50, Jordan, +1845, +33, 178.17954394535286, 3.1869511925185066, 4.388781845429245, 10_354_724
51, Vietnam, +16515, +226, 167.41105878224477, 2.290941524964415, 11.32149198275212, 98_649_397
52, Ukraine, +7029, +209, 162.18183553289805, 4.822308098787265, 23.87081437207091, 43_340_242
53, Belarus, +1510, +17, 159.8785515934968, 1.7999572033704938, 7.083548341699114, 9_444_669
54, Mozambique, +4861, +10, 149.2767173002687, 0.30709055194459717, 42.65531765531765, 32_563_685
55, Russia, +20638, +912, 141.32890145766675, 6.245370584814037, 5.1595, 146_028_164
56, Dominican Republic, +1510, +1, 137.1391786471211, 0.09082064811067622, 30.278724684178865, 11_010_712
57, Peru, +4577, +37, 135.9814328450034, 1.0992599989655072, 7.078564800494896, 33_659_007
58, Laos, +1006, +12, 135.33327028542809, 1.614313363245663, 19.725490196078432, 7_433_501
59, Paraguay, +903, +4, 124.31795494073008, 0.5506886154628131, 18.150753768844222, 7_263_633
60, Ecuador, +2232, +9, 123.69886884810803, 0.49878576148430664, 0, 18_043_819
61, Kuwait, +504, None, 115.46254202699075, 0, 2.371429915776596, 4_365_052
62, Jamaica, +329, +3, 110.38353413183015, 1.0065367853966276, 11.047683008730692, 2_980_517
63, Malaysia, +3573, +25, 108.31716028481138, 0.7578866518668582, 2.8330161750713607, 32_986_463
64, Ivory Coast, +2858, +2, 104.48016275216395, 0.07311417967261298, 37.31070496083551, 27_354_475
65, Zimbabwe, +1530, +7, 100.74670428228146, 0.46093263397122236, 24.869960988296487, 15_186_601
66, S. Korea, +4871, +108, 94.88606017221615, 2.103817388339016, 0, 51_335_254
67, Chile, +1812, +19, 93.58632561234096, 0.9813135687828246, 2.9605908110581005, 19_361_803
68, Moldova, +375, +6, 93.28536889885702, 1.4925659023817124, 6.574333800841514, 4_019_923
69, Rwanda, +1228, +1, 91.42311922430908, 0.07444879415660349, 5.927213051452843, 13_432_051
70, Romania, +1668, +37, 87.5798352154947, 1.942718167250182, 4.735945485519591, 19_045_480
71, Togo, +747, +2, 87.17736497486561, 0.23340659966496816, 33.229537366548044, 8_568_738
72, Mongolia, +272, +1, 81.01854609836127, 0.2978623018322106, 0, 3_357_256
73, Libya, +551, +14, 78.58983310001233, 1.996837864610114, 11.887810140237324, 7_011_085
74, Tunisia, +864, +5, 71.97787879858258, 0.41653865045476024, 4.393145878883409, 12_003_688
75, Mauritania, +319, +3, 66.01435926131794, 0.6208246952475042, 12.82669883393647, 4_832_282
76, Mexico, +8024, +153, 61.27063429301671, 1.1682959928753187, 26.810117277556884, 130_959_963
77, Singapore, +344, +1, 58.11585361630123, 0.16894143493110822, 0, 5_919_211
78, Azerbaijan, +595, +12, 57.902144014212595, 1.1677743330597496, 5.640345056403451, 10_275_958
79, Morocco, +2034, +5, 54.14585119394397, 0.13310189575699108, 10.597613713332986, 37_565_205
80, Kenya, +2791, +2, 50.25034701276451, 0.036008847733976716, 29.742114236999146, 55_541_905
81, Angola, +1722, +6, 50.06802069164173, 0.17445303376878651, 0, 34_393_211
82, Mauritius, +62, None, 48.63019715623157, 0, 0, 1_274_928
83, Brazil, +10282, +85, 47.863070096611295, 0.3956779768733671, 0, 214_821_155
84, Thailand, +3111, +26, 44.40338823971909, 0.3710987123859519, 0, 70_062_221
85, Malawi, +874, +9, 43.98893693335304, 0.452975323112331, 40.89845577912962, 19_868_632
86, Guatemala, +797, +1, 43.288954641268454, 0.054314874079383256, 13.18226926893814, 18_411_163
87, Palestine, +219, +3, 41.48771537381284, 0.5683248681344225, 2.4565339315759953, 5_278_671
88, Ethiopia, +4899, +11, 41.09231337452803, 0.09226688040820746, 36.53516295025729, 119_219_377
89, Cuba, +433, None, 38.26351508444086, 0, 0, 11_316_263
90, Armenia, +104, +4, 34.99873466113148, 1.346105179274288, 1.3723937714436527, 2_971_536
91, Uganda, +1658, +3, 34.614940727029, 0.06263258273889445, 21.412889061087434, 47_898_392
92, Guinea, +410, None, 30.003577743697292, 0, 0, 13_665_037
93, Philippines, +2851, +130, 25.509284453476198, 1.1631732651532465, 0, 111_763_229
94, Kazakhstan, +480, +7, 25.11408859559819, 0.3662471253524736, 0, 19_112_778
95, Ghana, +790, +5, 24.654626907304564, 0.15604194245129469, 3.673222671688287, 32_042_667
96, Djibouti, +24, None, 23.774286919981694, 0, 2.577873254564984, 1_009_494
97, Sri Lanka, +499, +17, 23.157958438936408, 0.7889484838916212, 0, 21_547_668
98, Saudi Arabia, +819, +2, 22.989547250761728, 0.056140530526890664, 0.8589677703545995, 35_624_886
99, Iran, +1703, +34, 19.89451072949631, 0.39718929230938027, 0.8896341686386977, 85_601_502
100, India, +22775, +406, 16.264260046166704, 0.28993587612485977, 1.8207808051728562, 1_400_309_632
101, Mali, +338, +2, 16.002128567160884, 0.09468715128497565, 20.32471437161756, 21_122_190
102, New Zealand, +61, None, 12.194878151176507, 0, 0, 5_002_100 
103, Senegal, +185, None, 10.630199604119873, 0, 11.314984709480122, 17_403_248
