Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Hong Kong, +16023, +40, 2107.0975773046275, 5.260182431016982, 0, 7_604_299
2, Latvia, +476, +5, 257.4591486431741, 2.7044028218820806, 0, 1_848_837
3, Japan, +136237, +232, 1084.8204462389003, 1.84735676451643, 0, 125_584_838
4, New Zealand, +6100, +9, 1245.3546739487929, 1.8374085353342848, 0, 4_898_203
5, Chile, +3459, +25, 179.68649148748884, 1.298688143159069, 17.85198183319571, 19_250_195
6, Taiwan, +15119, +30, 632.8961581876206, 1.2558294031105637, 84.34118040834542, 23_888_595
7, Croatia, +256, +5, 63.065277982384096, 1.2317437105934392, 12.909732728189613, 4_059_286
8, Peru, +3830, +39, 113.70313352773502, 1.1578125868359441, 17.73148148148148, 33_684_208
9, Lithuania, +77, +3, 28.92879309075225, 1.1270958347046334, 0, 2_661_708
10, Slovenia, +558, +2, 268.52303667793694, 0.9624481601359747, 132.22748815165878, 2_078_034
11, S. Korea, +58862, +42, 1146.7390574838264, 0.8182365603329942, 0, 51_329_899
12, Serbia, +900, +6, 104.00997756158084, 0.693399850410539, 25.041736227045075, 8_653_016
13, Czechia, +146, +5, 13.598112805473223, 0.465688794707987, 14.688128772635814, 10_736_784
14, Slovakia, +67, +2, 12.270628529064814, 0.36628741877805415, 20.0, 5_460_193
15, Russia, +7222, +51, 49.53158735013737, 0.3497799715947114, 0, 145_805_947
16, Philippines, +973, +30, 8.648197494326542, 0.2666453492598112, 7.967572879135276, 112_508_994
17, Malaysia, +847, +6, 25.526601431080948, 0.1808259841635014, 3.1243083732939874, 33_181_072
18, Bulgaria, +46, +1, 6.720629424931811, 0.1461006396724307, 6.0130718954248366, 6_844_597
19, Brazil, +11716, +24, 54.40355016505343, 0.11144462307624467, 0, 215_353_593
20, Austria, +3992, +1, 440.2920133102305, 0.11029359050857478, 2.545269064014282, 9_066_710
21, Kenya, +16, +4, 0.2846204233547352, 0.0711551058386838, 4.651162790697675, 56_215_221
22, Saudi Arabia, +38, +2, 1.0601226522851543, 0.0557959290676397, 1.1049723756906076, 35_844_909
23, Guatemala, +607, +1, 32.662436836255026, 0.053809615875214205, 0, 18_584_039
24, Indonesia, +860, +14, 3.0809519589847914, 0.05015503189045009, 3.1991667286660217, 279_134_505
25, Iran, +55, +3, 0.6393651025482919, 0.03487446013899774, 0, 86_022_837
26, Madagascar, +63, +1, 2.1591553137651944, 0.03427230656770149, 2.9005524861878453, 29_178_077
27, Afghanistan, +51, +1, 1.2513989904596285, 0.02453723510705154, 4.260651629072681, 40_754_388
28, USA, +7675, +5, 22.923773042532375, 0.014934054099369624, 11.24921218872294, 334_805_269
29, India, +155, +2, 0.11019230664671122, 0.0014218362147962738, 0.06436289043359826, 1_406_631_776
30, China, +2097, None, 1.447733106777255, 0, 0, 1_448_471_400                                
31, France, +37264, None, 568.1828751108608, 0, 0, 65_584_518
32, Germany, None, None, 0, 0, 0, 83_883_596
33, Italy, None, None, 0, 0, 0, 60_262_770
34, UK, None, None, 0, 0, 0, 68_497_907
35, Turkey, None, None, 0, 0, 0, 85_561_976
36, Spain, None, None, 0, 0, 0, 46_719_142
37, Vietnam, +177, None, 1.7887182026159125, 0, 0, 98_953_541
38, Australia, +2807, None, 107.67664263077475, 0, 0, 26_068_792
39, Argentina, None, None, 0, 0, 0, 46_010_234
40, Netherlands, None, None, 0, 0, 0, 17_211_447
41, Mexico, None, None, 0, 0, 0, 131_562_772
42, Poland, +124, None, 3.285657297729703, 0, 5.216659655027345, 37_739_785
43, Colombia, None, None, 0, 0, 0, 51_512_762
44, Portugal, None, None, 0, 0, 0, 10_140_570
45, Greece, None, None, 0, 0, 0, 10_316_637
46, Ukraine, None, None, 0, 0, 0, 43_192_122
47, Israel, +578, None, 61.97726785331332, 0, 0, 9_326_000
48, Thailand, None, None, 0, 0, 0, 70_078_203
49, Belgium, None, None, 0, 0, 0, 11_668_278
