Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Cyprus, +1355, +2, 1107.5808390967045, 1.6348056665634014, 0, 1_223_387
2, Taiwan, +19610, +70, 820.8938198332719, 2.9302686072579824, 71.11771959091898, 23_888_595
3, S. Korea, +13504, +17, 263.08253596992273, 0.33119098870621194, 0, 51_329_899
4, Japan, +28615, +192, 227.85393886481742, 1.5288469775308386, 22.231631614522232, 125_584_838
5, Germany, +13420, +103, 159.98360394563915, 1.2278920422057251, 0, 83_883_596
6, Lithuania, +338, +2, 126.98613071005535, 0.7513972231364222, 26.76167854315123, 2_661_708
7, Slovenia, +225, +1, 108.27541801529716, 0.48122408006798734, 51.02040816326531, 2_078_034
8, Australia, +2491, +35, 95.554868825529, 1.3426015290620295, 0, 26_068_792
9, Chile, +1764, +24, 91.63543538130392, 1.2467406174327065, 14.086081609837898, 19_250_195
10, Serbia, +760, +2, 87.83064771866827, 0.23113328347017967, 8.487826669644852, 8_653_016
11, Russia, +12392, +37, 84.98967466669929, 0.25376194017655535, 0, 145_805_947
12, Singapore, +439, None, 73.86163075039714, 0, 0, 5_943_546
13, Brazil, +12716, +42, 59.04707612656363, 0.19502809038342814, 0, 215_353_593
14, Portugal, +554, +7, 54.63203744957137, 0.6902965020703965, 0, 10_140_570
15, Czechia, +573, None, 53.367935873535316, 0, 15.251530476443973, 10_736_784
16, France, +3366, +20, 51.323088171510236, 0.3049500188443864, 0, 65_584_518
17, Mexico, +5107, +59, 38.81797200198852, 0.4484551298447862, 0, 131_562_772
18, USA, +12107, +159, 36.16131859621361, 0.4749029203599541, 9.397728772248485, 334_805_269
19, Israel, +330, +1, 35.38494531417542, 0.1072271070126528, 0, 9_326_000
20, Hong Kong, +250, +5, 32.87614019385613, 0.6575228038771227, 0, 7_604_299
21, Poland, +1175, +8, 31.13425261961614, 0.2119778901761099, 21.77135445617936, 37_739_785
22, Guatemala, +573, +3, 30.83290989649774, 0.16142884762564264, 0, 18_584_039
23, Spain, +1199, +36, 25.66399870956534, 0.7705620963672664, 0, 46_719_142
24, Netherlands, +396, None, 23.00794349249078, 0, 0, 17_211_447
25, Latvia, +34, +2, 18.389939188798145, 1.0817611287528324, 13.438735177865613, 1_848_837
26, Paraguay, +128, +13, 17.520223196693387, 1.7793976684141721, 0, 7_305_843
27, Croatia, +64, +5, 15.766319495596024, 1.2317437105934392, 5.173807599029911, 4_059_286
28, Bolivia, +189, None, 15.759644902680442, 0, 0, 11_992_656
29, Slovakia, +81, +1, 14.834640460511194, 0.18314370938902708, 16.463414634146343, 5_460_193
30, UAE, +114, None, 11.307521435936197, 0, 0.5072076882007475, 10_081_785
31, Malaysia, +255, +4, 7.68510432694881, 0.12055065610900094, 1.3048817930610992, 33_181_072
32, Norway, +40, None, 7.2577235787109196, 0, 0, 5_511_370
33, Dominican Republic, +73, None, 6.60252867803809, 0, 0, 11_056_370
34, Peru, +200, +1, 5.9375004453125335, 0.029687502226562665, 1.3863856924996534, 33_684_208
35, Bulgaria, +40, +1, 5.844025586897227, 0.1461006396724307, 1.7301038062283738, 6_844_597
36, Kazakhstan, +94, None, 4.894547749775931, 0, 0, 19_205_043
37, Bosnia and Herzegovina, +7, None, 2.154298888043241, 0, 0, 3_249_317
38, Azerbaijan, +21, +1, 2.038794373510042, 0.09708544635762104, 2.142857142857143, 10_300_205
39, Albania, +5, None, 1.7443641339197187, 0, 0, 2_866_374
40, Philippines, +187, +20, 1.6620893437194897, 0.17776356617320746, 2.0293000542593598, 112_508_994
