Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Taiwan, +22990, +73, 962.3839325837288, 3.0558515475690387, 39.050822122571, 23_888_595
2, Austria, +2716, None, 299.5573918212891, 0, 0, 9_066_710
3, S. Korea, +14018, +22, 273.0961929225694, 0.4286001030315684, 0, 51_329_899
4, Japan, +32459, +188, 258.46272939413274, 1.4969959988322794, 0, 125_584_838
5, Chile, +1473, +20, 76.51870539493237, 1.0389505145272553, 13.02157001414427, 19_250_195
6, Russia, +9410, +45, 64.53783397463205, 0.308629386701216, 0, 145_805_947
7, Hong Kong, +400, +7, 52.60182431016981, 0.9205319254279718, 0, 7_604_299
8, Serbia, +441, +3, 50.96488900517461, 0.3466999252052695, 9.784779232305302, 8_653_016
9, Singapore, +299, None, 50.30666877988325, 0, 0, 5_943_546
10, Slovenia, +50, None, 24.061204003399368, 0, 23.809523809523807, 2_078_034
11, Bolivia, +216, +1, 18.011022745920503, 0.08338436456444678, 0, 11_992_656
12, Qatar, +52, None, 17.450162169055154, 0, 0, 2_979_915
13, Lithuania, +40, None, 15.027944462728444, 0, 0, 2_661_708
14, Croatia, +44, +4, 10.839344653222266, 0.9853949684747515, 3.3562166285278416, 4_059_286
15, UAE, +99, None, 9.819689668049854, 0, 0.23743854179158172, 10_081_785
16, USA, +3167, +14, 9.45922986654072, 0.04181535147823495, 7.565695174390827, 334_805_269
17, Eswatini, +10, +1, 8.440121976642807, 0.8440121976642807, 0, 1_184_817
18, Czechia, +89, +2, 8.289260545802168, 0.1862755178831948, 14.983164983164984, 10_736_784
19, Israel, +76, None, 8.149260132961613, 0, 0, 9_326_000
20, Malaysia, +211, None, 6.3590471097498, 0, 1.221347534151424, 33_181_072
21, Peru, +187, +82, 5.551562916367218, 2.434375182578139, 1.5997946787578063, 33_684_208
22, Slovakia, +22, +4, 4.0291616065585965, 0.7325748375561083, 13.924050632911392, 5_460_193
23, Brazil, +727, +1, 3.3758433740179115, 0.004643525961510193, 0, 215_353_593
24, Poland, +121, None, 3.206165588913662, 0, 7.4187614960147155, 37_739_785
25, Norway, +17, None, 3.084532520952141, 0, 0, 5_511_370
26, Albania, +7, None, 2.442109787487606, 0, 0, 2_866_374
27, Guatemala, +36, +3, 1.9371461715077114, 0.16142884762564264, 0, 18_584_039
28, Bulgaria, +12, None, 1.7532076760691682, 0, 3.149606299212598, 6_844_597
29, Azerbaijan, +18, +1, 1.7475380344371787, 0.09708544635762104, 1.3432835820895521, 10_300_205
30, Kazakhstan, +27, None, 1.4058807366377675, 0, 0, 19_205_043
31, Saudi Arabia, +40, +1, 1.115918581352794, 0.02789796453381985, 1.2738853503184715, 35_844_909
32, Iran, +93, +1, 1.0811082643089298, 0.01162482004633258, 0, 86_022_837
33, Cuba, +11, None, 0.972964672891046, 0, 0, 11_305_652
34, Indonesia, +171, +1, 0.612607889519069, 0.0035825022778892923, 0, 279_134_505
