Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Barbados, +211, +2, 732.580384205428, 6.943889897681783, 10.74885379521141, 288_023
2, Estonia, +322, +8, 243.58693103161335, 6.051849218176729, 8.058058058058059, 1_321_910
3, Moldova, +2834, +10, 706.1747431146094, 2.491795141547669, 0, 4_013_171
4, Malta, +90, +1, 202.68763808095346, 2.2520848675661496, 0, 444_033
5, Trinidad and Tobago, +226, +3, 160.67283527124206, 2.1328252469633897, 15.374149659863946, 1_406_585
6, Taiwan, +17250, +44, 722.1019067885742, 1.8418831245621603, 58.61963502905495, 23_888_595
7, Germany, +25763, +104, 307.1279872169524, 1.2398133241688876, 0, 83_883_596
8, Slovakia, +105, +4, 19.230089485847845, 0.7325748375561083, 13.565891472868216, 5_460_193
9, Czechia, +1825, +7, 169.97641006841528, 0.6519643125911819, 22.428413420179428, 10_736_784
10, Israel, +1334, +6, 143.04096075487882, 0.6433626420759168, 0, 9_326_000
11, Japan, +19202, +72, 152.90062324243314, 0.5733176165740644, 0, 125_584_838
12, Latvia, +25, +1, 13.522014109410403, 0.5408805643764162, 9.293680297397769, 1_848_837
13, France, +5774, +32, 88.03907044037436, 0.4879200301510183, 0, 65_584_518
14, Serbia, +1095, +4, 126.54547269992335, 0.46226656694035934, 9.307267318317042, 8_653_016
15, Lithuania, +640, +1, 240.4471114036551, 0.3756986115682111, 33.420365535248045, 2_661_708
16, Tunisia, +187, +4, 15.52297998714332, 0.3320423526661673, 8.629441624365482, 12_046_656
17, USA, +7161, +89, 21.388552281117178, 0.2658261629687793, 7.691977185086523, 334_805_269
18, Hong Kong, +131, +2, 17.227097461580616, 0.26300912155084905, 0, 7_604_299
19, Russia, +11277, +38, 77.34252430732472, 0.2606203709921379, 0, 145_805_947
20, Austria, +4624, +2, 509.9975625116498, 0.22058718101714955, 0, 9_066_710
21, Peru, +41, +7, 1.2171875912890695, 0.20781251558593866, 1.1533052039381153, 33_684_208
22, Chile, +1255, +4, 65.19414478658528, 0.2077901029054511, 18.14632735685367, 19_250_195
23, Azerbaijan, +37, +2, 3.5921615152319784, 0.19417089271524207, 2.1828908554572273, 10_300_205
24, Poland, +3424, +7, 90.72653699537504, 0.18548065390409615, 32.66863848869383, 37_739_785
25, S. Korea, +11880, +8, 231.44405563704694, 0.1558545829205703, 0, 51_329_899
26, Bulgaria, +81, +1, 11.834151813466885, 0.1461006396724307, 2.510849349039058, 6_844_597
27, Mexico, +1038, +11, 7.889769911506576, 0.08361027844563809, 1.9325290437890976, 131_562_772
28, Philippines, +82, +9, 0.7288306213101505, 0.07999360477794336, 0.8930516227401437, 112_508_994
29, Iran, +358, +5, 4.161685576587064, 0.0581241002316629, 0, 86_022_837
30, Guatemala, +406, +1, 21.84670404533697, 0.053809615875214205, 4.580324909747293, 18_584_039
31, Zambia, +58, +1, 2.97890616003896, 0.05136045103515448, 2.36734693877551, 19_470_234
32, Saudi Arabia, +58, +1, 1.6180819429615514, 0.02789796453381985, 1.6666666666666667, 35_844_909
33, Indonesia, +272, +4, 0.9744406195858873, 0.01433000911155717, 0, 279_134_505
34, India, +125, +1, 0.08886476342476711, 0.0007109181073981369, 0.10751578331699094, 1_406_631_776
35, China, None, None, 0, 0, 0, 1_448_471_400                                
