Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Taiwan, +19185, +27, 803.1029032892055, 1.1302464627995075, 107.9324894514768, 23_888_595
2, Japan, +64450, +326, 513.1988942805341, 2.5958547639325698, 0, 125_584_838
3, Hong Kong, +2737, +37, 359.9279828423369, 4.865668748690707, 0, 7_604_299
4, S. Korea, +16624, +24, 323.86582330894515, 0.467563748761711, 0, 51_329_899
5, Austria, +1490, +1, 164.3374498577764, 0.11029359050857478, 0, 9_066_710
6, Chile, +2075, +67, 107.79111588220276, 3.4804842236663056, 15.164803040268948, 19_250_195
7, Lebanon, +487, +4, 72.85130898244672, 0.598368040923587, 0, 6_684_849
8, Israel, +535, +7, 57.36650225176925, 0.7505897490885696, 0, 9_326_000
9, France, +3477, None, 53.01556077609658, 0, 0, 65_584_518
10, Serbia, +404, +7, 46.68892326097629, 0.8089664921456288, 8.88107276324467, 8_653_016
11, Bahrain, +82, None, 45.964563563666246, 0, 4.948702474351237, 1_783_983
12, Russia, +5729, +41, 39.29195014247258, 0.2811956634388857, 0, 145_805_947
13, Mexico, +4380, +41, 33.29209269017226, 0.31163831057010566, 39.28955866523143, 131_562_772
14, Slovenia, +67, +1, 32.24201336455515, 0.48122408006798734, 28.270042194092827, 2_078_034
15, Singapore, +170, None, 28.602453821338305, 0, 0, 5_943_546
16, Eswatini, +28, None, 23.632341534599856, 0, 4.49438202247191, 1_184_817
17, Qatar, +57, None, 19.128062377618154, 0, 0, 2_979_915
18, Lithuania, +40, +2, 15.027944462728444, 0.7513972231364222, 0, 2_661_708
19, USA, +4579, +6, 13.676606744202703, 0.01792086491924355, 10.573104276346172, 334_805_269
20, Guatemala, +243, +2, 13.075736657677052, 0.10761923175042841, 0, 18_584_039
21, Croatia, +46, +6, 11.332042137459641, 1.4780924527121273, 3.1485284052019162, 4_059_286
22, Malaysia, +309, None, 9.312538184420323, 0, 1.7180028911375513, 33_181_072
23, Peru, +279, +24, 8.282813121210983, 0.712500053437504, 3.311572700296736, 33_684_208
24, UAE, +79, None, 7.835913977534732, 0, 0.4053984707753887, 10_081_785
25, Bosnia and Herzegovina, +20, +1, 6.155139680123546, 0.30775698400617735, 0, 3_249_317
26, South Africa, +364, None, 5.991164513674216, 0, 0, 60_756_135
27, Brazil, +1073, +7, 4.9825033567004375, 0.032504681730571354, 0, 215_353_593
28, Czechia, +51, +1, 4.750025706021468, 0.0931377589415974, 10.059171597633137, 10_736_784
29, Norway, +26, None, 4.717520326162098, 0, 0, 5_511_370
30, Philippines, +399, +14, 3.5463831451554886, 0.12443449632124523, 3.8090692124105012, 112_508_994
31, Bulgaria, +23, +3, 3.3603147124659056, 0.43830191901729204, 2.9715762273901807, 6_844_597
32, Slovakia, +17, +5, 3.1134430596134606, 0.9157185469451354, 7.6923076923076925, 5_460_193
33, Kazakhstan, +58, None, 3.0200401009255744, 0, 0, 19_205_043
34, Azerbaijan, +29, None, 2.8154779443710103, 0, 1.3621418506341005, 10_300_205
35, Poland, +73, None, 1.934298247857003, 0, 4.360812425328555, 37_739_785
36, Albania, +4, None, 1.395491307135775, 0, 0, 2_866_374
37, Iran, +112, +1, 1.301979845189249, 0.01162482004633258, 0, 86_022_837
38, Thailand, +89, +7, 1.2700097346959653, 0.09988840609968266, 0, 70_078_203
39, Madagascar, +29, +1, 0.9938968904633434, 0.03427230656770149, 9.034267912772584, 29_178_077
40, Saudi Arabia, +30, +2, 0.8369389360145956, 0.0557959290676397, 0.8549444286121403, 35_844_909
41, Cuba, +9, None, 0.796062005092674, 0, 0, 11_305_652
42, Indonesia, +218, +4, 0.7809854965798656, 0.01433000911155717, 0, 279_134_505
43, Syria, +9, None, 0.464760587104164, 0, 0, 19_364_809
44, Venezuela, +12, None, 0.4100182352193295, 0, 0, 29_266_991
45, Laos, +2, None, 0.26734311604174993, 0, 0, 7_481_023
46, Algeria, +7, None, 0.15435451280114898, 0, 0, 45_350_148
47, Vietnam, +11, None, 0.11116327812867252, 0, 0, 98_953_541
48, Ethiopia, +11, None, 0.09105003184350705, 0, 1.788617886178862, 120_812_698
49, India, +94, +2, 0.06682630209542487, 0.0014218362147962738, 0, 1_406_631_776
50, Kenya, +3, None, 0.053366329379012846, 0, 2.6785714285714284, 56_215_221
51, Morocco, +2, None, 0.052948214845641654, 0, 0.07958615200955034, 37_772_756
52, Pakistan, +9, None, 0.03921756700889978, 0, 0, 229_488_994
53, Myanmar, +2, None, 0.03621407683537061, 0, 0.0649772579597141, 55_227_143
54, Nepal, +1, None, 0.033084557313073415, 0, 0.1483679525222552, 30_225_582
55, China, None, None, 0, 0, 0, 1_448_471_400                                
56, Germany, None, None, 0, 0, 0, 83_883_596
57, Italy, None, None, 0, 0, 0, 60_262_770
58, UK, None, None, 0, 0, 0, 68_497_907
59, Turkey, None, None, 0, 0, 0, 85_561_976
60, Spain, None, None, 0, 0, 0, 46_719_142
61, Australia, None, None, 0, 0, 0, 26_068_792
62, Argentina, None, None, 0, 0, 0, 46_010_234
63, Netherlands, None, None, 0, 0, 0, 17_211_447
64, Colombia, None, None, 0, 0, 0, 51_512_762
65, Greece, None, None, 0, 0, 0, 10_316_637
66, Portugal, None, None, 0, 0, 0, 10_140_570
67, Ukraine, None, None, 0, 0, 0, 43_192_122
68, DPRK, None, None, 0, 0, 0, 25_990_679
69, Belgium, None, None, 0, 0, 0, 11_668_278
70, Canada, None, None, 0, 0, 0, 38_388_419
71, Switzerland, None, None, 0, 0, 0, 8_773_637
72, Romania, None, None, 0, 0, 0, 19_031_335
73, Denmark, None, None, 0, 0, 0, 5_834_950
74, Sweden, None, None, 0, 0, 0, 10_218_971
75, Iraq, None, None, 0, 0, 0, 42_164_965
76, Hungary, None, None, 0, 0, 0, 9_606_259
77, New Zealand, None, None, 0, 0, 0, 4_898_203
78, Bangladesh, None, None, 0, 0, 0, 167_885_689
79, Georgia, None, None, 0, 0, 0, 3_968_738
80, Jordan, None, None, 0, 0, 0, 10_300_869
81, Ireland, None, None, 0, 0, 0, 5_020_199
82, Finland, None, None, 0, 0, 0, 5_554_960
83, Bolivia, None, None, 0, 0, 0, 11_992_656
84, Costa Rica, None, None, 0, 0, 0, 5_182_354
85, Tunisia, None, None, 0, 0, 0, 12_046_656
86, Ecuador, None, None, 0, 0, 0, 18_113_361
87, Uruguay, None, None, 0, 0, 0, 3_496_016
88, Panama, None, None, 0, 0, 0, 4_446_964
89, Mongolia, None, None, 0, 0, 0, 3_378_078
90, Belarus, None, None, 0, 0, 0, 9_432_800
91, Latvia, None, None, 0, 0, 0, 1_848_837
92, Paraguay, None, None, 0, 0, 0, 7_305_843
93, Sri Lanka, None, None, 0, 0, 0, 21_575_842
94, Kuwait, None, None, 0, 0, 0, 4_380_326
95, Dominican Republic, None, None, 0, 0, 0, 11_056_370
96, Cyprus, None, None, 0, 0, 0, 1_223_387
97, Palestine, None, None, 0, 0, 0, 5_345_541
98, Estonia, None, None, 0, 0, 0, 1_321_910
99, Moldova, None, None, 0, 0, 0, 4_013_171
100, Egypt, None, None, 0, 0, 0, 106_156_692
101, Libya, None, None, 0, 0, 0, 7_040_745
102, Honduras, None, None, 0, 0, 0, 10_221_247
103, Armenia, None, None, 0, 0, 0, 2_971_966
104, Oman, None, None, 0, 0, 0, 5_323_993
105, North Macedonia, None, None, 0, 0, 0, 2_081_304
106, Zambia, None, None, 0, 0, 0, 19_470_234
107, Botswana, None, None, 0, 0, 0, 2_441_162
108, Nigeria, None, None, 0, 0, 0, 216_746_934
109, Zimbabwe, None, None, 0, 0, 0, 15_331_428
110, Uzbekistan, None, None, 0, 0, 0, 34_382_084
111, Mozambique, None, None, 0, 0, 0, 33_089_461
112, Afghanistan, None, None, 0, 0, 0, 40_754_388
113, Kyrgyzstan, None, None, 0, 0, 0, 6_728_271
114, El Salvador, None, None, 0, 0, 0, 6_550_389
115, Trinidad and Tobago, None, None, 0, 0, 0, 1_406_585
116, Ghana, None, None, 0, 0, 0, 32_395_450
117, Namibia, None, None, 0, 0, 0, 2_633_874
118, Uganda, None, None, 0, 0, 0, 48_432_863
119, Jamaica, None, None, 0, 0, 0, 2_985_094
120, Cambodia, None, None, 0, 0, 0, 17_168_639
121, Rwanda, None, None, 0, 0, 0, 13_600_464
122, Cameroon, None, None, 0, 0, 0, 27_911_548
123, Angola, None, None, 0, 0, 0, 35_027_343
124, DRC, None, None, 0, 0, 0, 95_240_792
125, Senegal, None, None, 0, 0, 0, 17_653_671
126, Malawi, None, None, 0, 0, 0, 20_180_839
127, Ivory Coast, None, None, 0, 0, 0, 27_742_298
128, Sudan, None, None, 0, 0, 0, 45_992_020
129, Mauritania, None, None, 0, 0, 0, 4_901_981
130, Burundi, None, None, 0, 0, 0, 12_624_840
131, Gabon, None, None, 0, 0, 0, 2_331_533
132, Papua New Guinea, None, None, 0, 0, 0, 9_292_169
133, Tanzania, None, None, 0, 0, 0, 63_298_550
134, Mauritius, None, None, 0, 0, 0, 1_274_727
135, Togo, None, None, 0, 0, 0, 8_680_837
136, Guinea, None, None, 0, 0, 0, 13_865_691
137, Lesotho, None, None, 0, 0, 0, 2_175_699
138, Haiti, None, None, 0, 0, 0, 11_680_283
139, Mali, None, None, 0, 0, 0, 21_473_764
140, Benin, None, None, 0, 0, 0, 12_784_726
