Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Cyprus, +3353, +8, 2740.7516999935424, 6.539222666253606, 0, 1_223_387
2, Réunion, +1213, +4, 1335.8133429362124, 4.404990413639612, 0, 908_061
3, Japan, +144077, +480, 1147.2483644880763, 3.8221174438270964, 0, 125_584_838
4, Hong Kong, +8260, +71, 1086.2276720050068, 9.336823815055142, 0, 7_604_299
5, Taiwan, +21721, +53, 909.2623488321519, 2.2186319454953294, 76.88849557522124, 23_888_595
6, S. Korea, +39726, +46, 773.9348951378222, 0.8961638517932794, 0, 51_329_899
7, Cook Islands, +11, +1, 626.03152922429, 56.911957202208185, 0, 17_571
8, Paraguay, +1932, +30, 264.44586887509075, 4.106302311725012, 0, 7_305_843
9, Austria, +2129, None, 234.8150541927557, 0, 0, 9_066_710
10, Australia, +5985, +59, 229.58486146960703, 2.263242577561707, 0, 26_068_792
11, Slovenia, +442, +2, 212.70104339005042, 0.9624481601359747, 69.9367088607595, 2_078_034
12, Spain, +9871, +76, 211.28384592336906, 1.6267422034420067, 0, 46_719_142
13, Chile, +3289, +29, 170.85541211400715, 1.5064782460645203, 18.984126984126984, 19_250_195
14, Sint Maarten, +7, None, 159.21393804303327, 0, 0, 43_966
15, Montenegro, +86, +1, 136.95357910661676, 1.5924834779839159, 10.630407911001235, 627_950
16, Germany, +10609, +150, 126.47288034718969, 1.788192294474357, 0, 83_883_596
17, Guyana, +100, +2, 125.9374468701396, 2.5187489374027923, 11.185682326621924, 794_045
18, French Guiana, +36, +1, 114.5880083649246, 3.1830002323590167, 0, 314_169
19, Serbia, +914, +6, 105.6279105458721, 0.693399850410539, 9.263200567548393, 8_653_016
20, Bolivia, +1222, +3, 101.89569349775395, 0.2501530936933403, 0, 11_992_656
21, Monaco, +4, None, 100.54545911570268, 0, 0, 39_783
22, Brazil, +20548, +79, 95.41517145711147, 0.3668385509593053, 0, 215_353_593
23, France, +6238, +101, 95.11391087756412, 1.5399975951641514, 0, 65_584_518
24, Lithuania, +250, +5, 93.92465289205278, 1.8784930578410555, 22.52252252252252, 2_661_708
25, Singapore, +498, None, 83.78836472368515, 0, 53.95449620801733, 5_943_546
26, Liechtenstein, +3, None, 78.15145752468283, 0, 0, 38_387
27, Guatemala, +1399, +3, 75.27965260942467, 0.16142884762564264, 13.698227748947419, 18_584_039
28, Israel, +697, None, 74.737293587819, 0, 0, 9_326_000
29, USA, +19397, +193, 57.93516947309452, 0.5764544882356675, 8.337165870788327, 334_805_269
30, Mexico, +5686, +45, 43.218913021990744, 0.34204204818670136, 12.874448092380844, 131_562_772
31, Malta, +18, None, 40.53752761619069, 0, 6.122448979591836, 444_033
32, Russia, +5078, +47, 34.82711168152833, 0.32234624833238107, 0, 145_805_947
33, Lebanon, +230, +1, 34.406162353106254, 0.14959201023089674, 0, 6_684_849
34, Mauritius, +43, +1, 33.73271296520745, 0.7844816968652897, 0, 1_274_727
