Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Bulgaria, +5524, +96, 804.1803402072992, 13.97561778781693, 12.373720404094707, 6_869_106
2, Trinidad and Tobago, +974, +18, 692.5680480104668, 12.798998833868994, 0, 1_406_360
3, Georgia, +4234, +46, 1064.47329187737, 11.56489641623973, 9.407634537617207, 3_977_554
4, Hungary, +6524, +101, 677.9485592501997, 10.49552490562081, 22.53151441892592, 9_623_149
5, Croatia, +3911, +41, 961.6737007446517, 10.081468097808928, 43.15824321341867, 4_066_868
6, Latvia, +1877, +17, 1012.0971764268172, 9.16657005820772, 16.19918874600846, 1_854_565
7, Montenegro, +2386, +5, 3798.2320551046105, 7.959413359397759, 37.3512836568566, 628_187
8, Greece, +29334, +78, 2835.3441588179357, 7.539266529890195, 21.498457276451663, 10_345_834
9, USA, +849181, +2025, 2542.874003613226, 6.063866074861287, 27.025639605732543, 333_945_370
10, Curaçao, +964, +1, 5838.531887832354, 6.056568348373811, 25.583864118895967, 165_110
11, Russia, +16735, +787, 114.60024438784593, 5.38932729807199, 5.578333333333333, 146_029_357
12, Czechia, +6639, +52, 618.2077692113721, 4.842115378670184, 8.517435147409746, 10_739_108
13, North Macedonia, +1171, +10, 562.1041030239377, 4.800205832826111, 14.762985375693393, 2_083_244
14, Namibia, +547, +12, 209.530215636087, 4.596640928031159, 19.22671353251318, 2_610_602
15, Slovakia, +1116, +25, 204.25898281955, 4.575694059577733, 22.011834319526628, 5_463_652
16, Estonia, +1729, +6, 1302.0676442591543, 4.5184533635366835, 19.069151869416565, 1_327_888
17, Ukraine, +7177, +192, 165.61577836312122, 4.430573978782119, 20.912004662004662, 43_335_243
18, Slovenia, +4109, +9, 1976.0783429219703, 4.328231950912079, 37.22931956147504, 2_079_371
19, Italy, +108304, +223, 1795.2825860224793, 3.6965210581604824, 22.005315215006135, 60_326_993
20, Cabo Verde, +1469, +2, 2599.3605113078374, 3.5389523639317053, 0, 565_139
