Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Cook Islands, +11, +1, 626.03152922429, 56.911957202208185, 0, 17_571
2, Hong Kong, +8260, +71, 1086.2276720050068, 9.336823815055142, 0, 7_604_299
3, Tonga, None, +1, 0, 9.280828592376729, 0, 107_749
4, Cyprus, +3353, +8, 2740.7516999935424, 6.539222666253606, 0, 1_223_387
5, Macao, +16, +4, 23.97039656024809, 5.992599140062023, 0, 667_490
6, Réunion, +1213, +4, 1335.8133429362124, 4.404990413639612, 0, 908_061
7, Paraguay, +1932, +30, 264.44586887509075, 4.106302311725012, 0, 7_305_843
8, Japan, +144077, +480, 1147.2483644880763, 3.8221174438270964, 0, 125_584_838
9, French Guiana, +36, +1, 114.5880083649246, 3.1830002323590167, 0, 314_169
10, Guyana, +100, +2, 125.9374468701396, 2.5187489374027923, 11.185682326621924, 794_045
11, Croatia, +111, +10, 27.34471037517435, 2.4634874211868785, 7.193778353856124, 4_059_286
12, Australia, +5985, +59, 229.58486146960703, 2.263242577561707, 0, 26_068_792
13, Taiwan, +21721, +53, 909.2623488321519, 2.2186319454953294, 76.88849557522124, 23_888_595
14, Denmark, +190, +11, 32.56240413371151, 1.885191818267509, 4.3428571428571425, 5_834_950
15, Lithuania, +250, +5, 93.92465289205278, 1.8784930578410555, 22.52252252252252, 2_661_708
16, Germany, +10609, +150, 126.47288034718969, 1.788192294474357, 0, 83_883_596
17, Spain, +9871, +76, 211.28384592336906, 1.6267422034420067, 0, 46_719_142
18, Latvia, +31, +3, 16.7672974956689, 1.6226416931292482, 9.090909090909092, 1_848_837
19, Montenegro, +86, +1, 136.95357910661676, 1.5924834779839159, 10.630407911001235, 627_950
20, France, +6238, +101, 95.11391087756412, 1.5399975951641514, 0, 65_584_518
21, Chile, +3289, +29, 170.85541211400715, 1.5064782460645203, 18.984126984126984, 19_250_195
22, Slovenia, +442, +2, 212.70104339005042, 0.9624481601359747, 69.9367088607595, 2_078_034
23, S. Korea, +39726, +46, 773.9348951378222, 0.8961638517932794, 0, 51_329_899
24, Mauritius, +43, +1, 33.73271296520745, 0.7844816968652897, 0, 1_274_727
25, Slovakia, +48, +4, 8.7908980506733, 0.7325748375561083, 7.18562874251497, 5_460_193
26, Serbia, +914, +6, 105.6279105458721, 0.693399850410539, 9.263200567548393, 8_653_016
27, USA, +19397, +193, 57.93516947309452, 0.5764544882356675, 8.337165870788327, 334_805_269
28, Azerbaijan, +93, +5, 9.028946511258757, 0.4854272317881052, 2.543068088597211, 10_300_205
29, Peru, +627, +13, 18.614063896054795, 0.3859375289453147, 1.775751224900167, 33_684_208
30, Brazil, +20548, +79, 95.41517145711147, 0.3668385509593053, 0, 215_353_593
31, Mexico, +5686, +45, 43.218913021990744, 0.34204204818670136, 12.874448092380844, 131_562_772
32, Russia, +5078, +47, 34.82711168152833, 0.32234624833238107, 0, 145_805_947
33, Bulgaria, +121, +2, 17.678177400364113, 0.2922012793448614, 3.8086244885111737, 6_844_597
34, Bolivia, +1222, +3, 101.89569349775395, 0.2501530936933403, 0, 11_992_656
35, Philippines, +730, +27, 6.488370165322072, 0.2399808143338301, 6.652086750501185, 112_508_994
36, Czechia, +325, +2, 30.269771656019156, 0.1862755178831948, 7.411630558722919, 10_736_784
37, Poland, +321, +7, 8.50561284331641, 0.18548065390409615, 6.532356532356533, 37_739_785
38, Guatemala, +1399, +3, 75.27965260942467, 0.16142884762564264, 13.698227748947419, 18_584_039
39, Lebanon, +230, +1, 34.406162353106254, 0.14959201023089674, 0, 6_684_849
40, Malaysia, +320, +3, 9.644052488720076, 0.0904129920817507, 1.5398681487897599, 33_181_072
41, Syria, +12, +1, 0.619680782805552, 0.051640065233796, 0, 19_364_809
42, Zambia, +615, +1, 31.586677386620007, 0.05136045103515448, 15.348140753681058, 19_470_234
43, Sri Lanka, +5, +1, 0.2317406662507076, 0.046348133250141525, 0, 21_575_842
44, Ghana, +8, +1, 0.246948259709311, 0.030868532463663875, 3.686635944700461, 32_395_450
45, Indonesia, +363, +8, 1.300448326873813, 0.02866001822311434, 0, 279_134_505
46, Saudi Arabia, +26, +1, 0.7253470778793162, 0.02789796453381985, 0.7307476110174256, 35_844_909
47, Iran, +75, +1, 0.8718615034749435, 0.01162482004633258, 0, 86_022_837
48, India, None, +4, 0, 0.0028436724295925475, 0, 1_406_631_776
49, China, None, None, 0, 0, 0, 1_448_471_400                                
50, Italy, None, None, 0, 0, 0, 60_262_770
51, UK, None, None, 0, 0, 0, 68_497_907
52, Turkey, None, None, 0, 0, 0, 85_561_976
53, Vietnam, +55, None, 0.5558163906433626, 0, 0, 98_953_541
54, Argentina, None, None, 0, 0, 0, 46_010_234
55, Netherlands, None, None, 0, 0, 0, 17_211_447
56, Colombia, None, None, 0, 0, 0, 51_512_762
