Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Cyprus, +882, None, 725.1387177212556, 0, 1.4188960924052059, 1_216_319
2, Tunisia, +8506, +189, 712.1211968994179, 15.823055045143429, 34.85208555273294, 11_944_596
3, Mongolia, +2308, +5, 692.6785260353188, 1.5006033926241742, 18.40657149692958, 3_331_993
4, Cuba, +6422, +20, 567.3366899429016, 1.7668535968324555, 14.38201240678118, 11_319_557
5, Namibia, +1372, +71, 530.2026131414505, 27.437598785016753, 40.99193307439498, 2_587_690
6, UK, +35707, +29, 523.1817102226514, 0.42491023038779213, 2.8701207465030776, 68_249_710
7, Spain, +21879, +6, 467.767207019497, 0.12827840587398795, 0, 46_773_266
8, Colombia, +21536, +576, 418.7004580644448, 11.198526367251123, 18.50839650045549, 51_435_339
9, Netherlands, +6926, +2, 403.2942725225818, 0.11645806310210274, 0, 17_173_564
10, South Africa, +22441, +374, 373.5806358012473, 6.226066476078005, 29.4644381129945, 60_070_030
11, Kuwait, +1617, +18, 373.02423457941575, 4.152403353388673, 10.183902254692025, 4_334_839
12, Argentina, +14518, +244, 318.248930288578, 5.348721517455092, 16.855524079320112, 45_618_378
13, Portugal, +3194, +7, 314.174121908412, 0.6885469171442969, 4.344455174852759, 10_166_337
14, Costa Rica, +1544, +13, 300.3003587072225, 2.5284356626903453, 0, 5_141_519
15, Malaysia, +9180, +77, 279.9788582413363, 2.3484065451615352, 0, 32_788_190
16, Georgia, +1108, +7, 278.2978419861022, 1.7581993627280823, 4.636953337518309, 3_981_346
17, Brazil, +57713, +1433, 269.5611970802066, 6.693140114288567, 0, 214_099_806
18, Panama, +1160, +10, 264.6065676718751, 2.2810911006196126, 8.076307178166122, 4_383_867
19, Libya, +1710, +5, 245.46390596808882, 0.7177307192049381, 33.86138613861387, 6_966_401
20, Iraq, +8636, +32, 209.92189160334553, 0.7778486025135546, 18.985644250005496, 41_139_111
21, Kyrgyzstan, +1319, +10, 198.83385976318723, 1.507459133913474, 14.673489820892202, 6_633_679
22, Iran, +16596, +146, 195.04631944621795, 1.7158810941882272, 0, 85_087_481
23, Greece, +1997, +12, 192.5556834974669, 1.157069705543116, 2.9059107709321617, 10_371_026
24, Zimbabwe, +2683, +55, 177.88113403167756, 3.6464637986366997, 26.85416875187669, 15_083_106
25, Russia, +25766, +726, 176.48145258084946, 4.972659107882353, 5.1532, 145_998_345
26, Paraguay, +1258, +77, 174.19602924443925, 10.662237084119097, 21.296766548163195, 7_221_749
27, Uruguay, +604, +18, 173.26384038154762, 5.163491931900426, 6.576655052264808, 3_486_013
28, Guatemala, +2960, +34, 162.16975239363376, 1.8627606693863337, 27.69979412315179, 18_252_479
29, Kazakhstan, +2909, None, 153.06163253674637, 0, 0, 19_005_416
30, UAE, +1529, +4, 152.71545863977968, 0.39951722338725887, 0.5262578215886171, 10_012_084
31, Chile, +2800, +122, 145.20236854103564, 6.326674629287981, 4.149377593360995, 19_283_432
32, Indonesia, +38124, +871, 137.89565793216218, 3.1504332719261683, 15.82447139690683, 276_469_909
33, Thailand, +9276, +72, 132.5545993552239, 1.028884341696434, 0, 69_978_711
34, Belarus, +1250, +11, 132.32905811669917, 1.164495711426953, 7.049004680539108, 9_446_149
35, Bolivia, +1537, +59, 129.86795715591035, 4.985172070396037, 13.726891131553096, 11_835_098
36, Ireland, +631, None, 126.3525327775691, 0, 0, 4_993_964
37, Belgium, +1382, None, 118.71755830110192, 0, 2.0847790013576706, 11_641_075
38, Trinidad and Tobago, +161, +7, 114.66321774901147, 4.985357293435282, 29.009009009009006, 1_404_112
39, Zambia, +1949, +64, 103.08883014806126, 3.3851642531944184, 23.002478460993743, 18_906_025
40, Eswatini, +117, +1, 99.79520658887189, 0.8529504836655718, 14.408866995073891, 1_172_401
41, Denmark, +551, None, 94.78733317816423, 0, 0.2088236520262716, 5_813_013
42, Honduras, +930, +17, 92.40067076925645, 1.6890445194380213, 35.455585207777354, 10_064_862
43, USA, +27237, +366, 81.7972184398938, 1.0991585691890122, 2.8741229740952217, 332_981_983
44, Myanmar, +4320, +64, 78.85846386158471, 1.168273538690144, 27.43379691369785, 54_781_691
45, Mexico, +9452, +266, 72.53324037946365, 2.041244386472422, 32.10488774158486, 130_312_667
46, Sri Lanka, +1537, +43, 71.4722858422702, 1.9995499617551191, 0, 21_504_839
47, Peru, +2344, +175, 70.09708146734245, 5.233357191461146, 4.168222637147684, 33_439_338
48, France, +4580, +18, 70.00819447444887, 0.27514137566377284, 1.555643112373137, 65_420_913
49, Bangladesh, +11324, +212, 68.06884029516655, 1.2743371726046722, 30.95173017001039, 166_360_995
50, Bahrain, +119, +3, 67.558399694795, 1.7031529334822268, 1.1273209549071617, 1_761_439
51, Rwanda, +887, +13, 66.80187708002745, 0.9790579504400866, 11.355780309819485, 13_278_070
