Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Channel Islands, +856, None, 4876.381451521021, 0, 0, 175_540
2, Seychelles, +307, +5, 3101.511355370565, 50.51321425684959, 0, 98_984
3, Isle of Man, +238, None, 2783.495508982036, 0, 0, 85_504
4, Botswana, +5769, +54, 2402.572739357715, 22.488980399604195, 21.25018417562988, 2_401_176
5, Andorra, +86, None, 1111.182892951741, 0, 0, 77_395
6, Gibraltar, +34, None, 1009.5011876484562, 0, 4.755244755244755, 33_680
7, Cyprus, +1056, +5, 868.0220194828199, 4.109952743763352, 1.5202119083266152, 1_216_559
8, Fiji, +784, +15, 867.9825163521707, 16.606808348574692, 20.253164556962027, 903_244
9, French Guiana, +192, +4, 625.918910901095, 13.03997731043948, 5.946113347785692, 306_749
10, UK, +39805, +19, 583.142837076557, 0.2783498029005046, 3.659180078910694, 68_259_434
11, Cuba, +6505, +61, 574.6787276462785, 5.388993449104226, 14.6806589934552, 11_319_368
12, Netherlands, +8874, +2, 516.693346574595, 0.11645105850227519, 1.9193417916452182, 17_174_597
13, Libya, +3425, +18, 491.4653631713793, 2.5828836604627234, 44.56733897202342, 6_968_955
14, Spain, +20542, +7, 439.17787321733107, 0.149656562774867, 2.053653728108323, 46_773_759
15, Bahamas, +162, None, 407.88065714105875, 0, 14.581458145814583, 397_175
16, Luxembourg, +226, +1, 355.0020734634379, 1.5708056347939732, 1.2368651488616462, 636_616
17, Mongolia, +1171, +6, 351.2890749097703, 1.799944021740924, 16.306921041637654, 3_333_437
18, Malaysia, +10972, +129, 334.5170904940072, 3.9329843851373436, 10.736442452590172, 32_799_520
19, Malta, +146, None, 329.7385805431653, 0, 3.833027041218168, 442_775
20, Colombia, +16455, +446, 319.82414667059567, 8.668585196905843, 38.02865726831523, 51_450_149
21, Sint Maarten, +13, None, 299.64273366370867, 0, 0, 43_385
22, Iran, +25441, +213, 298.89497911770775, 2.502442142685891, 0, 85_116_853
23, Argentina, +12764, +406, 279.7301003394763, 8.897713940600703, 17.937043282743115, 45_629_698
24, Kazakhstan, +5317, +41, 279.67207935849103, 2.1565836474888345, 0, 19_011_551
25, Monaco, +11, None, 278.2485518427643, 0, 0, 39_533
26, Caribbean Netherlands, +7, None, 264.370420726641, 0, 1.5053763440860215, 26_478
27, Namibia, +664, +26, 256.4747316382053, 10.042685274989967, 30.570902394106813, 2_588_949
28, Kuwait, +1107, +17, 255.27110621630112, 3.9201524893198907, 8.988307892172784, 4_336_566
29, Maldives, +140, None, 254.32118949653488, 0, 1.636852566350988, 550_485
30, Greece, +2596, +8, 250.34615466956333, 0.7714827570710734, 6.73463563960879, 10_369_642
31, Iraq, +9883, +62, 240.08940664221933, 1.5061765872526152, 24.178593272171252, 41_163_832
32, Belize, +89, None, 219.66413600418596, 0, 3.7584459459459456, 405_164
33, Ireland, +1071, None, 214.39424118251134, 0, 0, 4_995_470
34, Georgia, +848, +15, 213.00442235360845, 3.767766904839772, 4.66087721226778, 3_981_138
35, Tunisia, +2520, +117, 210.9144371183296, 9.792456009065303, 30.582524271844658, 11_947_973
36, Liechtenstein, +8, None, 209.18860968020292, 0, 0, 38_243
37, Kyrgyzstan, +1287, +11, 193.9239278771749, 1.6574694690356828, 22.507869884575026, 6_636_623
38, Portugal, +1855, +8, 182.4794361414935, 0.7869733095050931, 1.7459645159772226, 10_165_529
39, Switzerland, +1560, +1, 178.8812354730663, 0.11466745863658098, 1.9456708822869115, 8_720_870
40, Curaçao, +29, None, 175.97514502779194, 0, 1.9450033534540576, 164_796
41, Russia, +24633, +719, 168.71912145728115, 4.924655881451109, 6.15825, 146_000_049
42, Thailand, +11784, +81, 168.3825882172798, 1.1574159577053347, 0, 69_983_483
43, Faeroe Islands, +8, None, 163.07560592779828, 0, 0.2808988764044944, 49_057
44, Panama, +688, +7, 156.87261669909006, 1.5960876699035325, 10.46228710462287, 4_385_724
45, UAE, +1508, +2, 150.56889180796398, 0.19969349046149065, 0.6626183090051059, 10_015_349
46, French Polynesia, +42, None, 148.6157504387703, 0, 0, 282_608
47, San Marino, +5, None, 147.03287655119684, 0, 0.4125412541254125, 34_006
48, Denmark, +844, None, 145.17760088510173, 0, 0.3864132699078377, 5_813_569
49, Costa Rica, +742, +11, 144.27968948366345, 2.1389172295421806, 0, 5_142_789
50, Zimbabwe, +2113, +75, 140.0356020470514, 4.970501729071868, 27.85761371127225, 15_089_020
51, Israel, +1220, +1, 130.81707055543643, 0.1072271070126528, 2.4709861665282644, 9_326_000 
52, Trinidad and Tobago, +181, +6, 128.89580447717086, 4.272789098690746, 24.828532235939644, 1_404_235
53, Indonesia, +34257, +1338, 123.87321594969936, 4.838204248495131, 17.709641898912825, 276_548_887
54, South Africa, +7209, +221, 119.96912854335162, 3.677788515477973, 27.299579656909152, 60_090_459
55, Belgium, +1330, +2, 114.23712362947661, 0.17178514831500244, 0, 11_642_450
56, Myanmar, +5189, +281, 94.70422860129757, 5.1285196062757015, 37.288013797068125, 54_791_640
57, Eswatini, +111, +7, 94.65102338221362, 5.968983456535994, 13.074204946996467, 1_172_729
58, Turkey, +7667, +50, 89.89513071129548, 0.5862471025909449, 3.3847946916953995, 85_288_268
59, Aruba, +9, None, 83.92312641620276, 0, 0, 107_241
60, Bangladesh, +13321, +231, 80.0513010995591, 1.388172851437441, 29.594330400782017, 166_405_790
61, Paraguay, +573, +52, 79.3173777591858, 7.19808663783187, 14.299975043673571, 7_224_142
62, Jordan, +803, +14, 77.89237776037783, 1.3580240207288787, 3.3470884915176526, 10_309_096
63, Saint Kitts and Nevis, +4, None, 74.6366129905025, 0, 1.680672268907563, 53_593
64, USA, +24266, +121, 72.86323073445179, 0.36332526658158193, 2.7025070525121198, 333_034_917
65, Brazil, +15271, +615, 71.31281793709161, 2.8719391677893613, 0, 214_141_026
66, Antigua and Barbuda, +7, None, 70.86598230375184, 0, 3.255813953488372, 98_778
67, Belarus, +658, +9, 69.65863563293286, 0.9527776910279572, 6.239332448321639, 9_446_065
68, Sri Lanka, +1487, +48, 69.1393604939275, 2.231801818230343, 2.537282872060881, 21_507_286
69, Rwanda, +913, +17, 68.71445786061412, 1.279458689628083, 10.537857802400739, 13_286_869
70, Suriname, +40, +3, 67.55250518465478, 5.066437888849108, 28.776978417266186, 592_132
71, Anguilla, +1, None, 66.03711285742587, 0, 0, 15_143
72, Honduras, +658, +16, 65.34799445713941, 1.5890089837602288, 25.854616895874262, 10_069_169
73, Sweden, +655, None, 64.43555681912645, 0, 0.8466141895123245, 10_165_195
74, France, +4151, +20, 63.446842092777956, 0.3056942524344879, 0.847092723083736, 65_424_848
75, Uruguay, +197, +6, 56.5062338996673, 1.721002047705603, 3.342949261836077, 3_486_341
76, Nepal, +1642, +32, 55.31603987282566, 1.0780227015410604, 20.96259415294268, 29_683_976
77, Greenland, +3, None, 52.749107660928736, 0, 0, 56_873
78, Chile, +1004, +25, 52.05333019216026, 1.2961486601633532, 2.964450218495335, 19_287_911
79, Turks and Caicos, +2, None, 50.93724531377343, 0, 0, 39_264
80, Philippines, +5642, +72, 50.78049906070027, 0.648031891593481, 11.799150929585712, 111_105_643
81, Cambodia, +790, +22, 46.57799984281399, 1.2971088563821618, 10.010136847440446, 16_960_797
82, Cayman Islands, +3, None, 45.09311728719806, 0, 0.47244094488188976, 66_529
83, Montenegro, +28, None, 44.57541124796823, 0, 2.037845705967977, 628_149
84, Qatar, +124, None, 44.16261100753079, 0, 1.9716966131340434, 2_807_805 
85, Vietnam, +4195, +80, 42.69504258242741, 0.8142082018102963, 0, 98_254_967
86, Mozambique, +1373, +20, 42.68298199042403, 0.6217477347476188, 40.41801589637915, 32_167_387
87, Venezuela, +1087, +15, 38.340198827262554, 0.5290735808729883, 0, 28_351_444
88, Barbados, +11, None, 38.22842526690391, 0, 1.4884979702300407, 287_744
89, Bahrain, +67, None, 38.002023749563264, 0, 0.5143164197436094, 1_763_064
90, Bolivia, +440, +15, 37.1638885252271, 1.2669507451781965, 12.154696132596685, 11_839_450
91, Saudi Arabia, +1293, +14, 36.5457644405868, 0.39570046571401024, 1.3822963438101348, 35_380_297
92, Mayotte, +10, None, 35.75553227473121, 0, 0, 279_677
93, Norway, +195, None, 35.677647514722516, 0, 0, 5_465_607
94, Italy, +2069, +7, 34.2727785185049, 0.11595430141591798, 2.3223967044191762, 60_368_610
95, Mexico, +4438, +91, 34.04688719736159, 0.6981222926903796, 36.137122384170674, 130_349_655
96, Senegal, +575, +7, 33.42314762812487, 0.4068904928641289, 24.3954179041154, 17_203_646
97, Zambia, +630, +29, 33.29784030207801, 1.5327577281908924, 19.848771266540645, 18_920_146
98, Lebanon, +215, +1, 31.648453104573406, 0.14720210746313214, 0, 6_793_381
99, Armenia, +92, +3, 30.98637374214689, 1.0104252307221813, 2.5886325267304446, 2_969_047
100, Morocco, +1153, +16, 30.855254122588434, 0.4281735177462402, 12.490521070306576, 37_368_028
101, Guatemala, +548, +13, 30.008410568940295, 0.7118783529128173, 28.7061288632792, 18_261_547
102, Singapore, +172, None, 29.159975695499327, 0, 0, 5_898_496
103, Austria, +263, None, 29.028040756252203, 0, 0.10018665955582645, 9_060_205
104, Jamaica, +85, +2, 28.574271591391952, 0.6723358021503988, 6.478658536585366, 2_974_704
105, Finland, +156, None, 28.10942494603351, 0, 3.555150410209663, 5_549_740
106, St. Vincent Grenadines, +3, None, 26.951998490688084, 0, 1.530612244897959, 111_309
107, Cabo Verde, +15, None, 26.67600919788797, 0, 0, 562_303
108, Algeria, +1177, +18, 26.34418578000389, 0.4028847442991249, 0, 44_677_790
109, Serbia, +227, +1, 26.090592513907893, 0.11493653089827266, 2.502204585537919, 8_700_454
110, Japan, +3251, +8, 25.787180045028176, 0.06345661038456642, 10.247438928289993, 126_070_396
111, Estonia, +34, None, 25.61263154722894, 0, 1.6322611617858858, 1_327_470
112, S. Korea, +1252, +1, 24.39812058081246, 0.01948731675783743, 4.7329225418667065, 51_315_428
113, Mauritania, +116, +2, 24.283043150967682, 0.41867315777530484, 5.894308943089431, 4_776_996
114, Afghanistan, +915, +51, 22.965327801441823, 1.2800346643426592, 34.42437923250564, 39_842_671
115, Lithuania, +60, None, 22.368170391774775, 0, 1.9607843137254901, 2_682_383
116, India, +29424, +372, 21.104606648326076, 0.2668200677398484, 2.0103949663601837, 1_394_197_982
117, Peru, +691, +97, 20.656530298989676, 2.8996865976874076, 3.3613854161599455, 33_451_891
118, Canada, +701, +5, 18.40454443645981, 0.1312734981202554, 0.6416945863312645, 38_088_419
119, Brunei , +8, None, 18.10524124102376, 0, 0, 441_861
120, Malawi, +347, +14, 17.66348535587622, 0.7126478241563892, 30.14769765421373, 19_645_047
121, Uzbekistan, +585, +5, 17.21799014489336, 0.14716230893071247, 0, 33_976_091
122, Bulgaria, +113, +3, 16.392141810304622, 0.43518960558330855, 0.6212204507971413, 6_893_547
123, Laos, +114, None, 15.434844242112591, 0, 0, 7_385_886
124, Moldova, +61, +1, 15.158552243950307, 0.2485008564582018, 1.6257995735607675, 4_024_131
125, Dominican Republic, +163, None, 14.869946806642432, 0, 10.787557908669756, 10_961_707
126, Azerbaijan, +148, +2, 14.46046820651112, 0.19541173252042052, 2.457655264031883, 10_234_800
127, Hungary, +139, +2, 14.4271283153982, 0.20758458007767192, 0.7320027384275106, 9_634_627
128, Papua New Guinea, +127, +8, 13.919429737403929, 0.8768144716474917, 1.7842090474852486, 9_123_937
129, Ecuador, +247, +5, 13.781197324930114, 0.27897160576781604, 18.460388639760836, 17_922_971
130, Palestine, +71, +2, 13.588339902944805, 0.38277013811112126, 0, 5_225_068
131, Latvia, +25, +1, 13.409866121260592, 0.5363946448504237, 0.7539203860072377, 1_864_299
132, Germany, +983, +12, 11.693389431942872, 0.14274737861985196, 0, 84_064_591
133, Congo, +65, +2, 11.484788838905517, 0.3533781181201698, 0, 5_659_660
134, Eritrea, +40, +2, 11.118149517430618, 0.5559074758715309, 0, 3_597_721
135, Pakistan, +2452, +30, 10.879932753851195, 0.13311500106669488, 4.953235157465205, 225_369_040
136, Czechia, +116, +1, 10.811013328395061, 0.09319839076202638, 0.17245224113580615, 10_729_799
137, Timor-Leste, +14, None, 10.411577078764324, 0, 0, 1_344_657
138, Tajikistan, +99, +2, 10.142339020077937, 0.2048957377793523, 0, 9_761_062
139, Gabon, +23, +1, 10.085551789308438, 0.43850225170906254, 0.34513805522208885, 2_280_490
140, Bosnia and Herzegovina, +28, +3, 8.590524957776037, 0.9204133883331467, 0.9481882831019303, 3_259_405
141, Kenya, +431, +8, 7.835408571289784, 0.14543681802858066, 8.161333080855899, 55_006_704
142, Bhutan, +6, None, 7.687438980953089, 0, 0, 780_494
143, Burundi, +92, None, 7.504427204201174, 0, 0, 12_259_430
144, Uganda, +265, +39, 5.60917562919446, 0.8255013190135243, 7.30631375792666, 47_244_019
145, Saint Lucia, +1, None, 5.419877944348693, 0, 0.8333333333333334, 184_506
146, Australia, +118, +1, 4.571999617501862, 0.03874575947035477, 0.07565217948800143, 25_809_276
147, Croatia, +18, +2, 4.413168699257755, 0.490352077695306, 1.1665586519766689, 4_078_702
148, Slovenia, +9, None, 4.328508809477318, 0, 1.5254237288135595, 2_079_238
149, North Macedonia, +9, None, 4.320102300022465, 0, 0.456158134820071, 2_083_284
150, Ukraine, +182, +5, 4.1879451288065805, 0.11505343760457638, 1.898404088870345, 43_458_067
151, Albania, +11, None, 3.826748484868515, 0, 0, 2_874_503
152, DRC, +347, None, 3.7556017993640194, 0, 15.002161694768699, 92_395_312
153, Togo, +31, None, 3.655215975510525, 0, 3.1093279839518555, 8_481_031
154, Guinea, +43, +2, 3.1842742468784113, 0.14810577892457727, 0, 13_503_862
155, Angola, +101, +12, 2.976704136593113, 0.3536678182090828, 0, 33_930_144
156, Romania, +46, +1, 2.407996474693161, 0.05234774944985133, 0.4195549069682597, 19_103_018
157, Poland, +66, None, 1.7458861169596092, 0, 0.2798863491794241, 37_803_153
158, Haiti, +16, +2, 1.3855373798067974, 0.17319217247584967, 0, 11_547_866
159, Taiwan, +21, +1, 0.8800623754685546, 0.04190773216516927, 0, 23_861_945
160, Ivory Coast, +23, +2, 0.8499910011822266, 0.07391226097236754, 2.117863720073665, 27_059_110
161, Slovakia, +4, +3, 0.7322769749784619, 0.5492077312338464, 0.3424657534246575, 5_462_414
162, Ethiopia, +84, None, 0.7122765674262749, 0, 2.4369016536118364, 117_931_719
163, Nigeria, +146, +1, 0.6904218994676389, 0.004728917119641362, 0.3730485218591103, 211_464_903
164, Sierra Leone, +5, None, 0.613778894255226, 0, 0, 8_146_256
165, New Zealand, +3, None, 0.5997481057955658, 0, 0.07739938080495357, 5_002_100 
166, Egypt, +59, +6, 0.5654091570907119, 0.057499236314309685, 0, 104_349_212
167, Syria, +6, None, 0.33437677463506954, 0, 0, 17_943_830
168, Yemen, +6, +2, 0.19664955050828992, 0.06554985016942998, 0.6335797254487857, 30_511_130
169, Niger, +3, None, 0.11943977014692128, 0, 2.307692307692308, 25_117_262
170, Madagascar, +2, None, 0.07034121680175932, 0, 1.1560693641618496, 28_432_832
171, China, +31, None, 0.02153789197184776, 0, 0, 1_439_323_776 
172, Oman, None, None, 0, 0, 0, 5_241_972
173, Ghana, None, None, 0, 0, 0, 31_749_668
174, El Salvador, None, +7, 0, 1.0735410921624293, 0, 6_520_477
175, Cameroon, None, None, 0, 0, 0, 27_234_583
176, Sudan, None, None, 0, 0, 0, 44_916_770
177, Réunion, None, None, 0, 0, 0, 902_000
178, Guyana, None, None, 0, 0, 0, 790_527
179, Guadeloupe, None, None, 0, 0, 0, 400_196
180, Somalia, None, None, 0, 0, 0, 16_355_015
181, Mali, None, None, 0, 0, 0, 20_858_161
182, Burkina Faso, None, None, 0, 0, 0, 21_500_299
183, Martinique, None, None, 0, 0, 0, 374_960
184, Lesotho, None, None, 0, 0, 0, 2_160_022
185, Hong Kong, None, None, 0, 0, 0, 7_560_634
186, Djibouti, None, None, 0, 0, 0, 1_003_014
187, South Sudan, None, None, 0, 0, 0, 11_330_957
188, Equatorial Guinea, None, None, 0, 0, 0, 1_450_928
189, Nicaragua, None, None, 0, 0, 0, 6_706_967
190, Benin, None, None, 0, 0, 0, 12_454_051
191, CAR, None, None, 0, 0, 0, 4_917_457
192, Gambia, None, None, 0, 0, 0, 2_487_373
193, Iceland, None, None, 0, 0, 0, 343_561
194, Liberia, None, None, 0, 0, 0, 5_181_624
195, Chad, None, None, 0, 0, 0, 16_916_645
196, Guinea-Bissau, None, None, 0, 0, 0, 2_016_496
197, Comoros, None, None, 0, 0, 0, 888_926
198, Mauritius, None, None, 0, 0, 0, 1_273_980
199, Bermuda, None, None, 0, 0, 0, 62_037
200, Saint Martin, None, None, 0, 0, 0, 39_355
201, Sao Tome and Principe, None, None, 0, 0, 0, 223_408
202, British Virgin Islands, None, None, 0, 0, 0, 30_442
203, St. Barth, None, None, 0, 0, 0, 9_909
204, Diamond Princess, None, None, 0, 0, 0,  
205, Tanzania, None, None, 0, 0, 0, 61_505_935
206, Wallis and Futuna, None, None, 0, 0, 0, 11_032
207, Dominica, None, None, 0, 0, 0, 72_173
208, Grenada, None, None, 0, 0, 0, 113_069
209, New Caledonia, None, None, 0, 0, 0, 288_369
210, Falkland Islands, None, None, 0, 0, 0, 3_585
211, Macao, None, None, 0, 0, 0, 658_587
212, Vatican City, None, None, 0, 0, 0, 803
213, Saint Pierre Miquelon, None, None, 0, 0, 0, 5_764
214, Montserrat, None, None, 0, 0, 0, 4_995
215, Solomon Islands, None, None, 0, 0, 0, 704_442
216, Western Sahara, None, None, 0, 0, 0, 612_647
217, MS Zaandam, None, None, 0, 0, 0,  
218, Vanuatu, None, None, 0, 0, 0, 314_629
219, Marshall Islands, None, None, 0, 0, 0, 59_608
220, Samoa, None, None, 0, 0, 0, 199_794
221, Saint Helena, None, None, 0, 0, 0, 6_096
