Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Botswana, +1977, +30, 824.9093413368038, 12.517592433031924, 7.5122544362959305, 2_396_627
2, Mongolia, +2263, +4, 679.9095296696536, 1.2017844094912127, 20.973123262279888, 3_328_384
3, Uruguay, +2305, +41, 661.3693990548012, 11.76405438665807, 14.82696513572623, 3_485_193
4, Colombia, +24376, +588, 474.25678304324214, 11.44006352270374, 53.31816789885821, 51_398_316
5, Argentina, +21292, +686, 467.0314551124798, 15.04713405068388, 29.02003543682704, 45_590_077
6, Bahrain, +792, +15, 450.671910848902, 8.535452856986781, 5.4362001510055595, 1_757_376
7, Kuwait, +1563, +8, 360.9263823330346, 1.8473519249291597, 13.812301166489927, 4_330_523
8, Oman, +1806, +19, 345.34764518225694, 3.6332255030248515, 0, 5_229_513
9, Chile, +6190, +97, 321.1874158666687, 5.033146904534227, 8.396749820263432, 19_272_237
10, Paraguay, +2046, +120, 283.5458194661273, 16.630253341121836, 30.097087378640776, 7_215_765
11, Namibia, +726, +13, 280.9008327200719, 5.029904718128009, 45.54579673776662, 2_584_542
12, Brazil, +40865, +928, 190.9608386773863, 4.336514334824777, 0, 213_996_756
13, Trinidad and Tobago, +259, +7, 184.4988221281761, 4.986454652112868, 7.285513361462728, 1_403_803
14, UAE, +1837, +4, 183.62794439461956, 0.39984310156694514, 0.7736723958574623, 10_003_924
15, Costa Rica, +866, +19, 168.53675648482147, 3.697688652669293, 3.734851425367663, 5_138_345
16, Malaysia, +4949, +60, 151.06899860545823, 1.831509378930591, 0, 32_759_865
17, Bolivia, +1607, +57, 135.9074848066088, 4.82061396015974, 22.950585546986577, 11_824_220
18, Iran, +10715, +119, 126.03799167358798, 1.3997686429451208, 18.992502259957107, 85_014_049
19, Iraq, +5040, +31, 122.69547348645762, 0.7546745393016242, 11.247991430101766, 41_077_310
20, Cuba, +1349, +11, 119.16932706962625, 0.9717291310347581, 6.106006427375187, 11_320_027
21, UK, +7742, +3, 113.47679730017269, 0.043971892521379244, 0.7132946251379694, 68_225_401
22, Panama, +483, +7, 110.29351318863799, 1.5984567128788114, 7.682519484650867, 4_379_224
23, Tunisia, +1316, +52, 110.25326918536742, 4.3565121562607185, 23.81900452488688, 11_936_154
24, Sri Lanka, +2284, +124, 106.23888305908444, 5.767785244888998, 0, 21_498_720
25, Russia, +13721, +371, 93.98325902050581, 2.5411988263688983, 3.43025, 145_994_086
26, South Africa, +5548, +114, 92.43746105084766, 1.8993998846064586, 18.472397948991144, 60_018_957
27, Switzerland, +684, +2, 78.48692808245075, 0.22949394176155188, 1.2624351710009043, 8_714_827
