Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Nauru, +218, None, 19894.141266654497, 0, 0, 10_958
2, Falkland Islands, +51, None, 13862.46262571351, 0, 0, 3_679
3, Andorra, +325, None, 4193.115549362647, 0, 0, 77_508
4, Bermuda, +195, None, 3154.063890012131, 0, 3.90625, 61_825
5, Taiwan, +52210, +171, 2184.36939565013, 7.154322287994106, 58.1876135388456, 23_901_635
6, San Marino, +61, None, 1790.378914619471, 0, 0, 34_071
7, Portugal, +15372, +21, 1516.24668382686, 2.07137525112959, 0, 10_138_192
8, Germany, +119762, +105, 1420.473010562089, 1.2453838956348369, 0, 84_311_352
9, Australia, +32772, +62, 1256.4787424784095, 2.3770804965721157, 26.00436421344971, 26_082_415
10, Austria, +10898, +6, 1196.5868835938802, 0.6587925584110187, 10.28200507590267, 9_107_571
11, France, +77967, +66, 1189.2855299338075, 1.0067444556752383, 0, 65_557_848
12, Malta, +523, +1, 1178.304773148169, 2.252972797606442, 27.642706131078228, 443_858
13, Israel, +10747, None, 1152.3697190649796, 0, 0, 9_326_000 
14, Bahrain, +2079, +1, 1143.5662435086526, 0.5500559131835752, 24.975973089860645, 1_817_997
15, New Zealand, +5684, +18, 1136.322744447332, 3.5984886347733953, 167.917282127031, 5_002_100 
16, Monaco, +43, None, 1080.6735360643377, 0, 2.3730684326710816, 39_790
17, Greece, +10528, +9, 1019.8726960956642, 0.8718516588963695, 8.354560964964488, 10_322_857
18, Singapore, +5862, None, 986.7140352244454, 0, 0, 5_940_931
19, Liechtenstein, +36, None, 938.8936702918395, 0, 0, 38_343
20, Italy, +53905, +50, 894.1422346164534, 0.8293685507990477, 21.86708963458168, 60_286_829
21, DPRK, +15260, None, 586.8952445447491, 0, 0, 26_001_233
22, Turks and Caicos, +22, None, 553.4869678977558, 0, 0, 39_748
23, Cabo Verde, +303, +1, 533.5662476205234, 1.7609447116188892, 0, 567_877
24, Barbados, +147, None, 510.29618006859494, 0, 21.940298507462686, 288_068
25, Chile, +9546, +10, 491.0676461886931, 0.5144224242496261, 16.259304048645056, 19_439_277
26, Belize, +202, None, 490.48293143679933, 0, 0, 411_839
27, Caribbean Netherlands, +13, None, 486.8366850166648, 0, 0, 26_703
28, UK, +32727, +77, 477.1528257209911, 1.1226439203262235, 0, 68_588_088
29, Panama, +1957, +3, 439.9239653132205, 0.6743852304239456, 18.69149952244508, 4_448_496
30, Brazil, +70285, +176, 326.0966478085821, 0.8165755141824065, 0, 215_534_261
31, Slovenia, +670, None, 322.1928348160616, 0, 0, 2_079_500
32, Denmark, +1669, +2, 286.1621320227599, 0.34291447815789083, 17.977165015079706, 5_832_358
33, Netherlands, +4834, +1, 280.8912212428606, 0.05810741026952018, 0, 17_209_509
34, USA, +93837, +390, 280.25763488808747, 1.164790835239342, 8.720667639378084, 334_824_063
35, Ireland, +1223, None, 242.35175127378335, 0, 18.58097842601033, 5_046_384
36, Qatar, +671, None, 238.97670956494488, 0, 18.763982102908276, 2_807_805 
37, Montenegro, +145, None, 230.81012763004162, 0, 18.954248366013072, 628_222
38, Latvia, +399, +4, 216.24012083432916, 2.1678207602439015, 19.606879606879605, 1_845_171
39, Croatia, +834, +4, 205.64934025768306, 0.9863277710200626, 26.972833117723155, 4_055_447
40, Hungary, +1961, +32, 204.0143065942813, 3.3291472774181545, 0, 9_612_071
41, Saint Kitts and Nevis, +11, None, 203.93029291805712, 0, 0.22878535773710484, 53_940
42, Montserrat, +1, None, 200.08003201280513, 0, 5.555555555555555, 4_998
43, Saint Lucia, +36, None, 194.30156682624582, 0, 18.0, 185_279
44, Hong Kong, +1447, +1, 189.97646366230774, 0.13128988504651537, 0, 7_616_733
45, S. Korea, +8968, +11, 174.62404910409566, 0.21419096121153575, 0, 51_356_042
46, Trinidad and Tobago, +237, +3, 168.27486314354485, 2.130061558779049, 12.473684210526317, 1_408_410
47, Guatemala, +3082, +9, 165.98418550935443, 0.4847039810461355, 0, 18_568_034
48, Norway, +907, None, 164.7682290521812, 0, 0, 5_504_702
49, UAE, +1592, None, 157.22399313191872, 0, 0.49920666277837356, 10_125_681
50, Guyana, +107, +1, 134.75663204134887, 1.2594077760873728, 10.82995951417004, 794_024
51, Kuwait, +564, None, 128.32998097803826, 0, 7.710184552289816, 4_394_920
52, Lebanon, +861, +1, 127.26727161732906, 0.14781332359736243, 0, 6_765_290
53, Cook Islands, +2, None, 113.66219595362583, 0, 22.22222222222222, 17_596
54, Japan, +13998, +12, 111.34761453326755, 0.09545444880691603, 12.64224558361331, 125_714_413
55, Mexico, +13752, +41, 104.49858982374921, 0.3115504786775536, 51.966897177190795, 131_599_862
56, Lithuania, +262, None, 98.95863038233914, 0, 25.8128078817734, 2_647_571
57, Albania, +277, None, 96.4614996733542, 0, 28.94461859979101, 2_871_612
58, Antigua and Barbuda, +9, +1, 90.42954031650339, 10.04772670183371, 0, 99_525
59, Canada, +3317, +23, 86.39440941438083, 0.599056803295375, 0, 38_393_688
60, Morocco, +3141, +5, 83.1569612397223, 0.1323733862459763, 24.516078676241023, 37_771_943
61, Dominican Republic, +875, None, 79.09895532427724, 0, 18.91891891891892, 11_062_093
62, Peru, +2487, +20, 73.41444936284849, 0.590385600022907, 6.445509913178696, 33_876_165
63, Malaysia, +2425, +4, 73.08075399207009, 0.12054557359516715, 8.084141747508083, 33_182_471
64, French Polynesia, +20, None, 70.39650833318667, 0, 0, 284_105
65, Bahamas, +25, +1, 62.399848243569075, 2.495993929742763, 0, 400_642
66, Vanuatu, +20, None, 62.25215859359923, 0, 0, 321_274
67, Slovakia, +331, +3, 60.56893073695737, 0.5489631184618493, 28.412017167381975, 5_464_848
68, Czechia, +604, None, 56.196020651851505, 0, 14.789422135161606, 10_748_092
69, Serbia, +480, +5, 55.375425193857254, 0.5768273457693464, 6.429145459416019, 8_668_105
70, North Macedonia, +110, None, 52.803227333254604, 0, 12.304250559284116, 2_083_206
71, Bulgaria, +336, +5, 49.0832103574923, 0.7304049160341117, 8.745445080687142, 6_845_518
72, Bolivia, +539, None, 44.96716104125257, 0, 0, 11_986_525
73, Thailand, +2387, +19, 34.02961848463785, 0.2708683498986674, 0, 70_144_777
74, Jamaica, +92, +8, 30.804135254261347, 2.6786204568922916, 12.057667103538664, 2_986_612
75, Saudi Arabia, +1082, +3, 30.15495466249945, 0.08360893159657888, 3.567660247955685, 35_881_334
76, St. Vincent Grenadines, +3, None, 26.87353315298207, 0, 9.090909090909092, 111_634
77, Iraq, +932, None, 22.190798485406575, 0, 13.538640325392215, 41_999_390
78, Russia, +3058, +66, 20.936939403691042, 0.45187639000772034, 0, 146_057_642
79, Eswatini, +21, None, 17.73925824558736, 0, 6.086956521739131, 1_183_815
80, South Africa, +1028, +57, 16.913189566615312, 0.9377935849193315, 5.341924755768032, 60_780_966
81, Ghana, +377, None, 11.653832818874832, 0, 19.333333333333332, 32_349_872
82, Vietnam, +946, None, 9.5494834345232, 0, 995.7894736842105, 99_062_950
