Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, S. Korea, +320675, +375, 6245.366246934429, 7.303382997116741, 0, 51_346_068
2, Cyprus, +4349, +2, 3556.960855437226, 1.6357603382098076, 0, 1_222_673
3, Germany, +257768, +303, 3059.5333404541398, 3.5964068548369243, 0, 84_250_757
4, New Zealand, +15300, +21, 3058.7153395573855, 4.198236740568961, 411.62227602905574, 5_002_100 
5, Austria, +25893, +53, 2846.654661310431, 5.826775462459075, 6.999867534272128, 9_095_940
6, France, +169311, +139, 2583.907122860907, 2.1213216511488677, 0, 65_525_188
7, Australia, +60286, +32, 2317.324818665662, 1.2300433632568288, 46.79936033784099, 26_015_343
8, Greece, +21096, +56, 2041.348334959948, 5.418823793977867, 7.900709326102751, 10_334_346
9, Finland, +9541, +39, 1717.3297852770784, 7.019794741201767, 47.17428924598269, 5_555_718
10, Israel, +13927, None, 1493.3519193652155, 0, 0, 9_326_000 
11, Netherlands, +25467, +26, 1480.5589649307456, 1.5115456507715626, 0, 17_200_936
12, Belgium, +15900, +26, 1361.5915240841991, 2.226501863282338, 0, 11_677_511
13, Slovakia, +7334, +18, 1342.178707050373, 3.294139177380244, 46.3356077836745, 5_464_250
14, Slovenia, +2721, +3, 1308.5278892930583, 1.4426988856593808, 158.6588921282799, 2_079_436
15, Italy, +73195, +159, 1213.7083260656477, 2.6365137488139627, 15.035547530571286, 60_306_911
16, Lithuania, +2949, +9, 1110.266102435131, 3.38840112645513, 30.298982841878146, 2_656_120
17, Latvia, +2005, +8, 1083.861118739283, 4.324632892725319, 26.938062609162973, 1_849_868
18, Ireland, +5243, +13, 1041.5423010595603, 2.5825004603803707, 34.2702137394601, 5_033_881
19, Singapore, +5605, +5, 945.1126462985477, 0.8430978111494627, 0, 5_930_510
20, Switzerland, +8177, +1, 932.9254337355968, 0.1140914068406013, 19.66665063254606, 8_764_902
21, Estonia, +1165, +8, 877.2002478749541, 6.023692689270072, 32.15567209494894, 1_328_089
22, Hong Kong, +6646, +119, 874.133577238435, 15.651804949048113, 0, 7_602_957
23, Vietnam, +80838, +39, 817.6642504987127, 0.3944791529905464, 86.80217762458525, 98_864_540
24, Czechia, +7389, +22, 687.7582933095051, 2.047730742023158, 24.06056659068707, 10_743_600
25, Denmark, +3702, +30, 635.2372376000044, 5.147789607779615, 110.01485884101041, 5_827_744
26, Malaysia, +18560, +44, 560.921109830771, 1.3297698724436382, 14.338246654924136, 33_088_432
27, UK, +35968, +192, 525.0237043794243, 2.8026176390360726, 4.6889747560867505, 68_507_383
28, Croatia, +1767, None, 435.09768275395413, 0, 29.6875, 4_061_157
29, Japan, +52765, +97, 419.429514017638, 0.7710539725141834, 34.05797569177742, 125_801_829
30, Bahrain, +719, +1, 398.4465571779122, 0.5541676734046066, 13.69002284843869, 1_804_508
31, Thailand, +27560, +85, 393.1236455171566, 1.2124640736196775, 0, 70_105_170
32, Laos, +2762, +1, 370.2674934633443, 0.1340577456420508, 0, 7_459_472
33, Chile, +6511, +113, 335.5821097162283, 5.824109721691567, 7.931345319885007, 19_402_107
