Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Saint Pierre Miquelon, +139, None, 24190.74138531152, 0, 0, 5_746
2, S. Korea, +621328, +429, 12101.186680857378, 8.355343853951238, 0, 51_344_386
3, Liechtenstein, +284, None, 7412.240636826308, 0, 0, 38_315
4, Cook Islands, +128, None, 7276.448183730317, 0, 13.763440860215054, 17_591
5, Austria, +52045, +31, 5723.018023575602, 3.4088492406733333, 6.771446600615409, 9_093_978
6, Andorra, +440, +1, 5679.178068046879, 12.907222881924726, 0, 77_476
7, Iceland, +1878, +4, 5443.210044722434, 11.59363161815215, 43.950386145565176, 345_017
8, New Zealand, +19616, +10, 3921.5529477619402, 1.9991603526518864, 54.43445443445444, 5_002_100 
9, Switzerland, +34214, +19, 3904.6001219973555, 2.1683346676199733, 41.97676273203528, 8_762_485
10, Brunei , +1666, +1, 3747.045209697335, 2.2491267765290126, 0, 444_617
11, Germany, +296980, +242, 3525.381177536667, 2.872726260906032, 0, 84_240_536
12, Isle of Man, +283, None, 3298.3682983682984, 0, 0, 85_800
13, Cyprus, +3951, +1, 3232.332818199891, 0.8181049906858747, 0, 1_222_337
14, Netherlands, +53667, +19, 3120.2671195638427, 1.1046839821810985, 0, 17_199_489
15, Hong Kong, +21650, +289, 2848.4465901134035, 38.02314385878862, 0, 7_600_634
16, Latvia, +5253, +14, 2838.4468243761685, 7.5648687495271965, 40.930341280972414, 1_850_660
17, Tonga, +273, None, 2533.971931387837, 0, 2.2618061309030653, 107_736
18, Greece, +24256, +62, 2346.6849736989593, 5.9982877790788045, 8.5065194672203, 10_336_283
19, Luxembourg, +1405, +2, 2183.959323951894, 3.108838895305187, 37.72824919441461, 643_327
20, Slovakia, +11000, +31, 2013.122262954396, 5.673344559235116, 56.82111679322279, 5_464_149
21, Australia, +52341, +26, 2012.8034774918915, 0.9998450624708962, 43.00291664955018, 26_004_029
22, Lithuania, +5243, +17, 1972.8608401233914, 6.396840412377961, 38.9062036212526, 2_657_562
23, Singapore, +10713, +12, 1806.956707422286, 2.024034396440533, 0, 5_928_753
24, Vietnam, +178112, +76, 1802.1862415679732, 0.768988919102396, 100.64246362480576, 98_831_073
25, Channel Islands, +314, None, 1778.0898558274914, 0, 38.43329253365973, 176_594
26, Bermuda, +105, +1, 1696.668067091103, 16.158743496105743, 3.2169117647058822, 61_886
27, France, +101747, +116, 1552.9227248973134, 1.7704604173890959, 0, 65_519_680
28, Gibraltar, +52, None, 1544.2180911088674, 0, 8.652246256239602, 33_674
29, French Polynesia, +417, None, 1469.9920683881203, 0, 0, 283_675
30, Slovenia, +3041, +4, 1462.4235064981906, 1.9236086899022566, 156.18900873138162, 2_079_425
31, Denmark, +7871, +43, 1350.7887295034843, 7.379483594035043, 19.501982160555002, 5_826_966
32, Italy, +79895, +128, 1324.7322816290464, 2.122357244489867, 15.077885265021267, 60_310_299
33, Estonia, +1752, +5, 1319.2224719608753, 3.7649043149568353, 37.451902522445494, 1_328_055
34, UK, +89717, +138, 1309.8563562788265, 2.014781782343124, 10.39845061150312, 68_493_770
35, Monaco, +51, +1, 1284.1172323496826, 25.178769261758486, 0, 39_716
36, Belgium, +13820, +20, 1183.6664986237092, 1.7129761195712148, 26.792291884766005, 11_675_586
37, Israel, +8056, +12, 863.821574093931, 1.2867252841518335, 0, 9_326_000 
38, Malaysia, +27004, +86, 816.5074314905847, 2.600342138505047, 12.72692996512395, 33_072_571
39, Chile, +15735, +184, 811.2565180220623, 9.486571294315821, 14.446515300360819, 19_395_838
40, Czechia, +8550, +28, 795.8787814248781, 2.606386652619484, 26.965654271927335, 10_742_842
41, Finland, +4295, +20, 773.1230390665643, 3.600107283197039, 22.004201034889082, 5_555_390
42, Bhutan, +606, +2, 770.9080176978091, 2.5442508834911193, 12.693757855048176, 786_086
43, Norway, +4175, None, 759.9914298451456, 0, 0, 5_493_483
44, Malta, +304, +1, 685.3839615643889, 2.254552505146016, 0, 443_547
45, Bahrain, +1121, None, 622.0064897305119, 0, 18.404202922344442, 1_802_232
46, Uruguay, +2129, +4, 609.2870340056, 1.1447384387141382, 16.18888297467873, 3_494_248
47, Montserrat, +3, None, 600.3602161296778, 0, 0, 4_997
48, Croatia, +2032, +9, 500.2312831153971, 2.2155913130111093, 28.261474269819193, 4_062_121
49, Solomon Islands, +346, +2, 483.53331488639765, 2.7949902594589457, 0, 715_566
50, Japan, +56573, +158, 449.64664194400973, 1.255796394519533, 32.24653583296758, 125_816_574
51, Aruba, +47, None, 437.05074438110825, 0, 0, 107_539
52, New Caledonia, +106, +1, 365.29680365296804, 3.446196260877057, 0, 290_175
53, Thailand, +25456, +77, 363.1462013396608, 1.0984544902244613, 0, 70_098_489
54, Barbados, +103, None, 357.66993662644325, 0, 14.206896551724139, 287_975
55, Trinidad and Tobago, +484, +5, 343.9424905415815, 3.553124902289065, 7.8673602080624185, 1_407_212
56, Poland, +12274, +207, 324.9156083724457, 5.4796749986228015, 15.760548550296619, 37_775_963
57, Serbia, +2362, +14, 272.2016956944076, 1.6133885434892914, 14.164917541229386, 8_677_389
58, Bulgaria, +1720, +26, 250.75437704886008, 3.790473141436257, 10.836693548387096, 6_859_302
59, Turkey, +21354, +101, 248.63331144955, 1.1759840992977686, 6.688592369855291, 85_885_515
60, Greenland, +14, None, 245.88148512417015, 0, 0, 56_938
61, Russia, +34819, +561, 238.41916188067424, 3.8413840091633378, 0, 146_041_114
62, Brazil, +49601, +484, 230.55817096163787, 2.249756148977495, 0, 215_134_427
63, Georgia, +888, +17, 223.33352447463807, 4.275529184762215, 4.107308048103608, 3_976_116
64, Vanuatu, +70, None, 219.18357250436017, 0, 0, 319_367
65, Romania, +4033, +36, 212.05136322526704, 1.8928462871583471, 11.297235216672737, 19_018_977
66, Costa Rica, +1096, +13, 211.85339049508937, 2.5128595587921185, 0, 5_173_389
67, Mauritius, +268, None, 210.13592187334606, 0, 0, 1_275_365
68, Belarus, +1789, +10, 189.4319223602307, 1.058870443601066, 9.442626411907527, 9_444_026
69, Montenegro, +111, +1, 176.6950386898461, 1.5918471954040188, 7.566462167689162, 628_201
70, French Guiana, +54, None, 173.15295498343824, 0, 10.465116279069768, 311_863
