Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Hong Kong, +31402, +281, 4132.129179500892, 36.97625308705658, 0, 7_599_472
2, Chile, +19097, +244, 984.7518419686002, 12.582052125482456, 19.923839332290036, 19_392_703
3, Georgia, +1970, +29, 495.4401898064061, 7.293281981921714, 15.579280347963623, 3_976_262
4, Denmark, +13503, +41, 2317.484176386925, 7.036721560532024, 21.711097533524136, 5_826_577
5, Latvia, +7055, +13, 3811.3379606019485, 7.023018212306921, 43.58974358974359, 1_851_056
6, North Macedonia, +316, +13, 151.68752370117556, 6.240309519352159, 0, 2_083_230
7, Luxembourg, +1176, +4, 1828.5515259697854, 6.219563013502671, 32.24568138195777, 643_132
8, Slovakia, +12066, +31, 2208.232317899072, 5.6733964739657905, 58.58703568827385, 5_464_099
9, Hungary, +2377, +54, 247.11480213506354, 5.613882757801192, 16.34575711731536, 9_619_011
10, Greece, +21863, +58, 2114.972141532392, 5.610775474952144, 8.65628266447056, 10_337_252
11, Estonia, +2470, +7, 1859.8865393911922, 5.270933512444674, 44.93360014553392, 1_328_038
12, Lithuania, +5920, +13, 2227.0014140706617, 4.890374726844358, 48.05974995940899, 2_658_283
13, Poland, +13438, +184, 355.7214141723615, 4.870720360746727, 16.6842556150131, 37_776_753
14, Bulgaria, +1693, +33, 246.7823545806187, 4.810288069202845, 11.327445470359962, 6_860_296
15, Russia, +51231, +665, 350.8013401349347, 4.553549436663966, 0, 146_039_921
16, Croatia, +1728, +18, 425.34316676848977, 4.430657987171768, 12.303310786756853, 4_062_602
17, S. Korea, +327532, +206, 6379.2244964776, 4.012188873986009, 0, 51_343_545
18, Israel, +13135, +36, 1408.4280506111945, 3.8601758524555003, 0, 9_326_000 
19, Moldova, +459, +15, 114.23133263417454, 3.733050086084135, 8.439051296194153, 4_018_162
20, USA, +38038, +1247, 113.79302730787049, 3.7304775501581178, 3.2555631633002395, 334_273_557
21, Belgium, +11140, +41, 954.2063196210859, 3.5118904043504955, 23.264556010358366, 11_674_624
22, Bosnia and Herzegovina, +145, +11, 44.66447430837832, 3.388339430290769, 5.551301684532925, 3_246_428
23, Montenegro, +86, +2, 136.89907672715697, 3.1836994587710916, 6.286549707602338, 628_200
24, Romania, +3565, +60, 187.42030694031328, 3.1543389667373907, 9.928426212159188, 19_021_418
25, Slovenia, +2305, +6, 1108.482172913601, 2.885419972877052, 123.52625937834941, 2_079_420
26, Trinidad and Tobago, +462, +4, 328.32903970862577, 2.84267566847295, 5.619070785696911, 1_407_125
27, Czechia, +9029, +30, 840.4962623562213, 2.7926556507571867, 24.469497818369064, 10_742_463
28, Ukraine, +6112, +115, 141.18418093159337, 2.656443194884365, 0, 43_290_969
29, Brazil, +55861, +559, 259.6910866646863, 2.5987239298537372, 0, 215_105_573
30, Austria, +49432, +23, 5436.271451535726, 2.5294190683225786, 6.155041500957522, 9_092_997
31, Cyprus, +3473, +3, 2841.666871220861, 2.4546503350597706, 0, 1_222_170
32, Serbia, +2139, +21, 246.48368949784742, 2.4198959698245885, 15.397350993377485, 8_678_059
33, Ireland, +4057, +12, 806.4455212953698, 2.385345392049405, 28.40638566027167, 5_030_718
34, Netherlands, +74518, +41, 4332.752710281656, 2.383891960620896, 0, 17_198_766
35, Italy, +54230, +136, 899.1578324920855, 2.2549412727074247, 11.962297696436016, 60_311_992
36, Malta, +153, +1, 344.9636435375683, 2.254664336846852, 0, 443_525
37, Brunei , +3849, +1, 8658.446878437566, 2.2495315350578244, 0, 444_537
38, Malaysia, +30787, +70, 931.1155361135037, 2.11706523948242, 11.886826691788835, 33_064_640
39, UK, +40137, +142, 586.0531441582539, 2.073387310224283, 5.081649241240653, 68_486_963
40, Canada, +7771, +75, 202.89944905397445, 1.9582368651458095, 21.584312418409578, 38_299_759
41, Peru, +1071, +63, 31.737453089836638, 1.8669090052845083, 2.3635079666328287, 33_745_619
42, Mexico, +8165, +244, 62.226030656833366, 1.8595409038906725, 37.02276231069194, 131_215_183
43, Germany, +300270, +154, 3564.6522402581545, 1.8282094281804901, 0, 84_235_426
44, Spain, +22615, +85, 483.37834676183957, 1.8168100585786586, 0, 46_785_298
45, Portugal, +12794, +18, 1260.9146134918258, 1.7739927343170911, 0, 10_146_603
46, Uruguay, +1498, +6, 428.7327655438524, 1.7172206897617586, 17.014993184915948, 3_494_018
47, Azerbaijan, +270, +17, 26.230988726601108, 1.6515807716748845, 4.247954688483323, 10_293_169
48, France, +74818, +107, 1141.9644618547038, 1.6331657812084435, 0, 65_516_925
49, Turkey, +29492, +140, 343.4567317595122, 1.6304062948030555, 8.218567296277513, 85_868_167
50, Japan, +62747, +205, 498.68885847849657, 1.6292606178477347, 30.05786715464135, 125_823_946
