Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Dominica, +40, +4, 553.3728072602513, 55.33728072602512, 3.864734299516908, 72_284
2, Hong Kong, +56827, +198, 7478.899913270187, 26.058426150025465, 0, 7_598_310
3, Chile, +23395, +272, 1206.5766498768824, 14.028161947703012, 24.198136138434645, 19_389_568
4, Brunei , +4885, +6, 10990.939505958957, 13.49961863577354, 0, 444_457
5, Georgia, +3115, +43, 783.3703181363683, 10.813779672508455, 17.772579448850344, 3_976_408
6, Iceland, +2534, +3, 7346.354219515094, 8.697341222788195, 72.62826024648896, 344_933
7, Latvia, +8900, +15, 4807.037935631061, 8.101749329715272, 45.753650010281724, 1_851_452
8, Slovakia, +11462, +44, 2097.7121723674463, 8.05263789776371, 56.94554848966613, 5_464_048
9, Hungary, +3862, +77, 401.4770863866002, 8.00459234898193, 20.846378063262442, 9_619_478
10, Denmark, +12595, +44, 2161.790865656927, 7.552107827622452, 16.41919461862363, 5_826_188
11, Lithuania, +5412, +19, 2035.348574127756, 7.145532688179483, 40.829875518672196, 2_659_004
12, Poland, +14068, +266, 372.3905495918567, 7.041220229701016, 17.348411044382235, 37_777_543
13, Solomon Islands, None, +5, 0, 6.993789514910759, 0, 714_920
14, North Macedonia, +466, +14, 223.6909877013159, 6.72033010261464, 18.397157520726413, 2_083_231
15, Bosnia and Herzegovina, +293, +21, 90.24225579767995, 6.4678749889122145, 16.46067415730337, 3_246_816
16, Greece, +15783, +64, 1526.6649842366496, 6.190620223730949, 5.882177557310515, 10_338_221
17, Curaçao, +66, +1, 399.4891381324488, 6.052865729279527, 11.518324607329843, 165_211
18, Estonia, +3564, +8, 2683.692501850498, 6.02400112648821, 54.35412536220833, 1_328_021
19, Croatia, +1625, +23, 399.94250672641766, 5.660724710589296, 26.77541604877245, 4_063_084
20, Romania, +5953, +105, 312.9228407338385, 5.519384894515881, 12.404150691781963, 19_023_859
21, Russia, +93026, +781, 636.9954139836113, 5.347896484006626, 0, 146_038_728
22, Slovenia, +1823, +10, 876.6892980426217, 4.809047164249159, 114.72624292007552, 2_079_414
23, Spain, +23140, +202, 494.603467914139, 4.317627507288508, 0, 46_784_953
24, Armenia, +259, +12, 87.13289381124324, 4.037045273107795, 7.658190419869899, 2_972_471
25, Austria, +31566, +36, 3471.837269094115, 3.959517889101823, 3.939368223477966, 9_092_016
