Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Finland, +16973, +134, 3054.5091216860073, 24.1150192839171, 29.03352719808416, 5_556_703
2, Taiwan, +65435, +17, 2738.2303277912993, 0.7113916951547655, 27.625557281815727, 23_896_821
3, Australia, +57646, +57, 2212.959182024319, 2.188160034961423, 55.33413964560656, 26_049_283
4, New Zealand, +9484, +8, 1896.0036784550489, 1.599328282121509, 212.98001347406245, 5_002_100 
5, Germany, +82652, +179, 980.6669133007014, 2.123837021255693, 0, 84_281_420
6, Panama, +3514, None, 791.2844320755273, 0, 21.651263093037585, 4_440_881
7, S. Korea, +35883, +63, 698.7774267413668, 1.2268477519913636, 0, 51_351_115
8, Italy, +39317, +130, 652.0583721686222, 2.156003468777396, 14.634809085291861, 60_296_749
9, Singapore, +3645, +3, 614.0723136273681, 0.5054093116274634, 0, 5_935_783
10, Austria, +5134, +12, 564.0626397384436, 1.3184167660423305, 3.4596153586975564, 9_101_826
11, France, +36047, +84, 549.9856084022214, 1.28162651831738, 2.1542461005199307, 65_541_715
12, Greece, +4782, +20, 462.98931929532677, 1.936383602238924, 4.534291647307587, 10_328_532
13, Japan, +45740, +41, 363.71560988992843, 0.326024049092415, 24.876271278620766, 125_757_594
14, Trinidad and Tobago, +507, +3, 360.1100359896953, 2.1308286153236407, 0, 1_407_903
15, Bahrain, +633, None, 349.46619452845255, 0, 12.015945330296129, 1_811_334
16, Israel, +2739, None, 293.695046107656, 0, 0, 9_326_000 
17, Slovenia, +604, +1, 290.45876615616777, 0.4808919969472976, 67.26057906458797, 2_079_469
18, Canada, +9865, +177, 257.1913329883954, 4.614583470749719, 11.653731202230334, 38_356_658
19, USA, +85830, +222, 256.50984740048966, 0.6634648272504801, 16.38439864694608, 334_607_037
20, Chile, +4575, +13, 235.57076298563877, 0.6693814030193014, 7.80663435942939, 19_420_916
21, UK, +14458, +284, 210.9172169471765, 4.143068862428976, 0, 68_548_221
22, Croatia, +637, +7, 156.9635125132199, 1.7248737638815377, 15.055542424958638, 4_058_268
23, Ireland, +754, +6, 149.59700075869887, 1.1904270617403092, 11.646586345381527, 5_040_208
24, South Africa, +8920, +21, 146.9589885241176, 0.3459796815029674, 23.134579972508234, 60_697_206
25, Denmark, +691, +11, 118.52326529366069, 1.886766886006176, 7.99305957200694, 5_830_079
26, Thailand, +8019, +59, 114.35259546880229, 0.8413521801545498, 0, 70_125_212
27, Latvia, +198, +2, 107.17237594120891, 1.0825492519314033, 6.164383561643835, 1_847_491
28, Malaysia, +3410, +4, 102.90916669588965, 0.12071456503916674, 5.334209332519905, 33_136_018
29, Brazil, +21344, +136, 99.10604941161843, 0.6314853223378986, 0, 215_365_259
30, Eswatini, +103, None, 87.10580395274299, 0, 18.392857142857146, 1_182_470
31, Netherlands, +1434, +4, 83.34653664916931, 0.23248685257787816, 0, 17_205_274
32, Lithuania, +207, +2, 78.06036215482801, 0.7542063976311886, 10.122249388753056, 2_651_794
33, Slovakia, +350, +9, 64.04916633605097, 1.6469785629270248, 16.455101081335215, 5_464_552
34, Qatar, +158, None, 56.27171402572472, 0, 4.8185422384873435, 2_807_805 
35, Czechia, +590, +4, 54.90479926572741, 0.3722359272252706, 3.574457772931056, 10_745_873
36, Jamaica, +160, +4, 53.59832344444266, 1.3399580861110665, 6.1255742725880555, 2_985_168
37, Norway, +289, None, 52.54583669699416, 0, 0, 5_499_960
38, Serbia, +426, +2, 49.12345196262605, 0.23062653503580305, 5.114045618247299, 8_672_029
39, Bulgaria, +332, +16, 48.45764568236539, 2.3353082256561635, 5.524126455906822, 6_851_344
40, North Macedonia, +89, None, 42.722426633832804, 0, 0, 2_083_215
41, Vietnam, +3949, +3, 39.90302020089135, 0.030313765662870102, 186.6257088846881, 98_964_940
42, Hong Kong, +294, +1, 38.63374265827483, 0.13140728795331572, 0, 7_609_928
43, UAE, +364, None, 35.99577820944144, 0, 0.13537234833834164, 10_112_297
44, Colombia, +1671, +12, 32.202744005259746, 0.2312584847774488, 1.449526800197781, 51_889_988
45, Romania, +602, +6, 31.685129395068248, 0.315798631844534, 3.203831825439064, 18_999_449
46, Russia, +4065, +111, 27.832808912546067, 0.7600102802687856, 0, 146_050_656
47, Guatemala, +502, +30, 27.089950561919505, 1.6189213483218827, 2.8556800728141534, 18_530_857
48, Turkey, +1778, +8, 20.66857997114164, 0.09299698524698151, 1.3098763794957935, 86_024_294
