Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Bulgaria, +1078, +116, 156.15281189496218, 16.803085510033036, 6.577181208053691, 6_903_494
2, Uruguay, +2187, +49, 627.7188232984429, 14.064116297038728, 21.37412040656763, 3_484_044
3, Paraguay, +1895, +79, 262.924654535041, 10.960975043941023, 31.353408338848443, 7_207_388
4, Argentina, +17381, +496, 381.5768606136457, 10.889023811309375, 24.87299474806451, 45_550_456
5, Colombia, +12543, +488, 244.2815801035487, 9.504058924542115, 30.09501415614953, 51_346_483
6, Hungary, +677, +91, 70.23332298334142, 9.44052051917883, 6.4158453373768, 9_639_299
7, Bosnia and Herzegovina, +101, +28, 30.950388366086095, 8.580305685647632, 1.541749351244085, 3_263_287
8, Croatia, +253, +34, 61.956381727716156, 8.326154066175294, 8.59375, 4_083_518
9, Peru, +3080, +270, 92.31500649666859, 8.092549270811856, 13.347200554688854, 33_364_023
10, North Macedonia, +25, +16, 12.00018624289049, 7.6801191954499135, 0, 2_083_301
11, Botswana, +624, +17, 260.8610588785148, 7.106791668164667, 0, 2_392_078
12, Montenegro, +62, +4, 98.70505338032967, 6.3680679600212695, 7.644882860665844, 628_134
13, Georgia, +549, +24, 137.84978441197651, 6.026220083583673, 5.757734661772417, 3_982_596
14, Slovakia, +311, +32, 56.939788462277846, 5.858756369108974, 5.7401255075673685, 5_461_910
15, Greece, +1900, +60, 183.05611411756692, 5.780719393186324, 6.755075194652825, 10_379_331
16, Cabo Verde, +137, +3, 244.14193021817735, 5.346173654412643, 0, 561_149
17, Chile, +5339, +100, 277.25612301634516, 5.193034707180093, 8.046721929163526, 19_256_563
18, Suriname, +101, +3, 170.85977994613688, 5.075042968697135, 40.725806451612904, 591_128
19, Armenia, +83, +15, 27.9650537906125, 5.053925383845633, 4.636871508379889, 2_967_990
20, Lithuania, +799, +13, 297.0710799258772, 4.833446857367214, 11.865161865161864, 2_689_592
21, Honduras, +897, +48, 89.35137772951275, 4.781344627666234, 32.035714285714285, 10_039_017
22, Brazil, +29240, +1018, 136.72976427311676, 4.760290698701533, 0, 213_852_486
23, Luxembourg, +278, +3, 438.02567019503175, 4.726895721529119, 1.5821524102213875, 634_666
24, Nepal, +9127, +139, 308.5153411594214, 4.698546337368201, 51.7814592079882, 29_583_618
25, France, +3292, +292, 50.33846732180989, 4.465015934984352, 0.6553617429596391, 65_397_303
26, Iran, +18408, +351, 216.79107402087908, 4.133728106330322, 13.377032025521588, 84_911_245
27, Costa Rica, +1500, +21, 292.17548215285024, 4.090456750139904, 0, 5_133_901
28, Palestine, +498, +20, 95.72637480758614, 3.8444327231962308, 6.750711671411143, 5_202_328
29, Romania, +620, +68, 32.41418553503377, 3.5551042199714464, 5.77119985106581, 19_127_428
30, Oman, +787, +18, 150.85144812598222, 3.4502237182562645, 0, 5_217_053
31, Belgium, +2258, +40, 194.1059029083649, 3.4385456671100956, 5.556239080686041, 11_632_825
32, Bahrain, +1662, +6, 948.7991012098045, 3.425267513392796, 9.467927537883103, 1_751_688
33, Turkey, +13604, +282, 159.8312058398591, 3.313172599738332, 6.361081627022908, 85_114_793
34, Italy, +5077, +198, 84.07641126570256, 3.2789303585993905, 3.9053846153846155, 60_385_546
35, Tunisia, +1024, +39, 85.87480258858858, 3.2706223642138226, 17.64604514906083, 11_924_336
36, Jordan, +1022, +33, 99.32225679604281, 3.2070787419465883, 5.537794635600108, 10_289_738
37, Lebanon, +302, +21, 44.41699676682504, 3.0885991129249195, 1.3995087816858982, 6_799_199
38, Slovenia, +150, +6, 72.14372183689458, 2.8857488734757832, 11.450381679389313, 2_079_183
39, Trinidad and Tobago, +99, +4, 70.54442481710112, 2.8502797905899437, 0, 1_403_371
40, India, +329517, +3879, 236.78914769417128, 2.7874285815472053, 22.34610465439582, 1_391_605_161
41, Ukraine, +2817, +119, 64.74663288778672, 2.7351257769423567, 0, 43_508_054
42, Guyana, +80, +2, 101.29120969559459, 2.5322802423898647, 33.89830508474576, 789_802
43, Bahamas, +46, +1, 116.02771548995226, 2.5223416410859185, 14.696485623003195, 396_457
44, Czechia, +383, +27, 35.70758970879295, 2.517245227512819, 0.403200336877566, 10_726_011
45, Mongolia, +639, +8, 192.27690763366405, 2.4072226307813964, 12.171428571428573, 3_323_332
46, Estonia, +199, +3, 149.92842612823023, 2.2602275295713103, 6.571994715984148, 1_327_300
47, Russia, +8465, +321, 57.98416942441386, 2.198809023654678, 0, 145_988_122
48, Serbia, +918, +18, 105.43054596254989, 2.0672656071088213, 8.97799511002445, 8_707_154
49, Bolivia, +1063, +23, 90.0161656500683, 1.9476686829271599, 24.686483975847654, 11_808_990
50, Azerbaijan, +371, +18, 36.3108241783893, 1.761711146121314, 5.34120357040023, 10_217_339
51, Kuwait, +978, +7, 226.15430614679542, 1.6186913527889242, 11.909400876765709, 4_324_481
52, South Africa, +1129, +90, 18.833159806367092, 1.501314776415446, 6.165692752990006, 59_947_455
53, Moldova, +49, +6, 12.171140140246308, 1.4903436906424052, 4.363312555654497, 4_025_917
54, Canada, +7520, +56, 197.7635987589072, 1.4727076503322876, 7.2272945699183095, 38_025_198
55, Qatar, +397, +4, 141.3915852418526, 1.4246003550816386, 9.365416371785798, 2_807_805 
56, Albania, +30, +4, 10.434416043123356, 1.3912554724164472, 2.0775623268698062, 2_875_101
57, Panama, +252, +6, 57.62998076256356, 1.3721423991086563, 5.49498473615351, 4_372_724
58, Germany, +7814, +110, 93.00887606295879, 1.3093135867578023, 0, 84_013_487
59, Sri Lanka, +2624, +26, 122.10242886114263, 1.2098563835326634, 10.422210747904833, 21_490_154
60, Ecuador, +1764, +20, 98.70352583094773, 1.1190875944551895, 56.10687022900763, 17_871_702
61, USA, +30152, +370, 90.63789675373815, 1.1122320840701483, 2.4070935494970187, 332_664_383
62, Austria, +820, +10, 90.60378027699343, 1.1049241497194322, 0.6053626269785023, 9_050_395
63, Belarus, +879, +10, 93.04878964061044, 1.0585755362981848, 8.355513307984792, 9_446_657
64, Switzerland, +3683, +9, 422.906392316814, 1.033439459910759, 5.562603836278508, 8_708_783
65, Jamaica, +74, +3, 24.89707247436863, 1.0093407759879174, 3.7851662404092075, 2_972_237
66, Netherlands, +5858, +16, 341.22879763681874, 0.9320008129377091, 0, 17_167_367
67, Cyprus, +276, +1, 227.18293164757014, 0.8231265639404715, 0.33086384233618643, 1_214_880
68, Philippines, +6833, +89, 61.65483619569647, 0.8030558204912902, 15.849783117997726, 110_826_667
69, Cuba, +1116, +9, 98.58059838423219, 0.7950048256792919, 4.628592758491975, 11_320_686
70, Kazakhstan, +2142, +15, 112.92342726713814, 0.7907803029911633, 0, 18_968_606
71, Namibia, +139, +2, 53.87312916838492, 0.7751529376746031, 17.93548387096774, 2_580_136
72, Kyrgyzstan, +254, +5, 38.39167886055915, 0.7557417098535266, 7.271686229602062, 6_616_017
73, Spain, +4579, +35, 97.90399498758913, 0.7483380267668966, 0, 46_770_308
74, Indonesia, +4891, +206, 17.72126849760209, 0.746387509815177, 9.88420265545743, 275_996_044
75, Dominican Republic, +560, +8, 51.184009530462575, 0.7312001361494653, 8.596868283696653, 10_940_917
76, Iraq, +4902, +29, 119.58784787420646, 0.7074760482154197, 14.285297974646655, 40_990_787
77, Egypt, +1150, +68, 11.059871740494708, 0.6539750246553393, 0, 103_979_506
78, El Salvador, None, +4, 0, 0.6140402451187255, 0, 6_514_231
79, Latvia, +338, +1, 180.91700298673632, 0.5352574052862021, 5.858901022707575, 1_868_260
80, Malaysia, +3807, +17, 116.35010899991167, 0.5195565676381662, 0, 32_720_210
81, Venezuela, +1292, +13, 45.54622437663541, 0.4582824434181581, 0, 28_366_786
82, Mexico, +1175, +57, 9.03215730109977, 0.4381557158831378, 19.969408565601633, 130_090_737
83, Japan, +7082, +53, 56.142132854530736, 0.42015434076392666, 16.379489788838264, 126_144_121
84, Syria, +60, +7, 3.359032732934224, 0.3918871521756595, 0, 17_862_285
85, Saudi Arabia, +986, +13, 27.950593329298922, 0.36851695058913386, 1.3922227556409026, 35_276_532
86, Finland, +143, +2, 25.774594144769225, 0.36048383419257657, 5.808285946385053, 5_548_099
87, Pakistan, +3447, +78, 15.35088194913929, 0.3473654749152494, 9.129674753681535, 224_547_359
88, Thailand, +1630, +22, 23.302332510589444, 0.31451000934537904, 0, 69_950_079
89, Afghanistan, +340, +12, 8.569717868504485, 0.3024606306530994, 13.524264120922833, 39_674_585
90, Libya, +256, +2, 36.828804037818, 0.28772503154545315, 12.825651302605209, 6_951_081
91, Haiti, +63, +3, 5.468140055558039, 0.2603876216932399, 0, 11_521_285
92, Madagascar, +150, +7, 5.3010582290500325, 0.24738271735566816, 20.718232044198896, 28_296_237
93, Bangladesh, +1514, +38, 9.115417709139713, 0.22878855544736398, 8.986229819563153, 166_092_224
94, Kenya, +66, +12, 1.204826996974734, 0.21905945399540622, 3.600654664484452, 54_779_649
95, UAE, +1507, +2, 150.81312492500626, 0.20015013261447412, 1.0567800116407087, 9_992_499
96, Guatemala, +206, +3, 11.3198798576091, 0.16485261928556944, 19.581749049429657, 18_198_073
97, Algeria, +184, +7, 4.132403279079969, 0.1572109943128249, 0, 44_526_148
98, Morocco, +58, +5, 1.5556113072343596, 0.1341044230374448, 1.643525077925758, 37_284_378
99, Poland, +2031, +5, 53.71445648824881, 0.13223647584502415, 0, 37_811_050
100, Yemen, +3, +4, 0.09873226455876354, 0.13164301941168471, 0.32858707557502737, 30_385_204
101, Israel, +65, +1, 7.067068656028373, 0.10872413316966727, 0, 9_197_590 
102, Sweden, +2463, +1, 242.58428794469353, 0.09849138771607534, 0, 10_153_172
103, Portugal, +158, +1, 15.534072217705107, 0.09831691277028548, 0.5632999393917787, 10_171_190
104, Mali, +7, +2, 0.3374120180087399, 0.09640343371678281, 1.7632241813602016, 20_746_149
105, Angola, +135, +3, 4.001933853013593, 0.0889318634003021, 8.495909376966646, 33_733_691
106, Ethiopia, +418, +9, 3.560918628409111, 0.07667049678392822, 11.666201507116941, 117_385_440
107, Mozambique, +71, +2, 2.218801240441146, 0.06250144339270836, 22.049689440993788, 31_999_261
108, UK, +2357, +4, 34.564491585438034, 0.05865844986922025, 0.1735937214605146, 68_191_369
109, Senegal, +22, +1, 1.2851243468793616, 0.05841474303997099, 2.622169249106079, 17_118_966
110, Sudan, +63, +1, 1.408751760744041, 0.02236113905942922, 0, 44_720_441
111, S. Korea, +463, +1, 9.02410678055986, 0.019490511405096892, 2.8425834970530452, 51_307_017
112, China, +11, None, 0.007642477796462107, 0, 0, 1_439_323_776 
113, Denmark, +932, None, 160.42199936416432, 0, 0.19645412943629048, 5_809_677
114, Ireland, +380, None, 76.22981765426407, 0, 1.206387504365218, 4_984_926
115, Nigeria, +49, None, 0.23279592726090764, 0, 0, 210_484_782
116, Myanmar, +16, None, 0.2923870115622434, 0, 0.5289256198347108, 54_721_993
117, Norway, +579, None, 106.09233881385467, 0, 0, 5_457_510
118, Uzbekistan, +362, None, 10.683734512975027, 0, 0, 33_883_283
119, Ghana, +60, None, 1.8972112449228256, 0, 0, 31_625_366
120, Zambia, +20, None, 1.0626260805844614, 0, 0.6321112515802781, 18_821_296
121, Cameroon, None, None, 0, 0, 0, 27_107_817
122, Ivory Coast, +1, None, 0.037128064049177754, 0, 0, 26_933_804
123, Uganda, +29, None, 0.6174626178549835, 0, 1.000690131124914, 46_966_406
124, Zimbabwe, +14, None, 0.9303796261216307, 0, 0.6679389312977099, 15_047_621
125, Malawi, +9, None, 0.4603535351468671, 0, 1.7408123791102514, 19_550_192
126, Malta, +11, None, 24.855892315235984, 0, 0.7217847769028871, 442_551
127, DRC, +27, None, 0.2938864979650047, 0, 11.790393013100436, 91_872_203
128, Australia, +15, None, 0.5824629944756492, 0, 0.03713330857779428, 25_752_709
129, Rwanda, +62, None, 4.687992900866493, 0, 2.271062271062271, 13_225_276
130, Gabon, +133, None, 58.579495678991414, 0, 2.338255977496484, 2_270_419
131, Guinea, +12, None, 0.8931572543274213, 0, 0, 13_435_484
132, Réunion, None, None, 0, 0, 0, 900_780
133, Mayotte, None, None, 0, 0, 0, 278_414
134, French Polynesia, +7, None, 24.796491650667026, 0, 0, 282_298
135, Mauritania, +24, None, 5.048867780881663, 0, 2.4242424242424243, 4_753_541
136, Eswatini, +2, None, 1.7087693187051287, 0, 0.3616636528028933, 1_170_433
137, Guadeloupe, None, None, 0, 0, 0, 400_183
138, Somalia, None, None, 0, 0, 0, 16_269_885
139, Andorra, +6, None, 77.5484354603146, 0, 0, 77_371
140, Burkina Faso, +3, None, 0.14025070374296872, 0, 3.1914893617021276, 21_390_267
141, Belize, +14, None, 34.67217458925856, 0, 1.1522633744855968, 403_782
142, Hong Kong, +4, None, 0.5298703831068844, 0, 0.00027997284263426447, 7_549_016
143, Djibouti, +20, None, 19.994701404127905, 0, 3.4965034965034967, 1_000_265
144, Congo, +196, None, 34.791215431111084, 0, 0, 5_633_606
145, Lesotho, None, None, 0, 0, 0, 2_156_778
146, Nicaragua, None, None, 0, 0, 0, 6_691_897
147, Gambia, None, None, 0, 0, 0, 2_474_337
148, Niger, +3, None, 0.1202469824921596, 0, 1.098901098901099, 24_948_651
149, Chad, +5, None, 0.2971567919285559, 0, 4.23728813559322, 16_826_134
150, Comoros, +6, None, 6.776789495976281, 0, 0, 885_375
