Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Suriname, +131, +9, 219.55368590415057, 15.083841016315688, 52.191235059760956, 596_665
2, Estonia, +822, +13, 618.8649925691028, 9.787402558878755, 8.392893608331633, 1_328_238
3, St. Vincent Grenadines, +7, +1, 62.71727054438591, 8.959610077769415, 18.421052631578945, 111_612
4, Réunion, +2046, +7, 2254.5255799397914, 7.713430625404955, 0, 907_508
5, Germany, +59480, +332, 705.6147418721172, 3.9385355464280916, 0, 84_295_291
6, Taiwan, +80660, +90, 3375.0292689433873, 3.7658397496268887, 63.614495839741316, 23_899_052
7, Barbados, +213, +1, 739.4626571358147, 3.471655667304294, 15.0, 288_047
8, New Zealand, +8553, +16, 1709.8818496231581, 3.198656564243018, 0, 5_002_100 
9, Australia, +33302, +52, 1277.669817538606, 1.9950402531982316, 46.95382446246035, 26_064_637
10, Cabo Verde, +30, +1, 52.862132035509255, 1.7620710678503086, 0, 567_514
11, Eswatini, +36, +2, 30.4287152404756, 1.6904841800264223, 9.254498714652955, 1_183_093
12, Greece, +5291, +17, 512.4007568539774, 1.6463452781171077, 3.7350783935845033, 10_325_902
13, UK, +6063, +110, 88.42485278858996, 1.6042773885444328, 0, 68_566_696
14, France, +35142, +76, 536.116448239362, 1.1594345815887404, 0, 65_549_192
15, Italy, +24267, +66, 402.4901947437537, 1.0946698336460108, 10.02520036354623, 60_292_152
16, Denmark, +663, +5, 113.69999151108661, 0.8574659993294615, 8.8258785942492, 5_831_135
17, Botswana, +1000, +2, 409.4591617715824, 0.8189183235431647, 0, 2_442_246
18, Spain, +8498, +38, 181.62255840229597, 0.8121507671554774, 0, 46_789_342
19, Tunisia, +510, +9, 42.307230629240415, 0.746598187574831, 3.783382789317508, 12_054_677
20, Croatia, +47, +3, 11.585029184413946, 0.7394699479413157, 3.309859154929577, 4_056_960
21, Brazil, +41377, +159, 192.05492489571876, 0.7380122545960143, 0, 215_443_577
22, Trinidad and Tobago, +149, +1, 105.81349271165185, 0.7101576692057171, 5.166435506241331, 1_408_138
23, Canada, +2133, +26, 55.584773972712334, 0.6775452992454387, 0, 38_373_818
24, Russia, +3526, +88, 24.1417734753568, 0.602517318726999, 0, 146_053_893
25, Latvia, +208, +1, 112.65067027148812, 0.541589760920616, 6.353084911423336, 1_846_416
