Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Anguilla, +38, None, 2495.075508864084, 0, 0, 15_230
2, Palau, +17, None, 932.3753633521636, 0, 7.172995780590717, 18_233
3, Germany, +61063, +250, 727.9492405165844, 2.980320490790595, 0, 83_883_596
4, Taiwan, +16545, +34, 692.5899158154759, 1.423273323525306, 76.87125400734098, 23_888_595
5, Hong Kong, +5198, +5, 683.5607069106567, 0.6575228038771227, 0, 7_604_299
6, New Zealand, +2967, +5, 605.732347148536, 1.0207825196301583, 0, 4_898_203
7, San Marino, +19, None, 557.4299545254511, 0, 0, 34_085
8, S. Korea, +18671, +18, 363.74511471374603, 0.35067281157128327, 0, 51_329_899
9, Singapore, +1676, +3, 281.98654473272353, 0.5047491850824407, 0, 5_943_546
10, Chile, +5319, +40, 276.30888933852356, 2.0779010290545106, 19.67158548762898, 19_250_195
11, Austria, +2490, +1, 274.63104036635116, 0.11029359050857478, 0, 9_066_710
12, Japan, +31622, +42, 251.79791210145925, 0.3344352763348709, 0, 125_584_838
13, Bahrain, +369, None, 206.84053603649812, 0, 14.56770627714173, 1_783_983
14, Uruguay, +659, +8, 188.50028146324274, 2.288319046594752, 0, 3_496_016
15, Panama, +838, None, 188.4431715660392, 0, 5.876577840112202, 4_446_964
16, Maldives, +90, +1, 166.3632078523434, 1.84848008724826, 0, 540_985
17, Qatar, +459, None, 154.03123914608304, 0, 28.368355995055623, 2_979_915
18, Denmark, +822, +26, 140.8752431468993, 4.455907934086839, 6.363706743051792, 5_834_950
19, Comoros, +117, None, 128.93712827260617, 0, 0, 907_419
20, Slovenia, +254, +2, 122.23091633726878, 0.9624481601359747, 61.057692307692314, 2_078_034
21, Bulgaria, +672, +11, 98.17962985987342, 1.6071070363967375, 9.38285395141022, 6_844_597
22, Serbia, +809, +7, 93.49341316368766, 0.8089664921456288, 7.3318832698930585, 8_653_016
23, Malaysia, +2521, +8, 75.97705101269784, 0.24110131221800188, 10.252135014233428, 33_181_072
24, Australia, +1871, None, 71.77164173928735, 0, 0, 26_068_792
25, Kuwait, +286, +1, 65.29194402425755, 0.22829351057432712, 0, 4_380_326
26, Bhutan, +50, None, 63.45652783647506, 0, 0, 787_941
27, Mongolia, +207, None, 61.277448300483286, 0, 0, 3_378_078
28, France, +3645, +109, 55.577140934389426, 1.661977602701906, 0, 65_584_518
29, Armenia, +155, None, 52.15402868000509, 0, 8.428493746601413, 2_971_966
30, Belgium, +599, +4, 51.33576694007462, 0.3428097959270425, 2.94233225267708, 11_668_278
31, Eswatini, +60, None, 50.64073185985684, 0, 4.457652303120357, 1_184_817
32, Malta, +20, None, 45.04169735132299, 0, 4.854368932038835, 444_033
33, Montenegro, +28, None, 44.58953738354964, 0, 0, 627_950
34, USA, +14873, +82, 44.422837323984886, 0.24491848722966184, 3.8869331828005884, 334_805_269
35, Latvia, +77, None, 41.647803456984036, 0, 0, 1_848_837
36, Belize, +15, None, 36.39098474004706, 0, 0, 412_190
37, Norway, +193, None, 35.018516267280184, 0, 0, 5_511_370
38, Russia, +4421, +61, 30.321122635690575, 0.4183642797505372, 0, 145_805_947
39, UAE, +260, None, 25.78908397669659, 0, 0.3539196602371262, 10_081_785
40, Brazil, +4639, +19, 21.54131693544579, 0.08822699326869368, 0, 215_353_593
