Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Taiwan, +24350, +47, 1019.314865524741, 1.9674660648732167, 87.77305169057746, 23_888_595
2, Hong Kong, +4988, +13, 655.9447491478176, 1.709559290080519, 0, 7_604_299
3, Croatia, +159, +6, 39.16944999687137, 1.4780924527121273, 9.566787003610107, 4_059_286
4, Chile, +7704, +24, 400.2037381958988, 1.2467406174327065, 19.041028175976273, 19_250_195
5, New Zealand, +2968, +6, 605.936503652462, 1.2249390235561899, 0, 4_898_203
6, Slovakia, +83, +6, 15.20092787928925, 1.0988622563341626, 15.398886827458256, 5_460_193
7, Latvia, +646, +2, 349.4088445871648, 1.0817611287528324, 0, 1_848_837
8, Serbia, +476, +8, 55.00972146590276, 0.9245331338807187, 9.95191302529793, 8_653_016
9, Bulgaria, +97, +4, 14.171762048225775, 0.5844025586897228, 10.062240663900415, 6_844_597
10, Czechia, +143, +5, 13.31869952864843, 0.465688794707987, 2.1375186846038865, 10_736_784
11, Russia, +4566, +62, 31.315595103950045, 0.42522271056611977, 0, 145_805_947
12, Japan, +66397, +46, 528.7023581620577, 0.36628625503343004, 24.529159247245886, 125_584_838
13, S. Korea, +36675, +18, 714.4958535764896, 0.35067281157128327, 0, 51_329_899
14, Peru, +399, +11, 11.845313388398504, 0.3265625244921893, 3.6794540759867203, 33_684_208
15, Philippines, +916, +34, 8.1415713307329, 0.3021980624944527, 0, 112_508_994
16, Argentina, +1357, +12, 29.493438351128574, 0.26081154031948633, 0, 46_010_234
17, Azerbaijan, +37, +2, 3.5921615152319784, 0.19417089271524207, 2.0273972602739727, 10_300_205
18, Singapore, +1893, +1, 318.49673578702004, 0.16824972836081356, 0, 5_943_546
19, Malaysia, +3913, +5, 117.92867933863016, 0.1506883201362512, 8.864372607208391, 33_181_072
20, Lebanon, +75, +1, 11.219400767317257, 0.14959201023089674, 0, 6_684_849
21, Austria, +3073, +1, 338.9322036328503, 0.11029359050857478, 0, 9_066_710
22, Indonesia, +3662, +22, 13.119123341630587, 0.07881505011356442, 0, 279_134_505
23, Thailand, +483, +5, 6.892300020878103, 0.07134886149977332, 0, 70_078_203
24, Guatemala, +51, +1, 2.7442904096359246, 0.053809615875214205, 0, 18_584_039
25, Romania, +180, +1, 9.458085835807106, 0.05254492131003947, 3.5985605757696923, 19_031_335
26, Iran, +64, +4, 0.7439884829652851, 0.04649928018533032, 0, 86_022_837
27, Venezuela, +12, +1, 0.4100182352193295, 0.03416818626827746, 0, 29_266_991
28, Saudi Arabia, +130, +1, 3.626735389396581, 0.02789796453381985, 1.61993769470405, 35_844_909
29, Brazil, +737, +6, 3.4222786336330127, 0.027861155769061167, 0, 215_353_593
30, Morocco, +33, +1, 0.8736455449530873, 0.026474107422820827, 0.832282471626734, 37_772_756
31, USA, +6633, +7, 19.811516168223744, 0.020907675739117476, 10.727628535847714, 334_805_269
32, Vietnam, +241, +1, 2.4354863662736435, 0.010105752557152048, 0, 98_953_541
33, India, +937, +9, 0.6661302666320542, 0.006398262966583232, 0.299019967640742, 1_406_631_776
34, Bangladesh, +46, +1, 0.2739959568560963, 0.0059564338446977455, 0.9954555291062541, 167_885_689
35, China, +588, None, 0.405945191599917, 0, 0, 1_448_471_400 
36, France, None, None, 0, 0, 0, 65_584_518
37, Germany, None, None, 0, 0, 0, 83_883_596
38, UK, None, None, 0, 0, 0, 68_497_907
39, Italy, None, None, 0, 0, 0, 60_262_770
40, Turkey, None, None, 0, 0, 0, 85_561_976
41, Spain, None, None, 0, 0, 0, 46_719_142
42, Australia, +1713, None, 65.71075483666446, 0, 0, 26_068_792
43, Netherlands, None, None, 0, 0, 0, 17_211_447
